Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*"")) AND DOCTYPE(ar))"


Number of results : 5709

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","3126","2025","477","Yu, S.F.","45","Medicine","3175","Article","5709","final","5630","Molecular Cancer Therapeutics","192","Article","4737","Genentech, Inc","289","National Institutes of Health","758","United States","2868","Journal","5609","English","5388"
"Gold","1471","2024","924","Kozak, K.R.","44","Biochemistry, Genetics and Molecular Biology","2825",,,"aip","79","Bioconjugate Chemistry","183","Human","4417","Dana-Farber Cancer Institute","202","U.S. Department of Health and Human Services","634","China","1008","Trade Journal","51","Chinese","161"
"Hybrid Gold","638","2023","677","Senter, P.D.","44","Pharmacology, Toxicology and Pharmaceutics","1608",,,,,"Clinical Cancer Research","134","Humans","3315","The University of Texas MD Anderson Cancer Center","183","National Cancer Institute","513","Germany","488","Book Series","47","German","58"
"Bronze","445","2022","583","Beck, A.","41","Chemistry","1164",,,,,"Mabs","108","Antibody Drug Conjugate","2712","Memorial Sloan-Kettering Cancer Center","175","National Natural Science Foundation of China","403","Japan","482","Undefined","2","Japanese","40"
"Green","2372","2021","560","Pillow, T.H.","36","Chemical Engineering","579",,,,,"Cancers","80","Controlled Study","2521","Harvard Medical School","167","Ministry of Science and Technology of the People's Republic of China","351","United Kingdom","440",,,"French","21"
,,"2020","462","Guillarme, D.","33","Immunology and Microbiology","451",,,,,"Analytical Chemistry","68","Female","2318","Pfizer Inc.","140","AstraZeneca","152","France","358",,,"Spanish","12"
,,"2019","414","Bardia, A.","32","Engineering","325",,,,,"Molecular Pharmaceutics","65","Antibody Conjugate","2316","AbbVie","137","Ministry of Education, Culture, Sports, Science and Technology","147","Italy","311",,,"Czech","10"
,,"2018","352","Girish, S.","32","Materials Science","165",,,,,"International Journal Of Molecular Sciences","61","Immunoconjugates","2190","AstraZeneca","129","European Commission","141","Switzerland","243",,,"Italian","10"
,,"2017","284","Xu, K.","31","Multidisciplinary","163",,,,,"Scientific Reports","57","Nonhuman","2002","Seattle Genetics, Inc.","111","Japan Society for the Promotion of Science","140","Spain","234",,,"Russian","8"
,,"2016","250","Santin, A.D.","29","Physics and Astronomy","86",,,,,"Journal Of Clinical Oncology","56","Unclassified Drug","1992","Chinese Academy of Sciences","105","Roche","117","Canada","216",,,"Hungarian","3"
,,"2015","220","Tolaney, S.M.","29","Computer Science","80",,,,,"Journal Of The American Chemical Society","55","Monoclonal Antibody","1792","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","97","AbbVie","115","Netherlands","186",,,"Polish","2"
,,"2014","168","Goldenberg, D.M.","28","Health Professions","66",,,,,"Oncotarget","54","Mouse","1595","Weill Cornell Medicine","96","Pfizer","108","South Korea","175",,,"Dutch","1"
,,"2013","110","Howard, P.W.","28","Neuroscience","60",,,,,"Cancer Research","53","Antineoplastic Agent","1541","Ministry of Education of the People's Republic of China","91","National Institute of General Medical Sciences","107","Australia","144",,,"Korean","1"
,,"2012","65","Shah, D.K.","28","Environmental Science","46",,,,,"Frontiers In Oncology","51","Animals","1486","ImmunoGen, Inc.","91","National Key Research and Development Program of China","99","Belgium","127",,,"Portuguese","1"
,,"2011","27","Matsuda, Y.","27","Agricultural and Biological Sciences","30",,,,,"Plos One","47","Human Cell","1466","University of California, San Francisco","85","Genentech","93","India","73",,,"Swedish","1"
,,"2010","17","Zhang, D.","27","Mathematics","29",,,,,"Journal Of Medicinal Chemistry","46","Animal Experiment","1425","Fred Hutchinson Cancer Center","78","Horizon 2020 Framework Programme","81","Sweden","69",,,,
,,"2009","13","Fekete, S.","26","Nursing","22",,,,,"Journal Of Pharmaceutical And Biomedical Analysis","44","Metabolism","1412","National Cancer Institute NCI","77","Daiichi-Sankyo","80","Taiwan","63",,,,
,,"2008","16","Polson, A.G.","26","Social Sciences","9",,,,,"Nature Communications","44","Animal","1399","University of Washington","77","UK Research and Innovation","76","Austria","60",,,,
,,"2007","8","Lu, D.","25","Business, Management and Accounting","7",,,,,"Angewandte Chemie International Edition","42","Chemistry","1266","Washington University School of Medicine in St. Louis","77","Gilead Sciences","75","Denmark","60",,,,
,,"2006","13","Rugo, H.S.","25","Economics, Econometrics and Finance","6",,,,,"Frontiers In Immunology","41","Animal Model","1261","Massachusetts General Hospital","77","Bristol-Myers Squibb","74","Poland","47",,,,
