Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*"")))"


Number of results : 10710

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","5578","2025","852","Curigliano, G.","81","Medicine","6480","Article","5709","final","10578","Cancers","307","Human","8555","Genentech, Inc","368","National Institutes of Health","1101","United States","5062","Journal","10090","English","10234"
"Gold","3028","2024","1795","Beck, A.","68","Biochemistry, Genetics and Molecular Biology","5155","Review","3740","aip","132","Bioconjugate Chemistry","200","Humans","5946","Dana-Farber Cancer Institute","332","U.S. Department of Health and Human Services","912","China","1748","Book Series","272","Chinese","248"
"Hybrid Gold","1025","2023","1442","Senter, P.D.","56","Pharmacology, Toxicology and Pharmaceutics","3066","Book Chapter","433",,,"Molecular Cancer Therapeutics","199","Antibody Drug Conjugate","5849","The University of Texas MD Anderson Cancer Center","326","National Cancer Institute","776","Germany","787","Book","254","German","96"
"Bronze","716","2022","1217","Bardia, A.","53","Chemistry","1706","Note","261",,,"Mabs","162","Article","4774","Memorial Sloan-Kettering Cancer Center","298","National Natural Science Foundation of China","720","United Kingdom","759","Trade Journal","84","Japanese","60"
"Green","4122","2021","1108","Tolaney, S.M.","52","Immunology and Microbiology","849","Editorial","231",,,"Clinical Cancer Research","160","Antibody Conjugate","3545","Harvard Medical School","288","Ministry of Science and Technology of the People's Republic of China","603","Italy","715","Conference Proceeding","7","French","45"
,,"2020","875","Kozak, K.R.","46","Chemical Engineering","812","Conference Paper","84",,,"International Journal Of Molecular Sciences","157","Nonhuman","3475","Pfizer Inc.","223","AstraZeneca","242","Japan","667","Undefined","3","Spanish","15"
,,"2019","711","Yu, S.F.","45","Engineering","434","Letter","78",,,"Frontiers In Oncology","155","Review","3367","AbbVie","172","European Commission","200","France","623",,,"Italian","12"
,,"2018","608","Tarantino, P.","41","Materials Science","217","Short Survey","78",,,"Frontiers In Immunology","99","Immunoconjugates","3349","AstraZeneca","165","Pfizer","192","Spain","406",,,"Russian","12"
,,"2017","474","Guillarme, D.","40","Computer Science","195","Erratum","72",,,"Methods In Molecular Biology","83","Unclassified Drug","3265","Weill Cornell Medicine","161","Roche","183","Switzerland","396",,,"Czech","11"
,,"2016","422","Girish, S.","39","Multidisciplinary","182","Book","19",,,"Bioanalysis","81","Monoclonal Antibody","3210","Chinese Academy of Sciences","155","Ministry of Education, Culture, Sports, Science and Technology","166","Canada","355",,,"Hungarian","3"
