Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*"")) AND DOCTYPE(re))"


Number of results : 3740

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","2053","2025","283","Curigliano, G.","48","Medicine","2561","Review","3740","final","3698","Cancers","221","Human","3355","The University of Texas MD Anderson Cancer Center","117","National Institutes of Health","294","United States","1584","Journal","3724","English","3603"
"Gold","1371","2024","671","Tarantino, P.","27","Biochemistry, Genetics and Molecular Biology","1767",,,"aip","42","International Journal Of Molecular Sciences","93","Review","3338","Dana-Farber Cancer Institute","107","National Natural Science Foundation of China","291","China","655","Book Series","11","Chinese","87"
"Hybrid Gold","338","2023","609","Tolaney, S.M.","22","Pharmacology, Toxicology and Pharmaceutics","1046",,,,,"Frontiers In Oncology","84","Antibody Drug Conjugate","2430","Harvard Medical School","105","Ministry of Science and Technology of the People's Republic of China","237","Italy","353","Trade Journal","4","German","22"
"Bronze","153","2022","510","Bardia, A.","15","Chemistry","392",,,,,"Cancer Treatment Reviews","49","Humans","2204","Memorial Sloan-Kettering Cancer Center","91","U.S. Department of Health and Human Services","236","United Kingdom","221","Undefined","1","French","15"
"Green","1525","2021","462","Bartsch, R.","15","Immunology and Microbiology","310",,,,,"Antibodies","46","Nonhuman","1233","Università degli Studi di Milano","80","National Cancer Institute","231","Germany","208",,,"Japanese","15"
,,"2020","297","Trapani, D.","15","Chemical Engineering","186",,,,,"Critical Reviews In Oncology Hematology","46","Antineoplastic Agent","1227","Istituto Europeo di Oncologia","66","AstraZeneca","75","France","203",,,"Russian","4"
,,"2019","176","Beck, A.","14","Computer Science","104",,,,,"Expert Opinion On Biological Therapy","46","Monoclonal Antibody","1142","Weill Cornell Medicine","54","Pfizer","70","India","151",,,"Spanish","3"
,,"2018","186","Albericio, F.","13","Engineering","59",,,,,"Frontiers In Immunology","45","Unclassified Drug","1038","Mayo Clinic","50","Roche","54","Spain","149",,,"Italian","2"
,,"2017","129","Corti, C.","13","Materials Science","39",,,,,"Journal Of Hematology And Oncology","41","Antibody Conjugate","993","Inserm","48","Novartis","53","Japan","135",,,"Croatian","1"
,,"2016","98","Jabbour, E.","13","Health Professions","38",,,,,"Current Opinion In Oncology","33","Immunoconjugates","947","Genentech, Inc","46","European Commission","51","Canada","107",,,"Czech","1"
,,"2015","79","Kantarjian, H.","13","Nursing","28",,,,,"Pharmaceutics","33","Immunotherapy","879","Institut de Cancerologie Gustave Roussy","46","National Key Research and Development Program of China","50","Switzerland","107",,,"Dutch","1"
,,"2014","74","Rugo, H.S.","13","Environmental Science","26",,,,,"Current Oncology Reports","32","Cancer Immunotherapy","866","Ministry of Education of the People's Republic of China","44","Bristol-Myers Squibb","48","Australia","96",,,"Finnish","1"
,,"2013","62","Younes, A.","12","Neuroscience","23",,,,,"Mabs","32","Molecularly Targeted Therapy","795","Pfizer Inc.","42","Merck","46","Netherlands","84",,,"Polish","1"
,,"2012","34","Barth, S.","11","Physics and Astronomy","11",,,,,"Current Treatment Options In Oncology","31","Antineoplastic Agents","747","Chinese Academy of Sciences","41","National Research Foundation of Korea","40","South Korea","80",,,,
,,"2011","28","Criscitiello, C.","11","Agricultural and Biological Sciences","9",,,,,"Expert Opinion On Investigational Drugs","31","Drug Efficacy","703","Sichuan University","38","AbbVie","35","Austria","64",,,,
,,"2010","7","Shitara, K.","11","Multidisciplinary","9",,,,,"Memo Magazine Of European Medical Oncology","31","Breast Cancer","668","National Cancer Institute NCI","37","UK Research and Innovation","35","Belgium","64",,,,
,,"2009","8","de la Torre, B.G.","11","Earth and Planetary Sciences","3",,,,,"Pharmaceuticals","31","Overall Survival","592","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","37","Gilead Sciences","33","Poland","61",,,,
,,"2008","5","Ansell, S.M.","10","Dentistry","2",,,,,"Therapeutic Advances In Medical Oncology","30","Pathology","592","West China School of Medicine/West China Hospital of Sichuan University","34","National Institute of General Medical Sciences","32","Iran","59",,,,
,,"2007","3","Bianchini, G.","10","Energy","1",,,,,"Bioanalysis","28","Epidermal Growth Factor Receptor 2","578","Universitat de Barcelona","33","Amgen","31","Greece","47",,,,
,,"2006","3","Engert, A.","10","Mathematics","1",,,,,"Biomedicines","27","Animals","576","CNRS Centre National de la Recherche Scientifique","32","Genentech","31","Brazil","44",,,,
,,"2005","3","Harbeck, N.","10","Social Sciences","1",,,,,"Current Hematologic Malignancy Reports","27","Metabolism","576","Medizinische Universität Wien","32","Sanofi","30","Singapore","41",,,,
,,"2004","2","Lambertini, M.","10",,,,,,,"Cancer Journal United States","26","Trastuzumab Emtansine","575","University of California, San Francisco","32","Celgene","28","Israel","31",,,,
,,"2003","1","Lorusso, D.","10",,,,,,,"Expert Review Of Anticancer Therapy","26","Procedures","574","National Institutes of Health NIH","31","Ministero della Salute","27","South Africa","30",,,,
