Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*"")) AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 35

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","11","2025","2","Habibi-Anbouhi, M.","6","Biochemistry, Genetics and Molecular Biology","18","Article","35","final","35","Breast Cancer","2","Article","33","Tehran University of Medical Sciences","14","Pasteur Institute of Iran","8","Iran","35","Journal","35","English","35"
"Gold","8","2024","2","Abdollahpour-Alitappeh, M.","5","Medicine","18",,,,,"Expert Opinion On Pharmacotherapy","2","Human","28","Pasteur Institute of Iran","11","Iran National Science Foundation","4","Canada","4",,,,
"Hybrid Gold","1","2023","3","Lotfinia, M.","4","Pharmacology, Toxicology and Pharmaceutics","13",,,,,"Human Antibodies","2","Antibody Drug Conjugate","21","Shahid Beheshti University of Medical Sciences","9","Shahid Beheshti University of Medical Sciences","3","United States","4",,,,
"Bronze","1","2022","5","Abolhassani, M.","3","Immunology and Microbiology","10",,,,,"Iranian Biomedical Journal","2","Controlled Study","21","Iranian Academic Center for Education, Culture and Research","8","Avicenna Research Institute","2","Japan","3",,,,
"Green","9","2021","5","Davami, F.","3","Chemical Engineering","4",,,,,"Journal Of Cellular Physiology","2","Humans","19","Tabriz University of Medical Sciences","5","Shiraz University of Medical Sciences","2","Austria","2",,,,
,,"2020","4","Nejadmoghaddam, M.R.","3","Chemistry","3",,,,,"Scientific Reports","2","Unclassified Drug","13","School of Pharmacy","5","Tabriz University of Medical Sciences","2","Germany","2",,,,
,,"2019","5","Zarnani, A.H.","3","Engineering","3",,,,,"AMB Express","1","Antineoplastic Agent","12","Avicenna Research Institute","4","Tehran University of Medical Sciences and Health Services","2","Jordan","2",,,,
,,"2018","3","Abedi, M.","2","Multidisciplinary","2",,,,,"Artificial Cells Nanomedicine And Biotechnology","1","Antibody Conjugate","11","SBUMS School of Pharmacy","4","Academic Center for Education, Culture and Research","1","Poland","2",,,,
,,"2017","5","Ardestani, M.S.","2","Computer Science","1",,,,,"BMC Urology","1","Cell Line, Tumor","11","Iran University of Medical Sciences","3","Agencja Badań Medycznych","1","Russian Federation","2",,,,
,,"2016","1","Bagheri, N.","2","Neuroscience","1",,,,,"Biochemical And Biophysical Research Communications","1","Immunoconjugates","11","Shohadaye Tajrish Educational Hospital","3","European Association of Urology","1","Australia","1",,,,
,,,,"Balalaie, S.","2","Psychology","1",,,,,"Biomed Research International","1","Metabolism","11","Universitätsklinikum Hamburg-Eppendorf","2","Gastrointestinal and Liver Diseases Research Center","1","China","1",,,,
,,,,"Basiri, A.","2",,,,,,,"Biotechnology Reports","1","Tumor Cell Line","11","Shahid Labbafi Nedjad Educational Hospital","2","Government of Canada","1","Czech Republic","1",,,,
,,,,"Behdani, M.","2",,,,,,,"Cancer Chemotherapy And Pharmacology","1","Antineoplastic Activity","10","Weill Cornell Medicine","2","Guilan University of Medical Sciences","1","France","1",,,,
,,,,"Cohan, R.A.","2",,,,,,,"Cell Journal","1","Antineoplastic Agents","10","Centre Hospitalier de L'Université de Montréal","2","Iran University of Medical Sciences","1","Hungary","1",,,,
,,,,"Dinarvand, R.","2",,,,,,,"European Journal Of Nanomedicine","1","Cytotoxicity","10","Baqiyatallah University of Medical Sciences","2","Iran University of Science and Technology","1","Israel","1",,,,
,,,,"Farahmand, L.","2",,,,,,,"Immunopharmacology And Immunotoxicology","1","Human Cell","10","Sechenov First Moscow State Medical University","2","Kermanshah University of Medical Sciences","1","Italy","1",,,,
,,,,"Ghods, R.","2",,,,,,,"International Journal Of Molecular Sciences","1","In Vitro Study","10","Medizinische Universität Wien","2","Liver and Gastrointestinal Diseases Research Center, Tabriz University of Medical Sciences","1","Saudi Arabia","1",,,,
,,,,"Jalili, N.","2",,,,,,,"International Journal Of Peptide Research And Therapeutics","1","Monoclonal Antibody","10","UT Southwestern Medical School","2","Lorestan University of Medical Sciences","1","Sweden","1",,,,
,,,,"Karakiewicz, P.I.","2",,,,,,,"Iranian Journal Of Basic Medical Sciences","1","Apoptosis","9","K. N. Toosi University of Technology","2","Ministry of Health and Medical Education","1","Turkey","1",,,,
,,,,"Kawada, T.","2",,,,,,,"Iranian Journal Of Immunology","1","Chemistry","9","Golestan University of Medical Sciences","2","Narodowa Agencja Wymiany Akademickiej","1","United Kingdom","1",,,,
,,,,"Laukhtina, E.","2",,,,,,,"Iranian Journal Of Pharmaceutical Research","1","Flow Cytometry","9","Shahrekord University of Medical Sciences","2","National Institute for Medical Research Development","1",,,,,,
,,,,"Mahboudi, F.","2",,,,,,,"Journal Of Biomolecular Structure And Dynamics","1","Drug Conjugation","8","School of Medicine","2","National Institute of Biomedical Imaging and Bioengineering","1",,,,,,
,,,,"Mahmoudian, J.","2",,,,,,,"Journal Of Drug Delivery Science And Technology","1","Epidermal Growth Factor Receptor 2","8","UT Southwestern Medical Center","2","Natural Sciences and Engineering Research Council of Canada","1",,,,,,
,,,,"Mofid, B.","2",,,,,,,"Journal Of Herbmed Pharmacology","1","Female","8","The Jikei University School of Medicine","2","Research Center for Pharmaceutical Nanotechnology","1",,,,,,
,,,,"Muhammadnejad, S.","2",,,,,,,"Journal Of Nanobiotechnology","1","Nonhuman","8","MTA-ELTE Research Group of Peptide Chemistry","2","Shahid Chamran University of Ahvaz","1",,,,,,
,,,,"Parvin, M.","2",,,,,,,"Molecular And Cellular Biochemistry","1","Polyacrylamide Gel Electrophoresis","8","SBUMS Urology and Nephrology Research Center","2","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","1",,,,,,
,,,,"Rajwa, P.","2",,,,,,,"Molecular Immunology","1","Priority Journal","8","SBUMS School of Medicine","2","Sichuan University","1",,,,,,
,,,,"Razzaghdoust, A.","2",,,,,,,"Pharmaceutical Chemistry Journal","1","Trastuzumab","8","Children's Medical Center TUMS","2","The Research Council","1",,,,,,
,,,,"Rezaei, N.","2",,,,,,,"Saudi Pharmaceutical Journal","1","Binding Affinity","7","Digestive Diseases Research Institute","2","West China Hospital, Sichuan University","1",,,,,,
,,,,"Salehi, M.","2",,,,,,,,,"MTT Assay","7","Research Center for Immunodeficiencies","2","Undefined","8",,,,,,
,,,,"Shafiee, S.","2",,,,,,,,,"Molecularly Targeted Therapy","7","Graduate School of Medicine, Dentistry and Pharmaceutical Sciences","2",,,,,,,,
