Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*"")) AND AFFILCOUNTRY(Iran))"


Number of results : 96

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","29","2025","9","Abdollahpour-Alitappeh, M.","10","Biochemistry, Genetics and Molecular Biology","53","Review","59","final","95","Journal Of Cellular Physiology","8","Human","84","Tehran University of Medical Sciences","29","Pasteur Institute of Iran","8","Iran","96","Journal","96","English","96"
"Gold","22","2024","9","Bagheri, N.","9","Medicine","46","Article","35","aip","1","Journal Of Drug Delivery Science And Technology","5","Antibody Drug Conjugate","71","Shahid Beheshti University of Medical Sciences","21","Tabriz University of Medical Sciences","8","United States","16",,,,
"Hybrid Gold","4","2023","12","Habibi-Anbouhi, M.","6","Pharmacology, Toxicology and Pharmaceutics","33","Erratum","1",,,"Cancer Cell International","3","Humans","59","Tabriz University of Medical Sciences","21","Iran National Science Foundation","4","Canada","8",,,,
"Bronze","1","2022","9","Lotfinia, M.","6","Immunology and Microbiology","17","Letter","1",,,"Life Sciences","3","Review","54","Pasteur Institute of Iran","15","Shahid Beheshti University of Medical Sciences","4","Iraq","7",,,,
"Green","24","2021","20","Jahandideh, S.","5","Chemical Engineering","9",,,,,"Scientific Reports","3","Nonhuman","47","Iranian Academic Center for Education, Culture and Research","14","Tehran University of Medical Sciences and Health Services","4","Germany","5",,,,
,,"2020","12","Mirzaei, Y.","5","Engineering","7",,,,,"Biomarker Research","2","Antineoplastic Agent","39","Shahrekord University of Medical Sciences","10","Research Center for Pharmaceutical Nanotechnology","3","Russian Federation","5",,,,
,,"2019","11","Nejadmoghaddam, M.R.","5","Chemistry","5",,,,,"Breast Cancer","2","Unclassified Drug","34","School of Pharmacy","10","Avicenna Research Institute","2","Turkey","5",,,,
,,"2018","5","Rezaei, N.","5","Computer Science","3",,,,,"Clinical And Translational Oncology","2","Article","33","Iran University of Medical Sciences","9","Shiraz University of Medical Sciences","2","Italy","4",,,,
,,"2017","7","Zarnani, A.H.","5","Materials Science","3",,,,,"Current Pharmaceutical Design","2","Monoclonal Antibody","33","Mashhad University of Medical Sciences","8","UK Research and Innovation","2","Australia","3",,,,
,,"2016","2","Amirkhani, Z.","4","Multidisciplinary","3",,,,,"Expert Opinion On Pharmacotherapy","2","Antineoplastic Agents","29","School of Medicine","8","Academic Center for Education, Culture and Research","1","Austria","3",,,,
,,,,"Dinarvand, R.","4","Environmental Science","1",,,,,"Human Antibodies","2","Antibody Conjugate","26","Larestan University of Medical Sciences","8","Agencja Badań Medycznych","1","Japan","3",,,,
,,,,"Gharibi, T.","4","Neuroscience","1",,,,,"International Journal Of Biological Macromolecules","2","Metabolism","26","Faculty of Medicine","6","Alabama Farmers Federation","1","Jordan","3",,,,
,,,,"Mer, A.H.","4","Nursing","1",,,,,"International Journal Of Molecular Sciences","2","Cancer Therapy","25","Avicenna Research Institute","6","Amirkabir University of Technology","1","Poland","3",,,,
,,,,"Abolhassani, M.","3","Physics and Astronomy","1",,,,,"Iranian Biomedical Journal","2","Drug Delivery System","25","Breast Disease Research Center","6","Ardabil University of Medical Sciences","1","China","2",,,,
,,,,"Aghanejad, A.","3","Psychology","1",,,,,"Journal Of Nanobiotechnology","2","Immunoconjugates","25","School of Medicine IUMS","5","Australian Research Council","1","Czech Republic","2",,,,
,,,,"Aghebati-Maleki, L.","3",,,,,,,"Medical Oncology","2","Immunotherapy","24","Shiraz University of Medical Sciences","5","Birjand University of Medical Sciences","1","France","2",,,,
,,,,"Baradaran, B.","3",,,,,,,"Stem Cell Research And Therapy","2","Controlled Study","23","Shahid Beheshti University","5","Cass Foundation","1","Indonesia","2",,,,
,,,,"Barpour, N.","3",,,,,,,"AMB Express","1","Animal","21","SBUMS School of Medicine","5","Defence Science and Technology Group","1","Pakistan","2",,,,
,,,,"Davami, F.","3",,,,,,,"Advanced Healthcare Materials","1","Animals","21","Children's Medical Center TUMS","5","Department of Defence, Australian Government","1","South Korea","2",,,,
,,,,"Farahmand, L.","3",,,,,,,"Applied Sciences Switzerland","1","Priority Journal","21","SBUMS School of Pharmacy","5","Department of Education and Training","1","United Kingdom","2",,,,
,,,,"Ghahremanzadeh, R.","3",,,,,,,"Archiv Der Pharmazie","1","Antineoplastic Activity","20","Erbil Polytechnic University","5","Erasmus MC Vriendenfonds","1","Belarus","1",,,,
,,,,"Ghods, R.","3",,,,,,,"Archives Of Medical Science","1","Cytotoxicity","20","Research Center for Immunodeficiencies","5","Erasmus Medisch Centrum","1","Egypt","1",,,,
,,,,"Kazemi, T.","3",,,,,,,"Artificial Cells Nanomedicine And Biotechnology","1","Molecularly Targeted Therapy","20","Research Center for Pharmaceutical Nanotechnology","5","European Association of Urology","1","Ethiopia","1",,,,
,,,,"Mahmoudi, M.","3",,,,,,,"Avicenna Journal Of Medical Biotechnology","1","Neoplasm","20","Cihan University-Erbil","5","Gastrointestinal and Liver Diseases Research Center","1","Hungary","1",,,,
,,,,"Mahmoudian, J.","3",,,,,,,"BMC Urology","1","Neoplasms","20","University of Tabriz","4","Government of Canada","1","India","1",,,,
,,,,"Majidi, J.","3",,,,,,,"Biochemical And Biophysical Research Communications","1","Breast Cancer","19","Sechenov First Moscow State Medical University","4","Guilan University of Medical Sciences","1","Israel","1",,,,
,,,,"Meyfour, A.","3",,,,,,,"Biochimica Et Biophysica Acta Reviews On Cancer","1","Cancer Immunotherapy","19","Golestan University of Medical Sciences","4","Hamadan University of Medical Sciences","1","Kazakhstan","1",,,,
,,,,"Misamogooe, F.","3",,,,,,,"Biomed Research International","1","Chemistry","19","University of Tehran","4","International Parkinson and Movement Disorder Society","1","Lebanon","1",,,,
,,,,"Shahsavarani, H.","3",,,,,,,"Bioorganic Chemistry","1","Procedures","19","North Khorasan University of Medical Sciences","4","Iran University of Medical Sciences","1","Malaysia","1",,,,
,,,,"Shariat, S.F.","3",,,,,,,"Biotechnology Reports","1","Trastuzumab","19","Immunology Research Center","4","Iran University of Science and Technology","1","Netherlands","1",,,,
,,,,"Abbaszadeh-Goudarzi, G.","2",,,,,,,"Cancer Chemotherapy And Pharmacology","1","Immunology","18","School of Medicine, Zanjan University of Medical Sciences ZUMS","3","Kermanshah University of Medical Sciences","1","Romania","1",,,,
,,,,"Abbaszadeh-Goudarzi, K.","2",,,,,,,"Cell Journal","1","Apoptosis","17","Universitätsklinikum Hamburg-Eppendorf","3","Liver and Gastrointestinal Diseases Research Center, Tabriz University of Medical Sciences","1","Saint Martin (Dutch Part)","1",,,,
,,,,"Abdollahpour‐Alitappeh, M.","2",,,,,,,"Clinical Immunology","1","Epidermal Growth Factor Receptor 2","17","Hamadan University of Medical Sciences","3","Lorestan University of Medical Sciences","1","Saudi Arabia","1",,,,
,,,,"Abdolvahab, M.H.","2",,,,,,,"Current Cancer Drug Targets","1","Targeted Therapy","17","Weill Cornell Medicine","3","Mashhad University of Medical Sciences","1","South Africa","1",,,,
,,,,"Abedi, M.","2",,,,,,,"Current Drug Delivery","1","Antibodies, Monoclonal","16","Baqiyatallah University of Medical Sciences","3","Mauritius Research Council","1","Sweden","1",,,,
,,,,"Abolhasani, M.","2",,,,,,,"Current Opinion In Urology","1","Tumor Microenvironment","16","Medizinische Universität Wien","3","Medical Research Council","1","United Arab Emirates","1",,,,
,,,,"Adibkia, K.","2",,,,,,,"Current Protein And Peptide Science","1","Female","15","Iran University of Science and Technology","3","Ministry of Education","1",,,,,,
,,,,"Anissian, A.","2",,,,,,,"Drug Delivery And Translational Research","1","Trastuzumab Emtansine","15","Zanjan University of Medical Sciences ZUMS","3","Ministry of Health and Medical Education","1",,,,,,
,,,,"Ardestani, M.S.","2",,,,,,,"Environmental Research","1","Drug Targeting","14","Urmia University of Medical Sciences","3","Monash University","1",,,,,,
,,,,"Arezumand, R.","2",,,,,,,"European Journal Of Nanomedicine","1","Nanoparticle","14","Birjand University of Medical Sciences","3","Narodowa Agencja Wymiany Akademickiej","1",,,,,,
,,,,"Balalaie, S.","2",,,,,,,"Expert Opinion On Drug Delivery","1","Drug Therapy","13","School of Medicine","3","National Cancer Research Institute","1",,,,,,
,,,,"Barar, J.","2",,,,,,,"Frontiers In Immunology","1","Genetics","13","Semnan University of Medical Sciences and Health Services","3","National Institute for Medical Research Development","1",,,,,,
,,,,"Basiri, A.","2",,,,,,,"Frontiers In Oncology","1","Human Cell","13","UT Southwestern Medical Center","3","National Institute of Biomedical Imaging and Bioengineering","1",,,,,,
,,,,"Bazyari, A.","2",,,,,,,"Immunity Inflammation And Disease","1","Pathology","13","Tarbiat Modares University","3","National Research Foundation of Korea","1",,,,,,
,,,,"Behdani, M.","2",,,,,,,"Immunopharmacology And Immunotoxicology","1","Antibody-drug Conjugate","12","Shohadaye Tajrish Educational Hospital","3","Natural Sciences and Engineering Research Council of Canada","1",,,,,,
,,,,"Cohan, R.A.","2",,,,,,,"Immunotherapy","1","Cancer","12","IUMS Immunology Research Center","3","Shahid Chamran University of Ahvaz","1",,,,,,
,,,,"Ghahremani, M.H.","2",,,,,,,"International Immunopharmacology","1","Drug Conjugation","12","Iranian Center for Evidence-Based Medicine","3","Shahrekord University of Medical Sciences","1",,,,,,
,,,,"Jafari, A.","2",,,,,,,"International Journal Of Peptide Research And Therapeutics","1","Drug Delivery Systems","12","Orchidgene co","2","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","1",,,,,,
,,,,"Jalili, N.","2",,,,,,,"Iranian Journal Of Basic Medical Sciences","1","In Vitro Study","12","Mashhad University of Medical Sciences, School of Medicine","2","Sichuan University","1",,,,,,
,,,,"Karakiewicz, P.I.","2",,,,,,,"Iranian Journal Of Blood And Cancer","1","Nanomedicine","12","Shahid Labbafi Nedjad Educational Hospital","2","Student Research Committee, Tabriz University of Medical Sciences","1",,,,,,
,,,,"Kawada, T.","2",,,,,,,"Iranian Journal Of Immunology","1","Cancer Chemotherapy","11","Amirkabir University of Technology","2","The Research Council","1",,,,,,
,,,,"Keshavarz-Fathi, M.","2",,,,,,,"Iranian Journal Of Pharmaceutical Research","1","Cell Line, Tumor","11","Shahid Sadoughi University of Medical Sciences","2","Tour de Cure","1",,,,,,
,,,,"Keshtkaran, Z.","2",,,,,,,"Journal Of Babol University Of Medical Sciences","1","Doxorubicin","11","Kermanshah University of Medical Sciences","2","Urmia University of Medical Sciences","1",,,,,,
,,,,"Laukhtina, E.","2",,,,,,,"Journal Of Biomolecular Structure And Dynamics","1","Drug Effect","11","Centre Hospitalier de L'Université de Montréal","2","Warszawski Uniwersytet Medyczny","1",,,,,,
,,,,"Mahboudi, F.","2",,,,,,,"Journal Of Cancer Research And Clinical Oncology","1","Tumor Cell Line","11","University of Waterloo","2","West China Hospital, Sichuan University","1",,,,,,
,,,,"Minai-Tehrani, A.","2",,,,,,,"Journal Of Clinical Medicine","1","Binding Affinity","10","UT Southwestern Medical School","2","Undefined","48",,,,,,
,,,,"Moeinafshar, A.","2",,,,,,,"Journal Of Herbmed Pharmacology","1","Breast Neoplasms","10","K. N. Toosi University of Technology","2",,,,,,,,
,,,,"Mofid, B.","2",,,,,,,"Journal Of Oncology Pharmacy Practice","1","Breast Tumor","10","Charles University","2",,,,,,,,
,,,,"Muhammadnejad, S.","2",,,,,,,"Molecular And Cellular Biochemistry","1","Chimeric Antigen Receptor T-cell Immunotherapy","10","German Cancer Research Center","2",,,,,,,,
,,,,"Nazari, M.","2",,,,,,,"Molecular Immunology","1","Colorectal Cancer","10","Kashan University of Medical Sciences","2",,,,,,,,
,,,,"Nikmanesh, Y.","2",,,,,,,"Molecular Therapy","1","Drug Efficacy","10","Isfahan University of Medical Sciences","2",,,,,,,,
,,,,"Omidi, Y.","2",,,,,,,"Nanomaterials","1","Flow Cytometry","10","Hasheminejad Kidney Center","2",,,,,,,,
,,,,"Parvin, M.","2",,,,,,,"Nutrition And Cancer","1","Immunological Antineoplastic Agent","10","Ahvaz Jundishapur University of Medical Sciences","2",,,,,,,,
,,,,"Rahbarizadeh, F.","2",,,,,,,"Pharmaceutical Chemistry Journal","1","Liposome","10","Ardabil University of Medical Sciences","2",,,,,,,,
,,,,"Rajwa, P.","2",,,,,,,"Pharmaceutical Development And Technology","1","Prostate Cancer","10","University of California, Los Angeles","2",,,,,,,,
,,,,"Razi, S.","2",,,,,,,"Saudi Pharmaceutical Journal","1","Protein Expression","10","The Jikei University School of Medicine","2",,,,,,,,
,,,,"Razzaghdoust, A.","2",,,,,,,"Seminars In Cancer Biology","1","Signal Transduction","10","The University of Jordan","2",,,,,,,,
,,,,"Rezaei, B.","2",,,,,,,,,"Therapy","10","Shahroud University of Medical Sciences","2",,,,,,,,
,,,,"Sahebkar, A.","2",,,,,,,,,"Antibody","9","Sabzevar University of Medical Sciences","2",,,,,,,,
,,,,"Salehi, M.","2",,,,,,,,,"Antineoplastic Agents, Immunological","9","Iranshahr University of Medical Sciences","2",,,,,,,,
,,,,"Sanaei, M.J.","2",,,,,,,,,"Immune Checkpoint Inhibitor","9","MTA-ELTE Research Group of Peptide Chemistry","2",,,,,,,,
,,,,"Sepehr, K.S.","2",,,,,,,,,"Immune Response","9","Islamic Azad University, Abhar Branch","2",,,,,,,,
,,,,"Shafiee, S.","2",,,,,,,,,"Immunogenicity","9","SBUMS Urology and Nephrology Research Center","2",,,,,,,,
,,,,"Shanehbandi, D.","2",,,,,,,,,"Nanocarrier","9","Ayatollah Taleghani Educational Hospital","2",,,,,,,,
,,,,"Sineh Sepehr, K.","2",,,,,,,,,"Personalized Medicine","9","Digestive Diseases Research Institute","2",,,,,,,,
,,,,"Taheri, A.","2",,,,,,,,,"Stomach Cancer","9","Transplant Research Center SUMS","2",,,,,,,,
,,,,"Tahmasebi, S.","2",,,,,,,,,"Antibody Dependent Cellular Cytotoxicity","8","Stem Cell Research Center","2",,,,,,,,
,,,,"Tohidkia, M.R.","2",,,,,,,,,"Bispecific Antibody","8","Gastroenterohepatology Research Center","2",,,,,,,,
,,,,"Yaghoubi, S.","2",,,,,,,,,"Chimeric Antigen Receptor","8","School of Advanced Technologies in Medicine","2",,,,,,,,
,,,,"Yousefi, M.","2",,,,,,,,,"Drug Mechanism","8","Community Based Psychiatric Care Research Center SUMS","2",,,,,,,,
,,,,"Abdinia, F.S.","1",,,,,,,,,"Melanoma","8","School of Public Health","2",,,,,,,,
,,,,"Abdoli, S.","1",,,,,,,,,"Molecular Targeted Therapy","8","Laparoscopy Research Center SUMS","2",,,,,,,,
,,,,"Abdollahi, M.","1",,,,,,,,,"Mouse","8","Graduate School of Medicine, Dentistry and Pharmaceutical Sciences","2",,,,,,,,
,,,,"Abedi, D.","1",,,,,,,,,"Nanobody","8","School of Medicine","2",,,,,,,,
,,,,"Abedini, M.","1",,,,,,,,,"Nanoparticles","8","Neurojenic Inflammation Research Center","2",,,,,,,,
,,,,"Abousalman-Rezvani, Z.","1",,,,,,,,,"Paclitaxel","8","Nano Drug Delivery Research Center, Kermanshah University of Medical Sciences","2",,,,,,,,
,,,,"Agha Amiri, S.","1",,,,,,,,,"Polyacrylamide Gel Electrophoresis","8","School of Nursing and Midwifery","2",,,,,,,,
,,,,"Aghadoukht, A.","1",,,,,,,,,"Receptor, ErbB-2","8","School of Pharmacy","2",,,,,,,,
,,,,"Aghaei, M.","1",,,,,,,,,"Trastuzumab Deruxtecan","8","School of Advanced Technologies in Medicine IUMS","2",,,,,,,,
,,,,"Ahangari Cohan, R.","1",,,,,,,,,"Acute Lymphoblastic Leukemia","7","IUMS Oncopathology Research Center","2",,,,,,,,
,,,,"Ahangarzadeh, S.","1",,,,,,,,,"Brentuximab Vedotin","7","Faculty of Pharmacy","2",,,,,,,,
,,,,"Ahani, M.","1",,,,,,,,,"Cell Proliferation","7","Faculty of Science","1",,,,,,,,
,,,,"Ahmadi, M.","1",,,,,,,,,"Cisplatin","7","LLC","1",,,,,,,,
,,,,"Akbari, A.","1",,,,,,,,,"Conjugation","7","Karl Landsteiner Institute of Urology and Andrology","1",,,,,,,,
,,,,"Akbari, V.","1",,,,,,,,,"Drug Potency","7","Euro-Mediterranean Institute of Science and Technology","1",,,,,,,,
,,,,"Akbarzadeh, M.","1",,,,,,,,,"Gold Nanoparticle","7","Comprehensive Cancer Center","1",,,,,,,,
,,,,"Akbarzadeh-Khiavi, M.","1",,,,,,,,,"Human Epidermal Growth Factor Receptor 2 Positive Breast Cancer","7","DigiCare Behavioral Research","1",,,,,,,,
,,,,"Akrami-Hasan-Kohal, M.","1",,,,,,,,,"MTT Assay","7","Universal Scientific Education and Research Network USERN","1",,,,,,,,
,,,,"Alibakhshi, A.","1",,,,,,,,,"Male","7","Universal Scientific Education and Research Network USERN","1",,,,,,,,
,,,,"Amani, J.","1",,,,,,,,,"Malignant Neoplasm","7","International Hematology/Oncology of Pediatrics Experts IHOPE","1",,,,,,,,
,,,,"Amani, N.","1",,,,,,,,,"Ovary Cancer","7","Universal Scientific Education and Research Network USERN","1",,,,,,,,
,,,,"Amanzadeh, A.","1",,,,,,,,,"Overall Survival","7","Breast Cancer Association BrCA","1",,,,,,,,
,,,,"Amini, M.","1",,,,,,,,,"Pertuzumab","7","Theraphage Inc.","1",,,,,,,,
,,,,"Aminollahi, E.","1",,,,,,,,,"Programmed Death 1 Ligand 1","7","Universal Scientific Education and Research Network USERN","1",,,,,,,,
,,,,"Andrini, E.","1",,,,,,,,,"T Lymphocyte","7","La Croix du Sud Hospital","1",,,,,,,,
,,,,"Antonelli, A.","1",,,,,,,,,"Treatment Outcome","7","Universal Scientific Education and Research Network USERN","1",,,,,,,,
,,,,"Anvari, K.","1",,,,,,,,,"Tumor Marker","7","Bashir Institute of Health Sciences","1",,,,,,,,
,,,,"Arabzadeh, A.A.","1",,,,,,,,,"Antibody Affinity","6","University of Suleimanyah","1",,,,,,,,
,,,,"Araki, M.","1",,,,,,,,,"B Lymphocyte","6","Universal Scientific Education and Research Network USERN","1",,,,,,,,
,,,,"Arashkia, A.","1",,,,,,,,,"Biomarkers, Tumor","6","Motamed Cancer Institute","1",,,,,,,,
,,,,"Asaadi, Y.","1",,,,,,,,,"Cancer Cell","6","Hiwa Cancer Hospital","1",,,,,,,,
,,,,"Asgari, A.","1",,,,,,,,,"Chemotherapy","6","Karl Landsteiner Institute of Urology and Andrology","1",,,,,,,,
,,,,"Asgari, S.","1",,,,,,,,,"Clinical Trial (topic)","6","ReNAP Therapeutics","1",,,,,,,,
,,,,"Asghariazar, V.","1",,,,,,,,,"Cytotoxic Agent","6","American University of the Caribbean School of Medicine","1",,,,,,,,
,,,,"Avan, A.","1",,,,,,,,,"Docetaxel","6","Karl Landsteiner Institute of Urology and Andrology","1",,,,,,,,
,,,,"Ayati, A.","1",,,,,,,,,"Drug Approval","6","Mountain View Medical Laboratories","1",,,,,,,,
,,,,"Azadegan-Dehkordi, F.","1",,,,,,,,,"Drug Formulation","6","Wilfrid Laurier University","1",,,,,,,,
,,,,"Azadpour, S.","1",,,,,,,,,"Drug Safety","6","University of Johannesburg","1",,,,,,,,
,,,,"Azandaryani, A.H.","1",,,,,,,,,"Exosome","6","Inserm","1",,,,,,,,
,,,,"Azarian, B.","1",,,,,,,,,"Gene Expression","6","Johns Hopkins University School of Medicine","1",,,,,,,,
,,,,"Azizi, M.","1",,,,,,,,,"Immunotoxin","6","Yeungnam University","1",,,,,,,,
,,,,"Azizi, M.","1",,,,,,,,,"Natural Killer Cell","6","Azienda Ospedaliera di Perugia","1",,,,,,,,
,,,,"Babamahmoodi, A.","1",,,,,,,,,"Phase 3 Clinical Trial (topic)","6","University of Kurdistan","1",,,,,,,,
,,,,"Badie, F.","1",,,,,,,,,"Single Chain Fragment Variable Antibody","6","Shariati Hospital","1",,,,,,,,
