Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Antibody-drug conjugat*"") OR TITLE-ABS-KEY(""Antibody drug conjugat*"")) AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 59

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","17","2025","6","Bagheri, N.","7","Biochemistry, Genetics and Molecular Biology","35","Review","59","final","58","Journal Of Cellular Physiology","6","Human","54","Tabriz University of Medical Sciences","16","Tabriz University of Medical Sciences","6","Iran","59","Journal","59","English","59"
"Gold","13","2024","7","Abdollahpour-Alitappeh, M.","5","Medicine","27",,,"aip","1","Journal Of Drug Delivery Science And Technology","4","Review","54","Tehran University of Medical Sciences","14","Research Center for Pharmaceutical Nanotechnology","2","United States","12",,,,
"Hybrid Gold","3","2023","9","Mirzaei, Y.","5","Pharmacology, Toxicology and Pharmaceutics","20",,,,,"Cancer Cell International","3","Antibody Drug Conjugate","49","Shahid Beheshti University of Medical Sciences","12","Tehran University of Medical Sciences and Health Services","2","Iraq","7",,,,
"Green","14","2022","4","Amirkhani, Z.","4","Immunology and Microbiology","7",,,,,"Life Sciences","3","Humans","40","Shahrekord University of Medical Sciences","8","UK Research and Innovation","2","Canada","4",,,,
,,"2021","15","Jahandideh, S.","4","Chemical Engineering","5",,,,,"Biomarker Research","2","Nonhuman","38","Mashhad University of Medical Sciences","7","Alabama Farmers Federation","1","Turkey","4",,,,
,,"2020","8","Mer, A.H.","4","Engineering","4",,,,,"Clinical And Translational Oncology","2","Antineoplastic Agent","27","Larestan University of Medical Sciences","7","Amirkabir University of Technology","1","Germany","3",,,,
,,"2019","5","Aghanejad, A.","3","Materials Science","3",,,,,"Current Pharmaceutical Design","2","Monoclonal Antibody","23","School of Medicine","6","Ardabil University of Medical Sciences","1","Italy","3",,,,
,,"2018","2","Barpour, N.","3","Chemistry","2",,,,,"International Journal Of Biological Macromolecules","2","Drug Delivery System","22","Iran University of Medical Sciences","5","Australian Research Council","1","Russian Federation","3",,,,
,,"2017","2","Gharibi, T.","3","Computer Science","2",,,,,"Medical Oncology","2","Unclassified Drug","21","Faculty of Medicine","5","Birjand University of Medical Sciences","1","Australia","2",,,,
,,"2016","1","Meyfour, A.","3","Environmental Science","1",,,,,"Stem Cell Research And Therapy","2","Cancer Therapy","20","Iranian Academic Center for Education, Culture and Research","5","Cass Foundation","1","Indonesia","2",,,,
,,,,"Misamogooe, F.","3","Nursing","1",,,,,"Advanced Healthcare Materials","1","Antineoplastic Agents","19","Erbil Polytechnic University","5","Defence Science and Technology Group","1","Pakistan","2",,,,
,,,,"Rezaei, N.","3","Physics and Astronomy","1",,,,,"Applied Sciences Switzerland","1","Immunotherapy","19","Cihan University-Erbil","5","Department of Defence, Australian Government","1","South Korea","2",,,,
,,,,"Shahsavarani, H.","3",,,,,,,"Archiv Der Pharmazie","1","Neoplasm","17","Pasteur Institute of Iran","4","Department of Education and Training","1","Austria","1",,,,
,,,,"Abdollahpour‐Alitappeh, M.","2",,,,,,,"Avicenna Journal Of Medical Biotechnology","1","Neoplasms","17","University of Tabriz","4","Erasmus MC Vriendenfonds","1","Belarus","1",,,,
