Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(ar))"


Number of results : 71404763

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","19492069","2026","117","Anon","52430","Medicine","22734261","Article","71404763","final","71059882","Plos One","297630","Article","25024940","Chinese Academy of Sciences","947122","National Natural Science Foundation of China","3612648","United States","16192993","Journal","69959359","English","60583761"
"Gold","7804891","2025","1368866","ANON","6676","Engineering","10690225",,,"aip","344881","Scientific Reports","236023","Human","18788231","Ministry of Education of the People's Republic of China","776407","Ministry of Science and Technology of the People's Republic of China","2148460","China","9678011","Trade Journal","688072","Chinese","2488975"
"Hybrid Gold","2440097","2024","3061842","Watanabe, K.","2942","Biochemistry, Genetics and Molecular Biology","9332133",,,,,"Journal Of The American Chemical Society","184006","Humans","11079489","CNRS Centre National de la Recherche Scientifique","634956","National Institutes of Health","1816631","United Kingdom","4570116","Book Series","433163","German","2217047"
"Bronze","5033003","2023","2861571","Hayat, T.","2651","Physics and Astronomy","8246112",,,,,"Journal Of Biological Chemistry","182964","Male","10892486","Russian Academy of Sciences","476808","U.S. Department of Health and Human Services","1441225","Germany","4123756","Book","128482","French","1196686"
"Green","11568051","2022","2912817","Taniguchi, T.","2624","Chemistry","7300899",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","139608","Female","10875332","University of Chinese Academy of Sciences","322257","National Science Foundation","1083483","Japan","3785642","Conference Proceeding","122691","Russian","1151508"
,,"2021","2800572","Fun, H.K.","2588","Materials Science","6901789",,,,,"Journal Of Applied Physics","136175","Adult","8375431","Harvard Medical School","318961","European Commission","922384","France","2630998","Report","181","Spanish","803582"
,,"2020","2597636","Raoult, D.","2499","Social Sciences","5626917",,,,,"Physical Review Letters","134688","Controlled Study","8227883","University of Toronto","301051","National Key Research and Development Program of China","623720","India","2580594","Multi-volume Reference Works","1","Japanese","633907"
,,"2019","2379475","Hofman, A.","2470","Agricultural and Biological Sciences","5573738",,,,,"Nature","134189","Priority Journal","7818507","The University of Tokyo","288257","Japan Society for the Promotion of Science","611219","Canada","2307455","Undefined","72814","Italian","463759"
,,"2018","2152227","Lip, G.Y.H.","2411","Environmental Science","4154808",,,,,"British Medical Journal","133852","Nonhuman","5931401","Universidade de São Paulo","261495","Ministry of Education, Culture, Sports, Science and Technology","561402","Italy","2266633",,,"Portuguese","320724"
,,"2017","2040819","Fabbri, F.","2401","Computer Science","3752905",,,,,"Applied Physics Letters","133270","Animal","4366447","University of Michigan, Ann Arbor","248730","UK Research and Innovation","478876","Australia","1817366",,,"Polish","259280"
,,"2016","2005988","Ng, S.W.","2380","Mathematics","3735013",,,,,"Journal Of Chemical Physics","131846","Aged","4096994","University of Washington","246708","National Cancer Institute","438648","Spain","1758625",,,"Czech","134584"
,,"2015","1972456","Banerjee, S.","2377","Chemical Engineering","3471538",,,,,"Physical Review B Condensed Matter And Materials Physics","110683","Major Clinical Study","4066821","Inserm","243167","Deutsche Forschungsgemeinschaft","426739","Russian Federation","1596682",,,"Dutch","109163"
,,"2014","1912700","Huang, W.","2366","Earth and Planetary Sciences","3388016",,,,,"Lancet","110514","Animals","3879500","University of Oxford","240622","Fundamental Research Funds for the Central Universities","421911","South Korea","1400767",,,"Korean","79141"
,,"2013","1840503","Tang, B.Z.","2278","Arts and Humanities","2657675",,,,,"Physical Review B","110111","Middle Aged","3565982","Zhejiang University","240558","Ministry of Education of the People's Republic of China","377602","Brazil","1281468",,,"Turkish","69757"
,,"2012","1706062","Inoue, A.","2273","Pharmacology, Toxicology and Pharmaceutics","2584965",,,,,"Tetrahedron Letters","98150","Metabolism","3039391","Tsinghua University","239407","Horizon 2020 Framework Programme","339901","Netherlands","1260614",,,"Hungarian","63741"
,,"2011","1629251","Chu, P.K.","2250","Immunology and Microbiology","2270597",,,,,"Biochemical And Biophysical Research Communications","94008","Unclassified Drug","2766633","University of California, Berkeley","230540","National Research Foundation of Korea","324754","Switzerland","960317",,,"Swedish","58665"
,,"2010","1522102","Gary, J.W.","2247","Energy","2001827",,,,,"IEEE Access","92501","Animal Experiment","2714847","University of California, Los Angeles","228866","Conselho Nacional de Desenvolvimento Científico e Tecnológico","322105","Sweden","951328",,,"Danish","52677"
,,"2009","1482207","Wang, Z.L.","2233","Neuroscience","1907250",,,,,"Astrophysical Journal","90731","Clinical Article","2481259","University of Cambridge","219693","U.S. Department of Energy","316953","Poland","922952",,,"Ukrainian","43537"
,,"2008","1395312","Tiekink, E.R.T.","2203","Psychology","1747274",,,,,"Science","89505","Case Report","2372529","Kyoto University","217886","National Institute of General Medical Sciences","304978","Iran","843032",,,"Romanian","42466"
,,"2007","1334550","Hawkes, C.M.","2183","Business, Management and Accounting","1588180",,,,,"Journal Of Organic Chemistry","89482","Adolescent","2348153","University of Minnesota Twin Cities","213002","National Heart, Lung, and Blood Institute","287493","Turkey","839588",,,"Bulgarian","38286"
