Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(re))"


Number of results : 5001564

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1593024","2026","8","Sahebkar, A.","1047","Medicine","2387425","Review","5001564","final","4975561","International Journal Of Molecular Sciences","27273","Review","2746222","Harvard Medical School","48020","National Institutes of Health","193290","United States","1467991","Journal","4808280","English","4258379"
"Gold","724046","2025","117736","Lip, G.Y.H.","802","Biochemistry, Genetics and Molecular Biology","796331",,,"aip","26003","Nippon Rinsho Japanese Journal Of Clinical Medicine","22075","Human","2587505","Ministry of Education of the People's Republic of China","36987","National Natural Science Foundation of China","176607","United Kingdom","468238","Trade Journal","101788","German","145452"
"Hybrid Gold","215222","2024","253432","Shoenfeld, Y.","635","Social Sciences","548775",,,,,"Cochrane Database Of Systematic Reviews","12457","Humans","1735315","University of Toronto","36862","U.S. Department of Health and Human Services","143470","China","439292","Book Series","84248","French","115250"
"Bronze","355369","2023","239550","Kaye, A.D.","540","Arts and Humanities","433076",,,,,"Frontiers In Immunology","11514","Priority Journal","798336","Chinese Academy of Sciences","35671","Ministry of Science and Technology of the People's Republic of China","129157","Germany","305110","Conference Proceeding","3718","Chinese","106968"
"Green","1013961","2022","247698","Maffulli, N.","539","Engineering","358624",,,,,"Renewable And Sustainable Energy Reviews","11331","Nonhuman","730501","CNRS Centre National de la Recherche Scientifique","34898","European Commission","73766","Italy","232763","Book","292","Japanese","86307"
,,"2021","266721","Ramakrishna, S.","521","Pharmacology, Toxicology and Pharmaceutics","313073",,,,,"Cancers","10842","Animals","505601","Inserm","29807","National Science Foundation","45957","Canada","204795","Report","6","Spanish","84416"
,,"2020","231538","Gasbarrini, A.","481","Chemistry","306922",,,,,"Journal Of Clinical Medicine","9208","Female","466191","University College London","24687","UK Research and Innovation","45762","France","201045","Undefined","3232","Russian","63265"
,,"2019","195503","Frishman, W.H.","478","Agricultural and Biological Sciences","270720",,,,,"Science","9167","Animal","413184","University of Oxford","24076","National Cancer Institute","43450","Australia","181152",,,"Italian","44049"
,,"2018","189108","Lippi, G.","476","Materials Science","239377",,,,,"Molecules","8873","Male","358918","University of California, San Francisco","23130","National Key Research and Development Program of China","35947","India","177977",,,"Polish","31766"
,,"2017","183226","Ernst, E.","457","Immunology and Microbiology","219974",,,,,"Aircraft Engineering And Aerospace Technology","8585","Metabolism","340498","Massachusetts General Hospital","22692","Japan Society for the Promotion of Science","29754","Japan","155185",,,"Portuguese","23156"
