Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 842359

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","229214","2026","3","Azizi, F.","1437","Medicine","202800","Article","842359","final","836071","Scientific Reports","6655","Article","235281","University of Tehran","69585","Iran National Science Foundation","16709","Iran","842359","Journal","840252","English","808266"
"Gold","142185","2025","27004","Mirabito, L.","1346","Engineering","184857",,,"aip","6288","Advances In Environmental Biology","3287","Human","179947","Islamic Azad University","63364","Tehran University of Medical Sciences and Health Services","9794","United States","44461","Book Series","1048","Persian","33427"
"Hybrid Gold","22882","2024","62983","Litov, L.","1345","Chemistry","119737",,,,,"Journal Of Mazandaran University Of Medical Sciences","3237","Controlled Study","127150","Tehran University of Medical Sciences","61904","Islamic Azad University","9746","Canada","23182","Trade Journal","553","Arabic","1902"
"Bronze","34425","2023","62368","Lanaro, A.","1342","Materials Science","113836",,,,,"Scientia Iranica","3200","Female","120155","Shahid Beheshti University of Medical Sciences","40590","Shahid Beheshti University of Medical Sciences","7170","United Kingdom","21181","Conference Proceeding","346","French","1017"
"Green","118197","2022","66807","Pavlov, B.","1342","Physics and Astronomy","109156",,,,,"Journal Of Isfahan Medical School","3136","Male","119024","Tarbiat Modares University","38252","University of Tehran","6742","China","17946","Book","32","Spanish","510"
,,"2021","66905","Piccolo, D.","1342","Biochemistry, Genetics and Molecular Biology","84831",,,,,"Journal Of Molecular Liquids","3100","Adult","101122","Amirkabir University of Technology","31609","Mashhad University of Medical Sciences","5876","Australia","17652","Undefined","128","German","278"
,,"2020","63912","Dimitrov, A.","1341","Agricultural and Biological Sciences","83555",,,,,"Rsc Advances","2467","Humans","96916","Sharif University of Technology","28897","Shiraz University of Medical Sciences","5585","Germany","17210",,,"Portuguese","256"
,,"2019","58561","Iaydjiev, P.","1341","Mathematics","74223",,,,,"International Journal Of Biological Macromolecules","2423","Iran","93167","Iran University of Science and Technology","26741","Tarbiat Modares University","5454","Italy","14746",,,"Turkish","218"
,,"2018","51731","Iaselli, G.","1339","Environmental Science","69349",,,,,"Journal Of The Iranian Chemical Society","2166","Nonhuman","62364","Islamic Azad University, Science and Research Branch","26437","Tabriz University of Medical Sciences","5201","Turkey","13464",,,"Russian","170"
,,"2017","48422","Riccardi, C.","1339","Chemical Engineering","68007",,,,,"Acta Medica Iranica","2125","Major Clinical Study","58327","Shiraz University","25999","UK Research and Innovation","4911","Malaysia","11973",,,"Polish","167"
,,"2016","46167","Pugliese, G.","1338","Computer Science","65669",,,,,"Plos One","2101","Priority Journal","43055","Ferdowsi University of Mashhad","25279","Ferdowsi University of Mashhad","4633","India","10934",,,"Croatian","146"
,,"2015","40651","Abbrescia, M.","1336","Energy","40248",,,,,"Archives Of Iranian Medicine","2086","Middle Aged","38507","Iran University of Medical Sciences","24370","European Commission","4619","France","10023",,,"Italian","138"
,,"2014","39314","Buontempo, S.","1332","Pharmacology, Toxicology and Pharmaceutics","39041",,,,,"Life Science Journal","1935","Unclassified Drug","35124","University of Tabriz","24246","National Natural Science Foundation of China","4450","Spain","9937",,,"Chinese","94"
,,"2013","36430","Cussans, D.","1331","Social Sciences","38676",,,,,"Heliyon","1919","Animals","32423","Isfahan University of Technology","22465","Iran University of Medical Sciences","4269","South Korea","7939",,,"Bosnian","57"
,,"2012","33818","Iles, G.","1329","Earth and Planetary Sciences","38410",,,,,"Tehran University Medical Journal","1913","Clinical Article","31153","Isfahan University of Medical Sciences","22296","Isfahan University of Medical Sciences","4037","Netherlands","6618",,,"Urdu","38"
