Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran))"


Number of results : 1016460

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","267909","2026","3","Sahebkar, A.","2162","Medicine","247608","Article","842359","final","1009262","Scientific Reports","6909","Article","236344","University of Tehran","86946","Iran National Science Foundation","17830","Iran","1016460","Journal","921390","English","980548"
"Gold","164677","2025","32144","Larijani, B.","1744","Engineering","242712","Conference Paper","80224","aip","7198","Journal Of Mazandaran University Of Medical Sciences","3533","Human","224470","Tehran University of Medical Sciences","78096","Tehran University of Medical Sciences and Health Services","10747","United States","59643","Conference Proceeding","70090","Persian","35180"
"Hybrid Gold","26582","2024","77210","Azizi, F.","1588","Chemistry","128381","Review","52016",,,"Journal Of Isfahan Medical School","3323","Controlled Study","130666","Islamic Azad University","74030","Islamic Azad University","10112","Canada","30412","Book","13458","Arabic","1977"
"Bronze","41226","2023","75282","Rezaei, N.","1557","Materials Science","127107","Book Chapter","15199",,,"Advances In Environmental Biology","3303","Female","129337","Shahid Beheshti University of Medical Sciences","51295","Shahid Beheshti University of Medical Sciences","8200","United Kingdom","27576","Book Series","10764","French","1135"
"Green","138905","2022","79821","Litov, L.","1405","Physics and Astronomy","122433","Letter","11331",,,"Journal Of Molecular Liquids","3252","Male","126482","Tarbiat Modares University","45080","University of Tehran","7134","Australia","22423","Trade Journal","618","Spanish","580"
,,"2021","79413","Mirabito, L.","1405","Computer Science","106443","Erratum","5462",,,"Scientia Iranica","3244","Humans","124909","Amirkabir University of Technology","42236","Mashhad University of Medical Sciences","6811","China","21721","Undefined","140","German","310"
,,"2020","75282","Pavlov, B.","1401","Biochemistry, Genetics and Molecular Biology","102473","Editorial","3264",,,"International Journal Of Biological Macromolecules","2790","Adult","107407","Sharif University of Technology","39657","Tabriz University of Medical Sciences","6555","Germany","21237",,,"Portuguese","285"
,,"2019","68293","Piccolo, D.","1401","Agricultural and Biological Sciences","92359","Note","3161",,,"Rsc Advances","2734","Iran","99475","Iran University of Science and Technology","34083","Shiraz University of Medical Sciences","6029","Italy","19047",,,"Turkish","244"
,,"2018","60364","Dimitrov, A.","1400","Mathematics","90390","Retracted","1236",,,"Iranian Journal Of Public Health","2687","Nonhuman","76871","Iran University of Medical Sciences","30899","Tarbiat Modares University","5721","Turkey","16096",,,"Russian","179"
,,"2017","57601","Iaydjiev, P.","1400","Environmental Science","77700","Book","1035",,,"Archives Of Iranian Medicine","2511","Major Clinical Study","59904","Islamic Azad University, Science and Research Branch","30590","UK Research and Innovation","5697","Malaysia","14883",,,"Polish","178"
