Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 52016

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","19654","2025","3480","Sahebkar, A.","1041","Medicine","24269","Review","52016","final","51353","Journal Of Cellular Physiology","482","Human","31029","Tehran University of Medical Sciences","9515","Tabriz University of Medical Sciences","1288","Iran","52016","Journal","51905","English","50481"
"Gold","13217","2024","7170","Rezaei, N.","432","Biochemistry, Genetics and Molecular Biology","12268",,,"aip","663","Biomedicine And Pharmacotherapy","469","Review","30788","Shahid Beheshti University of Medical Sciences","7083","Shahid Beheshti University of Medical Sciences","957","United States","6782","Book Series","65","Persian","1467"
"Hybrid Gold","2119","2023","6261","Ghafouri-Fard, S.","346","Pharmacology, Toxicology and Pharmaceutics","7458",,,,,"Renewable And Sustainable Energy Reviews","448","Humans","19945","Tabriz University of Medical Sciences","4812","Mashhad University of Medical Sciences","819","United Kingdom","2796","Trade Journal","33","Arabic","70"
"Bronze","1824","2022","6534","Larijani, B.","341","Chemistry","5187",,,,,"Phytotherapy Research","350","Nonhuman","12298","Mashhad University of Medical Sciences","4457","Tehran University of Medical Sciences and Health Services","767","Canada","2427","Conference Proceeding","3","French","45"
"Green","12192","2021","6079","Taheri, M.","296","Engineering","4619",,,,,"Iranian Journal Of Public Health","331","Systematic Review","10026","Iran University of Medical Sciences","4241","Iran National Science Foundation","679","Australia","2317","Book","2","Spanish","30"
,,"2020","4930","Baradaran, B.","279","Agricultural and Biological Sciences","4013",,,,,"International Journal Of Biological Macromolecules","319","Animals","6192","University of Tehran","3124","UK Research and Innovation","598","China","2173","Undefined","8","German","14"
,,"2019","3587","Jafari, S.M.","279","Immunology and Microbiology","3889",,,,,"Life Sciences","285","Meta Analysis","5969","Shiraz University of Medical Sciences","3123","National Institutes of Health","539","Italy","2168",,,"Portuguese","7"
,,"2018","2791","Abdollahi, M.","260","Materials Science","3638",,,,,"Pathology Research And Practice","268","Animal","5910","Isfahan University of Medical Sciences","3087","Iran University of Medical Sciences","511","India","2136",,,"Turkish","6"
,,"2017","2413","Mirzaei, H.","241","Chemical Engineering","3404",,,,,"Heliyon","263","Female","5775","Islamic Azad University","2979","U.S. Department of Health and Human Services","477","Germany","1709",,,"Croatian","4"
,,"2016","1811","Hamblin, M.R.","231","Environmental Science","2832",,,,,"Critical Reviews In Food Science And Nutrition","258","Metabolism","5637","Tarbiat Modares University","2037","European Commission","412","Turkey","1406",,,"Polish","4"
,,"2015","1272","Asemi, Z.","207","Social Sciences","1901",,,,,"International Immunopharmacology","234","Priority Journal","5264","School of Medicine","2000","Kermanshah University of Medical Sciences","387","Spain","1167",,,"Urdu","4"
,,"2014","1000","Sharifi-Rad, J.","200","Neuroscience","1862",,,,,"Journal Of Mazandaran University Of Medical Sciences","228","Unclassified Drug","4282","Kermanshah University of Medical Sciences","1777","Shiraz University of Medical Sciences","376","Iraq","1061",,,"Italian","3"
,,"2013","849","Zarrabi, A.","192","Nursing","1835",,,,,"Trac Trends In Analytical Chemistry","222","Male","4234","SBUMS School of Medicine","1702","National Natural Science Foundation of China","355","Poland","1059",,,"Japanese","2"
,,"2012","968","Jamialahmadi, T.","188","Energy","1795",,,,,"Current Pharmaceutical Design","207","Procedures","3924","Mazandaran University of Medical Sciences","1456","Isfahan University of Medical Sciences","345","Malaysia","1053",,,"Russian","2"
,,"2011","805","Rahdar, A.","188","Physics and Astronomy","1793",,,,,"Cancer Cell International","202","Genetics","3814","School of Medicine IUMS","1408","Ministry of Science and Technology of the People's Republic of China","338","France","853",,,"Slovenian","2"
,,"2010","412","Avan, A.","187","Computer Science","1648",,,,,"Molecular Biology Reports","201","Adult","3774","Ahvaz Jundishapur University of Medical Sciences","1405","National Institute for Medical Research Development","268","Russian Federation","767",,,"Chinese","1"
,,"2009","341","Nabavi, S.M.","173","Health Professions","1158",,,,,"Rsc Advances","197","Signal Transduction","3389","Kerman University of Medical Sciences","1357","Mazandaran University of Medical Sciences","231","South Korea","766",,,"Lithuanian","1"
,,"2008","287","Ferns, G.A.","170","Dentistry","774",,,,,"Current Medicinal Chemistry","193","Iran","3228","Mashhad University of Medical Sciences, School of Medicine","1306","University of Tehran","230","Pakistan","764",,,"Pushto","1"
,,"2007","244","Samarghandian, S.","170","Earth and Planetary Sciences","725",,,,,"Archives Of Iranian Medicine","192","Meta-analysis","3080","Baqiyatallah University of Medical Sciences","1242","Islamic Azad University","218","Saudi Arabia","764",,,,
,,"2006","226","Yousefi, M.","162","Mathematics","643",,,,,"Iranian Journal Of Obstetrics Gynecology And Infertility","184","Chemistry","3010","University of Tabriz","1091","Kerman University of Medical Sciences","210","Brazil","746",,,,
,,"2005","215","Ashrafizadeh, M.","156","Arts and Humanities","609",,,,,"Journal Of Diabetes And Metabolic Disorders","184","Pathology","2876","Iranian Academic Center for Education, Culture and Research","1087","National Research Foundation of Korea","207","Sweden","736",,,,
,,"2004","89","Yousefi, B.","156","Psychology","584",,,,,"Journal Of Research In Medical Sciences","184","Inflammation","2846","Faculty of Medicine","1075","Tarbiat Modares University","207","Netherlands","731",,,,
,,"2003","76","Hussen, B.M.","151","Veterinary","487",,,,,"Pharmacological Research","181","Risk Factor","2785","Islamic Azad University, Science and Research Branch","1065","Government of Canada","199","Switzerland","581",,,,
,,"2002","43","Kesharwani, P.","143","Multidisciplinary","463",,,,,"Trends In Food Science And Technology","181","Apoptosis","2776","Kashan University of Medical Sciences","1007","Hamadan University of Medical Sciences","191","Japan","549",,,,
,,"2001","15","Varma, R.S.","143","Business, Management and Accounting","405",,,,,"International Journal Of Preventive Medicine","178","Drug Effect","2732","Hamadan University of Medical Sciences","1001","Fundação para a Ciência e a Tecnologia","177","South Africa","549",,,,
,,"2000","18","Hosseinzadeh, H.","141","Decision Sciences","178",,,,,"Journal Of Isfahan Medical School","168","Prevalence","2707","Shahid Sadoughi University of Medical Sciences","995","Horizon 2020 Framework Programme","177","Portugal","482",,,,
,,"1999","8","Banach, M.","137","Economics, Econometrics and Finance","174",,,,,"Journal Of Drug Delivery Science And Technology","167","Oxidative Stress","2550","School of Pharmacy","971","Ahvaz Jundishapur University of Medical Sciences","162","Egypt","470",,,,
,,"1998","16","Hassanian, S.M.","137",,,,,,,"Environmental Science And Pollution Research","158","COVID-19","2389","Amirkabir University of Technology","958","Ministério da Educação e Ciência","156","Czech Republic","466",,,,
,,"1997","15","Farkhondeh, T.","135",,,,,,,"Journal Of Education And Health Promotion","158","Neoplasms","2374","Endocrinology and Metabolism Research Institute TUMS","896","Natural Sciences and Engineering Research Council of Canada","143","Denmark","461",,,,
,,"1996","9","Iravani, S.","132",,,,,,,"Tehran University Medical Journal","154","Neoplasm","2361","School of Medicine","853","Iran's National Elites Foundation","138","Austria","454",,,,
,,"1995","2","Asbaghi, O.","128",,,,,,,"Advances In Colloid And Interface Science","149","MicroRNA","2336","School of Public Health","851","Ferdowsi University of Mashhad","134","Belgium","442",,,,
,,"1994","1","Hushmandi, K.","128",,,,,,,"Frontiers In Immunology","144","Randomized Controlled Trial (topic)","2328","School of Medicine, Isfahan UMS","849","Ministry of Higher Education, Malaysia","118","Singapore","389",,,,
,,"1993","5","Rabiee, N.","127",,,,,,,"International Journal Of Molecular Sciences","137","Coronavirus Disease 2019","2148","Urmia University of Medical Sciences","820","European Regional Development Fund","113","United Arab Emirates","383",,,,
,,"1992","4","Farzaei, M.H.","126",,,,,,,"Microbial Pathogenesis","127","Drug Delivery System","2067","Ferdowsi University of Mashhad","802","Deutsche Forschungsgemeinschaft","112","Norway","381",,,,
,,"1991","3","Khazaei, M.","125",,,,,,,"Complementary Therapies In Medicine","126","Cell Proliferation","2039","Babol University of Medical Sciences","777","Ministry of Education, Culture, Sports, Science and Technology","108","Greece","345",,,,
,,"1990","1","Alavian, S.M.","124",,,,,,,"Coordination Chemistry Reviews","125","Medline","2004","Pasteur Institute of Iran","754","Biotechnology Research Center, Tabriz University of Medical Sciences","106","Chile","341",,,,
,,"1989","1","Ramakrishna, S.","123",,,,,,,"European Journal Of Pharmacology","124","Drug Efficacy","1993","Iran University of Science and Technology","748","Ministerio de Economía y Competitividad","103","Taiwan","337",,,,
