Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Cancer Vaccin*"") AND DOCTYPE(ar))"


Number of results : 15082

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","7494","2025","331","Schlom, J.","133","Medicine","10282","Article","15082","final","15058","Cancer Immunology Immunotherapy","674","Article","13216","National Cancer Institute NCI","481","National Cancer Institute","2428","United States","6132","Journal","14891","English","14316"
"Gold","2633","2024","716","Itoh, K.","130","Biochemistry, Genetics and Molecular Biology","7963",,,"aip","24","Clinical Cancer Research","476","Cancer Vaccine","11247","National Institutes of Health NIH","390","National Institutes of Health","2241","China","2647","Book Series","158","Chinese","372"
"Hybrid Gold","851","2023","551","Old, L.J.","95","Immunology and Microbiology","4330",,,,,"Cancer Research","446","Human","10094","Memorial Sloan-Kettering Cancer Center","356","U.S. Department of Health and Human Services","1847","Germany","1237","Trade Journal","19","Japanese","121"
"Bronze","2077","2022","556","Yamada, A.","90","Pharmacology, Toxicology and Pharmaceutics","2365",,,,,"Vaccine","384","Cancer Vaccines","9491","The University of Texas MD Anderson Cancer Center","308","National Natural Science Foundation of China","1236","Japan","1231","Book","1","German","86"
"Green","5770","2021","611","Jaffee, E.M.","82","Materials Science","834",,,,,"Journal Of Immunotherapy","322","Humans","8405","Ministry of Education of the People's Republic of China","259","Ministry of Science and Technology of the People's Republic of China","966","Italy","734","Conference Proceeding","1","French","69"
,,"2020","623","Wu, T.C.","75","Engineering","787",,,,,"Journal Of Immunology","293","Controlled Study","8056","Harvard Medical School","254","Japan Society for the Promotion of Science","426","United Kingdom","718","Undefined","12","Russian","49"
,,"2019","596","Hung, C.F.","67","Chemical Engineering","719",,,,,"International Journal Of Cancer","279","Nonhuman","7420","Inserm","234","Ministry of Education, Culture, Sports, Science and Technology","410","France","605",,,"Spanish","36"
,,"2018","557","Hodge, J.W.","65","Chemistry","688",,,,,"Oncoimmunology","233","Priority Journal","7132","Johns Hopkins University School of Medicine","232","European Commission","325","Netherlands","495",,,"Czech","12"
,,"2017","546","Peoples, G.E.","65","Multidisciplinary","546",,,,,"Frontiers In Immunology","202","Female","6856","Dana-Farber Cancer Institute","223","National Key Research and Development Program of China","272","Canada","457",,,"Polish","10"
,,"2016","577","Rosenberg, S.A.","64","Veterinary","456",,,,,"Journal For Immunotherapy Of Cancer","189","Animals","6661","Chinese Academy of Sciences","200","National Institute of Allergy and Infectious Diseases","234","Switzerland","416",,,"Hungarian","7"
,,"2015","687","Sugiyama, H.","62","Physics and Astronomy","326",,,,,"Plos One","179","Mouse","6638","University of Pittsburgh School of Medicine","199","National Research Foundation of Korea","157","South Korea","399",,,"Italian","7"
,,"2014","652","Gnjatic, S.","61","Agricultural and Biological Sciences","184",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","148","Mice","5501","UPMC Hillman Cancer Center","189","Deutsche Forschungsgemeinschaft","152","Australia","395",,,"Swedish","6"
,,"2013","625","Ragupathi, G.","59","Neuroscience","152",,,,,"Journal Of Controlled Release","141","Animal Experiment","5354","University of Pennsylvania","168","U.S. Department of Defense","148","Belgium","310",,,"Danish","4"
,,"2012","627","Slingluff, C.L.","59","Computer Science","132",,,,,"Cancer Immunology Research","137","Immunology","5132","German Cancer Research Center","165","Ministry of Education of the People's Republic of China","138","Spain","244",,,"Dutch","4"
,,"2011","602","Disis, M.L.","58","Mathematics","102",,,,,"Journal Of Translational Medicine","136","Unclassified Drug","4998","Leids Universitair Medisch Centrum","160","Fundamental Research Funds for the Central Universities","125","Iran","240",,,"Ukrainian","4"
,,"2010","598","Livingston, P.O.","58","Environmental Science","70",,,,,"Cancer Gene Therapy","132","Immunotherapy","4954","Johns Hopkins University","159","Horizon 2020 Framework Programme","119","Sweden","226",,,"Bulgarian","3"
,,"2009","552","Romero, P.","58","Nursing","48",,,,,"Human Vaccines And Immunotherapeutics","121","Cancer Immunotherapy","4786","University of Pittsburgh","149","National Science Foundation","111","Taiwan","220",,,"Portuguese","3"
,,"2008","544","Noguchi, M.","57","Arts and Humanities","38",,,,,"Biomaterials","116","Animal Model","4710","Duke University Medical Center","145","China Postdoctoral Science Foundation","107","Denmark","199",,,"Turkish","3"
,,"2007","564","Ritter, G.","56","Social Sciences","38",,,,,"Gene Therapy","115","Animal Cell","4458","Sichuan University","143","National Institute of General Medical Sciences","97","India","199",,,"Korean","2"
,,"2006","587","Restifo, N.P.","55","Health Professions","30",,,,,"Oncotarget","115","Animal","4111","Ludwig Institute for Cancer Research","142","European Research Council","94","Austria","174",,,"Greek","1"
,,"2005","482","Svane, I.M.","55","Business, Management and Accounting","25",,,,,"International Journal Of Oncology","114","Immune Response","4074","The Sidney Kimmel Comprehensive Cancer Center","136","American Cancer Society","91","Cuba","135",,,"Moldavian","1"
,,"2004","496","Melief, C.J.M.","53","Dentistry","17",,,,,"Cancer Science","112","Dendritic Cell","3841","Charité – Universitätsmedizin Berlin","134","Ministry of Finance","91","Israel","133",,,"Moldovan","1"
,,"2003","373","Andersen, M.H.","50","Economics, Econometrics and Finance","16",,,,,"European Journal Of Immunology","105","Male","3734","Kurume University School of Medicine","132","Seventh Framework Programme","90","Poland","127",,,"Norwegian","1"
,,"2002","378","Morse, M.A.","48","Energy","7",,,,,"Journal Of Clinical Oncology","102","Vaccination","3469","University of California, Los Angeles","132","UK Research and Innovation","78","Russian Federation","107",,,"Persian","1"
,,"2001","363","Butterfield, L.H.","47","Psychology","6",,,,,"ACS Nano","99","CD8+ T Lymphocyte","3457","University of Washington","129","Chinese Academy of Sciences","73","Norway","103",,,"Romanian","1"
,,"2000","300","Figdor, C.G.","45","Decision Sciences","3",,,,,"Anticancer Research","97","Tumor Antigen","3377","Weill Cornell Medicine","128","Guangdong Provincial Department of Science and Technology","73","Czech Republic","99",,,,
,,"1999","262","Matsueda, S.","45","Undefined","3",,,,,"Human Gene Therapy","94","Human Cell","3264","Moffitt Cancer Center","127","Natural Science Foundation of Jiangsu Province","73","Brazil","92",,,,
,,"1998","158","Okada, H.","45",,,,,,,"International Immunopharmacology","94","Dendritic Cells","3214","Roswell Park Cancer Institute","126","Associazione Italiana per la Ricerca sul Cancro","72","Argentina","87",,,,
,,"1997","141","Sasada, T.","45",,,,,,,"Oncology Reports","89","Cancer Immunization","3199","Johannes Gutenberg-Universität Mainz","125","Cancer Research Institute","70","Singapore","87",,,,
,,"1996","102","Tartour, E.","45",,,,,,,"Molecular Therapy","88","Gamma Interferon","3046","Brigham and Women's Hospital","124","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","70","New Zealand","69",,,,
,,"1995","98","Tsang, K.Y.","45",,,,,,,"Cancers","86","Antineoplastic Activity","2775","Karolinska Institutet","121","Japan Agency for Medical Research and Development","68","Greece","64",,,,
,,"1994","45","Celis, E.","44",,,,,,,"Scientific Reports","82","Cytotoxic T Lymphocyte","2706","Université de Lausanne UNIL","117","Government of Canada","67","Hong Kong","64",,,,
,,"1993","57","Shichijo, S.","44",,,,,,,"Blood","76","Antigens, Neoplasm","2696","Mayo Clinic","116","Jiangsu Provincial Department of Science and Technology","67","Finland","56",,,,
,,"1992","10","Morton, D.L.","43",,,,,,,"British Journal Of Cancer","71","Mice, Inbred C57BL","2691","Ludwig Institute for Cancer Research Lausanne","116","National Center for Advancing Translational Sciences","64","Mexico","56",,,,
