Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Cancer Vaccin*""))"


Number of results : 28218

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","12953","2025","609","Schlom, J.","182","Medicine","19460","Article","15082","final","28160","Cancer Immunology Immunotherapy","918","Cancer Vaccine","22258","National Cancer Institute NCI","854","National Cancer Institute","3626","United States","11553","Journal","27088","English","26791"
"Gold","4916","2024","1425","Itoh, K.","158","Biochemistry, Genetics and Molecular Biology","13875","Review","9165","aip","58","Clinical Cancer Research","564","Human","21690","National Institutes of Health NIH","683","National Institutes of Health","3443","China","3954","Book Series","551","Chinese","463"
"Hybrid Gold","1436","2023","1273","Jaffee, E.M.","119","Immunology and Microbiology","7333","Conference Paper","899",,,"Frontiers In Immunology","509","Humans","16888","The University of Texas MD Anderson Cancer Center","601","U.S. Department of Health and Human Services","2710","Germany","2080","Book","462","Japanese","277"
"Bronze","3542","2022","1280","Old, L.J.","110","Pharmacology, Toxicology and Pharmaceutics","5352","Note","868",,,"Cancer Research","485","Cancer Vaccines","15073","Memorial Sloan-Kettering Cancer Center","578","National Natural Science Foundation of China","1838","Japan","1680","Trade Journal","51","German","248"
"Green","9635","2021","1364","Disis, M.L.","103","Engineering","1214","Editorial","813",,,"Vaccine","467","Article","13445","Harvard Medical School","497","Ministry of Science and Technology of the People's Republic of China","1427","United Kingdom","1592","Conference Proceeding","49","French","197"
,,"2020","1214","Yamada, A.","101","Chemical Engineering","1199","Book Chapter","645",,,"Journal Of Immunotherapy","345","Nonhuman","13184","Johns Hopkins University School of Medicine","400","European Commission","529","Italy","1552","Undefined","17","Spanish","82"
,,"2019","1086","Peoples, G.E.","96","Materials Science","1102","Short Survey","441",,,"Cancers","338","Priority Journal","11626","Dana-Farber Cancer Institute","391","Japan Society for the Promotion of Science","518","France","1060",,,"Russian","75"
,,"2018","1055","Wu, T.C.","96","Chemistry","1077","Letter","222",,,"Journal Of Immunology","305","Cancer Immunotherapy","11209","Inserm","366","Ministry of Education, Culture, Sports, Science and Technology","483","Netherlands","816",,,"Czech","30"
,,"2017","1039","Hodge, J.W.","95","Multidisciplinary","678","Erratum","36",,,"International Journal Of Cancer","304","Immunotherapy","10906","Ministry of Education of the People's Republic of China","364","National Key Research and Development Program of China","373","Canada","807",,,"Polish","26"
,,"2016","1081","Sugiyama, H.","91","Veterinary","587","Book","34",,,"Expert Review Of Vaccines","281","Animals","10136","University of Pittsburgh School of Medicine","332","National Institute of Allergy and Infectious Diseases","360","Australia","756",,,"Dutch","16"
,,"2015","1139","Rosenberg, S.A.","89","Physics and Astronomy","404","Retracted","8",,,"Human Vaccines And Immunotherapeutics","278","Review","9015","UPMC Hillman Cancer Center","328","U.S. Department of Defense","251","Switzerland","702",,,"Italian","15"
,,"2014","1057","Morse, M.A.","88","Computer Science","338","Conference Review","5",,,"Oncoimmunology","264","Unclassified Drug","8866","University of Pennsylvania","302","Deutsche Forschungsgemeinschaft","247","India","641",,,"Danish","12"
,,"2013","1038","Parmiani, G.","86","Neuroscience","328",,,,,"Immunotherapy","255","Controlled Study","8469","The Sidney Kimmel Comprehensive Cancer Center","284","National Research Foundation of Korea","217","Belgium","540",,,"Hungarian","11"
,,"2012","1126","Melief, C.J.M.","85","Agricultural and Biological Sciences","291",,,,,"Journal For Immunotherapy Of Cancer","233","Immunology","8400","Duke University Medical Center","272","Horizon 2020 Framework Programme","194","South Korea","537",,,"Swedish","9"
,,"2011","1067","Madan, R.A.","83","Mathematics","127",,,,,"Expert Opinion On Biological Therapy","215","Female","8025","Chinese Academy of Sciences","271","Ministry of Education of the People's Republic of China","182","Spain","535",,,"Bulgarian","5"
