Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Cancer Vaccin*"") AND DOCTYPE(re))"


Number of results : 9165

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","4193","2025","229","Madan, R.A.","36","Medicine","6448","Review","9165","final","9144","Frontiers In Immunology","262","Human","8569","National Cancer Institute NCI","259","National Institutes of Health","1033","United States","3884","Journal","9060","English","8704"
"Gold","2041","2024","522","Disis, M.L.","33","Biochemistry, Genetics and Molecular Biology","4213",,,"aip","21","Cancers","245","Review","8555","National Institutes of Health NIH","216","National Cancer Institute","993","China","1168","Book Series","96","Japanese","120"
"Hybrid Gold","450","2023","576","Gulley, J.L.","33","Pharmacology, Toxicology and Pharmaceutics","2238",,,,,"Expert Review Of Vaccines","225","Cancer Vaccine","7910","The University of Texas MD Anderson Cancer Center","204","U.S. Department of Health and Human Services","742","Italy","629","Trade Journal","7","German","94"
"Bronze","799","2022","583","Zitvogel, L.","31","Immunology and Microbiology","2077",,,,,"Expert Opinion On Biological Therapy","178","Humans","6506","Harvard Medical School","183","National Natural Science Foundation of China","569","Germany","576","Undefined","2","Chinese","84"
"Green","3244","2021","638","Schlom, J.","30","Chemical Engineering","356",,,,,"Immunotherapy","160","Cancer Immunotherapy","4987","Memorial Sloan-Kettering Cancer Center","164","Ministry of Science and Technology of the People's Republic of China","432","United Kingdom","569",,,"French","61"
,,"2020","469","Buonaguro, L.","28","Chemistry","334",,,,,"International Journal Of Molecular Sciences","142","Immunotherapy","4799","Johns Hopkins University School of Medicine","131","European Commission","176","France","320",,,"Spanish","31"
,,"2019","363","Morse, M.A.","28","Engineering","254",,,,,"Cancer Immunology Immunotherapy","119","Nonhuman","4607","Dana-Farber Cancer Institute","122","National Institute of Allergy and Infectious Diseases","100","Japan","318",,,"Russian","24"
,,"2018","367","Parmiani, G.","28","Materials Science","215",,,,,"Expert Review Of Anticancer Therapy","117","Cancer Vaccines","4170","The Sidney Kimmel Comprehensive Cancer Center","115","National Key Research and Development Program of China","97","India","295",,,"Czech","16"
,,"2017","345","Marincola, F.M.","27","Computer Science","157",,,,,"Frontiers In Oncology","109","Unclassified Drug","3009","Inserm","100","U.S. Department of Defense","84","Australia","263",,,"Polish","15"
,,"2016","344","Emens, L.A.","26","Neuroscience","129",,,,,"Vaccines","108","Priority Journal","2979","Ministry of Education of the People's Republic of China","98","Bristol-Myers Squibb","82","Canada","261",,,"Italian","5"
,,"2015","309","Jaffee, E.M.","26","Veterinary","74",,,,,"Advanced Drug Delivery Reviews","75","Neoplasms","2922","UPMC Hillman Cancer Center","97","Deutsche Forschungsgemeinschaft","80","Iran","238",,,"Danish","4"
,,"2014","296","Drake, C.G.","24","Environmental Science","49",,,,,"Current Opinion In Molecular Therapeutics","74","Animals","2819","Sichuan University","96","Japan Society for the Promotion of Science","74","Netherlands","228",,,"Dutch","4"
,,"2013","267","Kaufman, H.L.","24","Physics and Astronomy","43",,,,,"Critical Reviews In Oncology Hematology","69","Immune Response","2645","Duke University Medical Center","94","Associazione Italiana per la Ricerca sul Cancro","66","Spain","221",,,"Greek","4"
,,"2012","312","Finn, O.J.","23","Agricultural and Biological Sciences","38",,,,,"Human Vaccines And Immunotherapeutics","69","Immunology","2554","University of Pennsylvania","90","Horizon 2020 Framework Programme","66","Switzerland","216",,,"Persian","4"
,,"2011","316","Hodge, J.W.","23","Multidisciplinary","34",,,,,"Current Opinion In Immunology","67","Tumor Antigen","2252","University of Pittsburgh School of Medicine","86","Ministry of Education, Culture, Sports, Science and Technology","61","Belgium","178",,,"Finnish","3"
,,"2010","334","Melief, C.J.M.","23","Nursing","31",,,,,"Current Oncology Reports","65","Dendritic Cell","1977","West China School of Medicine/West China Hospital of Sichuan University","83","UK Research and Innovation","58","South Korea","121",,,"Norwegian","3"
,,"2009","290","Arlen, P.M.","22","Social Sciences","14",,,,,"Cancer Letters","62","Tumor Microenvironment","1970","Johns Hopkins University","79","National Research Foundation of Korea","57","Poland","105",,,"Bulgarian","2"
,,"2008","309","Itoh, K.","22","Health Professions","13",,,,,"Clinical Cancer Research","61","Melanoma","1895","German Cancer Research Center","78","Merck","56","Greece","101",,,"Hebrew","2"
,,"2007","301","Breckpot, K.","21","Dentistry","12",,,,,"Current Opinion In Oncology","58","Neoplasm","1879","Moffitt Cancer Center","76","European Regional Development Fund","52","Austria","87",,,"Hungarian","2"
,,"2006","322","Peoples, G.E.","21","Arts and Humanities","6",,,,,"Pharmaceutics","58","Cancer Immunization","1875","Institut de Cancerologie Gustave Roussy","70","Pfizer","51","Sweden","82",,,"Portuguese","1"
,,"2005","348","Sampson, J.H.","21","Energy","4",,,,,"Expert Opinion On Investigational Drugs","53","Clinical Trial","1811","University of Washington","69","Roche","51","Russian Federation","72",,,"Serbian","1"
,,"2004","268","Andersen, M.H.","20","Mathematics","4",,,,,"Cancer Treatment Reviews","52","Drug Efficacy","1796","Brigham and Women's Hospital","69","European Research Council","48","Saudi Arabia","66",,,"Slovak","1"
,,"2003","256","Butterfield, L.H.","20","Earth and Planetary Sciences","3",,,,,"Future Oncology","50","Antineoplastic Agent","1786","Weill Cornell Medicine","67","China Postdoctoral Science Foundation","47","Israel","63",,,"Slovenian","1"
,,"2002","232","Curigliano, G.","20","Economics, Econometrics and Finance","2",,,,,"Current Pharmaceutical Design","46","T Lymphocyte","1745","University of Pittsburgh","67","Fundamental Research Funds for the Central Universities","47","Denmark","59",,,"Swedish","1"
,,"2001","133","Kast, W.M.","20","Psychology","2",,,,,"Surgical Oncology Clinics Of North America","46","Animal","1713","University of California, Los Angeles","64","Government of Canada","45","Brazil","58",,,"Turkish","1"
,,"2000","122","Lyerly, H.K.","20","Business, Management and Accounting","1",,,,,"Nature Reviews Cancer","44","Procedures","1564","Massachusetts General Hospital","63","National Institute of General Medical Sciences","45","Taiwan","57",,,,
,,"1999","93","Mocellin, S.","19","Undefined","2",,,,,"Seminars In Immunology","44","Antineoplastic Activity","1494","Chinese Academy of Sciences","62","AstraZeneca","44","Portugal","52",,,,
,,"1998","66","Thielemans, K.","19",,,,,,,"Seminars In Oncology","44","Vaccination","1478","University of California, San Francisco","61","Medical Research Council","44","Czech Republic","50",,,,
,,"1997","52","Buonaguro, F.M.","18",,,,,,,"Biomedicine And Pharmacotherapy","42","Tumor Immunity","1425","Tehran University of Medical Sciences","61","Ministry of Education of the People's Republic of China","43","Singapore","48",,,,
,,"1996","51","Cavallo, F.","18",,,,,,,"International Immunopharmacology","42","Cancer Survival","1267","University of Pennsylvania Perelman School of Medicine","60","Cancer Research UK","41","Ireland","47",,,,
,,"1995","22","Kirkwood, J.M.","18",,,,,,,"Seminars In Cancer Biology","40","Ipilimumab","1264","Leids Universitair Medisch Centrum","57","Seventh Framework Programme","41","Egypt","42",,,,
,,"1994","11","Kroemer, G.","18",,,,,,,"Biochimica Et Biophysica Acta Reviews On Cancer","39","Antigens, Neoplasm","1248","The University of Chicago","57","Ministerio de Economía y Competitividad","40","Malaysia","38",,,,
,,"1993","9","Wu, T.C.","18",,,,,,,"Cancer Journal","39","Immunogenicity","1235","David Geffen School of Medicine at UCLA","56","National Institute of Neurological Disorders and Stroke","39","Mexico","33",,,,
,,"1992","6","Bendandi, M.","17",,,,,,,"Journal For Immunotherapy Of Cancer","39","Interleukin 2","1211","University of Texas Health Science Center at Houston","56","Instituto de Salud Carlos III","38","Cuba","30",,,,
,,"1991","1","Bhardwaj, N.","17",,,,,,,"Vaccine","39","Dendritic Cell Vaccine","1206","Università degli Studi di Torino","55","Ministero della Salute","38","Norway","30",,,,
,,"1990","1","Lim, M.","17",,,,,,,"Immunological Reviews","38","Cancer","1183","Icahn School of Medicine at Mount Sinai","54","American Cancer Society","37","Argentina","29",,,,
,,"1978","1","Melero, I.","17",,,,,,,"Hematology Oncology Clinics Of North America","36","Breast Cancer","1178","Baylor College of Medicine","53","Novartis","37","Pakistan","29",,,,
,,"1975","1","Mitchell, D.A.","17",,,,,,,"Drug Discovery Today","35","Monoclonal Antibody","1176","Tabriz University of Medical Sciences","53","National Health and Medical Research Council","36","Turkey","29",,,,
,,,,"Schirrmacher, V.","17",,,,,,,"Journal Of Clinical Oncology","35","CD8+ T Lymphocyte","1144","Roswell Park Cancer Institute","52","Cancer Research Institute","35","Finland","28",,,,
,,,,"Sugiyama, H.","17",,,,,,,"Current Treatment Options In Oncology","34","Cancer Chemotherapy","1125","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","52","Fundação para a Ciência e a Tecnologia","35","Hong Kong","26",,,,
,,,,"Coukos, G.","16",,,,,,,"Cells","32","Granulocyte Macrophage Colony Stimulating Factor","1098","Shahid Beheshti University of Medical Sciences","51","National Heart, Lung, and Blood Institute","35","Romania","26",,,,
,,,,"Gong, J.","16",,,,,,,"Current Opinion In Investigational Drugs","32","Vaccine","1095","University of California, San Diego","51","Ministry of Finance","34","Iraq","25",,,,
,,,,"Gulley, J.L.","16",,,,,,,"Molecular Cancer","32","Prostate Cancer","1083","Université Paris-Saclay","51","National Science Foundation","34","South Africa","25",,,,
,,,,"Kandalaft, L.E.","16",,,,,,,"Annals Of Oncology","31","Nivolumab","1061","Eberhard Karls Universität Tübingen","50","Ligue Contre le Cancer","32","Qatar","24",,,,
,,,,"McNeel, D.G.","16",,,,,,,"Current Cancer Drug Targets","31","Overall Survival","1060","Yale School of Medicine","50","Agence Nationale de la Recherche","31","Lebanon","19",,,,
,,,,"Slingluff, C.L.","16",,,,,,,"Current Medicinal Chemistry","31","Cellular Immunity","1048","Centre Hospitalier Universitaire Vaudois","50","Canadian Institutes of Health Research","31","Hungary","18",,,,
,,,,"Snook, A.E.","16",,,,,,,"Journal Of Hematology And Oncology","31","Pembrolizumab","1046","Mayo Clinic","49","Sichuan University","30","New Zealand","18",,,,
,,,,"Tartour, E.","16",,,,,,,"Nature Reviews Clinical Oncology","31","Cytotoxic T Lymphocyte","1042","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan","49","National Center for Advancing Translational Sciences","29","Thailand","17",,,,
,,,,"Apostolopoulos, V.","15",,,,,,,"Expert Opinion On Therapeutic Targets","30","Immune Checkpoint Inhibitor","1039","Zhejiang University School of Medicine","49","National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization","29","Jordan","15",,,,
