Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Cancer Vaccin*"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 240

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","93","2025","9","Jaafari, M.R.","32","Medicine","117","Article","240","final","239","Iranian Journal Of Immunology","13","Article","208","Tehran University of Medical Sciences","60","Mashhad University of Medical Sciences","29","Iran","240","Journal","239","English","239"
"Gold","48","2024","18","Badiee, A.","18","Biochemistry, Genetics and Molecular Biology","114",,,"aip","1","International Immunopharmacology","12","Cancer Vaccine","199","Tarbiat Modares University","45","Tehran University of Medical Sciences and Health Services","14","United States","18","Book Series","1","Persian","1"
"Hybrid Gold","11","2023","11","Nikpoor, A.R.","16","Immunology and Microbiology","95",,,,,"Plos One","7","Controlled Study","151","Pasteur Institute of Iran","44","Iran National Science Foundation","9","Canada","13",,,,
"Bronze","23","2022","15","Hadjati, J.","15","Pharmacology, Toxicology and Pharmaceutics","67",,,,,"Immunology Letters","5","Nonhuman","149","Mashhad University of Medical Sciences","40","National Institute for Medical Research Development","8","Sweden","10",,,,
"Green","64","2021","24","Hassan, Z.M.","14","Chemical Engineering","16",,,,,"Immunotherapy","5","Female","147","Shahid Beheshti University of Medical Sciences","34","Tabriz University of Medical Sciences","7","Germany","9",,,,
,,"2020","19","Ghaemi, A.","11","Chemistry","16",,,,,"Scientific Reports","5","Cancer Vaccines","145","Nanotechnology Research Center","31","Tarbiat Modares University","7","United Kingdom","9",,,,
,,"2019","28","Yazdani, M.","11","Multidisciplinary","12",,,,,"Tumor Biology","5","Mouse","138","Islamic Azad University","26","Shahid Beheshti University of Medical Sciences","6","Australia","4",,,,
,,"2018","18","Bolhassani, A.","10","Materials Science","9",,,,,"Asian Pacific Journal Of Cancer Prevention","4","Human","134","Isfahan University of Medical Sciences","24","Shiraz University of Medical Sciences","6","Finland","4",,,,
,,"2017","15","Nezafat, N.","10","Engineering","8",,,,,"Bioimpacts","4","Animals","130","School of Medicine","19","Baqiyatallah University of Medical Sciences","5","China","3",,,,
,,"2016","15","Arab, A.","9","Mathematics","7",,,,,"Computational Biology And Chemistry","4","Immunology","121","School of Advanced Technologies in Medicine","19","Isfahan University of Medical Sciences","5","France","3",,,,
,,"2015","17","Barati, N.","9","Agricultural and Biological Sciences","6",,,,,"Human Vaccines And Immunotherapeutics","4","Animal Experiment","118","Tabriz University of Medical Sciences","17","Pasteur Institute of Iran","5","Malaysia","3",,,,
,,"2014","13","Jalali, S.A.","9","Computer Science","3",,,,,"International Journal Of Peptide Research And Therapeutics","4","Humans","118","Shiraz University of Medical Sciences","16","Islamic Azad University","4","Poland","3",,,,
,,"2013","8","Soleimanjahi, H.","9","Veterinary","3",,,,,"Iranian Journal Of Allergy Asthma And Immunology","4","Animal","112","Islamic Azad University, Science and Research Branch","16","National Institute for Genetic Engineering and Biotechnology","4","Switzerland","3",,,,
,,"2012","9","Arab, S.","8","Physics and Astronomy","2",,,,,"Journal Of Controlled Release","4","Unclassified Drug","109","Immunology Research Center","16","National Institutes of Health","4","Italy","2",,,,
,,"2011","6","Gholizadeh, Z.","8","Nursing","1",,,,,"Archives Of Medical Science","3","Mice","108","School of Pharmacy","15","Sigrid Juséliuksen Säätiö","4","Netherlands","2",,,,
,,"2010","4","Kefayat, A.","8","Psychology","1",,,,,"Archives Of Virology","3","Animal Model","104","SBUMS School of Medicine","14","U.S. Department of Health and Human Services","4","Turkey","2",,,,
,,"2009","4","Kheshtchin, N.","8",,,,,,,"Cancer Immunology Immunotherapy","3","Gamma Interferon","95","Pharmaceutical Sciences Research Center SUMS","13","Academy of Finland","3","Belgium","1",,,,
,,"2008","3","Mansourian, M.","8",,,,,,,"Cancer Letters","3","Animal Cell","92","Baqiyatallah University of Medical Sciences","12","Bushehr University of Medical Sciences","3","Brazil","1",,,,
,,"2007","2","Namdar, A.","8",,,,,,,"Journal Of Biomolecular Structure And Dynamics","3","Immunotherapy","83","School of Medicine, Isfahan UMS","12","European Commission","3","Czech Republic","1",,,,
,,"2006","1","Razazan, A.","8",,,,,,,"Journal Of Immunotherapy","3","Cancer Immunotherapy","81","School of Pharmacy","12","Mazandaran University of Medical Sciences","3","Denmark","1",,,,
,,"2003","1","Ghasemi, Y.","7",,,,,,,"Molecular Immunology","3","Immune Response","79","Golestan University of Medical Sciences","11","Avicenna Research Institute","2","Georgia","1",,,,
,,,,"Gorji, A.","7",,,,,,,"Monoclonal Antibodies In Immunodiagnosis And Immunotherapy","3","Priority Journal","79","School of Pharmacy","11","European Regional Development Fund","2","Hong Kong","1",,,,
,,,,"Mahdavi, M.","7",,,,,,,"Research In Pharmaceutical Sciences","3","Cancer Immunization","66","Hormozgan University of Medical Sciences","10","European Research Council","2","India","1",,,,
