Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Cancer Vaccin*"") AND AFFILCOUNTRY(Iran))"


Number of results : 521

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","184","2025","30","Jaafari, M.R.","37","Medicine","298","Article","240","final","519","International Immunopharmacology","27","Cancer Vaccine","431","Tehran University of Medical Sciences","152","Mashhad University of Medical Sciences","39","Iran","521","Journal","487","English","516"
"Gold","109","2024","58","Rezaei, N.","36","Biochemistry, Genetics and Molecular Biology","241","Review","238","aip","2","Vaccines For Cancer Immunotherapy An Evidence Based Review On Current Status And Future Perspectives","23","Human","364","Shahid Beheshti University of Medical Sciences","88","Tabriz University of Medical Sciences","28","United States","62","Book","32","Persian","5"
"Hybrid Gold","19","2023","45","Keshavarz-Fathi, M.","22","Immunology and Microbiology","174","Book Chapter","31",,,"Immunotherapy","14","Humans","308","Mashhad University of Medical Sciences","76","Tehran University of Medical Sciences and Health Services","17","Canada","29","Book Series","2",,
"Bronze","36","2022","56","Badiee, A.","19","Pharmacology, Toxicology and Pharmaceutics","161","Short Survey","3",,,"Iranian Journal Of Immunology","14","Nonhuman","286","School of Medicine","72","National Institute for Medical Research Development","12","Sweden","22",,,,
"Green","119","2021","58","Bolhassani, A.","18","Chemical Engineering","26","Book","2",,,"Medical Oncology","9","Cancer Vaccines","252","Tabriz University of Medical Sciences","71","Iran National Science Foundation","11","United Kingdom","22",,,,
,,"2020","48","Nikpoor, A.R.","16","Chemistry","20","Letter","2",,,"Cancer Cell International","8","Immunotherapy","243","Pasteur Institute of Iran","59","National Institutes of Health","11","Germany","19",,,,
,,"2019","52","Hadjati, J.","15","Engineering","20","Note","2",,,"Journal Of Cellular Physiology","8","Cancer Immunotherapy","233","Tarbiat Modares University","58","Shahid Beheshti University of Medical Sciences","11","China","18",,,,
,,"2018","40","Hassan, Z.M.","15","Materials Science","14","Editorial","1",,,"Journal Of Controlled Release","8","Review","224","Islamic Azad University","46","U.S. Department of Health and Human Services","11","Australia","11",,,,
,,"2017","24","Baradaran, B.","14","Multidisciplinary","12","Erratum","1",,,"Life Sciences","8","Immunology","213","Iran University of Medical Sciences","42","Shiraz University of Medical Sciences","8","India","10",,,,
,,"2016","20","Ghaemi, A.","13","Agricultural and Biological Sciences","10","Retracted","1",,,"Plos One","7","Article","209","Isfahan University of Medical Sciences","41","Tarbiat Modares University","8","Italy","10",,,,
,,"2015","25","Nezafat, N.","13","Mathematics","7",,,,,"Biomedicine And Pharmacotherapy","6","Animals","206","Children's Medical Center TUMS","39","Isfahan University of Medical Sciences","7","Iraq","9",,,,
,,"2014","17","Sahebkar, A.","13","Veterinary","5",,,,,"Human Vaccines And Immunotherapeutics","6","Animal","183","Research Center for Immunodeficiencies","39","Baqiyatallah University of Medical Sciences","6","Netherlands","7",,,,
,,"2013","9","Arab, A.","12","Computer Science","3",,,,,"Immunology Letters","6","Female","181","Nanotechnology Research Center","39","Government of Canada","5","Poland","7",,,,
,,"2012","13","Yazdani, M.","12","Environmental Science","3",,,,,"Pathology Research And Practice","6","Unclassified Drug","177","Shiraz University of Medical Sciences","36","Islamic Azad University","5","Russian Federation","6",,,,
,,"2011","9","Behravan, J.","11","Neuroscience","2",,,,,"Tumor Biology","6","Immune Response","169","School of Advanced Technologies in Medicine","32","National Institute for Genetic Engineering and Biotechnology","5","Turkey","6",,,,
,,"2010","5","Jadidi-Niaragh, F.","11","Nursing","2",,,,,"Bioimpacts","5","Controlled Study","156","SBUMS School of Medicine","30","Natural Sciences and Engineering Research Council of Canada","5","France","5",,,,
,,"2009","5","Barati, N.","10","Physics and Astronomy","2",,,,,"Cancer Letters","5","Mouse","148","Immunology Research Center","28","Pasteur Institute of Iran","5","South Africa","5",,,,
,,"2008","3","Razazan, A.","10","Social Sciences","2",,,,,"Critical Reviews In Oncology Hematology","5","Neoplasms","144","Faculty of Medicine","25","European Commission","4","Finland","4",,,,
,,"2007","2","Soleimanjahi, H.","10","Economics, Econometrics and Finance","1",,,,,"Drug Discovery Today","5","Cancer Immunization","132","School of Medicine, Isfahan UMS","24","Sigrid Juséliuksen Säätiö","4","Malaysia","4",,,,
,,"2006","1","Ghasemi, Y.","9","Energy","1",,,,,"Frontiers In Immunology","5","Neoplasm","129","School of Medicine IUMS","22","UK Research and Innovation","4","Spain","4",,,,
