Scopus refine results values

"Your query : (TITLE-ABS-KEY(""Cancer Vaccin*"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 238

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","85","2025","19","Baradaran, B.","12","Medicine","143","Review","238","final","237","International Immunopharmacology","15","Review","224","Tehran University of Medical Sciences","61","Tabriz University of Medical Sciences","21","Iran","238","Journal","238","English","234"
"Gold","58","2024","37","Rezaei, N.","11","Biochemistry, Genetics and Molecular Biology","120",,,"aip","1","Immunotherapy","9","Human","221","Tabriz University of Medical Sciences","53","Mashhad University of Medical Sciences","9","United States","37",,,"Persian","4"
"Hybrid Gold","7","2023","33","Sahebkar, A.","9","Pharmacology, Toxicology and Pharmaceutics","88",,,,,"Cancer Cell International","8","Cancer Vaccine","213","Shahid Beheshti University of Medical Sciences","51","National Institutes of Health","7","Canada","15",,,,
"Bronze","12","2022","38","Bolhassani, A.","8","Immunology and Microbiology","67",,,,,"Medical Oncology","7","Humans","181","Mashhad University of Medical Sciences","34","U.S. Department of Health and Human Services","7","China","13",,,,
"Green","53","2021","32","Dianat-Moghadam, H.","7","Chemical Engineering","10",,,,,"Journal Of Cellular Physiology","6","Cancer Immunotherapy","145","Iran University of Medical Sciences","27","Shahid Beheshti University of Medical Sciences","5","United Kingdom","12",,,,
,,"2020","24","Ghafouri-Fard, S.","7","Engineering","10",,,,,"Life Sciences","6","Immunotherapy","144","School of Medicine","26","Government of Canada","4","India","9",,,,
,,"2019","11","Yousefi, M.","6","Materials Science","5",,,,,"Pathology Research And Practice","6","Nonhuman","133","Immunology Research Center","23","National Institute for Medical Research Development","4","Iraq","9",,,,
,,"2018","11","Bashash, D.","5","Agricultural and Biological Sciences","3",,,,,"Biomedicine And Pharmacotherapy","5","Neoplasms","106","Shiraz University of Medical Sciences","20","Natural Sciences and Engineering Research Council of Canada","3","Sweden","9",,,,
,,"2017","8","Behravan, J.","5","Chemistry","3",,,,,"Critical Reviews In Oncology Hematology","5","Cancer Vaccines","102","Islamic Azad University","18","Russian Science Foundation","3","Italy","8",,,,
,,"2016","5","Jaafari, M.R.","5","Environmental Science","3",,,,,"Drug Discovery Today","5","Neoplasm","97","Faculty of Medicine","17","Tehran University of Medical Sciences and Health Services","3","Australia","7",,,,
,,"2015","7","Majidpoor, J.","5","Neuroscience","2",,,,,"Vaccines","5","Tumor Microenvironment","88","Isfahan University of Medical Sciences","15","UK Research and Innovation","3","Germany","7",,,,
,,"2014","4","Mortezaee, K.","5","Social Sciences","2",,,,,"Expert Review Of Clinical Immunology","4","Immunology","85","SBUMS School of Medicine","15","Biotechnology Research Center, Tabriz University of Medical Sciences","2","Russian Federation","6",,,,
,,"2013","1","Payandeh, Z.","5","Economics, Econometrics and Finance","1",,,,,"Frontiers In Immunology","4","Immune Response","84","Pasteur Institute of Iran","14","Canadian Institutes of Health Research","2","Netherlands","4",,,,
,,"2012","3","Shahgolzari, M.","5","Energy","1",,,,,"Journal Of Controlled Release","4","Procedures","78","Hamadan University of Medical Sciences","13","Iran National Science Foundation","2","South Africa","4",,,,
,,"2011","3","Baghbanzadeh, A.","4","Nursing","1",,,,,"Cell Communication And Signaling","3","Animals","72","School of Medicine IUMS","13","Isfahan University of Medical Sciences","2","Poland","3",,,,
,,"2010","1","Hajiasgharzadeh, K.","4","Veterinary","1",,,,,"Clinical And Translational Oncology","3","Animal","67","School of Advanced Technologies in Medicine","13","Kurdistan University Of Medical Sciences","2","Spain","3",,,,
,,"2009","1","Hamblin, M.R.","4",,,,,,,"Expert Review Of Vaccines","3","Cancer Immunization","65","Children's Medical Center TUMS","12","National Institute of Allergy and Infectious Diseases","2","Turkey","3",,,,
,,,,"Hassanian, S.M.","4",,,,,,,"Frontiers In Oncology","3","Unclassified Drug","64","Research Center for Immunodeficiencies","12","Shiraz University of Medical Sciences","2","Egypt","2",,,,
,,,,"Hojjat-Farsangi, M.","4",,,,,,,"Journal Of Nanobiotechnology","3","Immune Checkpoint Inhibitor","63","School of Medicine, Isfahan UMS","11","University of Kurdistan","2","France","2",,,,
,,,,"Jadidi-Niaragh, F.","4",,,,,,,"Pharmacological Research","3","Breast Cancer","55","Tarbiat Modares University","11","Vice Chancellor for Research and Technology, Hamadan University of Medical Sciences","2","Qatar","2",,,,
,,,,"Khorramdelazad, H.","4",,,,,,,"Stem Cell Research And Therapy","3","Dendritic Cell","55","Drug Applied Research Center, Tabriz University of Medical Sciences","11","Aja University of Medical Sciences","1","Saudi Arabia","2",,,,
