Scopus refine results values

"Your query : (TITLE-ABS-KEY(""chimeric antigen receptor"") AND DOCTYPE(ar))"


Number of results : 10714

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","6942","2025","899","June, C.H.","176","Medicine","7856","Article","10714","final","10576","Frontiers In Immunology","442","Human","9544","University of Pennsylvania","542","National Institutes of Health","2240","United States","4939","Journal","10642","English","10045"
"Gold","3789","2024","1994","Dotti, G.","113","Biochemistry, Genetics and Molecular Biology","5251",,,"aip","138","Journal For Immunotherapy Of Cancer","338","Article","9301","Memorial Sloan-Kettering Cancer Center","468","U.S. Department of Health and Human Services","2009","China","2723","Book Series","42","Chinese","462"
"Hybrid Gold","1270","2023","1664","Locke, F.L.","103","Immunology and Microbiology","2381",,,,,"Blood Advances","248","Humans","7053","University of Pennsylvania Perelman School of Medicine","445","National Cancer Institute","1643","Germany","1141","Trade Journal","29","German","72"
"Bronze","883","2022","1549","Maus, M.V.","93","Pharmacology, Toxicology and Pharmaceutics","1357",,,,,"Blood","230","Chimeric Antigen Receptor","5244","The University of Texas MD Anderson Cancer Center","441","National Natural Science Foundation of China","1395","United Kingdom","634","Undefined","1","French","58"
"Green","5415","2021","1340","Gottschalk, S.","84","Chemical Engineering","381",,,,,"Molecular Therapy","205","Controlled Study","4769","Harvard Medical School","367","Ministry of Science and Technology of the People's Republic of China","1188","Italy","486",,,"Russian","41"
,,"2020","998","Grupp, S.A.","84","Chemistry","376",,,,,"Transplantation And Cellular Therapy","165","Chimeric Antigen Receptor T-cell Immunotherapy","4383","Penn Medicine","349","European Commission","435","France","478",,,"Italian","15"
,,"2019","628","Forman, S.J.","80","Multidisciplinary","352",,,,,"Clinical Cancer Research","155","Female","4122","Fred Hutchinson Cancer Center","300","National Key Research and Development Program of China","399","Spain","452",,,"Spanish","14"
,,"2018","480","Lin, Y.","79","Engineering","351",,,,,"Cytotherapy","155","Adoptive Immunotherapy","4090","University of Washington","289","Deutsche Forschungsgemeinschaft","312","Japan","382",,,"Czech","12"
,,"2017","312","Huang, H.","77","Physics and Astronomy","232",,,,,"Nature Communications","149","T Lymphocyte","4037","City of Hope National Med Center","282","Horizon 2020 Framework Programme","242","Canada","381",,,"Japanese","10"
,,"2016","252","Hu, Y.","75","Neuroscience","202",,,,,"Cancers","141","Immunotherapy, Adoptive","3929","National Cancer Institute NCI","277","Bristol-Myers Squibb","218","Switzerland","325",,,"Polish","5"
,,"2015","205","Jensen, M.C.","75","Materials Science","197",,,,,"Frontiers In Oncology","138","Nonhuman","3867","Dana-Farber Cancer Institute","272","Novartis","201","Australia","300",,,"Hungarian","4"
,,"2014","134","Sadelain, M.","75","Computer Science","187",,,,,"Oncoimmunology","134","Human Cell","3804","National Institutes of Health NIH","267","National Institute of Allergy and Infectious Diseases","197","Netherlands","270",,,"Persian","2"
,,"2013","97","Abken, H.","73","Nursing","91",,,,,"Cancer Immunology Research","124","Receptors, Chimeric Antigen","3607","German Cancer Research Center","252","Gilead Sciences","194","Israel","171",,,"Slovenian","2"
