Scopus refine results values

"Your query : (TITLE-ABS-KEY(""chimeric antigen receptor""))"


Number of results : 23945

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","14939","2025","1811","June, C.H.","243","Medicine","17994","Article","10714","final","23681","Frontiers In Immunology","1265","Human","21614","University of Pennsylvania","925","National Institutes of Health","3660","United States","10557","Journal","23165","English","22980"
"Gold","8650","2024","4288","Maus, M.V.","158","Biochemistry, Genetics and Molecular Biology","11346","Review","9212","aip","264","Cancers","684","Humans","15185","The University of Texas MD Anderson Cancer Center","917","U.S. Department of Health and Human Services","3094","China","5128","Book Series","360","Chinese","624"
"Hybrid Gold","2316","2023","3663","Dotti, G.","146","Immunology and Microbiology","4925","Note","1093",,,"Blood","473","Chimeric Antigen Receptor","11319","Memorial Sloan-Kettering Cancer Center","866","National Cancer Institute","2638","Germany","2067","Book","311","German","143"
"Bronze","2097","2022","3418","Locke, F.L.","145","Pharmacology, Toxicology and Pharmaceutics","3011","Editorial","943",,,"Frontiers In Oncology","467","Chimeric Antigen Receptor T-cell Immunotherapy","10328","University of Pennsylvania Perelman School of Medicine","759","National Natural Science Foundation of China","2560","United Kingdom","1438","Conference Proceeding","56","French","138"
"Green","11272","2021","3115","Huang, H.","129","Chemical Engineering","904","Letter","843",,,"Journal For Immunotherapy Of Cancer","423","Article","9498","Harvard Medical School","735","Ministry of Science and Technology of the People's Republic of China","2123","Italy","1322","Trade Journal","52","Russian","69"
,,"2020","2441","Grupp, S.A.","122","Chemistry","790","Book Chapter","573",,,"International Journal Of Molecular Sciences","395","Review","8512","Penn Medicine","531","European Commission","767","France","1023","Undefined","1","Spanish","25"
,,"2019","1580","Sadelain, M.","115","Engineering","649","Short Survey","248",,,"Blood Advances","344","Nonhuman","8423","Fred Hutchinson Cancer Center","503","National Key Research and Development Program of China","635","Spain","896",,,"Japanese","22"
,,"2018","1139","Hu, Y.","114","Computer Science","561","Conference Paper","170",,,"Molecular Therapy","319","T Lymphocyte","8323","Dana-Farber Cancer Institute","498","Deutsche Forschungsgemeinschaft","532","Canada","728",,,"Czech","17"
,,"2017","755","Gottschalk, S.","110","Multidisciplinary","456","Erratum","128",,,"Transplantation And Cellular Therapy","238","Adoptive Immunotherapy","7962","National Cancer Institute NCI","473","Horizon 2020 Framework Programme","428","Japan","673",,,"Italian","15"
,,"2016","598","Abken, H.","107","Neuroscience","390","Retracted","12",,,"British Journal Of Haematology","220","Immunotherapy, Adoptive","7360","University of Washington","466","Bristol-Myers Squibb","390","Australia","653",,,"Polish","6"
,,"2015","445","Lin, Y.","107","Materials Science","353","Book","9",,,"Cells","209","Immunotherapy","7343","National Institutes of Health NIH","451","Novartis","367","Switzerland","569",,,"Danish","5"
,,"2014","259","Brentjens, R.J.","98","Physics and Astronomy","303",,,,,"Journal Of Hematology And Oncology","198","Cancer Immunotherapy","6599","City of Hope National Med Center","444","Gilead Sciences","322","Netherlands","547",,,"Hungarian","4"
,,"2013","160","Shah, N.N.","98","Nursing","194",,,,,"Cytotherapy","197","Immunology","6599","Inserm","412","National Institute of Allergy and Infectious Diseases","321","India","468",,,"Persian","4"
,,"2012","97","Subklewe, M.","95","Agricultural and Biological Sciences","181",,,,,"Clinical Cancer Research","191","Procedures","6141","Moffitt Cancer Center","411","National Heart, Lung, and Blood Institute","306","Iran","434",,,"Bulgarian","2"
,,"2011","63","Forman, S.J.","94","Health Professions","108",,,,,"Haematologica","185","Receptors, Chimeric Antigen","6103","Mayo Clinic","403","Leukemia and Lymphoma Society","296","South Korea","321",,,"Croatian","2"
,,"2010","45","Neelapu, S.S.","94","Environmental Science","85",,,,,"Leukemia And Lymphoma","179","T-Lymphocytes","5328","Ministry of Education of the People's Republic of China","401","U.S. Department of Defense","291","Israel","302",,,"Slovenian","2"
,,"2009","28","Mackall, C.L.","91","Mathematics","81",,,,,"Clinical Lymphoma Myeloma And Leukemia","176","Controlled Study","5227","Baylor College of Medicine","390","Ministry of Education, Culture, Sports, Science and Technology","275","Belgium","290",,,"Swedish","2"
,,"2008","14","Hudecek, M.","90","Social Sciences","48",,,,,"Oncoimmunology","166","Female","5005","Weill Cornell Medicine","390","Japan Society for the Promotion of Science","270","Poland","264",,,"Dutch","1"
,,"2007","8","Savoldo, B.","90","Veterinary","39",,,,,"Nature Communications","156","Animals","4954","Massachusetts General Hospital","387","Roche","251","Sweden","262",,,"Greek","1"
,,"2006","4","Porter, D.L.","88","Business, Management and Accounting","27",,,,,"Cancer Discovery","143","Genetics","4806","German Cancer Research Center","384","Deutsche Krebshilfe","248","Austria","250",,,"Korean","1"
,,"2005","4","Ruella, M.","87","Economics, Econometrics and Finance","25",,,,,"Cancer Immunology Research","141","Animal","4788","Stanford University School of Medicine","383","European Research Council","248","Russian Federation","225",,,"Portuguese","1"
,,"2004","3","Levine, B.L.","86","Energy","21",,,,,"Bone Marrow Transplantation","138","Tumor Microenvironment","4729","Huazhong University of Science and Technology","362","Pfizer","230","Singapore","225",,,"Slovak","1"
,,"2002","1","Jensen, M.C.","82","Dentistry","18",,,,,"Cancer Immunology Immunotherapy","138","Metabolism","4547","Zhejiang University School of Medicine","352","AstraZeneca","227","Brazil","189",,,,
,,"2001","1","Turtle, C.J.","82","Psychology","16",,,,,"Leukemia","132","Human Cell","4414","Tongji Medical College of Huazhong University of Science and Technology","341","UK Research and Innovation","225","Denmark","151",,,,
,,"2000","1","Riddell, S.R.","81","Earth and Planetary Sciences","15",,,,,"Immunotherapy","124","Male","4305","University of California, San Francisco","340","Celgene","214","Saudi Arabia","144",,,,
,,"1997","2","Frigault, M.J.","80","Arts and Humanities","8",,,,,"American Journal Of Hematology","118","Unclassified Drug","4092","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","332","Ministerio de Economía y Competitividad","210","Greece","141",,,,
,,"1991","1","Brenner, M.K.","75","Decision Sciences","5",,,,,"Nature Medicine","117","Adult","3988","Zhejiang University","318","Merck","208","Norway","133",,,,
,,"1989","1","Hamadani, M.","73",,,,,,,"Journal Of Clinical Oncology","114","CD19 Antigen","3875","University of Washington School of Medicine","308","Associazione Italiana per la Ricerca sul Cancro","202","Thailand","118",,,,
,,,,"Heslop, H.E.","73",,,,,,,"Nature Reviews Clinical Oncology","112","Neoplasms","3810","The Children's Hospital of Philadelphia","296","Instituto de Salud Carlos III","201","Taiwan","110",,,,
,,,,"Yu, L.","73",,,,,,,"Blood Cancer Journal","109","Mouse","3729","Stanford University","286","National Institute of General Medical Sciences","195","Czech Republic","107",,,,
,,,,"Kebriaei, P.","71",,,,,,,"Journal Of Translational Medicine","108","Priority Journal","3670","AP-HP Assistance Publique - Hopitaux de Paris","273","Bundesministerium für Bildung und Forschung","192","Portugal","104",,,,
,,,,"Lacey, S.F.","71",,,,,,,"Experimental Hematology And Oncology","101","Cytokine Release Syndrome","3616","University of Melbourne","260","National Science Foundation","192","Hong Kong","100",,,,
,,,,"Maher, J.","71",,,,,,,"Journal Of Leukemia And Lymphoma","99","Neoplasm","3606","BCM Center for Cell and Gene Therapy","259","National Health and Medical Research Council","188","Ireland","98",,,,
,,,,"Jacobson, C.A.","69",,,,,,,"Cancer Letters","98","Lymphocyte Antigen Receptor","3425","Medical College of Wisconsin","255","AbbVie","185","Turkey","97",,,,
,,,,"Chavez, J.C.","68",,,,,,,"New England Journal Of Medicine","98","Antineoplastic Activity","3353","Chinese Academy of Sciences","245","Parker Institute for Cancer Immunotherapy","185","Egypt","91",,,,
,,,,"Cooper, L.J.N.","68",,,,,,,"Human Gene Therapy","96","Overall Survival","3315","University College London","233","Amgen","183","Pakistan","70",,,,
,,,,"Davila, M.L.","68",,,,,,,"Lancet Haematology","95","Flow Cytometry","3247","Texas Children's Hospital","226","China Postdoctoral Science Foundation","178","Hungary","61",,,,
,,,,"Kharfan-Dabaja, M.A.","67",,,,,,,"Molecular Therapy Oncolytics","95","Cytotoxicity","3182","Université Paris Cité","221","Guangdong Provincial Department of Science and Technology","178","Iraq","55",,,,
,,,,"Melenhorst, J.J.","66",,,,,,,"Methods In Molecular Biology","91","Protein Expression","3105","University of California, Los Angeles","219","National Research Foundation of Korea","172","New Zealand","50",,,,
,,,,"Brown, C.E.","65",,,,,,,"Science Translational Medicine","91","Cell Therapy","3103","UCSF School of Medicine","219","Johnson and Johnson","171","Finland","48",,,,
,,,,"Fraietta, J.A.","64",,,,,,,"Vaccines","91","Receptors, Antigen, T-Cell","2990","Cleveland Clinic Foundation","217","European Regional Development Fund","166","Romania","45",,,,
,,,,"Han, W.","64",,,,,,,"Clinical Advances In Hematology And Oncology","89","Acute Lymphoblastic Leukemia","2975","Sichuan University","216","Auris Health","165","Malaysia","43",,,,
,,,,"Wu, D.","64",,,,,,,"Expert Opinion On Biological Therapy","89","Cyclophosphamide","2876","Klinikum der Universität München","212","Janssen Pharmaceuticals","165","Mexico","43",,,,
,,,,"Jain, M.D.","63",,,,,,,"Molecular Therapy Methods And Clinical Development","88","CD8+ T Lymphocyte","2858","St. Jude Children's Research Hospital","212","Natural Science Foundation of Jiangsu Province","164","Slovenia","43",,,,
