Scopus refine results values

"Your query : (TITLE-ABS-KEY(""chimeric antigen receptor"") AND DOCTYPE(re))"


Number of results : 9212

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","6083","2025","642","Maus, M.V.","41","Medicine","7090","Review","9212","final","9106","Frontiers In Immunology","697","Human","8664","The University of Texas MD Anderson Cancer Center","322","National Institutes of Health","1153","United States","3849","Journal","9183","English","8955"
"Gold","4003","2024","1503","June, C.H.","34","Biochemistry, Genetics and Molecular Biology","4351",,,"aip","106","Cancers","517","Review","8466","Memorial Sloan-Kettering Cancer Center","275","National Natural Science Foundation of China","994","China","1959","Book Series","28","Chinese","160"
"Hybrid Gold","777","2023","1391","Huang, H.","33","Immunology and Microbiology","1884",,,,,"International Journal Of Molecular Sciences","286","Humans","6030","Harvard Medical School","262","U.S. Department of Health and Human Services","878","Germany","630","Trade Journal","1","French","56"
"Bronze","601","2022","1337","Hudecek, M.","30","Pharmacology, Toxicology and Pharmaceutics","1249",,,,,"Frontiers In Oncology","264","Chimeric Antigen Receptor","4389","University of Pennsylvania","258","National Cancer Institute","795","Italy","625",,,"German","42"
"Green","4716","2021","1357","Kharfan-Dabaja, M.A.","25","Chemical Engineering","439",,,,,"Cells","144","Immunotherapy","4102","University of Pennsylvania Perelman School of Medicine","227","Ministry of Science and Technology of the People's Republic of China","788","United Kingdom","551",,,"Russian","25"
,,"2020","984","Kobold, S.","25","Chemistry","372",,,,,"Journal Of Hematology And Oncology","103","Chimeric Antigen Receptor T-cell Immunotherapy","4095","Inserm","163","European Commission","270","France","371",,,"Japanese","10"
,,"2019","666","Maher, J.","25","Computer Science","312",,,,,"Blood","77","Nonhuman","3757","Ministry of Education of the People's Republic of China","159","Deutsche Forschungsgemeinschaft","178","Iran","319",,,"Spanish","6"
,,"2018","457","Rezaei, N.","25","Engineering","176",,,,,"Immunotherapy","77","Cancer Immunotherapy","3729","Dana-Farber Cancer Institute","154","National Key Research and Development Program of China","173","Spain","304",,,"Czech","5"
,,"2017","288","Sadelain, M.","25","Neuroscience","151",,,,,"Current Hematologic Malignancy Reports","68","T Lymphocyte","3127","National Cancer Institute NCI","138","Horizon 2020 Framework Programme","153","India","275",,,"Danish","4"
,,"2016","213","Brentjens, R.J.","24","Materials Science","114",,,,,"Journal For Immunotherapy Of Cancer","67","Adoptive Immunotherapy","2869","Huazhong University of Science and Technology","135","Bristol-Myers Squibb","130","Canada","263",,,"Bulgarian","1"
,,"2015","170","Grupp, S.A.","24","Nursing","66",,,,,"Leukemia And Lymphoma","67","Tumor Microenvironment","2856","Fred Hutchinson Cancer Center","135","Novartis","109","Australia","242",,,"Croatian","1"
,,"2014","88","Shah, N.N.","24","Agricultural and Biological Sciences","56",,,,,"Current Oncology Reports","65","Immunology","2676","Moffitt Cancer Center","130","UK Research and Innovation","107","Japan","211",,,"Greek","1"
,,"2013","44","Abken, H.","23","Multidisciplinary","42",,,,,"Expert Opinion On Biological Therapy","63","Procedures","2667","Mayo Clinic","130","U.S. Department of Defense","104","Netherlands","195",,,"Persian","1"
,,"2012","29","Dotti, G.","23","Environmental Science","39",,,,,"Clinical Lymphoma Myeloma And Leukemia","61","Immunotherapy, Adoptive","2487","National Institutes of Health NIH","129","National Institute of Allergy and Infectious Diseases","99","Switzerland","183",,,"Polish","1"
,,"2011","12","Subklewe, M.","23","Health Professions","30",,,,,"Journal Of Clinical Medicine","60","Neoplasms","2132","Tongji Medical College of Huazhong University of Science and Technology","127","Associazione Italiana per la Ricerca sul Cancro","98","Poland","157",,,"Portuguese","1"
,,"2010","12","Ruella, M.","22","Physics and Astronomy","27",,,,,"Advanced Drug Delivery Reviews","57","Neoplasm","2019","Zhejiang University School of Medicine","123","Roche","97","South Korea","145",,,,
,,"2009","13","Einsele, H.","20","Veterinary","13",,,,,"Best Practice And Research Clinical Haematology","57","Animals","1927","University of Washington","122","European Research Council","91","Austria","106",,,,
,,"2008","3","Han, W.","20","Energy","11",,,,,"Blood Reviews","56","Animal","1885","Penn Medicine","122","National Heart, Lung, and Blood Institute","91","Russian Federation","106",,,,
,,"2006","1","Mei, H.","20","Social Sciences","10",,,,,"Molecular Cancer","56","T-Lymphocytes","1769","Massachusetts General Hospital","122","Gilead Sciences","86","Belgium","105",,,,
,,"2005","1","Chavez, J.C.","19","Earth and Planetary Sciences","6",,,,,"Nature Reviews Clinical Oncology","56","Receptors, Chimeric Antigen","1761","Stanford University School of Medicine","114","Pfizer","86","Saudi Arabia","102",,,,
,,"2004","1","Gill, S.","19","Dentistry","4",,,,,"Cancer Journal United States","55","Genetics","1732","Weill Cornell Medicine","106","National Research Foundation of Korea","85","Greece","92",,,,
,,,,"Jabbour, E.","19","Mathematics","4",,,,,"Critical Reviews In Oncology Hematology","55","Unclassified Drug","1720","Tehran University of Medical Sciences","106","China Postdoctoral Science Foundation","83","Singapore","89",,,,
,,,,"Kebriaei, P.","19","Psychology","3",,,,,"Hematology Oncology Clinics Of North America","55","Immune Response","1607","Zhejiang University","105","AstraZeneca","80","Sweden","81",,,,
,,,,"Neelapu, S.S.","19","Arts and Humanities","2",,,,,"Vaccines","55","Metabolism","1511","Sichuan University","105","Leukemia and Lymphoma Society","80","Israel","78",,,,
,,,,"Rezvani, K.","19","Economics, Econometrics and Finance","1",,,,,"International Immunopharmacology","52","Natural Killer Cell","1479","University of California, San Francisco","104","Amgen","79","Brazil","65",,,,
,,,,"Savoldo, B.","19",,,,,,,"Cancer Letters","51","Cell Therapy","1395","City of Hope National Med Center","103","National Health and Medical Research Council","79","Turkey","55",,,,
