Scopus refine results values

"Your query : (TITLE-ABS-KEY(""chimeric antigen receptor"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 80

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","36","2025","4","Hadjati, J.","12","Medicine","47","Article","80","final","80","Cell Journal","5","Human","69","Tehran University of Medical Sciences","30","Tehran University of Medical Sciences and Health Services","15","Iran","80","Journal","80","English","78"
"Gold","27","2024","16","Rahbarizadeh, F.","11","Biochemistry, Genetics and Molecular Biology","45",,,,,"Frontiers In Immunology","4","Article","68","School of Medicine","18","National Institute for Medical Research Development","11","United States","12",,,"Persian","2"
"Hybrid Gold","3","2023","12","Mirzaei, H.R.","10","Immunology and Microbiology","21",,,,,"Frontiers In Oncology","2","Chimeric Antigen Receptor","57","Tarbiat Modares University","17","Iran National Science Foundation","5","Germany","6",,,,
"Bronze","2","2022","7","Sharifzadeh, Z.","8","Pharmacology, Toxicology and Pharmaceutics","13",,,,,"Iranian Journal Of Allergy Asthma And Immunology","2","Humans","49","Iran University of Medical Sciences","15","Tarbiat Modares University","5","China","4",,,,
"Green","27","2021","15","Alishah, K.","6","Neuroscience","6",,,,,"Iranian Journal Of Biotechnology","2","Human Cell","38","Pasteur Institute of Iran","11","Pasteur Institute of Iran","4","Sweden","4",,,,
,,"2020","11","Jafarzadeh, L.","6","Chemical Engineering","2",,,,,"Journal Of Cellular Biochemistry","2","T Lymphocyte","36","Royan Institute","9","Horizon 2020 Framework Programme","3","Denmark","3",,,,
,,"2019","9","Masoumi, E.","6","Chemistry","2",,,,,"Journal Of Translational Medicine","2","Controlled Study","32","School of Advanced Technologies in Medicine","9","National Institutes of Health","3","Netherlands","3",,,,
,,"2018","2","Ahmadvand, D.","5","Mathematics","2",,,,,"Microbial Pathogenesis","2","Receptors, Chimeric Antigen","32","Iranian Academic Center for Education, Culture and Research","8","Shiraz University of Medical Sciences","3","Australia","2",,,,
,,"2017","1","Arashkia, A.","5","Agricultural and Biological Sciences","1",,,,,"APMIS","1","Adoptive Immunotherapy","30","Shahid Beheshti University of Medical Sciences","7","Tabriz University of Medical Sciences","3","South Africa","2",,,,
,,"2014","1","Basiri, M.","5","Computer Science","1",,,,,"Acta Medica Iranica","1","Immunology","30","Shiraz University of Medical Sciences","7","U.S. Department of Health and Human Services","3","Austria","1",,,,
,,"2013","1","Noorbakhsh, F.","5","Engineering","1",,,,,"Angiogenesis","1","Immunotherapy, Adoptive","29","Tabriz University of Medical Sciences","7","Bushehr University of Medical Sciences","2","Belgium","1",,,,
,,"2011","1","Rostamian, H.","5","Environmental Science","1",,,,,"Anti Cancer Agents In Medicinal Chemistry","1","Metabolism","28","University of Tehran","6","European Commission","2","Brazil","1",,,,
,,,,"Abdoli, S.","4","Health Professions","1",,,,,"Archives Of Iranian Medicine","1","Cancer Immunotherapy","27","Digestive Diseases Research Institute","6","Mashhad University of Medical Sciences","2","Hong Kong","1",,,,
,,,,"Abolhassani, M.","4","Materials Science","1",,,,,"BMC Biotechnology","1","Cytotoxicity","27","Golestan University of Medical Sciences","4","Royan Institute","2","India","1",,,,
,,,,"Ahmadbeigi, N.","4","Multidisciplinary","1",,,,,"BMC Cancer","1","Flow Cytometry","27","School of Medicine","4","Advanced Centre for Automotive Research and Testing, University of Melbourne","1","Iraq","1",,,,
,,,,"Fallah-Mehrjardi, K.","4","Physics and Astronomy","1",,,,,"BMC Molecular And Cell Biology","1","Genetics","27","Cell – Based Therapies Research Center","4","Asialink, University of Melbourne","1","Italy","1",,,,
,,,,"Hamidieh, A.A.","4",,,,,,,"Biochimica Et Biophysica Acta General Subjects","1","T-Lymphocytes","26","School of Allied Medical Sciences","4","Australian Centre of Excellence for Risk Analysis, University of Melbourne","1","Portugal","1",,,,
,,,,"Hassani, M.","4",,,,,,,"Biomolecules","1","Unclassified Drug","26","Mashhad University of Medical Sciences","3","Botany Foundation, Faculty of Science, University of Melbourne","1","Turkey","1",,,,
