Scopus refine results values

"Your query : (TITLE-ABS-KEY(""chimeric antigen receptor"") AND AFFILCOUNTRY(Iran))"


Number of results : 434

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","207","2025","37","Rezaei, N.","33","Medicine","273","Review","319","final","429","Frontiers In Immunology","33","Human","406","Tehran University of Medical Sciences","147","Tehran University of Medical Sciences and Health Services","28","Iran","434","Journal","422","English","430"
"Gold","157","2024","88","Mirzaei, H.R.","29","Biochemistry, Genetics and Molecular Biology","241","Article","80","aip","5","International Immunopharmacology","19","Review","305","School of Medicine","90","National Institute for Medical Research Development","21","United States","93","Book","7","Persian","4"
"Hybrid Gold","16","2023","74","Rahbarizadeh, F.","24","Immunology and Microbiology","115","Book Chapter","11",,,"Cancer Cell International","13","Humans","292","Tabriz University of Medical Sciences","80","Tabriz University of Medical Sciences","18","Iraq","26","Book Series","5",,
"Bronze","14","2022","81","Hadjati, J.","22","Pharmacology, Toxicology and Pharmaceutics","97","Editorial","8",,,"Stem Cell Research And Therapy","13","Chimeric Antigen Receptor","252","Shahid Beheshti University of Medical Sciences","70","Shahid Beheshti University of Medical Sciences","14","Canada","21",,,,
"Green","147","2021","72","Safarzadeh Kozani, P.","15","Neuroscience","11","Letter","6",,,"Life Sciences","12","Immunotherapy","229","Tarbiat Modares University","61","National Institutes of Health","9","Germany","21",,,,
,,"2020","32","Marofi, F.","14","Engineering","9","Note","4",,,"Biomarker Research","9","Chimeric Antigen Receptor T-cell Immunotherapy","203","Iran University of Medical Sciences","55","U.S. Department of Health and Human Services","9","United Kingdom","19",,,,
,,"2019","23","Sharifzadeh, Z.","14","Chemical Engineering","7","Short Survey","3",,,"Biomedicine And Pharmacotherapy","8","Nonhuman","194","Shiraz University of Medical Sciences","34","Mashhad University of Medical Sciences","7","Russian Federation","18",,,,
,,"2018","11","Baradaran, B.","13","Chemistry","5","Retracted","2",,,"Frontiers In Oncology","8","Cancer Immunotherapy","186","Iranian Academic Center for Education, Culture and Research","33","Tarbiat Modares University","7","China","15",,,,
,,"2017","6","Safarzadeh Kozani, P.","13","Agricultural and Biological Sciences","3","Erratum","1",,,"Journal Of Cellular Physiology","7","Adoptive Immunotherapy","172","Children's Medical Center TUMS","32","Iran National Science Foundation","6","India","14",,,,
,,"2016","6","Esmaeilzadeh, A.","12","Materials Science","3",,,,,"Cancer Letters","6","T Lymphocyte","164","Pasteur Institute of Iran","31","National Cancer Institute","6","Sweden","13",,,,
,,"2014","2","Shomali, N.","12","Computer Science","2",,,,,"Cell Journal","6","Tumor Microenvironment","158","SBUMS School of Medicine","31","Pasteur Institute of Iran","5","Saudi Arabia","12",,,,
,,"2013","1","Tahmasebi, S.","12","Environmental Science","2",,,,,"Critical Reviews In Oncology Hematology","6","Immunotherapy, Adoptive","156","Research Center for Immunodeficiencies","31","Horizon 2020 Framework Programme","4","Indonesia","11",,,,
,,"2011","1","Akbari, B.","10","Mathematics","2",,,,,"Medical Oncology","6","Procedures","156","Immunology Research Center","30","Iran University of Medical Sciences","4","Thailand","10",,,,
,,,,"Basiri, M.","10","Arts and Humanities","1",,,,,"Human Immunology","5","Receptors, Chimeric Antigen","146","School of Advanced Technologies in Medicine","30","UK Research and Innovation","4","Italy","9",,,,
,,,,"Yazdanifar, M.","9","Health Professions","1",,,,,"Journal Of Translational Medicine","5","Neoplasms","136","Royan Institute","26","Bushehr University of Medical Sciences","3","Egypt","8",,,,
,,,,"Jafarzadeh, L.","8","Multidisciplinary","1",,,,,"Stem Cell Reviews And Reports","5","Neoplasm","135","Faculty of Medicine","25","Deutsche Forschungsgemeinschaft","3","Australia","7",,,,
,,,,"Maali, A.","8","Physics and Astronomy","1",,,,,"Cancer Gene Therapy","4","Immunology","131","Mashhad University of Medical Sciences","24","Deutsches Krebsforschungszentrum","3","Netherlands","6",,,,
,,,,"Mirzaei, H.","8","Veterinary","1",,,,,"Current Pharmaceutical Design","4","Genetics","116","Islamic Azad University","22","European Commission","3","South Africa","6",,,,
,,,,"Suksatan, W.","8",,,,,,,"Expert Review Of Clinical Immunology","4","Animals","107","School of Medicine IUMS","21","Isfahan University of Medical Sciences","3","Turkey","6",,,,
,,,,"Ahmadbeigi, N.","7",,,,,,,"Immunotherapy","4","Animal","106","Isfahan University of Medical Sciences","21","Royan Institute","3","Denmark","5",,,,
,,,,"Ahmadvand, D.","7",,,,,,,"Molecular Biology Reports","4","Metabolism","106","School of Medicine, Zanjan University of Medical Sciences ZUMS","20","Shiraz University of Medical Sciences","3","Poland","5",,,,
,,,,"Bashash, D.","7",,,,,,,"Cell Communication And Signaling","3","Natural Killer Cell","106","Zanjan University of Medical Sciences ZUMS","20","University of Kurdistan","3","Belarus","3",,,,
,,,,"Elahi, R.","7",,,,,,,"Cellular Oncology","3","T-Lymphocytes","105","Stem Cell Research Center","20","Alexander von Humboldt-Stiftung","2","Belgium","3",,,,
,,,,"Hamidieh, A.A.","7",,,,,,,"Clinical And Experimental Medicine","3","Unclassified Drug","90","Guilan University of Medical Sciences","19","Babol University of Medical Sciences","2","Brazil","3",,,,
,,,,"Jarahian, M.","7",,,,,,,"Clinical And Translational Oncology","3","Immune Response","86","School of Medicine, Isfahan UMS","17","Bundesministerium für Bildung und Forschung","2","Austria","2",,,,
,,,,"Masoumi, E.","7",,,,,,,"Current Molecular Medicine","3","Cytotoxicity","80","University of Tehran","16","Deutscher Akademischer Austauschdienst","2","France","2",,,,
,,,,"Rahman, H.S.","7",,,,,,,"Current Stem Cell Research And Therapy","3","Antineoplastic Activity","77","Hamadan University of Medical Sciences","15","Ferdowsi University of Mashhad","2","Hong Kong","2",,,,
,,,,"Abdelbasset, W.K.","6",,,,,,,"Experimental Cell Research","3","Therapy","73","Sechenov First Moscow State Medical University","15","Iran's National Elites Foundation","2","Hungary","2",,,,
,,,,"Aghebati-Maleki, L.","6",,,,,,,"Expert Opinion On Biological Therapy","3","Article","69","Kermanshah University of Medical Sciences","13","National Blood Foundation","2","Malaysia","2",,,,
,,,,"Akbari, M.","6",,,,,,,"Gene","3","Tumor Antigen","68","Cancer Gene Therapy Research Center, Zanjan University of Medical Sciences ZUMS","13","Servier","2","Norway","2",,,,
,,,,"Alishah, K.","6",,,,,,,"Immunology Letters","3","Signal Transduction","67","German Cancer Research Center","12","St. Baldrick's Foundation","2","Oman","2",,,,
,,,,"Arashkia, A.","6",,,,,,,"Iranian Biomedical Journal","3","Cell Therapy","65","Mazandaran University of Medical Sciences","12","Advanced Centre for Automotive Research and Testing, University of Melbourne","1","Romania","2",,,,
,,,,"Dianat-Moghadam, H.","6",,,,,,,"Journal Of Cellular Biochemistry","3","Human Cell","65","Digestive Diseases Research Institute","12","Ahvaz Jundishapur University of Medical Sciences","1","Taiwan","2",,,,
,,,,"Fallah-Mehrjardi, K.","6",,,,,,,"Journal Of Drug Targeting","3","Immune Checkpoint Inhibitor","64","Kashan University of Medical Sciences","11","Alabama Farmers Federation","1","Uzbekistan","2",,,,
,,,,"Hadiloo, K.","6",,,,,,,"Journal Of Experimental And Clinical Cancer Research","3","Gamma Interferon","61","Semnan University of Medical Sciences and Health Services","11","Ardabil University of Medical Sciences","1","Armenia","1",,,,
,,,,"Hamblin, M.R.","6",,,,,,,"Molecular Cancer","3","Regulatory T Lymphocyte","55","Qazvin University of Medical Sciences","11","Asialink, University of Melbourne","1","Bahrain","1",,,,
,,,,"Keshavarz-Fathi, M.","6",,,,,,,"Pathology Research And Practice","3","Protein Expression","54","Prince Sattam Bin Abdulaziz University","11","AstraZeneca","1","Czech Republic","1",,,,
,,,,"Khakpoor-Koosheh, M.","6",,,,,,,"Acta Pharmaceutica Sinica B","2","Monoclonal Antibody","53","School of Allied Medical Sciences","11","Australian Centre of Excellence for Risk Analysis, University of Melbourne","1","Ecuador","1",,,,
,,,,"Motavalli, R.","6",,,,,,,"Advanced Drug Delivery Reviews","2","Cancer Therapy","52","Shariati Hospital","10","BC Cancer Foundation","1","Estonia","1",,,,
,,,,"Nasiri, F.","6",,,,,,,"Advanced Pharmaceutical Bulletin","2","Cell Proliferation","51","Shahid Sadoughi University of Medical Sciences","10","Baqiyatallah University of Medical Sciences","1","Finland","1",,,,
,,,,"Noorbakhsh, F.","6",,,,,,,"Advances In Experimental Medicine And Biology","2","Programmed Death 1 Ligand 1","51","University of Isfahan","10","Ben and Catherine Ivy Foundation","1","Georgia","1",,,,
,,,,"Rostamian, H.","6",,,,,,,"Archives Of Iranian Medicine","2","Cancer Vaccine","50","Stanford University School of Medicine","10","Birjand University of Medical Sciences","1","Ghana","1",,,,
,,,,"Sheykhhasan, M.","6",,,,,,,"Biochimica Et Biophysica Acta General Subjects","2","Solid Malignant Neoplasm","50","School of Advanced Medical Sciences and Technologies","10","Botany Foundation, Faculty of Science, University of Melbourne","1","Greece","1",,,,
,,,,"Soltantoyeh, T.","6",,,,,,,"Cancer Immunology Immunotherapy","2","Breast Cancer","49","Mashhad University of Medical Sciences, School of Medicine","9","California Institute of Regenerative Medicine","1","Iceland","1",,,,
,,,,"Abdoli, S.","5",,,,,,,"Cancer Medicine","2","Hematologic Malignancy","49","City of Hope National Med Center","9","Canadian Cancer Society","1","Ireland","1",,,,
,,,,"Ahmadi, M.","5",,,,,,,"Cells","2","Gene Expression","48","Baqiyatallah University of Medical Sciences","9","Canadian Institutes of Health Research","1","Japan","1",,,,
,,,,"Brown, C.E.","5",,,,,,,"Frontiers In Cell And Developmental Biology","2","Immunosuppressive Treatment","48","Kerman University of Medical Sciences","9","Cancerfonden","1","Kazakhstan","1",,,,
,,,,"Chartrand, M.S.","5",,,,,,,"Hematology Transfusion And Cell Therapy","2","Pathology","48","School of Medicine","9","Chinese Society of Clinical Oncology","1","Latvia","1",,,,
,,,,"Ghaffari, S.","5",,,,,,,"Human Vaccines And Immunotherapeutics","2","Cancer","47","Hematology, Oncology and Stem Cell Transplantation Research Center","9","Chulalongkorn University","1","Macao","1",,,,
,,,,"Hajifathali, A.","5",,,,,,,"Immunity Inflammation And Disease","2","Drug Therapy","46","Harvard Medical School","8","Department of Health and Aged Care, Australian Government","1","New Zealand","1",,,,
,,,,"Hassanzadeh, A.","5",,,,,,,"Immunology","2","Priority Journal","46","University of South Florida, Tampa","8","Deutsche Krebshilfe","1","Nigeria","1",,,,
,,,,"Kazemi, T.","5",,,,,,,"International Reviews Of Immunology","2","CD8+ T Lymphocyte","45","Urmia University of Medical Sciences","8","Dookie Campus, University of Melbourne","1","Pakistan","1",,,,
,,,,"Khiavi, F.M.","5",,,,,,,"Iranian Journal Of Allergy Asthma And Immunology","2","Controlled Study","45","Chulabhorn Royal Academy","8","Else Kröner-Fresenius-Stiftung","1","Portugal","1",,,,
