Scopus refine results values

"Your query : (TITLE-ABS-KEY(""chimeric antigen receptor"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 319

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","157","2025","31","Rezaei, N.","25","Medicine","199","Review","319","final","314","Frontiers In Immunology","24","Human","313","Tehran University of Medical Sciences","106","Tabriz University of Medical Sciences","15","Iran","319","Journal","318","English","318"
"Gold","124","2024","65","Mirzaei, H.R.","16","Biochemistry, Genetics and Molecular Biology","181",,,"aip","5","International Immunopharmacology","18","Review","304","Tabriz University of Medical Sciences","70","Shahid Beheshti University of Medical Sciences","14","United States","70","Book Series","1","Persian","1"
"Hybrid Gold","10","2023","56","Rahbarizadeh, F.","13","Immunology and Microbiology","84",,,,,"Cancer Cell International","12","Humans","225","School of Medicine","65","Tehran University of Medical Sciences and Health Services","13","Iraq","22",,,,
"Bronze","10","2022","68","Safarzadeh Kozani, P.","13","Pharmacology, Toxicology and Pharmaceutics","81",,,,,"Life Sciences","12","Immunotherapy","187","Shahid Beheshti University of Medical Sciences","56","National Institute for Medical Research Development","10","Canada","20",,,,
"Green","109","2021","52","Marofi, F.","12","Engineering","8",,,,,"Stem Cell Research And Therapy","12","Chimeric Antigen Receptor","176","Tarbiat Modares University","43","National Institutes of Health","6","United Kingdom","17",,,,
,,"2020","18","Safarzadeh Kozani, P.","12","Chemical Engineering","5",,,,,"Biomarker Research","9","Chimeric Antigen Receptor T-cell Immunotherapy","174","Iran University of Medical Sciences","37","U.S. Department of Health and Human Services","6","Russian Federation","15",,,,
,,"2019","12","Shomali, N.","12","Neuroscience","4",,,,,"Biomedicine And Pharmacotherapy","8","Nonhuman","163","Shiraz University of Medical Sciences","27","Mashhad University of Medical Sciences","5","India","12",,,,
,,"2018","7","Baradaran, B.","11","Chemistry","3",,,,,"Critical Reviews In Oncology Hematology","6","Cancer Immunotherapy","149","SBUMS School of Medicine","25","National Cancer Institute","5","China","11",,,,
,,"2017","4","Esmaeilzadeh, A.","11","Agricultural and Biological Sciences","2",,,,,"Journal Of Cellular Physiology","6","Adoptive Immunotherapy","134","Children's Medical Center TUMS","25","Iran University of Medical Sciences","3","Germany","11",,,,
,,"2016","5","Tahmasebi, S.","11","Materials Science","2",,,,,"Medical Oncology","6","Tumor Microenvironment","134","Immunology Research Center","25","UK Research and Innovation","3","Indonesia","10",,,,
,,"2014","1","Hadjati, J.","8","Arts and Humanities","1",,,,,"Human Immunology","5","Procedures","124","Research Center for Immunodeficiencies","24","University of Kurdistan","3","Saudi Arabia","10",,,,
,,,,"Mirzaei, H.","8","Computer Science","1",,,,,"Stem Cell Reviews And Reports","5","Neoplasms","121","Faculty of Medicine","22","Alexander von Humboldt-Stiftung","2","Thailand","9",,,,
,,,,"Akbari, B.","7","Environmental Science","1",,,,,"Cancer Gene Therapy","4","Neoplasm","120","Iranian Academic Center for Education, Culture and Research","22","Babol University of Medical Sciences","2","Sweden","8",,,,
