Scopus refine results values

"Your query : (TITLE-ABS-KEY(""checkpoint inhibit*"") AND DOCTYPE(ar))"


Number of results : 35776

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","23176","2026","1","Schadendorf, D.","147","Medicine","29508","Article","35776","final","35432","Frontiers In Immunology","1314","Human","31822","The University of Texas MD Anderson Cancer Center","1206","National Natural Science Foundation of China","5066","China","11706","Journal","35735","English","33424"
"Gold","15580","2025","3206","Ascierto, P.A.","131","Biochemistry, Genetics and Molecular Biology","16343",,,"aip","344","Journal For Immunotherapy Of Cancer","1212","Article","30717","Harvard Medical School","948","Ministry of Science and Technology of the People's Republic of China","4289","United States","10518","Book Series","36","Chinese","1047"
"Hybrid Gold","2996","2024","7042","Long, G.V.","117","Immunology and Microbiology","5652",,,,,"Frontiers In Oncology","1020","Humans","22860","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","862","National Institutes of Health","3920","Japan","4090","Trade Journal","4","Japanese","393"
"Bronze","2152","2023","6168","Choueiri, T.K.","105","Pharmacology, Toxicology and Pharmaceutics","4268",,,,,"Cancers","861","Female","19605","Dana-Farber Cancer Institute","822","U.S. Department of Health and Human Services","3384","Germany","2691","Conference Proceeding","1","German","378"
"Green","17899","2022","6014","Zimmer, L.","103","Chemistry","1163",,,,,"Cancer Immunology Immunotherapy","509","Immune Checkpoint Inhibitor","19309","Ministry of Education of the People's Republic of China","803","National Cancer Institute","2846","Italy","2142",,,"French","235"
,,"2021","5356","Sullivan, R.J.","101","Chemical Engineering","875",,,,,"Clinical Cancer Research","446","Male","18207","Memorial Sloan-Kettering Cancer Center","798","Bristol-Myers Squibb","1285","France","2057",,,"Russian","192"
,,"2020","3302","Dummer, R.","97","Multidisciplinary","870",,,,,"BMC Cancer","444","Adult","15004","Inserm","739","Ministry of Education, Culture, Sports, Science and Technology","1130","United Kingdom","1766",,,"Spanish","73"
,,"2019","1852","Cortellini, A.","93","Engineering","801",,,,,"European Journal Of Cancer","416","Controlled Study","14598","Fudan University","642","Japan Society for the Promotion of Science","1097","Canada","1228",,,"Czech","63"
,,"2018","1217","Gutzmer, R.","91","Materials Science","747",,,,,"Nature Communications","390","Immunotherapy","13712","German Cancer Research Center","627","Roche","945","Spain","1173",,,"Hungarian","36"
,,"2017","764","Ugurel, S.","91","Physics and Astronomy","729",,,,,"Oncoimmunology","371","Aged","13025","Massachusetts General Hospital","604","AstraZeneca","939","South Korea","1103",,,"Korean","18"
,,"2016","444","Pinato, D.J.","90","Neuroscience","644",,,,,"Cancer Medicine","355","Immune Checkpoint Inhibitors","12546","Sun Yat-Sen University Cancer Center","545","Merck","921","Australia","1027",,,"Italian","16"
,,"2015","200","Menzies, A.M.","89","Computer Science","481",,,,,"Scientific Reports","346","Cancer Immunotherapy","11840","Institut de Cancerologie Gustave Roussy","521","National Key Research and Development Program of China","892","Netherlands","980",,,"Dutch","12"
,,"2014","62","Wang, Y.","89","Nursing","260",,,,,"Thoracic Cancer","312","Overall Survival","10595","Shanghai Jiao Tong University School of Medicine","521","Pfizer","813","Switzerland","954",,,"Danish","8"
,,"2013","22","Hassel, J.C.","88","Health Professions","211",,,,,"International Journal Of Molecular Sciences","289","Major Clinical Study","9977","Brigham and Women's Hospital","518","European Commission","723","Belgium","596",,,"Polish","8"
,,"2012","16","Robert, C.","88","Agricultural and Biological Sciences","208",,,,,"Oncologist","278","Programmed Death 1 Ligand 1","9843","AP-HP Assistance Publique - Hopitaux de Paris","511","Novartis","668","Taiwan","561",,,"Slovak","7"
,,"2011","10","Buti, S.","87","Mathematics","117",,,,,"Immunotherapy","244","Pathology","9728","Weill Cornell Medicine","508","Guangdong Provincial Department of Science and Technology","495","Austria","458",,,"Portuguese","6"
,,"2010","9","Reynolds, K.L.","87","Dentistry","109",,,,,"International Immunopharmacology","243","Middle Aged","9676","Huazhong University of Science and Technology","491","Deutsche Forschungsgemeinschaft","472","Russian Federation","385",,,"Ukrainian","5"
,,"2009","9","Powles, T.","85","Environmental Science","98",,,,,"Lung Cancer","242","Nivolumab","9090","Sun Yat-Sen University","490","China Postdoctoral Science Foundation","454","Israel","371",,,"Swedish","4"
,,"2008","9","Carlino, M.S.","82","Social Sciences","63",,,,,"Journal Of Cancer Research And Clinical Oncology","228","Pembrolizumab","8587","Chinese Academy of Sciences","470","National Research Foundation of Korea","454","Sweden","342",,,"Croatian","3"
,,"2007","10","Hodi, F.S.","78","Veterinary","30",,,,,"Frontiers In Genetics","210","Human Tissue","8108","Tongji Medical College of Huazhong University of Science and Technology","453","Horizon 2020 Framework Programme","390","Denmark","321",,,"Bulgarian","2"
,,"2006","11","Blank, C.U.","77","Psychology","20",,,,,"Cancer Immunology Research","208","Programmed Death 1 Receptor","7740","Université Paris-Saclay","435","Science and Technology Commission of Shanghai Municipality","373","Poland","314",,,"Slovenian","2"
,,"2005","5","Larkin, J.","75","Earth and Planetary Sciences","13",,,,,"Medicine United States","204","Tumor Microenvironment","7688","Southern Medical University","434","Eli Lilly and Company","372","India","313",,,"Turkish","2"
,,"2004","9","Besse, B.","73","Decision Sciences","10",,,,,"Clinical Lung Cancer","201","Clinical Article","7625","Zhejiang University School of Medicine","429","Ministry of Education of the People's Republic of China","364","Greece","311",,,"Finnish","1"
,,"2003","8","Grivas, P.","73","Business, Management and Accounting","7",,,,,"Anticancer Research","198","Retrospective Study","7494","Sichuan University","424","Boehringer Ingelheim","352","Brazil","285",,,"Persian","1"
,,"2002","4","Livingstone, E.","72","Economics, Econometrics and Finance","6",,,,,"Journal Of Immunotherapy","182","Progression Free Survival","7350","West China School of Medicine/West China Hospital of Sichuan University","420","U.S. Department of Defense","349","Turkey","278",,,"Serbian","1"
,,"2001","7","Meier, F.","67","Arts and Humanities","3",,,,,"Frontiers In Pharmacology","177","Unclassified Drug","7048","Central South University","411","Amgen","345","Singapore","256",,,"catalan","1"
,,"2000","3","Awad, M.M.","64","Energy","1",,,,,"Translational Lung Cancer Research","177","Genetics","7029","National Cancer Institute NCI","391","Fundamental Research Funds for the Central Universities","331","Hong Kong","222",,,,
,,"1999","2","Hellmann, M.D.","64",,,,,,,"ESMO Open","171","Cohort Analysis","6631","Johns Hopkins University School of Medicine","386","Meso Scale Diagnostics","325","Czech Republic","216",,,,
,,"1998","5","Shen, L.","64",,,,,,,"Journal Of Translational Medicine","162","Immunology","6566","Capital Medical University","383","Genentech","310","Hungary","189",,,,
,,"1997","4","Heinzerling, L.","63",,,,,,,"Cancer Discovery","160","Nonhuman","6562","Mayo Clinic","382","Merck Sharp and Dohme","307","Norway","168",,,,
,,"1996","3","Marabelle, A.","62",,,,,,,"Cancer Research","160","Metabolism","6403","Fudan University Shanghai Cancer Center","377","Natural Science Foundation of Guangdong Province","305","Portugal","144",,,,
,,"1995","2","Loquai, C.","61",,,,,,,"Journal Of Oncology Pharmacy Practice","147","Human Cell","6384","The Sidney Kimmel Comprehensive Cancer Center","372","GlaxoSmithKline","302","Ireland","138",,,,
,,,,"Svane, I.M.","61",,,,,,,"Case Reports In Oncology","142","Non Small Cell Lung Cancer","6264","Nanjing Medical University","371","Ministry of Finance","279","Finland","122",,,,
,,,,"Zhang, L.","60",,,,,,,"Plos One","141","Antineoplastic Agent","6159","Yale School of Medicine","368","Japan Agency for Medical Research and Development","274","Egypt","118",,,,
,,,,"Ricciuti, B.","58",,,,,,,"Clinical Genitourinary Cancer","139","Cancer Survival","5991","University of California, San Francisco","368","National Health and Medical Research Council","274","Mexico","109",,,,
,,,,"Kurzrock, R.","57",,,,,,,"Oncology Letters","137","CD8+ T Lymphocyte","5946","Université Paris Cité","356","National Center for Advancing Translational Sciences","271","Iran","108",,,,
,,,,"Naidoo, J.","57",,,,,,,"Current Oncology","135","Mouse","5879","Moffitt Cancer Center","346","Bayer","262","Thailand","98",,,,
,,,,"Suijkerbuijk, K.P.M.","57",,,,,,,"Future Oncology","133","Treatment Response","5859","Universitätsklinikum Essen","345","Sanofi","256","Romania","93",,,,
,,,,"Bersanelli, M.","56",,,,,,,"Journal Of Clinical Oncology","132","Protein Expression","5778","The Netherlands Cancer Institute","339","UK Research and Innovation","245","Saudi Arabia","91",,,,
,,,,"Forschner, A.","56",,,,,,,"Discover Oncology","130","Cancer Patient","5722","Fondazione IRCCS Istituto Nazionale dei Tumori, Milan","337","Basic and Applied Basic Research Foundation of Guangdong Province","244","Argentina","86",,,,
,,,,"Garbe, C.","56",,,,,,,"Oncotarget","129","Cancer Prognosis","5628","Zhongshan Hospital","330","Department of Health and Aged Care, Australian Government","241","New Zealand","69",,,,
,,,,"Albiges, L.","55",,,,,,,"Melanoma Research","126","Drug Efficacy","5573","Shanghai Jiao Tong University","328","Eisai","240","Lebanon","65",,,,
,,,,"Diab, A.","55",,,,,,,"Cancer Science","122","Immunohistochemistry","5500","Fujian Medical University","326","Department of Science and Technology of Shandong Province","237","Chile","61",,,,
,,,,"Johnson, D.B.","55",,,,,,,"Annals Of Oncology","120","Melanoma","5476","Shandong First Medical University &amp; Shandong Academy of Medical Sciences","325","Merck KGaA","237","Macao","61",,,,
,,,,"Haanen, J.B.A.G.","54",,,,,,,"British Journal Of Cancer","120","Cancer Staging","5410","Universitätsklinikum Heidelberg","321","AbbVie","236","Slovenia","58",,,,
,,,,"Hospers, G.A.P.","54",,,,,,,"Journal Of Clinical Medicine","118","Follow Up","5304","National Institutes of Health NIH","320","Associazione Italiana per la Ricerca sul Cancro","236","Jordan","46",,,,
,,,,"Ohe, Y.","54",,,,,,,"Frontiers In Cell And Developmental Biology","116","Lung Neoplasms","5288","Zhejiang University","317","Natural Science Foundation of Shandong Province","232","Colombia","44",,,,
,,,,"Agarwal, N.","53",,,,,,,"Therapeutic Advances In Medical Oncology","115","Lung Tumor","5196","Zhengzhou University","304","University of Texas MD Anderson Cancer Center","228","Pakistan","44",,,,
,,,,"Atkins, M.B.","53",,,,,,,"International Journal Of Cancer","114","Animal Experiment","4973","University of Washington","302","American Cancer Society","223","Qatar","44",,,,
,,,,"Johnson, D.B.","53",,,,,,,"Cancer","113","Animals","4932","Cleveland Clinic Foundation","300","National Institute of General Medical Sciences","222","Croatia","43",,,,
,,,,"Kudo, M.","53",,,,,,,"Cancer Letters","111","Animal","4898","UT Southwestern Medical Center","299","European Research Council","214","Serbia","43",,,,
,,,,"Luke, J.J.","53",,,,,,,"Cancer Cell","109","Procedures","4835","The University of Sydney","298","National Science Foundation","210","Cyprus","41",,,,
,,,,"Naing, A.","53",,,,,,,"Chinese Journal Of Lung Cancer","109","Ipilimumab","4798","CNRS Centre National de la Recherche Scientifique","296","Ministry of Health and Welfare","207","United Arab Emirates","41",,,,
,,,,"Pal, S.K.","53",,,,,,,"Journal Of Thoracic Oncology","103","Animal Model","4681","Peking Union Medical College Hospital","292","Cancer Research UK","205","South Africa","39",,,,
,,,,"Santini, D.","53",,,,,,,"BMJ Case Reports","102","Prognosis","4648","National Cancer Center Hospital","292","Takeda Pharmaceutical Company","203","Ukraine","32",,,,
,,,,"Scolyer, R.A.","53",,,,,,,"Clinical And Translational Oncology","101","Retrospective Studies","4622","Princess Margaret Cancer Centre","288","Natural Science Foundation of Zhejiang Province","199","Malaysia","31",,,,
,,,,"Wang, J.","53",,,,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","100","Case Report","4567","University of Pennsylvania","287","Johnson and Johnson","198","Indonesia","28",,,,
,,,,"Brahmer, J.R.","52",,,,,,,"Cells","99","Priority Journal","4318","Fred Hutchinson Cancer Center","287","Science and Technology Department of Zhejiang Province","191","Morocco","26",,,,
,,,,"Dalle, S.","52",,,,,,,"Journal Of Thoracic Disease","99","Treatment Outcome","4248","Klinikum der Universität München","286","National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization","190","Peru","26",,,,
,,,,"Flatz, L.","52",,,,,,,"Investigational New Drugs","95","Drug Therapy","4207","University of Toronto","283","National Institute of Allergy and Infectious Diseases","185","Georgia","24",,,,
,,,,"Kapiteijn, E.","52",,,,,,,"JAMA Oncology","95","Gene Expression","4203","Sorbonne Université","281","Ono Pharmaceutical","185","Slovakia","23",,,,
,,,,"Terheyden, P.","52",,,,,,,"Journal Of Cancer","95","Monoclonal Antibody","4197","Charité – Universitätsmedizin Berlin","281","Jiangsu Provincial Department of Science and Technology","183","Lithuania","20",,,,
,,,,"Wang, M.","52",,,,,,,"Journal Of Controlled Release","94","Mice","4154","Ludwig-Maximilians-Universität München","280","Ministerio de Economía y Competitividad","183","Luxembourg","20",,,,
,,,,"Ahn, M.J.","51",,,,,,,"Aging","90","Cancer Chemotherapy","4146","General Hospital of People's Liberation Army","275","Auris Health","182","Philippines","17",,,,
,,,,"Hamid, O.","51",,,,,,,"Internal Medicine","89","Atezolizumab","4068","Vanderbilt University Medical Center","274","Government of Canada","181","Viet Nam","17",,,,
,,,,"Necchi, A.","51",,,,,,,"Japanese Journal Of Lung Cancer","88","Immune Response","4067","Johns Hopkins University","273","Ministry of Science, ICT and Future Planning","181","Bulgaria","14",,,,
,,,,"Postow, M.A.","51",,,,,,,"Translational Cancer Research","88","Neoplasm","3820","University of Chinese Academy of Sciences","273","University of Texas System","181","Oman","14",,,,
,,,,"Bilen, M.A.","50",,,,,,,"Journal Of Clinical Investigation","87","Neoplasms","3792","Icahn School of Medicine at Mount Sinai","270","Chinese Academy of Meteorological Sciences","180","Türkiye","14",,,,
,,,,"Ghiringhelli, F.","50",,,,,,,"Cell Reports","86","Advanced Cancer","3765","University of Texas Health Science Center at Houston","270","Guangzhou Science, Technology and Innovation Commission","179","Estonia","10",,,,
,,,,"Peters, S.","50",,,,,,,"International Journal Of Clinical Oncology","86","B7-H1 Antigen","3745","Guangzhou Medical University","268","Cancer Prevention and Research Institute of Texas","173","Algeria","9",,,,
,,,,"Stenzinger, A.","50",,,,,,,"Translational Oncology","86","Programmed Cell Death 1 Receptor","3677","Beijing Cancer Hospital","265","Chugai Pharmaceutical","172","Bangladesh","9",,,,
,,,,"Altan, M.","49",,,,,,,"Advanced Science","85","Flow Cytometry","3604","City of Hope National Med Center","264","Natural Science Foundation of Jiangsu Province","172","Iceland","9",,,,
,,,,"Massari, F.","49",,,,,,,"Heliyon","85","Drug Safety","3593","Tongji University School of Medicine","264","Beijing Municipal Science and Technology Commission, Adminitrative Commission of Zhongguancun Science Park","170","Kazakhstan","9",,,,
,,,,"Giannarelli, D.","48",,,,,,,"Theranostics","85","Very Elderly","3572","University of California, San Diego","263","Ministero della Salute","169","Puerto Rico","9",,,,
,,,,"Gulley, J.L.","48",,,,,,,"JAMA Network Open","84","Carcinoma, Non-Small-Cell Lung","3568","UniversitatsSpital Zurich","261","Gilead Sciences","166","Belarus","8",,,,
,,,,"Marchetti, P.","48",,,,,,,"Jto Clinical And Research Reports","83","Multiple Cycle Treatment","3483","Bristol-Myers Squibb","259","Instituto de Salud Carlos III","166","Costa Rica","8",,,,
,,,,"Reck, M.","48",,,,,,,"Nature Medicine","83","Animal Cell","3463","Harbin Medical University","258","National Institute of Diabetes and Digestive and Kidney Diseases","162","Malta","8",,,,
,,,,"Tiseo, M.","48",,,,,,,"Cell Reports Medicine","82","Antineoplastic Activity","3400","Stanford University School of Medicine","258","Astellas Pharma US","161","Tunisia","8",,,,
,,,,"Wolchok, J.D.","48",,,,,,,"Molecular Cancer Therapeutics","82","Computer Assisted Tomography","3376","David Geffen School of Medicine at UCLA","255","Canadian Institutes of Health Research","161","Bosnia and Herzegovina","7",,,,
,,,,"Berking, C.","47",,,,,,,"Journal Of The American Academy Of Dermatology","81","Tumor Marker","3365","Tianjin Medical University Cancer Institute &amp; Hospital","252","Melanoma Research Alliance","161","Cuba","7",,,,
,,,,"Heymach, J.V.","47",,,,,,,"Journal Of Oncology","79","Tumor Volume","3264","University of California, Los Angeles","251","National Heart, Lung, and Blood Institute","161","Paraguay","7",,,,
,,,,"Leiter, U.","47",,,,,,,"Frontiers In Medicine","78","Animal Tissue","3251","University of Michigan, Ann Arbor","243","National Institute for Health and Care Research","156","Syrian Arab Republic","7",,,,
,,,,"Motzer, R.J.","47",,,,,,,"Human Vaccines And Immunotherapeutics","78","Cell Infiltration","3088","Shandong University","239","European Regional Development Fund","154","Yemen","7",,,,
,,,,"Puzanov, I.","47",,,,,,,"Japanese Journal Of Cancer And Chemotherapy","78","Gene Mutation","3071","Istituto Nazionale Tumori IRCCS - Fondazione G Pascale, Napoli","238","Sichuan University","152","Ecuador","6",,,,
,,,,"Routy, B.","47",,,,,,,"Lancet Oncology","78","Clinical Outcome","3063","UCSF School of Medicine","232","EMD Serono","151","Iraq","6",,,,
,,,,"Xu, Y.","47",,,,,,,"Japanese Journal Of Clinical Oncology","77","T Lymphocyte","3027","Emory University","231","Wellcome Trust","150","Uzbekistan","6",,,,
,,,,"Galsky, M.D.","46",,,,,,,"JCO Precision Oncology","76","Tumor Associated Leukocyte","3011","China Medical University Shenyang","231","Celgene","149","Armenia","5",,,,
,,,,"Kaira, K.","46",,,,,,,"Npj Precision Oncology","76","Cytotoxic T Lymphocyte Antigen 4","3006","Peter Maccallum Cancer Centre","231","Daiichi-Sankyo","147","Kenya","5",,,,
,,,,"McKay, R.R.","46",,,,,,,"Anti Cancer Drugs","75","Immunocompetent Cell","3006","The University of Chicago","230","Janssen Pharmaceuticals","147","Moldova","5",,,,
,,,,"Yamamoto, N.","46",,,,,,,"Biomaterials","75","CD4+ T Lymphocyte","2969","Samsung Medical Center, Sungkyunkwan university","229","F. Hoffmann-La Roche","144","Monaco","5",,,,
,,,,"Grob, J.J.","45",,,,,,,"Biomedicines","74","Monotherapy","2952","Imperial College London","227","Exelixis","143","Nigeria","5",,,,
,,,,"Loriot, Y.","45",,,,,,,"Chinese Journal Of Clinical Oncology","73","Tumor Cell Line","2896","SKKU School of Medicine","225","Natural Science Foundation of Beijing Municipality","143","North Macedonia","5",,,,
,,,,"Neyns, B.","45",,,,,,,"Journal Of Gastrointestinal Oncology","73","Cell Line, Tumor","2888","Medizinische Universität Wien","223","Department of Science and Technology of Hunan Province","141","Uruguay","5",,,,
,,,,"Ross, J.S.","45",,,,,,,"Gan To Kagaku Ryoho Cancer Chemotherapy","72","Drug Effect","2848","Washington University School of Medicine in St. Louis","222","Deutsche Krebshilfe","139","Cameroon","4",,,,
,,,,"Utikal, J.","45",,,,,,,"Journal Of Experimental And Clinical Cancer Research","72","Drug Withdrawal","2837","Shandong Cancer Hospital","221","Medical Research Council","134","Kuwait","4",,,,
,,,,"Barlesi, F.","44",,,,,,,"Jci Insight","71","Mortality","2818","University of Melbourne","220","Science and Technology Department of Sichuan Province","134","Libya","4",,,,
,,,,"Felip, E.","44",,,,,,,"In Vivo","70","Immunological Antineoplastic Agent","2775","Zhejiang Cancer Hospital","219","Ipsen","133","Nepal","4",,,,
,,,,"Nakagawa, K.","44",,,,,,,"Nature Cancer","70","Aged, 80 And Over","2708","Baylor College of Medicine","217","Ministry of Science and Technology, Taiwan","131","Palestine","4",,,,
,,,,"Naqash, A.R.","44",,,,,,,"Annals Of Surgical Oncology","69","Clinical Trial","2677","UT Southwestern Medical School","217","Parker Institute for Cancer Immunotherapy","121","Azerbaijan","3",,,,
,,,,"Rini, B.I.","44",,,,,,,"Cancer Management And Research","69","Biomarkers, Tumor","2664","The First Affiliated Hospital, Zhejiang University School of Medicine","216","Astellas Pharma","118","Ethiopia","3",,,,
,,,,"Sharon, E.","44",,,,,,,"Science Translational Medicine","69","Biological Marker","2658","Northwestern University Feinberg School of Medicine","214","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","118","New Caledonia","3",,,,
,,,,"Takayama, K.","44",,,,,,,"ACS Nano","68","Gamma Interferon","2632","Xiangya Hospital Central South University","213","Les Laboratories Pierre Fabre","117","Venezuela","3",,,,
,,,,"Wang, H.","44",,,,,,,"Cancer Research Communications","64","Metastasis","2624","First Affiliated Hospital of Zhengzhou University","212","Bundesministerium für Bildung und Forschung","115","Congo","2",,,,
,,,,"Aarts, M.J.B.","43",,,,,,,"Expert Review Of Anticancer Therapy","64","Cisplatin","2614","The Ohio State University","211","Guangzhou Municipal Science and Technology Project","115","Dominican Republic","2",,,,
,,,,"Becker, J.C.","43",,,,,,,"World Journal Of Gastrointestinal Oncology","64","Tumor Immunity","2612","Stanford University","210","Korea Health Industry Development Institute","115","Ghana","2",,,,
,,,,"Forde, P.M.","43",,,,,,,"Gynecologic Oncology","63","Adverse Event","2595","Union Hospital, Tongji Medical College, Huazhong University of Science and Technology","209","Science, Technology and Innovation Commission of Shenzhen Municipality","115","Guadeloupe","2",,,,
,,,,"Giusti, R.","43",,,,,,,"International Journal Of Radiation Oncology Biology Physics","63","Tumor Growth","2587","Nanchang University","208","Chinese Academy of Sciences","113","Guatemala","2",,,,
,,,,"McDermott, D.F.","43",,,,,,,"Journal Of Medicinal Chemistry","63","Antineoplastic Combined Chemotherapy Protocols","2578","Jiangsu Province Hospital","208","Ligue Contre le Cancer","112","Kyrgyzstan","2",,,,
,,,,"Santoro, A.","43",,,,,,,"Cancer Cell International","62","Paclitaxel","2564","UPMC Hillman Cancer Center","205","Natural Science Foundation of Fujian Province","110","Latvia","2",,,,
,,,,"Sharma, P.","43",,,,,,,"Cell Death And Disease","62","Lung Cancer","2558","National Cancer Center Hospital East","204","Breast Cancer Research Foundation","107","Liechtenstein","2",,,,
,,,,"Su, C.","43",,,,,,,"Cancer Research On Prevention And Treatment","61","Fatigue","2504","Leids Universitair Medisch Centrum","204","Sun Yat-sen University","105","North Korea","2",,,,
,,,,"Zubiri, L.","43",,,,,,,"Revue Des Maladies Respiratoires Actualites","61","Carboplatin","2456","Emory University School of Medicine","203","Chinese Academy of Medical Sciences","104","Sri Lanka","2",,,,
,,,,"Garassino, M.C.","42",,,,,,,"Journal Of Nanobiotechnology","60","Durvalumab","2453","Tianjin Medical University","201","Wu Jieping Medical Foundation","102","Tanzania","2",,,,
,,,,"Horinouchi, H.","42",,,,,,,"Oncotargets And Therapy","60","Antibodies, Monoclonal, Humanized","2436","The University of North Carolina at Chapel Hill","200","Beijing Xisike Clinical Oncology Research Foundation","101","Albania","1",,,,
,,,,"Keam, B.","42",,,,,,,"Targeted Oncology","59","Upregulation","2424","Aix Marseille Université","200","Taiho Pharmaceutical","101","Antigua and Barbuda","1",,,,
,,,,"Kondo, T.","42",,,,,,,"Adverse Drug Reactions Journal","58","Diarrhea","2380","NYU Langone Health","199","U.S. Department of Veterans Affairs","100","Bahrain","1",,,,
,,,,"Piersma, D.","42",,,,,,,"Jaad Case Reports","58","Nuclear Magnetic Resonance Imaging","2358","Tongji University","199","American Society of Clinical Oncology","98","Bolivia","1",,,,
,,,,"Planchard, D.","42",,,,,,,"Urologic Oncology Seminars And Original Investigations","58","Liver Cell Carcinoma","2337","Yonsei University College of Medicine","196","Shanghai Municipal Health Commission","97","Brunei Darussalam","1",,,,
,,,,"Xiu, J.","42",,,,,,,"Journal Of Medical Case Reports","56","Pneumonia","2328","Technische Universität München","196","Bayer Fund","96","Burkina Faso","1",,,,
,,,,"Zhou, C.","42",,,,,,,"Supportive Care In Cancer","56","Antineoplastic Agents, Immunological","2279","Columbia University Irving Medical Center","196","National Cancer Center","96","Chad","1",,,,
