Scopus refine results values

"Your query : (TITLE-ABS-KEY(""checkpoint inhibit*""))"


Number of results : 61125

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","37966","2026","1","Ascierto, P.A.","178","Medicine","50885","Article","35776","final","60566","Frontiers In Immunology","2456","Human","54479","The University of Texas MD Anderson Cancer Center","2017","National Natural Science Foundation of China","7064","United States","19091","Journal","59887","English","57781"
"Gold","25103","2025","4878","Schadendorf, D.","173","Biochemistry, Genetics and Molecular Biology","26945","Review","18789","aip","559","Cancers","2194","Humans","38154","Harvard Medical School","1591","Ministry of Science and Technology of the People's Republic of China","5863","China","16602","Book","732","Chinese","1420"
"Hybrid Gold","4924","2024","10982","Long, G.V.","149","Immunology and Microbiology","9094","Editorial","1555",,,"Frontiers In Oncology","1793","Immune Checkpoint Inhibitor","34502","Inserm","1294","National Institutes of Health","5815","Japan","5454","Book Series","435","German","722"
"Bronze","4197","2023","10472","Powles, T.","134","Pharmacology, Toxicology and Pharmaceutics","7031","Letter","1535",,,"Journal For Immunotherapy Of Cancer","1479","Article","30959","Memorial Sloan-Kettering Cancer Center","1288","U.S. Department of Health and Human Services","4825","Italy","4797","Conference Proceeding","63","Japanese","501"
"Green","28618","2022","10032","Choueiri, T.K.","132","Chemistry","1939","Note","1434",,,"International Journal Of Molecular Sciences","894","Immunotherapy","26072","Dana-Farber Cancer Institute","1239","National Cancer Institute","4133","Germany","4301","Trade Journal","8","French","397"
,,"2021","9477","Sullivan, R.J.","131","Chemical Engineering","1625","Book Chapter","1050",,,"Cancer Immunology Immunotherapy","603","Cancer Immunotherapy","23183","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","1181","Bristol-Myers Squibb","1828","France","3632",,,"Russian","265"
,,"2020","5838","Pinato, D.J.","130","Computer Science","1173","Short Survey","415",,,"European Journal Of Cancer","582","Female","22104","Ministry of Education of the People's Republic of China","1126","AstraZeneca","1444","United Kingdom","3250",,,"Spanish","108"
,,"2019","3493","Robert, C.","126","Neuroscience","1041","Erratum","279",,,"Clinical Cancer Research","536","Male","20188","Massachusetts General Hospital","937","Japan Society for the Promotion of Science","1434","Spain","2144",,,"Czech","92"
,,"2018","2462","Besse, B.","124","Engineering","1033","Conference Paper","230",,,"Immunotherapy","480","Immune Checkpoint Inhibitors","19802","Institut de Cancerologie Gustave Roussy","919","Ministry of Education, Culture, Sports, Science and Technology","1433","Canada","2030",,,"Hungarian","39"
,,"2017","1702","Massari, F.","124","Multidisciplinary","960","Book","27",,,"BMC Cancer","464","Review","16934","German Cancer Research Center","904","Roche","1402","Australia","1712",,,"Italian","26"
