Scopus refine results values

"Your query : (TITLE-ABS-KEY(""checkpoint inhibit*"") AND DOCTYPE(re))"


Number of results : 18789

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","11770","2025","1176","Rizzo, A.","59","Medicine","15660","Review","18789","final","18623","Cancers","1260","Human","17390","The University of Texas MD Anderson Cancer Center","550","National Natural Science Foundation of China","1817","United States","6157","Journal","18755","English","17888"
"Gold","7974","2024","2805","Massari, F.","57","Biochemistry, Genetics and Molecular Biology","8199",,,"aip","166","Frontiers In Immunology","936","Review","16861","Harvard Medical School","461","National Institutes of Health","1558","China","4126","Book Series","34","Chinese","364"
"Hybrid Gold","1618","2023","3153","Curigliano, G.","49","Immunology and Microbiology","2620",,,,,"Frontiers In Oncology","626","Humans","11790","Inserm","376","Ministry of Science and Technology of the People's Republic of China","1431","Italy","2105",,,"German","278"
"Bronze","1155","2022","2988","Santoni, M.","43","Pharmacology, Toxicology and Pharmaceutics","2342",,,,,"International Journal Of Molecular Sciences","574","Immune Checkpoint Inhibitor","11266","Memorial Sloan-Kettering Cancer Center","346","U.S. Department of Health and Human Services","1180","Germany","1190",,,"French","104"
"Green","8971","2021","3107","Kourie, H.R.","41","Chemistry","727",,,,,"Critical Reviews In Oncology Hematology","262","Immunotherapy","10237","Dana-Farber Cancer Institute","307","National Cancer Institute","1048","United Kingdom","1102",,,"Japanese","94"
,,"2020","1915","Mollica, V.","41","Chemical Engineering","694",,,,,"Cancer Treatment Reviews","221","Cancer Immunotherapy","9147","Ministry of Education of the People's Republic of China","280","Bristol-Myers Squibb","406","France","1078",,,"Russian","70"
,,"2019","1237","Shariat, S.F.","40","Computer Science","604",,,,,"Immunotherapy","193","Pembrolizumab","6121","Institut de Cancerologie Gustave Roussy","275","AstraZeneca","363","Japan","922",,,"Czech","28"
,,"2018","922","Silvestris, N.","40","Neuroscience","297",,,,,"Current Oncology Reports","182","Nivolumab","5955","Weill Cornell Medicine","273","Roche","322","Spain","738",,,"Spanish","25"
,,"2017","735","Rezaei, N.","37","Engineering","161",,,,,"Journal For Immunotherapy Of Cancer","164","Immune Checkpoint Inhibitors","5778","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","253","European Commission","313","Canada","597",,,"Italian","10"
,,"2016","446","Porta, C.","36","Nursing","161",,,,,"Journal Of Clinical Medicine","154","Nonhuman","5761","Sichuan University","250","Merck","311","India","517",,,"Danish","7"
,,"2015","193","Ascierto, P.A.","34","Materials Science","135",,,,,"Current Opinion In Oncology","149","Tumor Microenvironment","5654","West China School of Medicine/West China Hospital of Sichuan University","247","Pfizer","290","Australia","507",,,"Polish","5"
,,"2014","65","Baradaran, B.","34","Agricultural and Biological Sciences","94",,,,,"International Immunopharmacology","146","Programmed Death 1 Ligand 1","5060","AP-HP Assistance Publique - Hopitaux de Paris","225","Japan Society for the Promotion of Science","262","Netherlands","455",,,"Portuguese","3"
,,"2013","16","Besse, B.","34","Health Professions","75",,,,,"Current Treatment Options In Oncology","144","Ipilimumab","4455","Massachusetts General Hospital","223","Ministry of Education, Culture, Sports, Science and Technology","238","Switzerland","442",,,"Korean","2"
,,"2012","2","Mortezaee, K.","34","Multidisciplinary","54",,,,,"Frontiers In Pharmacology","144","Programmed Death 1 Receptor","4067","Université Paris-Saclay","221","National Key Research and Development Program of China","238","Iran","403",,,"Turkish","2"
,,"2011","9","Remon, J.","34","Physics and Astronomy","54",,,,,"Future Oncology","136","Immunology","4055","Brigham and Women's Hospital","218","Novartis","228","South Korea","328",,,"Ukrainian","2"
,,"2010","1","Montironi, R.","32","Dentistry","46",,,,,"Cells","129","Overall Survival","3971","German Cancer Research Center","211","Associazione Italiana per la Ricerca sul Cancro","219","Austria","324",,,"Dutch","1"
,,"2008","3","Powles, T.","32","Environmental Science","37",,,,,"Therapeutic Advances In Medical Oncology","125","Neoplasms","3965","Mayo Clinic","209","U.S. Department of Defense","177","Belgium","299",,,"Greek","1"
,,"2007","3","Peters, S.","30","Earth and Planetary Sciences","33",,,,,"Biomedicines","123","Antineoplastic Agent","3945","Yale School of Medicine","199","UK Research and Innovation","171","Greece","296",,,"Hungarian","1"
,,"2006","3","Tortora, G.","30","Veterinary","25",,,,,"Expert Review Of Anticancer Therapy","122","Atezolizumab","3877","National Cancer Institute NCI","194","Horizon 2020 Framework Programme","170","Poland","264",,,"Serbian","1"
,,"2005","1","Johnson, D.B.","29","Social Sciences","17",,,,,"Current Oncology","114","Neoplasm","3874","National Institutes of Health NIH","191","Deutsche Forschungsgemeinschaft","151","Brazil","210",,,"Slovak","1"
,,"2004","5","Kudo, M.","29","Mathematics","6",,,,,"Seminars In Cancer Biology","113","Unclassified Drug","3843","Huazhong University of Science and Technology","185","Ministero della Salute","151","Russian Federation","203",,,,
,,"2003","1","Gridelli, C.","28","Arts and Humanities","5",,,,,"Translational Lung Cancer Research","111","Procedures","3840","Medizinische Universität Wien","183","National Research Foundation of Korea","146","Taiwan","173",,,,
,,"2002","1","Marabelle, A.","28","Psychology","5",,,,,"Nature Reviews Clinical Oncology","106","Pathology","3638","Università degli Studi di Milano","175","China Postdoctoral Science Foundation","140","Saudi Arabia","159",,,,
,,"2001","1","Pinato, D.J.","28","Energy","2",,,,,"Expert Opinion On Biological Therapy","97","Immune Response","3387","Johns Hopkins University School of Medicine","173","Instituto de Salud Carlos III","126","Sweden","155",,,,
