Scopus refine results values

"Your query : (TITLE-ABS-KEY(""checkpoint inhibit*"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 108

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","54","2025","12","Baradaran, B.","8","Medicine","69","Article","108","final","107","Cancers","6","Article","97","Shahid Beheshti University of Medical Sciences","21","Tabriz University of Medical Sciences","8","Iran","108","Journal","107","English","107"
"Gold","41","2024","29","Asgarian-Omran, H.","5","Biochemistry, Genetics and Molecular Biology","45",,,"aip","1","Iranian Journal Of Basic Medical Sciences","4","Human","96","Tabriz University of Medical Sciences","21","National Institute for Medical Research Development","7","United States","26","Book Series","1","Persian","1"
"Hybrid Gold","6","2023","25","Bose, S.","5","Pharmacology, Toxicology and Pharmaceutics","21",,,,,"Frontiers In Oncology","3","Humans","66","Shiraz University of Medical Sciences","19","Shahid Beheshti University of Medical Sciences","7","Canada","12",,,,
"Bronze","1","2022","17","Giap, H.","5","Immunology and Microbiology","19",,,,,"International Immunopharmacology","3","Immune Checkpoint Inhibitor","62","Tehran University of Medical Sciences","15","Mazandaran University of Medical Sciences","6","Italy","12",,,,
"Green","36","2021","15","Gorobets, O.","5","Neuroscience","4",,,,,"Iranian Journal Of Allergy Asthma And Immunology","3","Female","47","Iran University of Medical Sciences","13","Shiraz University of Medical Sciences","6","China","10",,,,
,,"2020","5","Loganadane, G.","5","Computer Science","3",,,,,"Scientific Reports","3","Controlled Study","46","Mashhad University of Medical Sciences","12","Iran University of Medical Sciences","4","Austria","9",,,,
,,"2019","3","Mohammadianpanah, M.","5","Engineering","3",,,,,"Cell Journal","2","Human Cell","39","Faculty of Medicine","12","Tehran University of Medical Sciences and Health Services","4","Germany","9",,,,
,,"2018","1","Nguyen, N.P.","5","Multidisciplinary","3",,,,,"Clinical Nuclear Medicine","2","Immunotherapy","38","Immunology Research Center","12","Mashhad University of Medical Sciences","3","France","8",,,,
,,"2017","1","Vinh-Hung, V.","5","Chemistry","2",,,,,"Computers In Biology And Medicine","2","Cancer Immunotherapy","37","Mazandaran University of Medical Sciences","9","National Institutes of Health","3","Spain","8",,,,
,,,,"Arenas, M.","4","Materials Science","2",,,,,"European Journal Of Nuclear Medicine And Molecular Imaging","2","Protein Expression","34","Faculty of Medicine MAZUMS","8","Pasteur Institute of Iran","3","Jordan","7",,,,
,,,,"Blanco, S.C.","4","Psychology","2",,,,,"European Journal Of Pharmacology","2","Metabolism","32","Islamic Azad University","8","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","3","United Kingdom","6",,,,
,,,,"Jadidi-Niaragh, F.","4","Chemical Engineering","1",,,,,"Human Immunology","2","Programmed Death 1 Ligand 1","32","SBUMS School of Medicine","8","U.S. Department of Health and Human Services","3","India","5",,,,
,,,,"Kim, L.","4","Dentistry","1",,,,,"Immunotherapy","2","Adult","31","Mashhad University of Medical Sciences, School of Medicine","7","European Association of Urology","2","Switzerland","5",,,,
,,,,"Page, B.R.","4","Environmental Science","1",,,,,"Swiss Medical Weekly","2","Immune Checkpoint Inhibitors","31","Pasteur Institute of Iran","7","Iran National Science Foundation","2","Australia","4",,,,
,,,,"Shariat, S.F.","4","Mathematics","1",,,,,"APMIS","1","Pathology","29","School of Medicine","7","Ministry of Science and Technology of the People's Republic of China","2","Czech Republic","4",,,,
,,,,"Behdani, M.","3",,,,,,,"Acta Neuropathologica Communications","1","Programmed Death 1 Receptor","28","School of Medicine","7","National Natural Science Foundation of China","2","Morocco","4",,,,
,,,,"Chi, A.","3",,,,,,,"Advanced Materials","1","Genetics","27","Iranian Center for Evidence-Based Medicine","7","Science and Technology Department of Sichuan Province","2","Saudi Arabia","4",,,,
,,,,"Dahbi, Z.","3",,,,,,,"Annals Of Hematology","1","Male","27","School of Medicine IUMS","6","Academy of Finland","1","Sweden","4",,,,
,,,,"Dutheil, F.","3",,,,,,,"BMC Biotechnology","1","Unclassified Drug","27","Weill Cornell Medicine","6","Advanced Centre for Automotive Research and Testing, University of Melbourne","1","Brazil","3",,,,
,,,,"Hossein-Nataj, H.","3",,,,,,,"BMC Cancer","1","Tumor Microenvironment","25","Tarbiat Modares University","6","Agencia Estatal de Investigación","1","Finland","3",,,,
,,,,"Karakiewicz, P.I.","3",,,,,,,"BMC Immunology","1","Flow Cytometry","24","International Geriatric Radiotherapy Group","5","Agencja Badań Medycznych","1","Japan","3",,,,
,,,,"Kazemi-Lomedasht, F.","3",,,,,,,"BMC Pulmonary Medicine","1","Immunology","24","College of Medicine","5","Asialink, University of Melbourne","1","Netherlands","3",,,,
,,,,"Laukhtina, E.","3",,,,,,,"BMC Urology","1","Nonhuman","24","Medizinische Universität Wien","5","Associazione Italiana per la Ricerca sul Cancro","1","Poland","3",,,,
,,,,"Lehrman, D.","3",,,,,,,"Biochemistry And Biophysics Reports","1","Aged","21","Howard University","5","Atlantic Salmon Federation","1","Russian Federation","3",,,,
,,,,"Mokhtarzadeh, A.","3",,,,,,,"Biofactors","1","Clinical Article","20","Isfahan University of Medical Sciences","5","Australian Centre of Excellence for Risk Analysis, University of Melbourne","1","Greece","2",,,,
,,,,"Natoli, E.","3",,,,,,,"Biomechanics And Modeling In Mechanobiology","1","Antineoplastic Agent","18","University of Tehran","5","Austrian Science Fund","1","Hungary","2",,,,
,,,,"Tehrani, M.","3",,,,,,,"Biomedical Research And Therapy","1","Gene Expression","18","Medical University of South Carolina","5","Biocenter Finland","1","Iraq","2",,,,
,,,,"Zaboli, E.","3",,,,,,,"Biomedicine And Pharmacotherapy","1","Immunohistochemistry","18","UT Southwestern Medical Center","5","Boston Scientific Corporation","1","Israel","2",,,,
,,,,"Aghebati-Maleki, L.","2",,,,,,,"Cancer Cell International","1","Nivolumab","18","Imam Khomeini Hospital MAZUMS","5","Botany Foundation, Faculty of Science, University of Melbourne","1","Lebanon","2",,,,
,,,,"Ahmadi, H.","2",,,,,,,"Cancer Informatics","1","Overall Survival","18","Gastrointestinal Cancer Research Center MAZUMS","5","Bundesministerium für Bildung und Forschung","1","Norway","2",,,,
,,,,"Ali, A.","2",,,,,,,"Cancer Investigation","1","Antineoplastic Activity","17","Shiraz Institute for Cancer Research SUMS","5","Canadian Institutes of Health Research","1","Oman","2",,,,
,,,,"Alizadeh, N.","2",,,,,,,"Cell Biochemistry And Function","1","Middle Aged","17","Shariati Hospital","4","Chinese Academy of Sciences","1","Paraguay","2",,,,
