Scopus refine results values

"Your query : (TITLE-ABS-KEY(""checkpoint inhibit*"") AND AFFILCOUNTRY(Iran))"


Number of results : 552

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","254","2025","62","Rezaei, N.","51","Medicine","364","Review","403","final","546","International Immunopharmacology","36","Human","504","Tehran University of Medical Sciences","142","Tabriz University of Medical Sciences","33","Iran","552","Journal","531","English","551"
"Gold","193","2024","109","Baradaran, B.","43","Biochemistry, Genetics and Molecular Biology","251","Article","108","aip","6","Biomedicine And Pharmacotherapy","23","Immune Checkpoint Inhibitor","396","Tabriz University of Medical Sciences","118","Shahid Beheshti University of Medical Sciences","24","United States","120","Book","18","Persian","1"
"Hybrid Gold","32","2023","120","Mortezaee, K.","34","Pharmacology, Toxicology and Pharmaceutics","155","Book Chapter","19",,,"Frontiers In Immunology","23","Review","383","Shahid Beheshti University of Medical Sciences","108","University of Kurdistan","14","Italy","54","Book Series","3",,
"Bronze","11","2022","105","Majidpoor, J.","26","Immunology and Microbiology","138","Editorial","10",,,"Cancers","15","Humans","377","School of Medicine","80","Shiraz University of Medical Sciences","12","Canada","39",,,,
"Green","161","2021","103","Silvestris, N.","20","Chemistry","12","Short Survey","5",,,"Critical Reviews In Oncology Hematology","14","Immunotherapy","317","Iran University of Medical Sciences","79","Iran University of Medical Sciences","10","Russian Federation","35",,,,
,,"2020","31","Baghbanzadeh, A.","18","Chemical Engineering","10","Letter","4",,,"Cancer Cell International","13","Cancer Immunotherapy","273","Immunology Research Center","69","European Association of Urology","9","China","33",,,,
,,"2019","13","Bashash, D.","17","Engineering","10","Book","1",,,"Frontiers In Oncology","12","Nonhuman","224","Mashhad University of Medical Sciences","65","Mashhad University of Medical Sciences","9","United Kingdom","33",,,,
,,"2018","5","Derakhshani, A.","17","Neuroscience","10","Erratum","1",,,"Medical Oncology","12","Tumor Microenvironment","194","Children's Medical Center TUMS","51","Mazandaran University of Medical Sciences","9","Germany","31",,,,
,,"2017","2","Brunetti, O.","16","Computer Science","9","Retracted","1",,,"Life Sciences","11","Programmed Death 1 Ligand 1","193","Shiraz University of Medical Sciences","50","National Institute for Medical Research Development","9","India","28",,,,
,,"2016","2","Shariat, S.F.","15","Multidisciplinary","6",,,,,"Pathology Research And Practice","10","Immune Checkpoint Inhibitors","178","Research Center for Immunodeficiencies","50","National Institutes of Health","8","Iraq","26",,,,
,,,,"Keshavarz-Fathi, M.","13","Environmental Science","4",,,,,"Journal Of Cellular Physiology","9","Neoplasm","169","School of Medicine IUMS","48","U.S. Department of Health and Human Services","8","Australia","25",,,,
,,,,"Shadbad, M.A.","13","Materials Science","4",,,,,"Immunotherapy","8","Neoplasms","169","Faculty of Medicine","48","Kurdistan University Of Medical Sciences","7","Austria","25",,,,
