Scopus refine results values

"Your query : (TITLE-ABS-KEY(""checkpoint inhibit*"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 403

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","185","2025","46","Rezaei, N.","37","Medicine","259","Review","403","final","398","International Immunopharmacology","33","Human","386","Tehran University of Medical Sciences","109","Tabriz University of Medical Sciences","25","Iran","403","Journal","403","English","403"
"Gold","139","2024","72","Baradaran, B.","34","Biochemistry, Genetics and Molecular Biology","194",,,"aip","5","Biomedicine And Pharmacotherapy","22","Review","380","Tabriz University of Medical Sciences","94","Shahid Beheshti University of Medical Sciences","16","United States","80",,,,
"Hybrid Gold","25","2023","88","Mortezaee, K.","34","Pharmacology, Toxicology and Pharmaceutics","132",,,,,"Frontiers In Immunology","19","Immune Checkpoint Inhibitor","310","Shahid Beheshti University of Medical Sciences","82","University of Kurdistan","13","Italy","41",,,,
"Bronze","9","2022","82","Majidpoor, J.","26","Immunology and Microbiology","101",,,,,"Critical Reviews In Oncology Hematology","14","Humans","301","School of Medicine","61","European Association of Urology","7","Russian Federation","30",,,,
"Green","116","2021","84","Silvestris, N.","19","Chemistry","10",,,,,"Cancer Cell International","12","Immunotherapy","259","Iran University of Medical Sciences","60","Kurdistan University Of Medical Sciences","7","Canada","27",,,,
,,"2020","19","Baghbanzadeh, A.","16","Chemical Engineering","8",,,,,"Life Sciences","11","Cancer Immunotherapy","229","Immunology Research Center","55","Iran University of Medical Sciences","6","United Kingdom","24",,,,
,,"2019","8","Bashash, D.","15","Computer Science","6",,,,,"Medical Oncology","11","Nonhuman","197","Mashhad University of Medical Sciences","50","National Health and Medical Research Council","6","Iraq","23",,,,
,,"2018","1","Brunetti, O.","15","Engineering","6",,,,,"Pathology Research And Practice","10","Tumor Microenvironment","164","Kurdistan University of Medical Sciences","38","Shiraz University of Medical Sciences","6","India","22",,,,
,,"2017","1","Derakhshani, A.","15","Neuroscience","6",,,,,"Cancers","9","Programmed Death 1 Ligand 1","157","School of Medicine IUMS","37","UK Research and Innovation","6","Australia","19",,,,
,,"2016","2","Shadbad, M.A.","11","Agricultural and Biological Sciences","3",,,,,"Journal Of Cellular Physiology","9","Neoplasm","151","Research Center for Immunodeficiencies","37","Mashhad University of Medical Sciences","5","China","19",,,,
,,,,"Shariat, S.F.","11","Environmental Science","3",,,,,"Cell Communication And Signaling","6","Neoplasms","151","Children's Medical Center TUMS","36","National Institutes of Health","4","Germany","19",,,,
,,,,"Shomali, N.","11","Multidisciplinary","3",,,,,"Expert Review Of Anticancer Therapy","6","Immune Checkpoint Inhibitors","143","Faculty of Medicine","35","Russian Science Foundation","4","Sweden","19",,,,
,,,,"Mostafaei, H.","10","Materials Science","2",,,,,"Frontiers In Oncology","6","Programmed Death 1 Receptor","134","Gonabad University of Medical Sciences","34","U.S. Department of Health and Human Services","4","Saudi Arabia","17",,,,
,,,,"Aghebati-Maleki, L.","9","Nursing","2",,,,,"Immunotherapy","6","Procedures","120","SBUMS School of Medicine","33","Uehara Memorial Foundation","4","Austria","16",,,,
,,,,"Asadzadeh, Z.","9","Veterinary","2",,,,,"International Journal Of Molecular Sciences","6","Immune Response","114","Shiraz University of Medical Sciences","29","Ardabil University of Medical Sciences","3","Poland","15",,,,
,,,,"Hajiasgharzadeh, K.","9","Earth and Planetary Sciences","1",,,,,"Cancer Medicine","5","Nivolumab","111","School of Medicine","29","Babol University of Medical Sciences","3","Turkey","15",,,,
,,,,"Laukhtina, E.","9","Physics and Astronomy","1",,,,,"Clinical And Translational Oncology","5","Cytotoxic T Lymphocyte Antigen 4","108","Sechenov First Moscow State Medical University","26","Department of Health and Aged Care, Australian Government","3","Japan","14",,,,
,,,,"Mori, K.","9",,,,,,,"Biomedicines","4","Pembrolizumab","105","Tarbiat Modares University","23","Government of Canada","3","Czech Republic","13",,,,
