Scopus refine results values

"Your query : (TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering"") AND DOCTYPE(ar))"


Number of results : 190153

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","93299","2026","1","Rosenberg, S.A.","590","Medicine","145248","Article","190153","final","189104","Frontiers In Immunology","4240","Article","152176","The University of Texas MD Anderson Cancer Center","3830","National Natural Science Foundation of China","20883","United States","60600","Journal","188906","English","172329"
"Gold","49857","2025","8934","Schlom, J.","241","Biochemistry, Genetics and Molecular Biology","73642",,,"aip","1049","Cancer Immunology Immunotherapy","2986","Human","149010","Ministry of Education of the People's Republic of China","3664","National Institutes of Health","20089","China","45386","Book Series","860","Chinese","4590"
"Hybrid Gold","11535","2024","19591","Schadendorf, D.","230","Immunology and Microbiology","41677",,,,,"Journal For Immunotherapy Of Cancer","2493","Immunotherapy","99738","Harvard Medical School","3627","Ministry of Science and Technology of the People's Republic of China","16960","Germany","15152","Trade Journal","122","German","2860"
"Bronze","17338","2023","17457","June, C.H.","224","Pharmacology, Toxicology and Pharmaceutics","19111",,,,,"Cancer Research","2472","Humans","98786","Inserm","3181","U.S. Department of Health and Human Services","16879","Japan","13546","Book","55","Japanese","2581"
"Green","69385","2022","16894","Ascierto, P.A.","223","Engineering","6302",,,,,"Frontiers In Oncology","2439","Female","84728","National Institutes of Health NIH","3176","National Cancer Institute","15052","United Kingdom","10467","Conference Proceeding","6","French","2508"
,,"2021","14803","Long, G.V.","184","Neuroscience","6291",,,,,"Journal Of Immunology","2200","Controlled Study","78127","National Cancer Institute NCI","3015","National Key Research and Development Program of China","3946","Italy","10332","Undefined","204","Russian","1960"
,,"2020","11090","Dummer, R.","176","Chemistry","6287",,,,,"Clinical Cancer Research","1874","Male","70782","Memorial Sloan-Kettering Cancer Center","2840","National Institute of Allergy and Infectious Diseases","3623","France","9906",,,"Spanish","1169"
,,"2019","8130","Valenta, R.","176","Materials Science","6081",,,,,"Cancers","1796","Cancer Immunotherapy","63306","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","2585","European Commission","3456","Canada","5949",,,"Italian","723"
,,"2018","6608","Hwu, P.","172","Chemical Engineering","5672",,,,,"Oncoimmunology","1715","Adult","56983","Chinese Academy of Sciences","2288","Japan Society for the Promotion of Science","2869","Spain","5744",,,"Polish","520"
,,"2017","5554","Wolchok, J.D.","171","Multidisciplinary","5422",,,,,"Scientific Reports","1443","Priority Journal","54724","Dana-Farber Cancer Institute","2270","Ministry of Education, Culture, Sports, Science and Technology","2843","Netherlands","5479",,,"Czech","481"
,,"2016","4913","Ribas, A.","170","Physics and Astronomy","3515",,,,,"Journal Of Immunotherapy","1423","Nonhuman","51165","Fudan University","2170","Deutsche Forschungsgemeinschaft","2084","Australia","4856",,,"Portuguese","178"
,,"2015","4343","Melero, I.","164","Agricultural and Biological Sciences","2219",,,,,"Blood","1301","Mouse","43103","Massachusetts General Hospital","1987","Bristol-Myers Squibb","2057","Switzerland","4531",,,"Dutch","169"
,,"2014","4016","Itoh, K.","163","Computer Science","2019",,,,,"Plos One","1288","Human Cell","39359","Shanghai Jiao Tong University School of Medicine","1894","China Postdoctoral Science Foundation","1787","South Korea","3780",,,"Hungarian","162"
,,"2013","3649","Lotze, M.T.","160","Veterinary","1609",,,,,"Journal Of Allergy And Clinical Immunology","1245","Immunology","39033","University of Pennsylvania","1820","Roche","1760","Belgium","2919",,,"Korean","101"
,,"2012","3129","Canonica, G.W.","158","Nursing","1212",,,,,"International Journal Of Cancer","1230","Animals","38902","Huazhong University of Science and Technology","1779","Ministry of Education of the People's Republic of China","1714","Sweden","2897",,,"Romanian","74"
,,"2011","2816","Ferrone, S.","156","Mathematics","1069",,,,,"Nature Communications","1115","Aged","36811","German Cancer Research Center","1767","Guangdong Provincial Department of Science and Technology","1679","India","2781",,,"Turkish","71"
,,"2010","2616","Restifo, N.P.","154","Environmental Science","929",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","988","Unclassified Drug","36005","Sun Yat-Sen University","1678","Merck","1657","Austria","2601",,,"Slovak","66"
,,"2009","2486","Choueiri, T.K.","145","Health Professions","861",,,,,"BMC Cancer","966","Animal Experiment","35311","Mayo Clinic","1660","AstraZeneca","1630","Poland","2405",,,"Ukrainian","63"
