Scopus refine results values

"Your query : (TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering""))"


Number of results : 317207

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","151045","2026","1","Rosenberg, S.A.","686","Medicine","245125","Article","190153","final","315519","Frontiers In Immunology","8079","Human","258327","The University of Texas MD Anderson Cancer Center","6539","National Institutes of Health","29680","United States","105541","Journal","307643","English","290277"
"Gold","80228","2025","13838","Ascierto, P.A.","334","Biochemistry, Genetics and Molecular Biology","118323","Review","82395","aip","1688","Cancers","4607","Immunotherapy","172729","Harvard Medical School","6172","National Natural Science Foundation of China","28425","China","62332","Book","4656","Chinese","6141"
"Hybrid Gold","18276","2024","31699","Canonica, G.W.","322","Immunology and Microbiology","66647","Editorial","9472",,,"Frontiers In Oncology","4448","Humans","171103","Inserm","5507","U.S. Department of Health and Human Services","23913","Germany","24393","Book Series","3676","German","5773"
"Bronze","29918","2023","29155","June, C.H.","309","Pharmacology, Toxicology and Pharmaceutics","35442","Note","8644",,,"Cancer Immunology Immunotherapy","3731","Article","154178","Ministry of Education of the People's Republic of China","4878","Ministry of Science and Technology of the People's Republic of China","22774","Italy","20264","Conference Proceeding","783","French","4538"
"Green","109675","2022","28180","Schadendorf, D.","307","Neuroscience","10172","Letter","7986",,,"Journal For Immunotherapy Of Cancer","3293","Cancer Immunotherapy","113183","National Institutes of Health NIH","4749","National Cancer Institute","21394","United Kingdom","19380","Trade Journal","217","Japanese","3550"
,,"2021","25994","Passalacqua, G.","304","Chemistry","9830","Conference Paper","6604",,,"Cancer Research","2647","Female","96291","Memorial Sloan-Kettering Cancer Center","4634","European Commission","5641","Japan","17780","Undefined","232","Russian","2431"
,,"2020","20407","Schlom, J.","303","Chemical Engineering","9252","Book Chapter","6010",,,"International Journal Of Molecular Sciences","2640","Nonhuman","90688","National Cancer Institute NCI","4391","National Institute of Allergy and Infectious Diseases","5249","France","17067",,,"Spanish","1862"
,,"2019","15158","Zitvogel, L.","296","Engineering","9163","Short Survey","3729",,,"Journal Of Immunology","2296","Priority Journal","88199","Dana-Farber Cancer Institute","3625","National Key Research and Development Program of China","5159","Spain","9934",,,"Italian","1002"
,,"2018","12604","Klimek, L.","295","Materials Science","8247","Erratum","1611",,,"Clinical Cancer Research","2293","Controlled Study","83235","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","3526","Japan Society for the Promotion of Science","3711","Canada","9835",,,"Polish","808"
,,"2017","10753","Kroemer, G.","295","Multidisciplinary","6291","Book","380",,,"Oncoimmunology","1990","Male","80175","Massachusetts General Hospital","3193","Ministry of Education, Culture, Sports, Science and Technology","3590","Netherlands","8744",,,"Czech","675"
,,"2016","9165","Melero, I.","268","Physics and Astronomy","4521","Retracted","144",,,"Blood","1978","Review","78766","Chinese Academy of Sciences","3026","Deutsche Forschungsgemeinschaft","3120","Australia","8589",,,"Dutch","296"
,,"2015","7665","Valenta, R.","264","Computer Science","4383","Conference Review","55",,,"Journal Of Allergy And Clinical Immunology","1755","Adult","64762","University of Pennsylvania","2973","Bristol-Myers Squibb","3104","Switzerland","7384",,,"Portuguese","272"
,,"2014","6764","Pfaar, O.","263","Agricultural and Biological Sciences","3457","Data Paper","23",,,"Immunotherapy","1598","Immunology","62357","Fudan University","2785","Roche","2738","India","6880",,,"Hungarian","223"
,,"2013","6138","Wolchok, J.D.","262","Nursing","2355","Report","1",,,"Journal Of Immunotherapy","1526","Animals","61362","Mayo Clinic","2783","AstraZeneca","2657","South Korea","5333",,,"Turkish","127"
,,"2012","5606","Dummer, R.","260","Veterinary","2230",,,,,"Scientific Reports","1460","Unclassified Drug","56460","Weill Cornell Medicine","2735","Merck","2569","Belgium","4853",,,"Korean","122"
,,"2011","5014","Ribas, A.","242","Health Professions","1453",,,,,"International Journal Of Cancer","1359","Animal","52452","Johns Hopkins University School of Medicine","2723","Horizon 2020 Framework Programme","2467","Sweden","4326",,,"Danish","108"
,,"2010","4839","Long, G.V.","235","Mathematics","1420",,,,,"International Immunopharmacology","1338","Mouse","47779","Brigham and Women's Hospital","2624","Pfizer","2439","Austria","4289",,,"Slovak","103"
,,"2009","4673","Ferrone, S.","231","Environmental Science","1360",,,,,"Cancer","1320","Pathology","43274","Huazhong University of Science and Technology","2517","Novartis","2417","Poland","4083",,,"Romanian","87"
,,"2008","4816","Durham, S.R.","229","Dentistry","828",,,,,"Plos One","1312","Tumor Microenvironment","42874","German Cancer Research Center","2504","China Postdoctoral Science Foundation","2371","Iran","3504",,,"Bulgarian","83"
,,"2007","4323","Lotze, M.T.","226","Social Sciences","576",,,,,"Journal Of Clinical Oncology","1201","Human Cell","42819","AP-HP Assistance Publique - Hopitaux de Paris","2460","UK Research and Innovation","2264","Israel","3453",,,"Croatian","77"
,,"2006","4581","Robert, C.","223","Arts and Humanities","558",,,,,"Nature Communications","1155","Metabolism","41294","Shanghai Jiao Tong University School of Medicine","2398","Ministry of Education of the People's Republic of China","2245","Brazil","3082",,,"Ukrainian","77"
,,"2005","4451","Smyth, M.J.","222","Psychology","490",,,,,"European Journal Of Cancer","1065","Aged","40850","Université Paris Cité","2377","Fundamental Research Funds for the Central Universities","2132","Denmark","3053",,,"Moldavian","61"
