Scopus refine results values

"Your query : (TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering"") AND DOCTYPE(re))"


Number of results : 82395

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","41450","2025","3551","Canonica, G.W.","123","Medicine","63617","Review","82395","final","81911","Frontiers In Immunology","3032","Human","75134","The University of Texas MD Anderson Cancer Center","1790","National Institutes of Health","7603","United States","29204","Journal","81806","English","76349"
"Gold","24292","2024","8217","Klimek, L.","118","Biochemistry, Genetics and Molecular Biology","30786",,,"aip","484","Cancers","2660","Review","74031","Harvard Medical School","1717","National Natural Science Foundation of China","6763","China","13955","Book Series","556","German","1490"
"Hybrid Gold","5098","2023","7992","Passalacqua, G.","114","Immunology and Microbiology","16359",,,,,"International Journal Of Molecular Sciences","1618","Humans","51779","Inserm","1516","U.S. Department of Health and Human Services","5643","Italy","6978","Trade Journal","14","Chinese","1484"
"Bronze","5959","2022","7807","Zitvogel, L.","110","Pharmacology, Toxicology and Pharmaceutics","12222",,,,,"Frontiers In Oncology","1549","Immunotherapy","50285","Memorial Sloan-Kettering Cancer Center","1163","Ministry of Science and Technology of the People's Republic of China","5227","Germany","5956","Undefined","19","French","961"
"Green","31283","2021","8010","Kroemer, G.","109","Chemistry","3125",,,,,"Immunotherapy","815","Cancer Immunotherapy","34291","National Institutes of Health NIH","1051","National Cancer Institute","4936","United Kingdom","5794",,,"Japanese","673"
,,"2020","6279","Rezaei, N.","106","Chemical Engineering","2997",,,,,"Expert Opinion On Biological Therapy","664","Nonhuman","31388","Ministry of Education of the People's Republic of China","1046","European Commission","1744","France","4285",,,"Russian","444"
,,"2019","4575","Pfaar, O.","102","Neuroscience","2498",,,,,"Critical Reviews In Oncology Hematology","575","Priority Journal","19938","National Cancer Institute NCI","902","National Institute of Allergy and Infectious Diseases","1263","Spain","2792",,,"Spanish","381"
,,"2018","3831","Akdis, C.A.","91","Computer Science","1781",,,,,"Cells","537","Animals","18519","Dana-Farber Cancer Institute","886","National Key Research and Development Program of China","1032","Canada","2694",,,"Polish","243"
,,"2017","3314","Curigliano, G.","83","Engineering","1739",,,,,"Expert Review Of Anticancer Therapy","453","Immunology","17930","Massachusetts General Hospital","800","UK Research and Innovation","852","India","2653",,,"Czech","166"
,,"2016","2639","Massari, F.","82","Materials Science","1614",,,,,"Current Opinion In Oncology","422","Unclassified Drug","15541","University of Pennsylvania","769","Deutsche Forschungsgemeinschaft","824","Australia","2546",,,"Italian","163"
,,"2015","2059","Incorvaia, C.","75","Nursing","696",,,,,"Current Oncology Reports","413","Tumor Microenvironment","15445","Weill Cornell Medicine","759","Horizon 2020 Framework Programme","779","Japan","2525",,,"Portuguese","60"
,,"2014","1789","Melero, I.","74","Agricultural and Biological Sciences","626",,,,,"Cancer Treatment Reviews","409","Neoplasms","15416","Johns Hopkins University School of Medicine","742","Bristol-Myers Squibb","748","Netherlands","2239",,,"Dutch","54"
,,"2013","1548","Akdis, M.","73","Physics and Astronomy","423",,,,,"Cancer Immunology Immunotherapy","394","Animal","14511","Mayo Clinic","729","Associazione Italiana per la Ricerca sul Cancro","714","Switzerland","1989",,,"Hungarian","51"
,,"2012","1553","Baradaran, B.","73","Veterinary","382",,,,,"International Immunopharmacology","383","Immune Response","14155","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","721","AstraZeneca","697","Iran","1709",,,"Turkish","46"
,,"2011","1408","Galluzzi, L.","72","Multidisciplinary","334",,,,,"Frontiers In Pharmacology","368","Procedures","13528","Sichuan University","718","Roche","679","Poland","1378",,,"Danish","38"
,,"2010","1467","Rizzo, A.","68","Health Professions","326",,,,,"Current Opinion In Allergy And Clinical Immunology","366","Neoplasm","12751","Brigham and Women's Hospital","687","Pfizer","672","Belgium","1339",,,"Croatian","30"
,,"2009","1346","Santoni, M.","68","Environmental Science","323",,,,,"Journal Of Clinical Medicine","353","Antineoplastic Agent","12584","Institut de Cancerologie Gustave Roussy","658","Novartis","644","South Korea","1211",,,"Bulgarian","27"
,,"2008","1396","Smyth, M.J.","65","Dentistry","182",,,,,"Journal For Immunotherapy Of Cancer","332","Drug Efficacy","11291","AP-HP Assistance Publique - Hopitaux de Paris","652","Merck","631","Austria","1138",,,"Slovak","25"
,,"2007","1219","Shariat, S.F.","64","Psychology","133",,,,,"Future Oncology","327","T Lymphocyte","11106","Université Paris Cité","648","U.S. Department of Defense","620","Sweden","966",,,"Korean","20"
,,"2006","1379","Durham, S.R.","62","Social Sciences","124",,,,,"Cancer Letters","322","Pathology","10916","Huazhong University of Science and Technology","637","Japan Society for the Promotion of Science","619","Greece","950",,,"Finnish","19"
,,"2005","1356","Ascierto, P.A.","60","Earth and Planetary Sciences","73",,,,,"Seminars In Cancer Biology","319","Metabolism","10342","West China School of Medicine/West China Hospital of Sichuan University","609","Medical Research Council","570","Brazil","920",,,"Greek","18"
,,"2004","1208","Bousquet, J.","59","Mathematics","67",,,,,"Current Opinion In Immunology","317","Signal Transduction","9189","University of Toronto","592","Ministry of Education, Culture, Sports, Science and Technology","557","Russian Federation","811",,,"Hebrew","16"
,,"2003","1301","Lim, M.","59","Arts and Humanities","47",,,,,"Biomedicine And Pharmacotherapy","310","Pembrolizumab","8883","Chinese Academy of Sciences","590","National Research Foundation of Korea","554","Israel","688",,,"Ukrainian","14"
,,"2002","974","Valenta, R.","58","Energy","47",,,,,"Current Treatment Options In Oncology","299","Overall Survival","8813","Tongji Medical College of Huazhong University of Science and Technology","582","China Postdoctoral Science Foundation","527","Saudi Arabia","634",,,"Romanian","12"
,,"2001","700","Demoly, P.","57","Economics, Econometrics and Finance","10",,,,,"Pharmaceutics","299","Cancer Chemotherapy","8809","University of California, San Francisco","580","National Health and Medical Research Council","495","Denmark","631",,,"Serbian","11"
,,"2000","711","Montironi, R.","56","Business, Management and Accounting","6",,,,,"Advanced Drug Delivery Reviews","296","Genetics","8691","Charité – Universitätsmedizin Berlin","579","European Research Council","489","Singapore","631",,,"Persian","10"
,,"1999","624","Marabelle, A.","55","Decision Sciences","3",,,,,"Immunological Reviews","296","Nivolumab","8597","Zhejiang University School of Medicine","571","Fundamental Research Funds for the Central Universities","489","Turkey","578",,,"Slovenian","8"
,,"1998","469","Tortora, G.","55","Undefined","74",,,,,"Biomedicines","290","Immune Checkpoint Inhibitor","8553","Icahn School of Medicine at Mount Sinai","570","Ministry of Education of the People's Republic of China","487","Taiwan","538",,,"Swedish","8"
,,"1997","436","Marincola, F.M.","53",,,,,,,"Vaccines","285","Antineoplastic Activity","8275","Medizinische Universität Wien","557","National Heart, Lung, and Blood Institute","483","Portugal","525",,,"Moldavian","7"
