Scopus refine results values

"Your query : (TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 1524

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","601","2025","70","Shokri, F.","45","Medicine","927","Article","1524","final","1518","International Immunopharmacology","49","Article","1290","Tehran University of Medical Sciences","389","Tehran University of Medical Sciences and Health Services","105","Iran","1524","Journal","1522","English","1487"
"Gold","405","2024","164","Hadjati, J.","44","Biochemistry, Genetics and Molecular Biology","605",,,"aip","6","Iranian Journal Of Allergy Asthma And Immunology","49","Human","1072","Shahid Beheshti University of Medical Sciences","188","Mashhad University of Medical Sciences","85","United States","146","Book Series","2","Persian","32"
"Hybrid Gold","62","2023","166","Baradaran, B.","42","Immunology and Microbiology","465",,,,,"Iranian Journal Of Immunology","33","Controlled Study","835","Tarbiat Modares University","172","Shiraz University of Medical Sciences","64","Canada","72",,,"Arabic","6"
"Bronze","57","2022","158","Jeddi-Tehrani, M.","40","Pharmacology, Toxicology and Pharmaceutics","326",,,,,"Iranian Journal Of Basic Medical Sciences","27","Humans","756","Tabriz University of Medical Sciences","167","Tabriz University of Medical Sciences","59","United Kingdom","66",,,"French","1"
"Green","400","2021","162","Hassan, Z.M.","36","Chemical Engineering","71",,,,,"Scientific Reports","25","Immunotherapy","746","Mashhad University of Medical Sciences","161","National Institute for Medical Research Development","45","Sweden","61",,,"Russian","1"
,,"2020","126","Jaafari, M.R.","35","Engineering","55",,,,,"Asian Pacific Journal Of Cancer Prevention","20","Female","731","Iran University of Medical Sciences","160","Iran National Science Foundation","41","Italy","58",,,"Spanish","1"
,,"2019","113","Ghaderi, A.","34","Chemistry","48",,,,,"Immunotherapy","16","Nonhuman","602","Pasteur Institute of Iran","151","Shahid Beheshti University of Medical Sciences","40","Germany","57",,,,
,,"2018","59","Sankian, M.","29","Neuroscience","47",,,,,"Tumor Biology","15","Animals","448","Shiraz University of Medical Sciences","144","Tarbiat Modares University","34","Australia","38",,,,
,,"2017","103","Jadidi-Niaragh, F.","28","Multidisciplinary","45",,,,,"Bioimpacts","14","Mouse","443","Iranian Academic Center for Education, Culture and Research","101","Iran University of Medical Sciences","33","China","31",,,,
,,"2016","66","Rezaei, N.","27","Materials Science","36",,,,,"Cell Journal","14","Cancer Immunotherapy","424","School of Medicine","98","Pasteur Institute of Iran","32","France","30",,,,
,,"2015","60","Amiri, M.M.","25","Computer Science","29",,,,,"Frontiers In Immunology","14","Immunology","424","Isfahan University of Medical Sciences","86","Avicenna Research Institute","21","Netherlands","27",,,,
,,"2014","54","Rahbarizadeh, F.","24","Mathematics","28",,,,,"Immunopharmacology And Immunotoxicology","14","Animal","399","Islamic Azad University","86","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","20","Turkey","27",,,,
,,"2013","46","Behdani, M.","22","Agricultural and Biological Sciences","20",,,,,"Microbial Pathogenesis","14","Male","392","School of Medicine","74","National Institutes of Health","19","Spain","26",,,,
,,"2012","42","Moazzeni, S.M.","22","Physics and Astronomy","15",,,,,"International Journal Of Peptide Research And Therapeutics","13","Unclassified Drug","389","Immunology Research Center","65","Isfahan University of Medical Sciences","18","Switzerland","26",,,,
,,"2011","26","Mahdavi, M.","21","Environmental Science","13",,,,,"Life Sciences","12","Animal Experiment","382","SBUMS School of Medicine","63","U.S. Department of Health and Human Services","18","Austria","25",,,,
,,"2010","27","Hojjat-Farsangi, M.","20","Psychology","11",,,,,"Immunology Letters","11","Metabolism","366","Baqiyatallah University of Medical Sciences","59","Mazandaran University of Medical Sciences","17","Japan","21",,,,
,,"2009","15","Nikpoor, A.R.","20","Veterinary","11",,,,,"International Journal Of Cancer Management","11","Human Cell","348","Avicenna Research Institute","59","Ferdowsi University of Mashhad","15","India","19",,,,
,,"2008","18","Shokrgozar, M.A.","20","Health Professions","10",,,,,"Medical Oncology","11","Adult","346","School of Advanced Technologies in Medicine","58","European Commission","14","Poland","19",,,,
,,"2007","9","Yousefi, M.","20","Social Sciences","5",,,,,"Molecular Immunology","11","Priority Journal","322","University of Tehran","56","Baqiyatallah University of Medical Sciences","12","Denmark","18",,,,
,,"2006","17","Jalali, S.A.","19","Energy","4",,,,,"Cancers","10","Protein Expression","319","Children's Medical Center TUMS","53","Islamic Azad University","12","Saudi Arabia","16",,,,
,,"2005","4","Badiee, A.","18","Nursing","4",,,,,"Heliyon","10","Mice","314","School of Medicine IUMS","52","Drug Applied Research Center, Tabriz University of Medical Sciences","10","Brazil","15",,,,
,,"2004","1","Nejatollahi, F.","18","Economics, Econometrics and Finance","2",,,,,"Iranian Biomedical Journal","10","Animal Model","312","Faculty of Medicine","52","Ministry of Science and Technology of the People's Republic of China","10","Czech Republic","15",,,,
,,"2003","1","Golsaz-Shirazi, F.","17","Arts and Humanities","1",,,,,"Journal Of Cellular Biochemistry","10","Genetics","308","Shiraz Institute for Cancer Research SUMS","52","National Natural Science Foundation of China","10","Finland","13",,,,
,,"2002","3","Ghasemi, Y.","16","Dentistry","1",,,,,"Plos One","10","Animal Cell","296","Mazandaran University of Medical Sciences","51","Ahvaz Jundishapur University of Medical Sciences","9","Belgium","12",,,,
,,"2001","2","Jafarzadeh, A.","16",,,,,,,"Reports Of Biochemistry And Molecular Biology","10","Gamma Interferon","296","Immunology Research Center","51","Horizon 2020 Framework Programme","9","Jordan","12",,,,
,,"2000","3","Kazemi, T.","16",,,,,,,"Advanced Pharmaceutical Bulletin","9","Flow Cytometry","282","Nanotechnology Research Center","49","National Cancer Institute","9","Portugal","12",,,,
,,"1998","2","Khoshnoodi, J.","16",,,,,,,"Immunological Investigations","9","Enzyme Linked Immunosorbent Assay","267","Karolinska Institutet","47","Shahed University","9","Russian Federation","11",,,,
,,"1997","3","Nezafat, N.","16",,,,,,,"Iranian Journal Of Medical Sciences","9","Immune Response","228","School of Medicine, Isfahan UMS","47","Bushehr University of Medical Sciences","8","Hungary","10",,,,
,,"1996","1","Zarnani, A.H.","16",,,,,,,"BMC Cancer","8","Procedures","224","Mashhad University of Medical Sciences, School of Medicine","45","Golestan University of Medical Sciences","8","Iraq","10",,,,
,,"1993","1","Abolhassani, M.","15",,,,,,,"Computers In Biology And Medicine","8","Pathology","219","School of Public Health","41","Royan Institute","8","Kuwait","9",,,,
,,"1979","2","Hassannia, H.","15",,,,,,,"European Journal Of Pharmacology","8","Cell Proliferation","202","Drug Applied Research Center, Tabriz University of Medical Sciences","39","Kerman University of Medical Sciences","7","Norway","9",,,,
,,,,"Kardar, G.A.","15",,,,,,,"Research In Pharmaceutical Sciences","8","Animal Tissue","199","Immunology, Asthma and Allergy Research Institute","38","Ministry of Health and Medical Education","7","Greece","8",,,,
,,,,"Modarressi, M.H.","15",,,,,,,"Allergologia Et Immunopathologia","7","Gene Expression","197","Islamic Azad University, Science and Research Branch","37","Rafsanjan University of Medical Sciences","7","Israel","8",,,,
,,,,"Nabavi, M.","15",,,,,,,"Cancer Immunology Immunotherapy","7","Clinical Article","196","School of Pharmacy","35","UK Research and Innovation","7","Malaysia","8",,,,
,,,,"Shabani, M.","15",,,,,,,"Cellular Immunology","7","Cell Line, Tumor","190","Zanjan University of Medical Sciences ZUMS","34","Canadian Institutes of Health Research","6","Morocco","8",,,,
,,,,"Amani, J.","14",,,,,,,"Human Antibodies","7","In Vitro Study","185","Royan Institute","34","National Institute for Genetic Engineering and Biotechnology","6","Oman","7",,,,
,,,,"Asgarian-Omran, H.","14",,,,,,,"Immunologic Research","7","Breast Cancer","180","Karolinska Universitetssjukhuset","34","Biotechnology Research Center, Tabriz University of Medical Sciences","5","Tunisia","7",,,,
,,,,"Bemanian, M.H.","14",,,,,,,"Iranian Journal Of Biotechnology","7","Interleukin 4","179","School of Pharmacy","34","Department of Health and Aged Care, Australian Government","5","United Arab Emirates","7",,,,
,,,,"Delirezh, N.","14",,,,,,,"Journal Of Controlled Release","7","Tumor Cell Line","176","Bushehr University of Medical Sciences","33","Deutsche Forschungsgemeinschaft","5","Lebanon","6",,,,
,,,,"Erfani, N.","14",,,,,,,"Journal Of Mazandaran University Of Medical Sciences","7","Middle Aged","172","Alborz University of Medical Sciences","33","European Research Council","5","Romania","6",,,,
,,,,"Mirzaei, H.R.","14",,,,,,,"Molecular Biology Reports","7","Antineoplastic Activity","164","Ahvaz Jundishapur University of Medical Sciences","31","Government of Canada","5","Singapore","6",,,,
,,,,"Sharifzadeh, Z.","14",,,,,,,"Avicenna Journal Of Medical Biotechnology","6","Mice, Inbred BALB C","164","Golestan University of Medical Sciences","30","Karolinska Institutet","5","Egypt","5",,,,
,,,,"Abolhassani, H.","13",,,,,,,"Cancer Cell International","6","Bagg Albino Mouse","157","Kerman University of Medical Sciences","30","Ministerio de Economía y Competitividad","5","Hong Kong","5",,,,
,,,,"Aghamohammadi, A.","13",,,,,,,"Current Pharmaceutical Design","6","Major Clinical Study","156","Research Center for Immunodeficiencies","29","National Health and Medical Research Council","5","Ireland","5",,,,
,,,,"Hashemi, S.M.","13",,,,,,,"Cytokine","6","Cytokine Production","155","School of Advanced Medical Sciences and Technologies","29","Natural Sciences and Engineering Research Council of Canada","5","Pakistan","5",,,,
,,,,"Moghadam, M.","13",,,,,,,"Daru Journal Of Pharmaceutical Sciences","6","Tumor Volume","152","Ferdowsi University of Mashhad","27","Academic Center for Education, Culture and Research","4","South Africa","5",,,,
,,,,"Namdar, A.","13",,,,,,,"Frontiers In Oncology","6","Real Time Polymerase Chain Reaction","151","Shahed University","27","Academy of Finland","4","Algeria","4",,,,
,,,,"Omidi, Y.","13",,,,,,,"International Journal Of Biological Macromolecules","6","T Lymphocyte","148","Digestive Diseases Research Institute","27","Arak University of Medical Sciences","4","Argentina","4",,,,
,,,,"Ahmadvand, D.","12",,,,,,,"International Journal Of Pharmaceutics","6","Western Blotting","146","Faculty of Medicine MAZUMS","26","Bundesministerium für Bildung und Forschung","4","Bangladesh","4",,,,
,,,,"Arab, S.","12",,,,,,,"Iranian Journal Of Parasitology","6","Tumor Microenvironment","145","Imam Khomeini Hospital","26","European Association of Urology","4","Mexico","4",,,,
,,,,"Arshi, S.","12",,,,,,,"Journal Of Cancer Research And Therapeutics","6","Cytotoxicity","143","Semnan University of Medical Sciences and Health Services","26","Hamadan University of Medical Sciences","4","Nigeria","4",,,,
,,,,"Azizi, G.","12",,,,,,,"Journal Of Cellular Physiology","6","Cytokine","141","Pharmaceutical Sciences Research Center SUMS","26","Instituto de Salud Carlos III","4","South Korea","4",,,,
,,,,"Bolhassani, A.","12",,,,,,,"Journal Of Isfahan Medical School","6","Aged","134","Shariati Hospital","25","Ministerio de Ciencia e Innovación","4","Taiwan","4",,,,
,,,,"Madjd, Z.","12",,,,,,,"Koomesh","6","Dendritic Cell","134","Kermanshah University of Medical Sciences","25","National Key Research and Development Program of China","4","Ukraine","4",,,,
,,,,"Muhammadnejad, S.","12",,,,,,,"Medical Hypotheses","6","Drug Efficacy","129","Shahid Beheshti University","24","Shiraz University","4","Azerbaijan","3",,,,
,,,,"Pourfathollah, A.A.","12",,,,,,,"Ocular Immunology And Inflammation","6","Apoptosis","128","Urmia University","23","Sigrid Juséliuksen Säätiö","4","Cyprus","3",,,,
,,,,"Rabbani, H.","12",,,,,,,"Tehran University Medical Journal","6","CD8+ T Lymphocyte","127","School of Pharmacy","23","University of Tehran","4","Kenya","3",,,,
,,,,"Soleimanjahi, H.","12",,,,,,,"Applied Biochemistry And Biotechnology","5","Cancer Vaccine","125","Harvard Medical School","22","Urmia University of Medical Sciences","4","Luxembourg","3",,,,
,,,,"Falak, R.","11",,,,,,,"BMC Immunology","5","Chemistry","125","University of Tabriz","22","Zanjan University of Medical Sciences","4","Peru","3",,,,
,,,,"Fallahpour, M.","11",,,,,,,"Biotechnology And Applied Biochemistry","5","Drug Effect","124","Rafsanjan University of Medical Sciences","22","Aja University of Medical Sciences","3","Serbia","3",,,,
,,,,"Ghaemi, A.","11",,,,,,,"Human Immunology","5","Interleukin 10","122","National Institute for Genetic Engineering and Biotechnology Iran","22","Alborz University of Medical Sciences","3","Bahrain","2",,,,
,,,,"Habibi-Anbouhi, M.","11",,,,,,,"Hybridoma","5","Neoplasms","122","Faculty of Medicine, Kerman University of Medical Sciences","22","Babol University of Medical Sciences","3","Brunei Darussalam","2",,,,
,,,,"Masoumi, J.","11",,,,,,,"Immunobiology","5","Regulatory T Lymphocyte","118","School of Medicine, Zanjan University of Medical Sciences ZUMS","21","European Regional Development Fund","3","Bulgaria","2",,,,
,,,,"Noorbakhsh, F.","11",,,,,,,"Iranian Journal Of Dermatology","5","Monoclonal Antibody","114","Hormozgan University of Medical Sciences","21","Guilan University of Medical Sciences","3","Chile","2",,,,
,,,,"Rasaee, M.J.","11",,,,,,,"Journal Of Cellular And Molecular Medicine","5","Cancer Inhibition","110","Babol University of Medical Sciences","21","Institute of Cancer Research","3","Colombia","2",,,,
,,,,"Sahebkar, A.","11",,,,,,,"Journal Of Clinical Immunology","5","Tumor Growth","110","Hazrate Rasoole Akram Hospital","21","Kashan University of Medical Sciences","3","French Polynesia","2",,,,
,,,,"Aghebati-Maleki, L.","10",,,,,,,"Journal Of Medical Case Reports","5","Cytokines","109","Razi Vaccine &amp; Serum Research Institute, Iran","20","Kermanshah University of Medical Sciences","3","Ghana","2",,,,
,,,,"Ahmadvand, M.","10",,,,,,,"Multiple Sclerosis And Related Disorders","5","Breast Neoplasms","108","Immunogenetics Research Center MAZUMS","20","Ministry of Education of the People's Republic of China","3","Libya","2",,,,
,,,,"Arashkia, A.","10",,,,,,,"Advanced Biomedical Research","4","Epitope","107","National Research Institute of Tuberculosis and Lung Disease Tehran","19","National Institute of Allergy and Infectious Diseases","3","Malta","2",,,,
,,,,"Atyabi, F.","10",,,,,,,"Anti Cancer Agents In Medicinal Chemistry","4","Human Tissue","107","Urmia University of Medical Sciences","19","National Institute of Biomedical Imaging and Bioengineering","3","New Zealand","2",,,,
,,,,"Ghafouri-Fard, S.","10",,,,,,,"Biomedical Signal Processing And Control","4","Antineoplastic Agent","105","Alborz University of Medical Sciences, Non-communicable Diseases Research Center","19","National Science Foundation","3","Paraguay","2",,,,
,,,,"Ghalamfarsa, G.","10",,,,,,,"Biomedicine And Pharmacotherapy","4","Neoplasm","105","Cancer Research Institute","19","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","3","Qatar","2",,,,
,,,,"Ghods, R.","10",,,,,,,"Cancer Letters","4","Spleen Cell","103","Hematology, Oncology and Stem Cell Transplantation Research Center","18","Science and Technology Department of Sichuan Province","3","Sierra Leone","2",,,,
,,,,"Mohsenzadegan, M.","10",,,,,,,"Cancer Reports","4","Interleukin 2","102","Shiraz HIV/AIDS Research Center SUMS","18","Seventh Framework Programme","3","Sudan","2",,,,
,,,,"Nourizadeh, M.","10",,,,,,,"Dermatologic Therapy","4","In Vivo Study","100","Birjand University of Medical Sciences","17","Urmia University","3","Syrian Arab Republic","2",,,,
,,,,"Pourpak, Z.","10",,,,,,,"European Journal Of Pharmaceutical Sciences","4","Treatment Outcome","99","SBUMS School of Pharmacy","17","Vetenskapsrådet","3","Türkiye","2",,,,
,,,,"Rezaei, A.","10",,,,,,,"Gene","4","Cancer Vaccines","98","Stem Cell Research Center","17","Agencia Estatal de Investigación","2","Viet Nam","2",,,,
,,,,"Soudi, S.","10",,,,,,,"Human Vaccines And Immunotherapeutics","4","Cytokine Release","97","Research Center for Pharmaceutical Nanotechnology","17","AstraZeneca","2","Zambia","2",,,,
,,,,"Tavakkol-Afshari, J.","10",,,,,,,"International Journal Of Surgery Case Reports","4","Cell Culture","93","Shahid Sadoughi University of Medical Sciences","16","Canadian Cancer Society Research Institute","2","Albania","1",,,,
