Scopus refine results values

"Your query : (TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering"") AND AFFILCOUNTRY(Iran))"


Number of results : 3504

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1396","2025","245","Rezaei, N.","197","Medicine","2141","Review","1709","final","3475","International Immunopharmacology","143","Human","2800","Tehran University of Medical Sciences","981","Tabriz University of Medical Sciences","172","Iran","3504","Journal","3372","English","3454"
"Gold","937","2024","491","Baradaran, B.","116","Biochemistry, Genetics and Molecular Biology","1499","Article","1524","aip","29","Frontiers In Immunology","80","Humans","2046","Tabriz University of Medical Sciences","539","Tehran University of Medical Sciences and Health Services","139","United States","501","Book","102","Persian","42"
"Hybrid Gold","143","2023","467","Jadidi-Niaragh, F.","59","Immunology and Microbiology","985","Book Chapter","113",,,"Life Sciences","64","Immunotherapy","1973","Shahid Beheshti University of Medical Sciences","498","Mashhad University of Medical Sciences","125","Canada","172","Book Series","24","Arabic","8"
"Bronze","135","2022","467","Sahebkar, A.","58","Pharmacology, Toxicology and Pharmaceutics","870","Letter","48",,,"Iranian Journal Of Allergy Asthma And Immunology","55","Review","1574","Iran University of Medical Sciences","387","Shiraz University of Medical Sciences","81","United Kingdom","168","Conference Proceeding","6","French","2"
"Green","927","2021","440","Hadjati, J.","57","Chemical Engineering","135","Editorial","37",,,"Immunotherapy","54","Nonhuman","1547","Mashhad University of Medical Sciences","372","National Institute for Medical Research Development","76","Italy","152",,,"Spanish","2"
,,"2020","303","Mortezaee, K.","50","Engineering","132","Short Survey","23",,,"Journal Of Cellular Physiology","53","Article","1299","School of Medicine","369","Shahid Beheshti University of Medical Sciences","74","Germany","149",,,"Portuguese","1"
,,"2019","229","Shokri, F.","50","Chemistry","105","Note","13",,,"Biomedicine And Pharmacotherapy","52","Cancer Immunotherapy","1254","Shiraz University of Medical Sciences","305","Iran National Science Foundation","57","Sweden","129",,,"Russian","1"
,,"2018","142","Keshavarz-Fathi, M.","49","Materials Science","99","Erratum","10",,,"Cancer Cell International","43","Animals","959","Tarbiat Modares University","280","Iran University of Medical Sciences","54","India","128",,,,
,,"2017","152","Jaafari, M.R.","47","Neuroscience","97","Retracted","10",,,"Frontiers In Oncology","36","Immunology","943","Pasteur Institute of Iran","234","National Institutes of Health","52","China","123",,,,
,,"2016","109","Jeddi-Tehrani, M.","47","Multidisciplinary","58","Book","9",,,"Medical Oncology","36","Controlled Study","907","Children's Medical Center TUMS","228","U.S. Department of Health and Human Services","47","Australia","111",,,,
,,"2015","98","Yousefi, M.","44","Agricultural and Biological Sciences","49","Conference Paper","8",,,"Iranian Journal Of Immunology","34","Female","907","Islamic Azad University","210","Pasteur Institute of Iran","38","Turkey","93",,,,
,,"2014","75","Ghaderi, A.","41","Computer Science","47",,,,,"Iranian Journal Of Basic Medical Sciences","30","Animal","889","Research Center for Immunodeficiencies","202","Tarbiat Modares University","37","Iraq","86",,,,
,,"2013","56","Hassan, Z.M.","39","Mathematics","32",,,,,"Molecular Biology Reports","28","Unclassified Drug","749","Faculty of Medicine","184","Isfahan University of Medical Sciences","29","Russian Federation","78",,,,
