Scopus refine results values

"Your query : (TITLE-ABS-KEY (immunotherap*) OR TITLE-ABS-KEY (""immuno engineering"") OR TITLE-ABS-KEY (""immunoengineering"") AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 1709

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","717","2025","166","Rezaei, N.","105","Medicine","1009","Review","1709","final","1688","International Immunopharmacology","93","Human","1598","Tehran University of Medical Sciences","475","Tabriz University of Medical Sciences","111","Iran","1709","Journal","1708","English","1696"
"Gold","490","2024","283","Baradaran, B.","73","Biochemistry, Genetics and Molecular Biology","825",,,"aip","21","Frontiers In Immunology","55","Review","1566","Tabriz University of Medical Sciences","349","Mashhad University of Medical Sciences","35","United States","296","Book Series","1","Persian","10"
"Hybrid Gold","73","2023","269","Mortezaee, K.","50","Pharmacology, Toxicology and Pharmaceutics","510",,,,,"Life Sciences","49","Humans","1200","Shahid Beheshti University of Medical Sciences","278","Shahid Beheshti University of Medical Sciences","33","India","99",,,"Arabic","2"
"Bronze","58","2022","276","Sahebkar, A.","41","Immunology and Microbiology","437",,,,,"Biomedicine And Pharmacotherapy","48","Immunotherapy","1078","School of Medicine","199","Tehran University of Medical Sciences and Health Services","33","United Kingdom","95",,,"French","1"
"Green","479","2021","259","Majidpoor, J.","29","Chemical Engineering","60",,,,,"Journal Of Cellular Physiology","47","Nonhuman","897","Iran University of Medical Sciences","198","National Institutes of Health","31","Canada","92",,,"Portuguese","1"
,,"2020","145","Najafi, M.","27","Engineering","59",,,,,"Cancer Cell International","36","Cancer Immunotherapy","773","Mashhad University of Medical Sciences","186","National Institute for Medical Research Development","27","Italy","89",,,"Spanish","1"
,,"2019","92","Aghebati-Maleki, L.","24","Materials Science","51",,,,,"Immunotherapy","35","Neoplasms","514","Shiraz University of Medical Sciences","145","U.S. Department of Health and Human Services","27","China","85",,,,
,,"2018","58","Yousefi, M.","24","Chemistry","50",,,,,"Frontiers In Oncology","25","Neoplasm","499","Faculty of Medicine","123","Iran University of Medical Sciences","20","Germany","77",,,,
,,"2017","42","Jadidi-Niaragh, F.","23","Neuroscience","43",,,,,"Medical Oncology","25","Tumor Microenvironment","492","Islamic Azad University","114","UK Research and Innovation","20","Iraq","69",,,,
,,"2016","35","Baghbanzadeh, A.","22","Agricultural and Biological Sciences","21",,,,,"Pathology Research And Practice","25","Animals","486","Immunology Research Center","114","Shiraz University of Medical Sciences","17","Australia","68",,,,
,,"2015","21","Hamblin, M.R.","22","Physics and Astronomy","13",,,,,"Molecular Biology Reports","21","Immunology","481","SBUMS School of Medicine","111","University of Kurdistan","16","Turkey","62",,,,
,,"2014","18","Silvestris, N.","21","Computer Science","12",,,,,"Expert Review Of Clinical Immunology","19","Animal","467","School of Medicine IUMS","109","Iran National Science Foundation","15","Russian Federation","61",,,,
,,"2013","9","Ashrafizadeh, M.","20","Veterinary","12",,,,,"Critical Reviews In Oncology Hematology","18","Procedures","439","Children's Medical Center TUMS","105","Biotechnology Research Center, Tabriz University of Medical Sciences","11","Sweden","60",,,,
,,"2012","13","Mirzaei, H.","20","Multidisciplinary","11",,,,,"Journal Of Drug Delivery Science And Technology","17","Immune Response","405","Research Center for Immunodeficiencies","104","Government of Canada","11","Saudi Arabia","41",,,,
,,"2011","5","Zarrabi, A.","20","Environmental Science","10",,,,,"Cancers","16","Metabolism","359","Tarbiat Modares University","96","Isfahan University of Medical Sciences","11","Poland","36",,,,
,,"2010","3","Aref, A.R.","19","Nursing","7",,,,,"Cell Communication And Signaling","16","Unclassified Drug","338","Kermanshah University of Medical Sciences","89","European Commission","9","France","29",,,,
,,"2009","6","Hushmandi, K.","19","Health Professions","5",,,,,"Stem Cell Research And Therapy","16","Cancer Therapy","337","Isfahan University of Medical Sciences","87","National Cancer Institute","9","Pakistan","28",,,,
,,"2008","2","Kazemi, T.","19","Psychology","5",,,,,"International Reviews Of Immunology","15","Signal Transduction","314","Pasteur Institute of Iran","77","Baqiyatallah University of Medical Sciences","8","South Africa","28",,,,
,,"2007","3","Mirzaei, H.R.","19","Social Sciences","4",,,,,"International Journal Of Biological Macromolecules","14","T Lymphocyte","283","University of Tehran","76","Canadian Institutes of Health Research","8","Austria","25",,,,
,,"2006","3","Shomali, N.","19","Dentistry","3",,,,,"Biomarker Research","12","Genetics","273","Iranian Academic Center for Education, Culture and Research","72","Kermanshah University of Medical Sciences","8","Czech Republic","24",,,,
,,"1990","1","Tahmasebi, S.","19","Earth and Planetary Sciences","3",,,,,"Current Pharmaceutical Design","11","Priority Journal","273","School of Advanced Technologies in Medicine","71","Kurdistan University Of Medical Sciences","8","Netherlands","23",,,,
,,,,"Esmaeilzadeh, A.","18","Arts and Humanities","1",,,,,"International Journal Of Molecular Sciences","11","Pathology","264","Mashhad University of Medical Sciences, School of Medicine","69","Ministry of Science and Technology of the People's Republic of China","8","Spain","23",,,,
,,,,"Avan, A.","17","Energy","1",,,,,"Journal Of Controlled Release","11","Immune Checkpoint Inhibitor","254","Hamadan University of Medical Sciences","64","National Natural Science Foundation of China","8","Egypt","21",,,,
,,,,"Derakhshani, A.","17","Mathematics","1",,,,,"Journal Of Drug Targeting","11","Natural Killer Cell","253","Kurdistan University of Medical Sciences","63","Ministry of Education - Singapore","7","Indonesia","20",,,,
,,,,"Hashemi, M.","17",,,,,,,"Cellular Oncology","10","Cancer","249","Zanjan University of Medical Sciences ZUMS","60","National Health and Medical Research Council","7","Japan","19",,,,
,,,,"Bashash, D.","16",,,,,,,"Clinical And Translational Oncology","10","Therapy","248","Kashan University of Medical Sciences","58","National Institute of Allergy and Infectious Diseases","7","Malaysia","19",,,,
,,,,"Brunetti, O.","16",,,,,,,"European Journal Of Pharmacology","10","Antineoplastic Activity","239","Mazandaran University of Medical Sciences","57","Deutsche Forschungsgemeinschaft","6","Singapore","19",,,,
,,,,"Keshavarz-Fathi, M.","16",,,,,,,"Expert Opinion On Biological Therapy","10","Antineoplastic Agent","233","Urmia University of Medical Sciences","53","European Association of Urology","6","South Korea","19",,,,
,,,,"Farhood, B.","15",,,,,,,"Heliyon","10","Apoptosis","227","Drug Applied Research Center, Tabriz University of Medical Sciences","53","Hamadan University of Medical Sciences","6","Thailand","19",,,,
,,,,"Ghafouri-Fard, S.","15",,,,,,,"Immunology Letters","10","Programmed Death 1 Ligand 1","224","Stem Cell Research Center","53","Medical Research Council","6","Denmark","18",,,,
,,,,"Kesharwani, P.","15",,,,,,,"Expert Opinion On Therapeutic Targets","9","Drug Therapy","217","School of Medicine, Isfahan UMS","51","Russian Science Foundation","6","Switzerland","18",,,,
,,,,"Dianat-Moghadam, H.","14",,,,,,,"Human Immunology","9","Malignant Neoplasm","214","Sechenov First Moscow State Medical University","50","Urmia University of Medical Sciences","6","Jordan","16",,,,
,,,,"Hojjat-Farsangi, M.","14",,,,,,,"Pharmacological Research","9","Breast Cancer","211","School of Medicine","49","Babol University of Medical Sciences","5","Belgium","14",,,,
,,,,"Khazaei, M.","14",,,,,,,"Cancer Letters","8","Drug Delivery System","203","Guilan University of Medical Sciences","48","Drug Applied Research Center, Tabriz University of Medical Sciences","5","Hungary","14",,,,
,,,,"Marofi, F.","14",,,,,,,"Cell Biochemistry And Function","8","Regulatory T Lymphocyte","200","Semnan University of Medical Sciences and Health Services","48","Iran's National Elites Foundation","5","United Arab Emirates","14",,,,
,,,,"Mirzaei, S.","14",,,,,,,"Current Cancer Therapy Reviews","8","Monoclonal Antibody","191","Kerman University of Medical Sciences","46","National University of Singapore","5","Chile","12",,,,
,,,,"Mokhtarzadeh, A.","14",,,,,,,"Discover Oncology","8","Adoptive Immunotherapy","189","Harvard Medical School","43","Natural Sciences and Engineering Research Council of Canada","5","Brazil","11",,,,
,,,,"Razi, S.","14",,,,,,,"Frontiers In Pharmacology","8","Immune System","184","Gonabad University of Medical Sciences","43","Pasteur Institute of Iran","5","Finland","10",,,,
,,,,"Ahmadi, M.","13",,,,,,,"IUBMB Life","8","CD8+ T Lymphocyte","183","University of Tabriz","42","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","5","Norway","10",,,,
,,,,"Negahdari, B.","13",,,,,,,"Reviews In Medical Virology","8","Immunomodulation","182","Islamic Azad University, Tehran Medical Branch","42","Student Research Committee, Tabriz University of Medical Sciences","5","Portugal","10",,,,
,,,,"Payandeh, Z.","13",,,,,,,"Stem Cell Reviews And Reports","8","Cancer Chemotherapy","181","Alborz University of Medical Sciences","42","Alborz University of Medical Sciences","4","Romania","10",,,,
,,,,"Rahbarizadeh, F.","13",,,,,,,"Cancer Medicine","7","Dendritic Cell","181","School of Medicine, Zanjan University of Medical Sciences ZUMS","39","Ardabil University of Medical Sciences","4","Cyprus","9",,,,
,,,,"Safarzadeh Kozani, P.","13",,,,,,,"Clinical And Experimental Medicine","7","Immunocompetent Cell","181","Islamic Azad University, Science and Research Branch","39","Basic and Applied Basic Research Foundation of Guangdong Province","4","Uzbekistan","9",,,,
,,,,"Shadbad, M.A.","13",,,,,,,"Current Molecular Medicine","7","Protein Expression","179","Karolinska Institutet","38","Breast Cancer Research Foundation","4","Viet Nam","9",,,,
,,,,"Shariat, S.F.","13",,,,,,,"Human Vaccines And Immunotherapeutics","7","Cancer Vaccine","177","Royan Institute","38","Department of Health and Aged Care, Australian Government","4","Bangladesh","8",,,,
,,,,"Azizi, G.","12",,,,,,,"Journal Of Reproductive Immunology","7","Programmed Death 1 Receptor","177","Shariati Hospital","35","Fundação para a Ciência e a Tecnologia","4","Belarus","8",,,,
,,,,"Ferns, G.A.","12",,,,,,,"Journal Of Translational Medicine","7","Drug Efficacy","176","School of Pharmacy","35","GlaxoSmithKline","4","Hong Kong","8",,,,
,,,,"Hassanian, S.M.","12",,,,,,,"Tumor Biology","7","Chimeric Antigen Receptor T-cell Immunotherapy","174","Baqiyatallah University of Medical Sciences","33","Horizon 2020 Framework Programme","4","Ireland","8",,,,
,,,,"Mohammadi, H.","12",,,,,,,"Current Cancer Drug Targets","6","Cytokine","166","School of Medicine","32","King Khalid University","4","Mexico","8",,,,
,,,,"Omidi, Y.","12",,,,,,,"Drug Discovery Today","6","Cell Proliferation","164","Ahvaz Jundishapur University of Medical Sciences","31","Merck KGaA","4","Taiwan","8",,,,
,,,,"Safarzadeh Kozani, P.","12",,,,,,,"Expert Review Of Anticancer Therapy","6","Tumor Immunity","159","School of Pharmacy","31","Ministério da Educação e Ciência","4","Ukraine","8",,,,
,,,,"Suksatan, W.","12",,,,,,,"Future Oncology","6","Chimeric Antigen Receptor","157","School of Public Health","31","National Institute for Genetic Engineering and Biotechnology","4","Lebanon","7",,,,
,,,,"Taheriazam, A.","12",,,,,,,"Immunopharmacology And Immunotoxicology","6","Innate Immunity","155","Universal Scientific Education and Research Network USERN","30","Research Center for Infectious Diseases and Tropical Medicine, Tabriz University of Medical Sciences","4","Peru","7",,,,
,,,,"Akbari, M.","11",,,,,,,"Iranian Journal Of Allergy Asthma And Immunology","6","Molecularly Targeted Therapy","153","Shahid Sadoughi University of Medical Sciences","30","Research Center for Pharmaceutical Nanotechnology","4","Qatar","7",,,,
,,,,"Asadzadeh, Z.","11",,,,,,,"Iranian Journal Of Blood And Cancer","6","Carcinogenesis","152","Ardabil University of Medical Sciences","30","Royan Institute","4","Argentina","6",,,,
,,,,"Bolhassani, A.","11",,,,,,,"Molecular Cancer","6","Immunosuppressive Treatment","151","Saveetha Institute of Medical and Technical Sciences","30","Academy of Finland","3","Colombia","6",,,,
,,,,"Hadjati, J.","11",,,,,,,"Naunyn Schmiedeberg S Archives Of Pharmacology","6","Melanoma","151","Fasa University of Medical Sciences","28","Fasa University of Medical Sciences","3","Morocco","6",,,,
,,,,"Hajiasgharzadeh, K.","11",,,,,,,"Vaccines","6","Female","150","Babol University of Medical Sciences","28","Ferdowsi University of Mashhad","3","Nigeria","6",,,,
,,,,"Jaafari, M.R.","11",,,,,,,"Anti Cancer Agents In Medicinal Chemistry","5","Immunotherapy, Adoptive","150","School of Advanced Medical Sciences and Technologies","28","Guangdong Provincial Department of Science and Technology","3","Philippines","6",,,,
,,,,"Jafari, R.","11",,,,,,,"Archives Of Iranian Medicine","5","Cytotoxic T Lymphocyte Antigen 4","149","Shahrekord University of Medical Sciences","27","Guilan University of Medical Sciences","3","Ecuador","5",,,,
,,,,"Khorramdelazad, H.","11",,,,,,,"Bioimpacts","5","Tumor Growth","148","Massachusetts General Hospital","27","Japan Society for the Promotion of Science","3","Georgia","5",,,,
,,,,"Nabavi, N.","11",,,,,,,"Biomedicines","5","Cancer Growth","146","Golestan University of Medical Sciences","26","Kerman University of Medical Sciences","3","Greece","5",,,,
,,,,"Sanaei, M.J.","11",,,,,,,"Biomolecules","5","Colorectal Cancer","142","Birjand University of Medical Sciences","26","Mazandaran University of Medical Sciences","3","Israel","5",,,,
,,,,"Shanehbandi, D.","11",,,,,,,"Cancer Gene Therapy","5","Exosome","142","University of Isfahan","26","Ministerio de Economía y Competitividad","3","Kazakhstan","5",,,,
,,,,"Thangavelu, L.","11",,,,,,,"Caspian Journal Of Internal Medicine","5","Adaptive Immunity","140","Research Center for Molecular","26","Ministero dell’Istruzione, dell’Università e della Ricerca","3","New Zealand","5",,,,
,,,,"Aghamohammadi, A.","10",,,,,,,"Cell Biology International","5","Nivolumab","140","Rafsanjan University of Medical Sciences","25","Ministry of Education, Culture, Sports, Science and Technology","3","Latvia","4",,,,
,,,,"Aghebati-Maleki, A.","10",,,,,,,"Cellular Immunology","5","Tumor Antigen","140","Qom University of Medical Sciences and Health Services","25","Ministry of Higher Education, Malaysia","3","Slovakia","4",,,,
,,,,"Jalil, A.T.","10",,,,,,,"Clinical Immunology","5","Pembrolizumab","139","Nanotechnology Research Center","25","National Institute for Health and Care Research","3","Algeria","3",,,,
,,,,"Javid, H.","10",,,,,,,"Current Drug Targets","5","Nanoparticle","138","Faculty of Medicine MAZUMS","24","National Medical Research Council","3","Bahrain","3",,,,
,,,,"Khalili, S.","10",,,,,,,"Current Medicinal Chemistry","5","Inflammation","137","National Institute for Genetic Engineering and Biotechnology Iran","24","Research Institute for Gastroenterology and Liver Diseases","3","Bulgaria","3",,,,
,,,,"Kumar, A.P.","10",,,,,,,"Inflammopharmacology","5","MicroRNA","136","Qazvin University of Medical Sciences","24","Shahrekord University of Medical Sciences","3","Croatia","3",,,,
,,,,"Najafi, S.","10",,,,,,,"International Journal Of Cancer Management","5","Metastasis","134","School of Paramedical, Kermanshah University of Medical Sciences","24","Shiraz Transplant Research Center, Shiraz University of Medical Sciences","3","Kenya","3",,,,
,,,,"Pourbagheri-Sigaroodi, A.","10",,,,,,,"International Journal Of Pharmaceutics","5","Clinical Trial (topic)","133","Bushehr University of Medical Sciences","23","Tarbiat Modares University","3","Kuwait","3",,,,
,,,,"Rabiee, N.","10",,,,,,,"Journal Of Cancer Research And Clinical Oncology","5","Drug Effect","133","Islamic Azad University, Tabriz Branch","23","Terry Fox Research Institute","3","Oman","3",,,,
,,,,"Shahgolzari, M.","10",,,,,,,"Journal Of Experimental And Clinical Cancer Research","5","Cancer Prognosis","130","Shahid Beheshti University","23","Wellcome Trust","3","Serbia","3",,,,
,,,,"Barar, J.","9",,,,,,,"Journal Of Gastrointestinal Cancer","5","Systematic Review","129","North Khorasan University of Medical Sciences","23","Alexander von Humboldt-Stiftung","2","Slovenia","3",,,,
,,,,"Entezari, M.","9",,,,,,,"Journal Of Nanobiotechnology","5","Treatment Outcome","129","Università degli studi di Bari Aldo Moro","22","AstraZeneca","2","Syrian Arab Republic","3",,,,
,,,,"Eslami, M.","9",,,,,,,"Medicinal Research Reviews","5","Cancer Cell","128","Yasuj University of Medical Sciences","22","Biogen","2","Venezuela","3",,,,
,,,,"Ghorbaninezhad, F.","9",,,,,,,"Scandinavian Journal Of Immunology","5","Gamma Interferon","128","School of Pharmacy","22","Bristol-Myers Squibb","2","Azerbaijan","2",,,,
