Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(ar) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 35718543

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","10484371","2026","60","Hofman, A.","2372","Medicine","22734261","Article","35718543","final","35602537","Journal Of The American Chemical Society","184006","Article","22036716","Harvard Medical School","287781","National Institutes of Health","1570720","United States","8754906","Journal","35422484","English","29318582"
"Gold","4236527","2025","552718","Lip, G.Y.H.","2328","Biochemistry, Genetics and Molecular Biology","9332133",,,"aip","116006","Journal Of Biological Chemistry","182964","Human","17065734","Chinese Academy of Sciences","251581","U.S. Department of Health and Human Services","1235678","China","3299178","Book Series","170797","German","1430419"
"Hybrid Gold","1270978","2024","1236321","Raoult, D.","2323","Agricultural and Biological Sciences","5573738",,,,,"British Medical Journal","133852","Male","10074860","Ministry of Education of the People's Republic of China","242915","National Natural Science Foundation of China","1084225","United Kingdom","2290586","Trade Journal","51134","Chinese","867265"
"Bronze","3030748","2023","1198951","Serruys, P.W.","2036","Pharmacology, Toxicology and Pharmaceutics","2584965",,,,,"Lancet","110514","Female","10000582","Inserm","222878","Ministry of Science and Technology of the People's Republic of China","733054","Japan","2099879","Book","8159","French","850898"
"Green","6628488","2022","1268165","Zetterberg, H.","1863","Immunology and Microbiology","2270597",,,,,"Tetrahedron Letters","98150","Humans","9847957","CNRS Centre National de la Recherche Scientifique","221229","National Cancer Institute","400316","Germany","2086476","Conference Proceeding","5192","Russian","768580"
,,"2021","1255796","De Clercq, E.","1814","Chemistry","1953899",,,,,"Biochemical And Biophysical Research Communications","94008","Adult","7805321","University of Toronto","187296","European Commission","371853","France","1313111","Report","19","Spanish","511900"
,,"2020","1139968","Scully, R.E.","1721","Neuroscience","1907250",,,,,"Journal Of The American Medical Association","73219","Controlled Study","7485356","National Institutes of Health NIH","183174","Japan Society for the Promotion of Science","288958","Italy","1232882","Undefined","60758","Japanese","470903"
,,"2019","1012487","Supuran, C.T.","1718","Environmental Science","1684955",,,,,"Deutsche Medizinische Wochenschrift","71619","Priority Journal","7328137","University of California, San Francisco","158901","National Science Foundation","287209","Canada","1193032",,,"Italian","367562"
,,"2018","940954","Hyde, K.D.","1696","Chemical Engineering","792696",,,,,"Nature Communications","70022","Nonhuman","5359776","Universidade de São Paulo","153972","Ministry of Education, Culture, Sports, Science and Technology","285742","India","1056587",,,"Portuguese","185309"
,,"2017","891272","Sugimachi, K.","1664","Engineering","767349",,,,,"International Journal Of Molecular Sciences","69096","Major Clinical Study","3917233","University of Washington","151128","National Heart, Lung, and Blood Institute","267902","Australia","914263",,,"Polish","180235"
,,"2016","897928","Maehara, Y.","1663","Nursing","721183",,,,,"Biochemistry","67442","Aged","3892888","VA Medical Center","141666","National Institute of General Medical Sciences","255049","Spain","873736",,,"Czech","109032"
,,"2015","895922","Scambia, G.","1651","Psychology","707435",,,,,"Journal Of Immunology","63731","Animal","3832905","Massachusetts General Hospital","136974","National Key Research and Development Program of China","216574","Netherlands","714389",,,"Dutch","88731"
,,"2014","878013","Willett, W.C.","1650","Health Professions","685352",,,,,"Plos One","58796","Animals","3364808","Karolinska Institutet","132584","National Institute of Allergy and Infectious Diseases","210748","Brazil","708655",,,"Swedish","53515"
,,"2013","843729","Kohno, S.","1638","Social Sciences","650743",,,,,"Brain Research","58399","Middle Aged","3336906","University of Michigan, Ann Arbor","123662","UK Research and Innovation","206342","South Korea","581141",,,"Danish","50888"
,,"2012","797165","La Vecchia, C.","1629","Materials Science","422198",,,,,"International Journal Of Environmental Research And Public Health","56954","Metabolism","2686553","Russian Academy of Sciences","122416","Deutsche Forschungsgemeinschaft","188491","Sweden","552041",,,"Hungarian","49446"
,,"2011","766024","Brenner, H.","1618","Physics and Astronomy","415087",,,,,"Journal Of Chromatography A","55601","Animal Experiment","2548248","University of California, Los Angeles","121156","National Institute of Diabetes and Digestive and Kidney Diseases","171388","Switzerland","531085",,,"Turkish","48116"
