Scopus refine results values

"Your query : (PUBYEAR > 1 AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 45941296

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","13355238","2026","71","Wiwanitkit, V.","4895","Medicine","30531470","Article","35718543","final","45786888","Lancet","433469","Human","22741376","Harvard Medical School","399532","National Institutes of Health","1874509","United States","11696454","Journal","43914060","English","38410339"
"Gold","5171896","2025","725623","Lip, G.Y.H.","4149","Biochemistry, Genetics and Molecular Biology","11270935","Review","3294756","aip","154408","British Medical Journal","261955","Article","22326725","Inserm","288530","U.S. Department of Health and Human Services","1455534","China","3791336","Book","1000395","German","1773519"
"Hybrid Gold","1574796","2024","1694855","Raoult, D.","3294","Agricultural and Biological Sciences","6548656","Letter","1641891",,,"Journal Of The American Chemical Society","207503","Humans","13290184","Chinese Academy of Sciences","281316","National Natural Science Foundation of China","1215561","United Kingdom","3265215","Book Series","444928","French","1075929"
"Bronze","4173110","2023","1641188","Serruys, P.W.","2776","Pharmacology, Toxicology and Pharmaceutics","3252912","Note","1254219",,,"Journal Of Biological Chemistry","188107","Female","11174196","Ministry of Education of the People's Republic of China","272705","Ministry of Science and Technology of the People's Republic of China","826155","Germany","2668350","Conference Proceeding","419831","Chinese","945445"
"Green","8197086","2022","1705473","Hofman, A.","2563","Immunology and Microbiology","2758744","Conference Paper","1214780",,,"Tetrahedron Letters","99822","Male","11069731","CNRS Centre National de la Recherche Scientifique","264918","National Cancer Institute","468390","Japan","2426179","Trade Journal","93465","Russian","821544"
,,"2021","1698608","Dyer, C.","2539","Neuroscience","2390669","Book Chapter","1000585",,,"Journal Of The American Medical Association","98720","Priority Journal","9615511","University of Toronto","255640","European Commission","453835","France","1716867","Report","116","Spanish","654486"
,,"2020","1542841","Stones, M.","2419","Chemistry","2208454","Editorial","974866",,,"International Journal Of Molecular Sciences","98407","Adult","8587584","National Institutes of Health NIH","230638","National Science Foundation","332103","Italy","1677849","Undefined","68501","Japanese","575167"
,,"2019","1373027","Finsterer, J.","2416","Environmental Science","1972609","Erratum","381438",,,"Biochemical And Biophysical Research Communications","96579","Controlled Study","7867842","University of California, San Francisco","214348","Japan Society for the Promotion of Science","330153","Canada","1560698",,,"Italian","422371"
,,"2018","1302187","Shoenfeld, Y.","2398","Engineering","1260707","Short Survey","379195",,,"New England Journal Of Medicine","91775","Nonhuman","6524278","University of Washington","195087","National Heart, Lung, and Blood Institute","319227","India","1427850",,,"Portuguese","212604"
,,"2017","1247848","Diener, H.C.","2396","Nursing","989795","Book","61752",,,"Deutsche Medizinische Wochenschrift","84237","Animal","4406174","Massachusetts General Hospital","192090","Ministry of Education, Culture, Sports, Science and Technology","319157","Australia","1221559",,,"Polish","211131"
,,"2016","1239646","Ernst, E.","2308","Chemical Engineering","978932","Retracted","13215",,,"Nature Communications","74847","Aged","4278646","Universidade de São Paulo","188388","National Institute of General Medical Sciences","293877","Spain","1132931",,,"Dutch","130051"
,,"2015","1221393","Lippi, G.","2304","Health Professions","950493","Conference Review","5024",,,"Biochemistry","69261","Major Clinical Study","4144819","VA Medical Center","176459","UK Research and Innovation","255912","Netherlands","927339",,,"Czech","126057"
,,"2014","1190926","Bhatt, D.L.","2277","Psychology","880428","Data Paper","725",,,"Journal Of Immunology","65957","Animals","4069672","Mayo Clinic","165369","National Institute of Allergy and Infectious Diseases","247523","Brazil","850370",,,"Swedish","68425"
,,"2013","1160990","Zetterberg, H.","2241","Social Sciences","873996","Report","108",,,"Annals Of The New York Academy Of Sciences","65769","Middle Aged","3624083","University of Pennsylvania","161457","National Key Research and Development Program of China","242402","Switzerland","698090",,,"Danish","67587"
,,"2012","1122648","Bruze, M.","2208","Computer Science","700640","Abstract Report","31",,,"International Journal Of Environmental Research And Public Health","64255","Metabolism","3151399","University of Michigan, Ann Arbor","161081","Deutsche Forschungsgemeinschaft","222610","South Korea","673030",,,"Turkish","58796"
,,"2011","1061993","La Vecchia, C.","2200","Physics and Astronomy","580456","Undefined","168",,,"Journal Of Urology","63560","Review","3006432","Karolinska Institutet","160350","National Institute of Diabetes and Digestive and Kidney Diseases","207286","Sweden","661203",,,"Hungarian","57656"
,,"2010","1009792","Montorsi, F.","2197","Materials Science","556406",,,,,"Plos One","63478","Unclassified Drug","2830549","University College London","158894","National Institute of Neurological Disorders and Stroke","185252","Turkey","526951",,,"Norwegian","49995"
,,"2009","978450","De Clercq, E.","2187","Earth and Planetary Sciences","451982",,,,,"JAMA The Journal Of The American Medical Association","61860","Case Report","2741583","Brigham and Women's Hospital","158393","Conselho Nacional de Desenvolvimento Científico e Tecnológico","184635","Russian Federation","510315",,,"Korean","39314"
,,"2008","942764","Scambia, G.","2152","Veterinary","369828",,,,,"Journal Of Chromatography A","61582","Clinical Article","2654502","University of California, Los Angeles","156800","Medical Research Council","178080","Poland","498561",,,"Bulgarian","35999"
,,"2007","904173","Bax, J.J.","2125","Arts and Humanities","347115",,,,,"Brain Research","59934","Animal Experiment","2644012","Johns Hopkins University School of Medicine","154637","National Institute of Mental Health","163085","Belgium","491136",,,"Romanian","34237"
,,"2006","859336","Api, A.M.","2121","Mathematics","264153",,,,,"Molecules","58952","Adolescent","2367372","University of California, San Diego","149913","Government of Canada","160020","Denmark","429069",,,"Serbian","33166"
,,"2005","806643","Sahebkar, A.","2102","Dentistry","195007",,,,,"Acta Horticulturae","57996","Genetics","2237279","University of Melbourne","148556","Horizon 2020 Framework Programme","145333","Iran","424346",,,"Ukrainian","30347"
