Scopus refine results values

"Your query : (PUBYEAR > 1 AND DOCTYPE(re) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 3294756

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1190367","2026","8","Sahebkar, A.","1010","Medicine","2387425","Review","3294756","final","3277759","International Journal Of Molecular Sciences","27273","Review","2584708","Harvard Medical School","46128","National Institutes of Health","182827","United States","1051684","Journal","3249354","English","2797527"
"Gold","539456","2025","80297","Lip, G.Y.H.","795","Biochemistry, Genetics and Molecular Biology","796331",,,"aip","16997","Nippon Rinsho Japanese Journal Of Clinical Medicine","22075","Human","2455898","University of Toronto","30541","U.S. Department of Health and Human Services","134966","United Kingdom","315470","Book Series","37094","German","93377"
"Hybrid Gold","159703","2024","172613","Shoenfeld, Y.","631","Pharmacology, Toxicology and Pharmaceutics","313073",,,,,"Cochrane Database Of Systematic Reviews","12457","Humans","1637198","Inserm","28898","National Natural Science Foundation of China","95819","China","271044","Trade Journal","4968","Japanese","77838"
"Bronze","274298","2023","165700","Kaye, A.D.","539","Agricultural and Biological Sciences","270720",,,,,"Frontiers In Immunology","11514","Priority Journal","773836","Massachusetts General Hospital","21888","Ministry of Science and Technology of the People's Republic of China","70519","Germany","218238","Conference Proceeding","149","Chinese","69338"
"Green","809541","2022","175104","Maffulli, N.","534","Immunology and Microbiology","219974",,,,,"Cancers","10842","Nonhuman","701991","University of California, San Francisco","21746","European Commission","49715","Italy","182225","Book","68","French","64491"
,,"2021","181845","Frishman, W.H.","478","Neuroscience","181662",,,,,"Journal Of Clinical Medicine","9208","Animals","476551","National Institutes of Health NIH","20581","National Cancer Institute","42095","Canada","146847","Report","6","Russian","47059"
,,"2020","153514","Gasbarrini, A.","478","Chemistry","112241",,,,,"Molecules","8873","Female","439025","CNRS Centre National de la Recherche Scientifique","19970","UK Research and Innovation","31853","France","139953","Undefined","3117","Spanish","46101"
,,"2019","126818","Lippi, G.","475","Nursing","99039",,,,,"Nutrients","7387","Animal","385382","Mayo Clinic","19873","National Heart, Lung, and Blood Institute","28788","Australia","126221",,,"Polish","24663"
,,"2018","119598","Aronow, W.S.","445","Environmental Science","86564",,,,,"Tanpakushitsu Kakusan Koso Protein Nucleic Acid Enzyme","7344","Male","337207","University College London","19143","National Institute of General Medical Sciences","24610","Japan","120233",,,"Italian","21328"
,,"2017","113709","Ernst, E.","445","Chemical Engineering","75743",,,,,"Medicine United States","7160","Metabolism","328104","Ministry of Education of the People's Republic of China","18983","National Institute of Allergy and Infectious Diseases","23139","India","114074",,,"Portuguese","12454"
,,"2016","106921","Ferlito, A.","440","Health Professions","74988",,,,,"Frontiers In Oncology","6607","Adult","276463","Brigham and Women's Hospital","18172","National Science Foundation","22751","Spain","97768",,,"Czech","9352"
,,"2015","95885","Mikhailidis, D.P.","440","Psychology","68953",,,,,"Cells","6499","Unclassified Drug","249092","Johns Hopkins University School of Medicine","17681","Deutsche Forschungsgemeinschaft","21982","Netherlands","87412",,,"Dutch","7988"
,,"2014","96306","Shariat, S.F.","438","Engineering","63171",,,,,"Frontiers In Pharmacology","6181","Systematic Review","233907","University of Melbourne","17458","Japan Society for the Promotion of Science","21690","Switzerland","68661",,,"Turkish","5654"
,,"2013","94536","Kroemer, G.","434","Social Sciences","52123",,,,,"Current Pharmaceutical Design","6176","Genetics","221556","University of Washington","17154","National Institute of Diabetes and Digestive and Kidney Diseases","21643","Brazil","61933",,,"Hungarian","5348"
,,"2012","102173","Rezaei, N.","420","Computer Science","44694",,,,,"International Journal Of Environmental Research And Public Health","6174","Physiology","212959","The University of Sydney","16666","Medical Research Council","20402","Poland","52182",,,"Danish","3982"
,,"2011","90787","Danese, S.","400","Materials Science","27813",,,,,"Ryikibetsu Shkgun Shirzu","5895","Pathophysiology","207057","Imperial College London","16528","Ministry of Education, Culture, Sports, Science and Technology","18909","Belgium","48684",,,"Finnish","3871"
,,"2010","88932","Esposito, S.","389","Physics and Astronomy","17862",,,,,"New England Journal Of Medicine","5635","Procedures","202006","University of Oxford","16374","National Key Research and Development Program of China","18447","Sweden","40898",,,"Croatian","3798"
,,"2009","87302","Reiter, R.J.","389","Veterinary","16785",,,,,"Neuroscience And Biobehavioral Reviews","4947","Risk Factor","197861","Yale School of Medicine","16020","Horizon 2020 Framework Programme","17923","Iran","39293",,,"Hebrew","3512"
,,"2008","86899","Dua, K.","388","Arts and Humanities","16136",,,,,"Cochrane Database Of Systematic Reviews Online","4737","Treatment Outcome","188196","King's College London","15850","National Institute of Neurological Disorders and Stroke","17296","Russian Federation","38437",,,"Bulgarian","2842"
,,"2007","89612","Tousoulis, D.","384","Earth and Planetary Sciences","13202",,,,,"Current Medicinal Chemistry","4729","Pathology","185202","University of Pennsylvania","15708","Government of Canada","16782","South Korea","38203",,,"Romanian","2336"
