Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 355729

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","115925","2026","1","Azizi, F.","1354","Medicine","202800","Article","355729","final","353679","Advances In Environmental Biology","3287","Article","206357","Tehran University of Medical Sciences","53215","Tehran University of Medical Sciences and Health Services","8237","Iran","355729","Journal","355141","English","331370"
"Gold","77071","2025","10683","Larijani, B.","1060","Biochemistry, Genetics and Molecular Biology","84831",,,"aip","2050","Journal Of Mazandaran University Of Medical Sciences","3237","Human","163063","Shahid Beheshti University of Medical Sciences","35709","Shahid Beheshti University of Medical Sciences","5992","United States","19627","Book Series","441","Persian","23501"
"Hybrid Gold","12458","2024","25854","Sahebkar, A.","782","Agricultural and Biological Sciences","83555",,,,,"Journal Of Isfahan Medical School","3136","Controlled Study","115868","Islamic Azad University","24526","Iran National Science Foundation","5714","United Kingdom","8865","Trade Journal","34","Arabic","1580"
"Bronze","14078","2023","26176","Malekzadeh, R.","732","Pharmacology, Toxicology and Pharmaceutics","39041",,,,,"International Journal Of Biological Macromolecules","2423","Female","111952","University of Tehran","23318","Mashhad University of Medical Sciences","5098","Canada","8250","Conference Proceeding","3","French","651"
"Green","67345","2022","28451","Rezaei, N.","729","Environmental Science","28085",,,,,"Acta Medica Iranica","2125","Male","111317","Iran University of Medical Sciences","21486","Shiraz University of Medical Sciences","4746","Germany","6949","Book","1","Spanish","365"
,,"2021","28577","Dehpour, A.R.","727","Immunology and Microbiology","27213",,,,,"Archives Of Iranian Medicine","2086","Adult","94963","Shiraz University of Medical Sciences","19087","Islamic Azad University","4117","Australia","6891","Undefined","109","Portuguese","219"
,,"2020","26699","Zali, M.R.","679","Chemistry","25809",,,,,"Life Science Journal","1935","Humans","84011","Isfahan University of Medical Sciences","19018","Tabriz University of Medical Sciences","4073","Italy","5814",,,"German","147"
,,"2019","24266","Kelishadi, R.","677","Engineering","14926",,,,,"Tehran University Medical Journal","1913","Iran","67304","Mashhad University of Medical Sciences","17652","Iran University of Medical Sciences","3577","China","4187",,,"Turkish","140"
,,"2018","20977","Abdollahi, M.","640","Neuroscience","13638",,,,,"Iranian Journal Of Pharmaceutical Research","1886","Nonhuman","57021","Tarbiat Modares University","17134","Isfahan University of Medical Sciences","3259","Spain","3890",,,"Italian","98"
,,"2017","19520","Qorbani, M.","630","Chemical Engineering","13629",,,,,"Medical Journal Of The Islamic Republic Of Iran","1877","Major Clinical Study","56799","Tabriz University of Medical Sciences","15889","Tarbiat Modares University","3084","Turkey","3816",,,"Russian","81"
,,"2016","19093","Mirmiran, P.","625","Health Professions","10913",,,,,"Iranian Journal Of Public Health","1835","Priority Journal","38301","Islamic Azad University, Science and Research Branch","10147","University of Tehran","2960","France","3754",,,"Polish","47"
,,"2015","16843","Zarrindast, M.R.","610","Nursing","9927",,,,,"Journal Of Research In Medical Sciences","1797","Middle Aged","35987","Ahvaz Jundishapur University of Medical Sciences","9608","Ahvaz Jundishapur University of Medical Sciences","2576","Netherlands","3513",,,"Croatian","42"
,,"2014","17603","Soleimani, M.","584","Social Sciences","9762",,,,,"Asian Pacific Journal Of Cancer Prevention","1696","Clinical Article","30146","Shiraz University","9605","Shiraz University","1981","Malaysia","3312",,,"Urdu","38"
,,"2013","15633","Hedayati, M.","549","Physics and Astronomy","6786",,,,,"Iranian Red Crescent Medical Journal","1691","Unclassified Drug","29794","School of Medicine","8629","Ferdowsi University of Mashhad","1949","Sweden","3280",,,"Chinese","33"
,,"2012","14475","Hashemi, H.","546","Veterinary","6668",,,,,"Iranian Journal Of Basic Medical Sciences","1615","Animals","28510","Ferdowsi University of Mashhad","8275","Kerman University of Medical Sciences","1942","India","3228",,,"Bosnian","26"
,,"2011","12902","Ghayour-Mobarhan, M.","490","Earth and Planetary Sciences","6183",,,,,"Iranian Journal Of Obstetrics Gynecology And Infertility","1440","Aged","28187","Mazandaran University of Medical Sciences","8148","Kermanshah University of Medical Sciences","1917","Switzerland","2492",,,"Lithuanian","8"
,,"2010","9553","Heshmat, R.","484","Materials Science","6069",,,,,"Pakistan Journal Of Biological Sciences","1425","Animal Experiment","26106","Kerman University of Medical Sciences","8091","National Institutes of Health","1864","Japan","2322",,,"Czech","7"
,,"2009","8163","Yaseri, M.","472","Computer Science","5615",,,,,"Journal Of Education And Health Promotion","1311","Cross-sectional Study","24595","University of Tabriz","7495","National Institute for Medical Research Development","1856","Brazil","2072",,,"Slovenian","6"
,,"2008","6949","Baradaran, B.","468","Psychology","4557",,,,,"Koomesh","1309","Animal","24075","Kermanshah University of Medical Sciences","7302","Hamadan University of Medical Sciences","1853","Poland","2021",,,"Moldavian","3"
,,"2007","5707","Sarrafzadegan, N.","455","Mathematics","3204",,,,,"Comparative Clinical Pathology","1294","Metabolism","23543","Baqiyatallah University of Medical Sciences","6835","Mazandaran University of Medical Sciences","1752","Iraq","1918",,,"Moldovan","3"
,,"2006","4096","Montazeri, A.","449","Energy","2023",,,,,"Journal Of Agricultural Science And Technology","1293","Adolescent","22044","Hamadan University of Medical Sciences","6667","U.S. Department of Health and Human Services","1656","Belgium","1902",,,"Romanian","3"
,,"2005","2774","Esmaillzadeh, A.","446","Dentistry","1937",,,,,"Journal Of Babol University Of Medical Sciences","1280","Child","20578","SBUMS School of Medicine","6456","European Commission","1387","Russian Federation","1769",,,"Latvian","2"
,,"2004","1873","Mohebali, M.","445","Economics, Econometrics and Finance","812",,,,,"Journal Of Food Science And Technology Iran","1280","Genetics","19371","School of Medicine, Isfahan UMS","6353","UK Research and Innovation","1127","Denmark","1722",,,"Slovak","2"
,,"2003","1451","Shafiee, A.","445","Decision Sciences","717",,,,,"International Journal Of Environmental Science And Technology","1265","Animal Model","18787","Shahid Beheshti University","6321","Isfahan University of Technology","1121","Pakistan","1689",,,"Afrikaans","1"
,,"2002","1054","Ghafouri-Fard, S.","430","Arts and Humanities","581",,,,,"Iranian Journal Of Medical Sciences","1265","Randomized Controlled Trial","18660","Pasteur Institute of Iran","6113","Pasteur Institute of Iran","1060","Austria","1558",,,"Estonian","1"
,,"2001","682","Geramizadeh, B.","427","Business, Management and Accounting","462",,,,,"Jundishapur Journal Of Microbiology","1168","Questionnaire","18578","Iranian Academic Center for Education, Culture and Research","5886","University of Tabriz","1035","South Korea","1509",,,"Hungarian","1"
,,"2000","576","Ferns, G.A.","426","Multidisciplinary","226",,,,,"International Journal Of Preventive Medicine","1151","Chemistry","17824","School of Medicine","5786","Ministry of Health and Medical Education","1025","Saudi Arabia","1437",,,"Macedonian","1"
,,"1999","459","Baharvand, H.","423",,,,,,,"Molecular Biology Reports","1057","Rat","17793","Shahid Sadoughi University of Medical Sciences","5648","Babol University of Medical Sciences","907","Egypt","1398",,,"Serbian","1"
,,"1998","390","Mansournia, M.A.","413",,,,,,,"Journal Of Medicinal Plants","995","Drug Effect","17316","School of Medicine IUMS","5535","Guilan University of Medical Sciences","881","South Africa","1324",,,"Undefined","2"
,,"1997","364","Bijani, A.","402",,,,,,,"Iranian Journal Of Science And Technology Transaction A Science","987","Animal Tissue","16888","Isfahan University of Technology","4848","Urmia University","794","Portugal","1239",,,,
,,"1996","291","Mirghafourvand, M.","402",,,,,,,"Iranian Journal Of Fisheries Sciences","932","Procedures","16793","Urmia University","4604","Vice-Chancellor for Research, Shiraz University of Medical Sciences","790","Finland","1207",,,,
,,"1995","187","Azarpira, N.","392",,,,,,,"Scientific Journal Of Kurdistan University Of Medical Sciences","916","Prevalence","16300","Babol University of Medical Sciences","4587","National Natural Science Foundation of China","785","Czech Republic","1148",,,,
,,"1994","149","Moosavi-Movahedi, A.A.","385",,,,,,,"Iranian Journal Of Pediatrics","875","Young Adult","16164","Payame Noor University","4528","Royan Institute","763","Greece","1125",,,,
,,"1993","121","Nasr-Esfahani, M.H.","378",,,,,,,"Iranian Journal Of Psychiatry And Behavioral Sciences","849","Human Cell","16028","University of Social Welfare and Rehabilitation Sciences","4502","Shahid Chamran University of Ahvaz","760","Norway","1107",,,,
,,"1992","100","Alavian, S.M.","372",,,,,,,"Shiraz E Medical Journal","844","Comparative Study","15128","School of Pharmacy","4436","Zahedan University of Medical Sciences","734","New Zealand","1080",,,,
,,"1991","98","Taheri, M.","366",,,,,,,"Phosphorus Sulfur And Silicon And The Related Elements","843","Follow Up","15049","University of Guilan","4420","Ministry of Science Research and Technology","730","Mexico","1000",,,,
,,"1990","72","Ebadi, A.","358",,,,,,,"Caspian Journal Of Internal Medicine","842","Case Report","14745","Imam Khomeini Hospital","4205","Golestan University of Medical Sciences","723","United Arab Emirates","897",,,,
,,"1989","94","Poustchi, H.","358",,,,,,,"Food Science And Nutrition","818","Risk Factor","14395","Endocrinology and Metabolism Research Institute TUMS","4143","Zanjan University of Medical Sciences","711","Thailand","836",,,,
,,"1988","64","Feizi, A.","357",,,,,,,"Iranian Biomedical Journal","818","Gene Expression","14059","University of Isfahan","4134","Shahid Sadoughi University of Medical Sciences","700","Taiwan","814",,,,
,,"1987","67","Kazemnejad, A.","357",,,,,,,"Cell Journal","809","Polymerase Chain Reaction","12368","School of Public Health","4097","Kashan University of Medical Sciences","688","Hungary","805",,,,
,,"1986","59","Khabazkhoob, M.","357",,,,,,,"Iranian Journal Of Allergy Asthma And Immunology","808","Human Tissue","12176","Mashhad University of Medical Sciences, School of Medicine","3957","Government of Canada","663","Romania","793",,,,
,,"1985","53","Hadaegh, F.","355",,,,,,,"Iranian Journal Of Parasitology","806","Pathology","12113","Urmia University of Medical Sciences","3912","University of Guilan","649","Singapore","756",,,,
,,"1984","66","Sadeghi, M.","355",,,,,,,"Journal Of Kerman University Of Medical Sciences","796","Mouse","11741","Guilan University of Medical Sciences","3875","Baqiyatallah University of Medical Sciences","636","Viet Nam","756",,,,
,,"1983","67","Ghavamzadeh, A.","353",,,,,,,"Environmental Earth Sciences","772","Treatment Outcome","11475","Shariati Hospital","3861","University of Isfahan","628","Argentina","714",,,,
,,"1982","74","Sahraian, M.A.","352",,,,,,,"Iranian Journal Of Microbiology","771","Protein Expression","11288","Zahedan University of Medical Sciences","3768","Arak University of Medical Sciences","627","Nigeria","672",,,,
,,"1981","122","Haghdoost, A.A.","348",,,,,,,"BMC Public Health","756","Body Mass","11045","Zanjan University of Medical Sciences ZUMS","3615","Ministry of Science and Technology of the People's Republic of China","616","Hong Kong","665",,,,
,,"1980","152","Akhondzadeh, S.","347",,,,,,,"International Journal Of Reproductive Biomedicine","745","Real Time Polymerase Chain Reaction","11017","Shahid Bahonar University of Kerman","3549","Shahrekord University of Medical Sciences","606","Ireland","656",,,,
,,"1979","250","Esteghamati, A.","343",,,,,,,"Journal Of Military Medicine","745","Physiology","10675","Shahid Chamran University of Ahvaz","3535","Deutsche Forschungsgemeinschaft","593","Colombia","620",,,,
,,"1978","305","Farzadfar, F.","340",,,,,,,"Tetrahedron Letters","739","In Vitro Study","10339","Golestan University of Medical Sciences","3482","University of Kurdistan","558","Serbia","608",,,,
,,"1977","270","Amini, M.","337",,,,,,,"Eastern Mediterranean Health Journal","735","Enzyme Linked Immunosorbent Assay","10331","Razi University","3390","Horizon 2020 Framework Programme","552","Bangladesh","607",,,,
,,"1976","243","Hosseinzadeh, H.","337",,,,,,,"Tanaffos","733","Cross-Sectional Studies","9811","Bu-Ali Sina University","3314","Shahrekord University","547","Chile","603",,,,
,,"1975","208","Azadbakht, L.","334",,,,,,,"International Journal Of Environmental Analytical Chemistry","727","Histopathology","9746","Iranian Ministry of Health and Medical Education","3253","Vice Chancellor for Research and Technology, Hamadan University of Medical Sciences","542","Jordan","575",,,,
,,"1974","202","Jouyban, A.","334",,,,,,,"Food Chemistry","723","Animal Cell","9523","Gorgan University of Agricultural Sciences and Natural Resources","3147","Shahid Bahonar University of Kerman","528","Lebanon","567",,,,
,,"1973","194","Adibi, P.","333",,,,,,,"Iran Occupational Health","719","Blood","9505","Amirkabir University of Technology","3117","National Institute for Genetic Engineering and Biotechnology","522","Oman","567",,,,
,,"1972","82","Esmaily, H.","331",,,,,,,"Ultrasonics Sonochemistry","701","Disease Severity","9336","Shahrekord University of Medical Sciences","3072","Lorestan University of Medical Sciences","517","Indonesia","564",,,,
,,"1971","57","Haghparast, A.","331",,,,,,,"Basic And Clinical Neuroscience","694","Case Control Study","9227","Semnan University of Medical Sciences and Health Services","3067","Ardabil University of Medical Sciences","495","Qatar","563",,,,
,,"1970","49","Hamishehkar, H.","330",,,,,,,"Analytica Chimica Acta","693","Rats","9120","Alborz University of Medical Sciences","3062","Bu-Ali Sina University","494","Israel","531",,,,
,,"1969","35","Foroumadi, A.","329",,,,,,,"Iranian Journal Of Endocrinology And Metabolism","692","Oxidative Stress","9061","Kashan University of Medical Sciences","3036","Gorgan University of Agricultural Sciences and Natural Resources","491","Tunisia","526",,,,
,,"1968","28","Ramezani, M.","324",,,,,,,"International Journal Of Cancer Management","691","Retrospective Study","8992","Royan Institute","3034","Drug Applied Research Center, Tabriz University of Medical Sciences","485","Croatia","470",,,,
