Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 423883

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","140139","2026","1","Sahebkar, A.","2077","Medicine","247608","Article","355729","final","421223","Journal Of Mazandaran University Of Medical Sciences","3533","Article","207262","Tehran University of Medical Sciences","67808","Tehran University of Medical Sciences and Health Services","9079","Iran","423883","Journal","413126","English","397993"
"Gold","91712","2025","13938","Rezaei, N.","1514","Biochemistry, Genetics and Molecular Biology","102473","Review","39270","aip","2660","Journal Of Isfahan Medical School","3323","Human","205623","Shahid Beheshti University of Medical Sciences","45449","Shahid Beheshti University of Medical Sciences","6938","United States","28055","Book","5470","Persian","25026"
"Hybrid Gold","15163","2024","33794","Azizi, F.","1504","Agricultural and Biological Sciences","92359","Letter","10384",,,"Advances In Environmental Biology","3303","Female","120828","Islamic Azad University","27810","Iran National Science Foundation","6158","United Kingdom","12024","Conference Proceeding","2776","Arabic","1648"
"Bronze","17961","2023","33447","Larijani, B.","1465","Pharmacology, Toxicology and Pharmaceutics","48199","Book Chapter","5722",,,"International Journal Of Biological Macromolecules","2790","Controlled Study","119106","Iran University of Medical Sciences","27391","Mashhad University of Medical Sciences","5962","Canada","10918","Book Series","2352","French","717"
"Green","81852","2022","35880","Abdollahi, M.","1038","Immunology and Microbiology","32860","Conference Paper","4871",,,"Iranian Journal Of Public Health","2687","Male","118512","University of Tehran","26608","Tabriz University of Medical Sciences","5254","Australia","9238","Trade Journal","41","Spanish","429"
,,"2021","35698","Malekzadeh, R.","861","Environmental Science","30619","Erratum","2299",,,"Archives Of Iranian Medicine","2511","Humans","110767","Shiraz University of Medical Sciences","23968","Shiraz University of Medical Sciences","5148","Germany","8955","Undefined","118","Portuguese","247"
,,"2020","33001","Kelishadi, R.","829","Chemistry","28276","Editorial","2173",,,"Acta Medica Iranica","2298","Adult","101035","Mashhad University of Medical Sciences","23328","Islamic Azad University","4243","Italy","8206",,,"Turkish","162"
,,"2019","28684","Dehpour, A.R.","812","Engineering","20238","Note","2100",,,"Journal Of Research In Medical Sciences","2185","Iran","72335","Isfahan University of Medical Sciences","22965","Iran University of Medical Sciences","4079","China","5876",,,"German","159"
,,"2018","24769","Ghafouri-Fard, S.","801","Neuroscience","16871","Short Survey","610",,,"Tehran University Medical Journal","2114","Nonhuman","70973","Tabriz University of Medical Sciences","21448","Isfahan University of Medical Sciences","3596","India","5403",,,"Italian","100"
,,"2017","23274","Zali, M.R.","782","Chemical Engineering","15668","Retracted","407",,,"Iranian Journal Of Pharmaceutical Research","2001","Major Clinical Study","58337","Tarbiat Modares University","19416","Tarbiat Modares University","3217","Turkey","5146",,,"Russian","85"
,,"2016","21747","Mirmiran, P.","751","Health Professions","12923","Book","308",,,"Life Science Journal","1967","Priority Journal","47240","School of Medicine","11395","University of Tehran","3125","Spain","5046",,,"Polish","51"
