Scopus refine results values

"Your query : (PUBYEAR > 1 AND AFFILCOUNTRY(Iran) AND DOCTYPE(re) AND ( LIMIT-TO ( SUBJAREA,""MEDI"" ) OR LIMIT-TO ( SUBJAREA,""BIOC"" ) OR LIMIT-TO ( SUBJAREA,""IMMU"" ) OR LIMIT-TO ( SUBJAREA,""PHAR"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""NEUR"" ) ) )"


Number of results : 39270

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","15650","2025","2602","Sahebkar, A.","1005","Medicine","24269","Review","39270","final","38766","Journal Of Cellular Physiology","482","Human","29634","Tehran University of Medical Sciences","8803","Tabriz University of Medical Sciences","1124","Iran","39270","Journal","39228","English","37979"
"Gold","10480","2024","5398","Rezaei, N.","419","Biochemistry, Genetics and Molecular Biology","12268",,,"aip","504","Biomedicine And Pharmacotherapy","469","Review","29335","Shahid Beheshti University of Medical Sciences","6596","Shahid Beheshti University of Medical Sciences","893","United States","5460","Book Series","30","Persian","1263"
"Hybrid Gold","1690","2023","4833","Ghafouri-Fard, S.","343","Pharmacology, Toxicology and Pharmaceutics","7458",,,,,"Phytotherapy Research","350","Humans","19031","Tabriz University of Medical Sciences","4326","Mashhad University of Medical Sciences","761","United Kingdom","2152","Book","2","Arabic","64"
"Bronze","1458","2022","4993","Larijani, B.","294","Agricultural and Biological Sciences","4013",,,,,"Iranian Journal Of Public Health","331","Nonhuman","11844","Mashhad University of Medical Sciences","4164","Tehran University of Medical Sciences and Health Services","688","Canada","1755","Trade Journal","2","Spanish","26"
"Green","10169","2021","4691","Taheri, M.","294","Immunology and Microbiology","3889",,,,,"International Journal Of Biological Macromolecules","319","Systematic Review","9425","Iran University of Medical Sciences","3925","National Institutes of Health","462","Italy","1746","Undefined","8","French","23"
,,"2020","3848","Abdollahi, M.","251","Neuroscience","1862",,,,,"Life Sciences","285","Animals","5879","Shiraz University of Medical Sciences","2854","Iran University of Medical Sciences","451","Australia","1670",,,"Portuguese","7"
,,"2019","2807","Baradaran, B.","250","Chemistry","1807",,,,,"Pathology Research And Practice","268","Meta Analysis","5685","Isfahan University of Medical Sciences","2767","U.S. Department of Health and Human Services","415","India","1449",,,"German","5"
,,"2018","2170","Mirzaei, H.","236","Engineering","1674",,,,,"Critical Reviews In Food Science And Nutrition","258","Animal","5621","Islamic Azad University","2050","UK Research and Innovation","413","Germany","1295",,,"Turkish","4"
,,"2017","1833","Asemi, Z.","206","Nursing","1515",,,,,"International Immunopharmacology","234","Female","5555","School of Medicine","1926","Iran National Science Foundation","353","China","1284",,,"Urdu","3"
,,"2016","1339","Jafari, S.M.","200","Chemical Engineering","1405",,,,,"Journal Of Mazandaran University Of Medical Sciences","228","Metabolism","5519","SBUMS School of Medicine","1653","Shiraz University of Medical Sciences","341","Turkey","985",,,"Croatian","2"
,,"2015","932","Hamblin, M.R.","196","Environmental Science","1362",,,,,"Current Pharmaceutical Design","207","Priority Journal","5023","University of Tehran","1619","Kermanshah University of Medical Sciences","308","Poland","840",,,"Italian","1"
,,"2014","713","Sharifi-Rad, J.","190","Health Professions","1066",,,,,"Cancer Cell International","202","Unclassified Drug","4121","Kermanshah University of Medical Sciences","1586","Isfahan University of Medical Sciences","291","Spain","801",,,"Japanese","1"
,,"2013","617","Jamialahmadi, T.","185","Social Sciences","809",,,,,"Molecular Biology Reports","201","Male","4079","Tarbiat Modares University","1410","National Institute for Medical Research Development","239","Iraq","799",,,"Polish","1"
,,"2012","646","Avan, A.","184","Materials Science","661",,,,,"Current Medicinal Chemistry","193","Genetics","3781","Mazandaran University of Medical Sciences","1359","European Commission","224","France","636",,,"Pushto","1"
,,"2011","501","Ferns, G.A.","169","Computer Science","490",,,,,"Archives Of Iranian Medicine","192","Adult","3626","School of Medicine IUMS","1355","Mazandaran University of Medical Sciences","208","Pakistan","605",,,"Russian","1"
,,"2010","282","Nabavi, S.M.","168","Psychology","437",,,,,"Iranian Journal Of Obstetrics Gynecology And Infertility","184","Procedures","3589","Ahvaz Jundishapur University of Medical Sciences","1318","Kerman University of Medical Sciences","175","Brazil","592",,,,
,,"2009","248","Samarghandian, S.","163","Veterinary","310",,,,,"Journal Of Diabetes And Metabolic Disorders","184","Signal Transduction","3356","Mashhad University of Medical Sciences, School of Medicine","1236","Hamadan University of Medical Sciences","163","Russian Federation","574",,,,
,,"2008","201","Yousefi, M.","158","Dentistry","221",,,,,"Journal Of Research In Medical Sciences","184","Meta-analysis","2867","Kerman University of Medical Sciences","1188","Ministry of Science and Technology of the People's Republic of China","161","Saudi Arabia","565",,,,
,,"2007","175","Yousefi, B.","154","Physics and Astronomy","217",,,,,"Pharmacological Research","181","Pathology","2824","Baqiyatallah University of Medical Sciences","1165","National Natural Science Foundation of China","160","Sweden","563",,,,
,,"2006","147","Hussen, B.M.","151","Earth and Planetary Sciences","135",,,,,"Trends In Food Science And Technology","181","Inflammation","2791","Faculty of Medicine","1029","Ahvaz Jundishapur University of Medical Sciences","153","Netherlands","559",,,,
,,"2005","116","Ashrafizadeh, M.","141","Energy","88",,,,,"International Journal Of Preventive Medicine","178","Apoptosis","2746","Iranian Academic Center for Education, Culture and Research","997","Government of Canada","139","Malaysia","518",,,,
,,"2004","59","Hosseinzadeh, H.","140","Mathematics","79",,,,,"Journal Of Isfahan Medical School","168","Risk Factor","2725","Kashan University of Medical Sciences","936","Fundação para a Ciência e a Tecnologia","121","Switzerland","472",,,,
