Scopus refine results values

"Your query : (TITLE-ABS-KEY(macrophag*) AND DOCTYPE(ar))"


Number of results : 427488

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","198277","2025","11073","Van Rooijen, N.","477","Medicine","248632","Article","427488","final","426376","Journal Of Immunology","11283","Article","339369","Ministry of Education of the People's Republic of China","7503","National Institutes of Health","53036","United States","136941","Journal","424866","English","405071"
"Gold","84876","2024","23534","Bucala, R.","366","Biochemistry, Genetics and Molecular Biology","157187",,,"aip","1112","Plos One","6732","Controlled Study","227846","Harvard Medical School","7249","U.S. Department of Health and Human Services","43725","China","79488","Book Series","2033","Chinese","7770"
"Hybrid Gold","22313","2023","21036","Akira, S.","342","Immunology and Microbiology","110948",,,,,"Frontiers In Immunology","5989","Nonhuman","222144","Inserm","6979","National Natural Science Foundation of China","39298","Japan","39262","Book","41","Russian","4137"
"Bronze","54129","2022","21466","Gordon, S.","324","Pharmacology, Toxicology and Pharmaceutics","49294",,,,,"Infection And Immunity","5184","Human","210552","National Institutes of Health NIH","5926","Ministry of Science and Technology of the People's Republic of China","29725","Germany","30352","Conference Proceeding","30","Japanese","2377"
"Green","143539","2021","21281","Mantovani, A.","323","Chemistry","20897",,,,,"Journal Of Biological Chemistry","4662","Macrophage","205839","Chinese Academy of Sciences","4149","National Institute of Allergy and Infectious Diseases","17793","United Kingdom","27087","Trade Journal","29","German","2345"
,,"2020","18017","Kunkel, S.L.","298","Neuroscience","20736",,,,,"Blood","3972","Mouse","171824","CNRS Centre National de la Recherche Scientifique","3934","National Cancer Institute","14306","France","17307","Undefined","489","French","2084"
,,"2019","15294","Broxmeyer, H.E.","278","Agricultural and Biological Sciences","19610",,,,,"Scientific Reports","3681","Priority Journal","171235","Universidade de São Paulo","3327","National Heart, Lung, and Blood Institute","13059","Italy","15286",,,"Spanish","1010"
,,"2018","13934","Netea, M.G.","264","Multidisciplinary","17079",,,,,"International Journal Of Molecular Sciences","3427","Animals","169460","Shanghai Jiao Tong University School of Medicine","3214","Ministry of Education, Culture, Sports, Science and Technology","9400","South Korea","15076",,,"Italian","529"
,,"2017","13585","Hume, D.A.","259","Materials Science","14430",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","3423","Animal","153590","Fudan University","3141","Japan Society for the Promotion of Science","9201","Canada","14961",,,"Korean","525"
,,"2016","13386","Metcalf, D.","250","Chemical Engineering","14133",,,,,"International Immunopharmacology","2898","Male","143058","Brigham and Women's Hospital","3038","European Commission","9120","Australia","11594",,,"Polish","520"
,,"2015","13617","Libby, P.","243","Engineering","14121",,,,,"Journal Of Leukocyte Biology","2822","Macrophages","141881","Karolinska Institutet","3031","National Key Research and Development Program of China","6698","Netherlands","11483",,,"Portuguese","443"
,,"2014","12733","Dinarello, C.A.","220","Veterinary","9954",,,,,"Biochemical And Biophysical Research Communications","2773","Humans","140924","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","2982","Deutsche Forschungsgemeinschaft","6282","Brazil","10950",,,"Czech","244"
,,"2013","12038","Aviram, M.","215","Environmental Science","7883",,,,,"Journal Of Experimental Medicine","2439","Animal Experiment","138892","VA Medical Center","2933","National Institute of Diabetes and Digestive and Kidney Diseases","6004","India","9840",,,"Turkish","150"
,,"2012","11149","Gendelman, H.E.","214","Physics and Astronomy","6266",,,,,"European Journal Of Immunology","2167","Mice","137148","Washington University School of Medicine in St. Louis","2845","National Institute of General Medical Sciences","5699","Spain","9681",,,"Ukrainian","106"
,,"2011","10259","Hamilton, J.A.","213","Computer Science","4488",,,,,"Cellular Immunology","2131","Animal Cell","130726","University of California, San Francisco","2814","National Research Foundation of Korea","5093","Switzerland","8137",,,"Dutch","98"
,,"2010","9349","Vogel, S.N.","211","Nursing","4303",,,,,"American Journal Of Pathology","2098","Female","126522","Massachusetts General Hospital","2805","UK Research and Innovation","4687","Sweden","7833",,,"Bulgarian","96"
,,"2009","8836","Cho, J.Y.","203","Dentistry","2829",,,,,"Nature Communications","2082","Metabolism","114016","Yale School of Medicine","2714","Conselho Nacional de Desenvolvimento Científico e Tecnológico","4136","Taiwan","5684",,,"Hungarian","86"
,,"2008","8245","Teixeira, M.M.","201","Health Professions","1879",,,,,"Journal Of Virology","2073","Animal Model","105626","University of Michigan Medical School","2707","Medical Research Council","3944","Belgium","5179",,,"Romanian","75"
,,"2007","7817","Cao, X.","196","Mathematics","1096",,,,,"Immunology","2045","Human Cell","96521","University of California, San Diego","2611","National Institute of Neurological Disorders and Stroke","3772","Russian Federation","4724",,,"Slovak","73"
,,"2006","7571","Matsushima, K.","192","Arts and Humanities","748",,,,,"Journal Of Clinical Investigation","1926","Unclassified Drug","92972","Sun Yat-Sen University","2510","Ministry of Education of the People's Republic of China","3066","Poland","4165",,,"Persian","72"
,,"2005","7286","Takeya, M.","184","Social Sciences","654",,,,,"Cancer Research","1921","Animal Tissue","90414","Huazhong University of Science and Technology","2497","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","3056","Israel","4074",,,"Moldavian","61"
,,"2004","6843","Strieter, R.M.","182","Earth and Planetary Sciences","502",,,,,"FASEB Journal","1770","Protein Expression","83694","University of Washington","2447","Seventh Framework Programme","2976","Austria","4055",,,"Moldovan","61"
,,"2003","6508","Brüne, B.","181","Psychology","414",,,,,"Arteriosclerosis Thrombosis And Vascular Biology","1749","Inflammation","70376","Johns Hopkins University School of Medicine","2343","Horizon 2020 Framework Programme","2918","Denmark","3517",,,"Croatian","55"
,,"2002","6715","Leng, L.","181","Energy","376",,,,,"Clinical And Experimental Immunology","1582","Adult","66082","University of Toronto","2291","Government of Canada","2881","Finland","3034",,,"Serbian","45"
,,"2001","6881","Stanley, E.R.","177","Economics, Econometrics and Finance","229",,,,,"Experimental Hematology","1565","Genetics","63832","University of Pennsylvania","2278","National Institute of Arthritis and Musculoskeletal and Skin Diseases","2820","Norway","2865",,,"Norwegian","27"
,,"2000","6752","Weber, C.","176","Business, Management and Accounting","86",,,,,"Biomaterials","1432","Pathology","63475","Ludwig-Maximilians-Universität München","2263","China Postdoctoral Science Foundation","2806","Turkey","2468",,,"Greek","24"
,,"1999","6580","Casadevall, A.","175","Decision Sciences","27",,,,,"Journal Of Infectious Diseases","1420","Immunology","60845","The University of Tokyo","2225","Fundamental Research Funds for the Central Universities","2742","Iran","2409",,,"Hebrew","23"
,,"1998","6716","Fidler, I.J.","175","Undefined","224",,,,,"Plos Pathogens","1417","In Vitro Study","58509","Shanghai Jiao Tong University","2218","Wellcome Trust","2545","Mexico","2340",,,"Danish","22"
,,"1997","6731","Barnes, P.J.","174",,,,,,,"Cytokine","1404","Gene Expression","54970","Southern Medical University","2213","Canadian Institutes of Health Research","2468","Singapore","2021",,,"Swedish","14"
,,"1996","6920","Billiar, T.R.","173",,,,,,,"Atherosclerosis","1361","Interleukin 6","52865","University of California, Los Angeles","2197","Guangdong Provincial Department of Science and Technology","2464","Argentina","1999",,,"Bosnian","13"
,,"1995","6348","Nomoto, K.","173",,,,,,,"International Journal Of Biological Macromolecules","1253","Signal Transduction","50817","Tongji Medical College of Huazhong University of Science and Technology","2182","National Health and Medical Research Council","2442","Hong Kong","1999",,,"Arabic","9"
,,"1994","6241","Castranova, V.","172",,,,,,,"American Journal Of Respiratory Cell And Molecular Biology","1240","Immunohistochemistry","48110","Imperial College London","2176","National Institute of Environmental Health Sciences","2432","Egypt","1987",,,"Slovenian","9"
,,"1993","5675","Iwakura, Y.","171",,,,,,,"Journal Of Ethnopharmacology","1219","Cytokine","46834","University of Pittsburgh School of Medicine","2166","National Science Foundation","2317","Portugal","1953",,,"Finnish","5"
,,"1992","5450","Flavell, R.A.","170",,,,,,,"American Journal Of Physiology Lung Cellular And Molecular Physiology","1088","Drug Effect","46632","Université Paris Cité","2147","Fundação de Amparo à Pesquisa do Estado de São Paulo","2142","Thailand","1825",,,"Afrikaans","4"
,,"1991","5054","Fuchs, D.","170",,,,,,,"Immunobiology","1043","Mice, Inbred C57BL","44208","Stanford University School of Medicine","2104","Ministry of Finance","2032","Ireland","1813",,,"Azerbaijani","4"
,,"1990","4680","Lee, K.T.","170",,,,,,,"Nature","1036","Tumor Necrosis Factor","43271","David Geffen School of Medicine at UCLA","2093","European Regional Development Fund","2020","Czech Republic","1809",,,"Lithuanian","3"
,,"1989","4515","Unanue, E.R.","169",,,,,,,"Cancer Immunology Immunotherapy","1031","Rat","41789","UCSF School of Medicine","2085","American Heart Association","2016","Greece","1683",,,"Estonian","2"
