Scopus refine results values

"Your query : (TITLE-ABS-KEY(macrophag*))"


Number of results : 533813

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","245430","2025","13000","Van Rooijen, N.","492","Medicine","321145","Article","427488","final","532484","Journal Of Immunology","11514","Article","341942","Harvard Medical School","9171","National Institutes of Health","63406","United States","172334","Journal","521463","English","505034"
"Gold","107118","2024","29362","Mantovani, A.","469","Biochemistry, Genetics and Molecular Biology","193824","Review","65839","aip","1329","Frontiers In Immunology","9695","Human","293771","Inserm","8866","U.S. Department of Health and Human Services","51258","China","91383","Book Series","6120","Chinese","8510"
"Hybrid Gold","26903","2023","27509","Gordon, S.","456","Immunology and Microbiology","135245","Conference Paper","10221",,,"Plos One","6835","Nonhuman","274391","Ministry of Education of the People's Republic of China","8447","National Natural Science Foundation of China","45047","Japan","44987","Book","4264","Russian","4639"
"Bronze","66654","2022","28635","Bucala, R.","434","Pharmacology, Toxicology and Pharmaceutics","61712","Book Chapter","6177",,,"Infection And Immunity","5312","Macrophage","256755","National Institutes of Health NIH","7085","Ministry of Science and Technology of the People's Republic of China","33999","Germany","38270","Conference Proceeding","1380","German","3503"
"Green","177082","2021","28214","Akira, S.","387","Neuroscience","25735","Note","5962",,,"International Journal Of Molecular Sciences","5128","Controlled Study","234939","CNRS Centre National de la Recherche Scientifique","4730","National Institute of Allergy and Infectious Diseases","20553","United Kingdom","35436","Trade Journal","55","Japanese","3488"
,,"2020","23740","Netea, M.G.","367","Chemistry","24092","Letter","5777",,,"Journal Of Biological Chemistry","4762","Priority Journal","208273","Chinese Academy of Sciences","4573","National Cancer Institute","16781","France","22404","Undefined","531","French","3339"
,,"2019","19514","Kunkel, S.L.","330","Agricultural and Biological Sciences","21478","Editorial","5732",,,"Blood","4528","Animals","200639","Brigham and Women's Hospital","3880","National Heart, Lung, and Blood Institute","15568","Italy","21618",,,"Spanish","1486"
,,"2018","17843","Hume, D.A.","323","Multidisciplinary","18159","Short Survey","4106",,,"Scientific Reports","3745","Humans","196417","Universidade de São Paulo","3773","European Commission","11416","Canada","18541",,,"Polish","966"
,,"2017","17376","Libby, P.","318","Chemical Engineering","17191","Erratum","1964",,,"Journal Of Leukocyte Biology","3530","Mouse","180811","Karolinska Institutet","3655","Ministry of Education, Culture, Sports, Science and Technology","10502","South Korea","16406",,,"Italian","762"
,,"2016","16831","Broxmeyer, H.E.","310","Engineering","16737","Retracted","339",,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","3530","Animal","176532","Shanghai Jiao Tong University School of Medicine","3589","Japan Society for the Promotion of Science","10481","Australia","14911",,,"Korean","544"
,,"2015","16936","Gendelman, H.E.","277","Materials Science","16306","Book","99",,,"International Immunopharmacology","3241","Macrophages","161533","Massachusetts General Hospital","3562","Deutsche Forschungsgemeinschaft","7826","Netherlands","14354",,,"Portuguese","539"
,,"2014","16104","Metcalf, D.","277","Veterinary","10953","Data Paper","70",,,"Biochemical And Biophysical Research Communications","2813","Male","149970","Fudan University","3547","National Key Research and Development Program of China","7495","India","12978",,,"Czech","349"
,,"2013","15454","Dinarello, C.A.","269","Environmental Science","8863","Conference Review","38",,,"Journal Of Experimental Medicine","2544","Mice","144634","VA Medical Center","3500","National Institute of Diabetes and Digestive and Kidney Diseases","7208","Brazil","12653",,,"Turkish","215"
