Scopus refine results values

"Your query : (TITLE-ABS-KEY(macrophag*) AND DOCTYPE(re))"


Number of results : 65839

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","32936","2025","1301","Mantovani, A.","86","Medicine","44969","Review","65839","final","65677","Frontiers In Immunology","3005","Review","60786","Harvard Medical School","1242","National Institutes of Health","7796","United States","21543","Journal","64961","English","61176"
"Gold","17928","2024","3909","Gordon, S.","77","Biochemistry, Genetics and Molecular Biology","23584",,,"aip","162","International Journal Of Molecular Sciences","1633","Human","57851","Inserm","1161","U.S. Department of Health and Human Services","5661","China","9363","Book Series","843","Japanese","871"
"Hybrid Gold","3355","2023","4531","Netea, M.G.","73","Immunology and Microbiology","16188",,,,,"Cells","761","Humans","40709","Ministry of Education of the People's Republic of China","757","National Natural Science Foundation of China","5053","United Kingdom","5062","Trade Journal","10","Chinese","714"
"Bronze","5838","2022","5174","Sahebkar, A.","68","Pharmacology, Toxicology and Pharmaceutics","9542",,,,,"Cancers","683","Nonhuman","36632","National Institutes of Health NIH","717","Ministry of Science and Technology of the People's Republic of China","3758","Germany","4830","Undefined","25","German","658"
"Green","25839","2021","5126","Orekhov, A.N.","64","Neuroscience","3077",,,,,"Frontiers In Oncology","493","Macrophage","32599","Brigham and Women's Hospital","524","National Institute of Allergy and Infectious Diseases","1968","Italy","4226",,,"French","629"
,,"2020","3787","Ribatti, D.","48","Chemistry","2585",,,,,"Journal Of Leukocyte Biology","440","Animals","23557","CNRS Centre National de la Recherche Scientifique","492","National Cancer Institute","1918","Japan","3209",,,"Russian","489"
,,"2019","2721","Kroemer, G.","46","Chemical Engineering","2467",,,,,"Frontiers In Pharmacology","372","Priority Journal","20704","Massachusetts General Hospital","464","National Heart, Lung, and Blood Institute","1756","France","2887",,,"Polish","424"
,,"2018","2385","Rezaei, N.","46","Computer Science","1701",,,,,"Immunological Reviews","371","Inflammation","17733","Imperial College London","457","European Commission","1715","Australia","2302",,,"Spanish","305"
,,"2017","2167","Sica, A.","46","Engineering","1155",,,,,"Current Pharmaceutical Design","355","Animal","17435","The University of Texas MD Anderson Cancer Center","447","Deutsche Forschungsgemeinschaft","1207","Canada","2271",,,"Italian","147"
,,"2016","2017","Tacke, F.","46","Agricultural and Biological Sciences","1054",,,,,"International Immunopharmacology","283","Metabolism","14962","Yale School of Medicine","430","UK Research and Innovation","937","India","2032",,,"Czech","94"
,,"2015","1909","Allavena, P.","43","Nursing","956",,,,,"Nature Reviews Immunology","273","Signal Transduction","12910","Sichuan University","429","Japan Society for the Promotion of Science","936","Netherlands","1820",,,"Portuguese","68"
,,"2014","2020","Frangogiannis, N.G.","41","Materials Science","887",,,,,"Biomolecules","272","Immunology","12807","Johns Hopkins University School of Medicine","426","National Institute of Diabetes and Digestive and Kidney Diseases","850","Spain","1591",,,"Turkish","57"
,,"2013","2193","Hume, D.A.","41","Veterinary","606",,,,,"Nippon Rinsho Japanese Journal Of Clinical Medicine","269","Macrophages","12697","Université Paris Cité","424","Ministry of Education, Culture, Sports, Science and Technology","832","Poland","1295",,,"Hungarian","46"
,,"2012","2255","Weber, C.","39","Environmental Science","547",,,,,"Frontiers In Cellular And Infection Microbiology","260","Unclassified Drug","12535","Karolinska Institutet","414","Medical Research Council","740","Switzerland","1262",,,"Dutch","37"
,,"2011","1898","Gendelman, H.E.","37","Multidisciplinary","325",,,,,"Trends In Immunology","260","Immune Response","12341","University of Toronto","406","Horizon 2020 Framework Programme","672","Iran","1132",,,"Bulgarian","36"
,,"2010","1923","Barnes, P.J.","36","Health Professions","288",,,,,"Advanced Drug Delivery Reviews","254","Cytokine","10335","University of California, San Francisco","398","National Key Research and Development Program of China","666","Brazil","1129",,,"Croatian","32"
,,"2009","1720","Brüne, B.","36","Dentistry","248",,,,,"Current Opinion In Immunology","254","Interleukin 6","9877","University of Oxford","397","National Institute of General Medical Sciences","611","Belgium","960",,,"Ukrainian","26"
,,"2008","1605","Galluzzi, L.","36","Physics and Astronomy","163",,,,,"Frontiers In Cell And Developmental Biology","240","Protein Expression","9850","Huazhong University of Science and Technology","387","National Health and Medical Research Council","528","South Korea","900",,,"Slovak","25"
,,"2007","1499","Prinz, M.","36","Psychology","112",,,,,"Biomedicine And Pharmacotherapy","235","T Lymphocyte","9687","University of California, San Diego","386","Canadian Institutes of Health Research","523","Sweden","886",,,"Greek","20"
,,"2006","1532","Libby, P.","35","Social Sciences","98",,,,,"Current Opinion In Lipidology","219","Dendritic Cell","9617","Tongji Medical College of Huazhong University of Science and Technology","367","National Institute of Neurological Disorders and Stroke","519","Russian Federation","744",,,"Romanian","20"
,,"2005","1471","Nahrendorf, M.","35","Arts and Humanities","72",,,,,"Pharmacology And Therapeutics","219","Innate Immunity","9500","David Geffen School of Medicine at UCLA","366","Government of Canada","501","Greece","604",,,"Serbian","20"
,,"2004","1398","Shoenfeld, Y.","35","Mathematics","45",,,,,"Viruses","218","Pathology","8962","Charité – Universitätsmedizin Berlin","363","Seventh Framework Programme","477","Austria","599",,,"Moldavian","18"
,,"2003","1420","Weyand, C.M.","35","Earth and Planetary Sciences","33",,,,,"Autoimmunity Reviews","211","Granulocyte Macrophage Colony Stimulating Factor","8660","VA Medical Center","361","European Research Council","476","Israel","553",,,"Moldovan","18"
,,"2002","1147","Zitvogel, L.","35","Energy","22",,,,,"Cellular And Molecular Life Sciences","208","Gamma Interferon","8473","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","361","Wellcome Trust","447","Ireland","492",,,"Korean","16"
,,"2001","779","Bucala, R.","34","Economics, Econometrics and Finance","8",,,,,"Frontiers In Endocrinology","202","Apoptosis","7931","University of Melbourne","356","National Institute of Arthritis and Musculoskeletal and Skin Diseases","406","Mexico","491",,,"Persian","15"
,,"2000","708","Ginhoux, F.","34","Business, Management and Accounting","4",,,,,"Mediators Of Inflammation","197","Tumor Necrosis Factor","7621","University of California, Los Angeles","352","National Research Foundation of Korea","392","Denmark","428",,,"Danish","14"
