Scopus refine results values

"Your query : (TITLE-ABS-KEY(macrophag*) AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 2408

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","834","2025","82","Sharifi, I.","42","Medicine","1336","Article","2408","final","2395","Iranian Journal Of Parasitology","42","Article","1952","Tehran University of Medical Sciences","479","Tehran University of Medical Sciences and Health Services","111","Iran","2408","Journal","2407","English","2333"
"Gold","541","2024","231","Ghaffarifar, F.","40","Biochemistry, Genetics and Molecular Biology","687",,,"aip","13","International Immunopharmacology","37","Controlled Study","1418","Shahid Beheshti University of Medical Sciences","314","Shahid Beheshti University of Medical Sciences","81","United States","169","Book Series","1","Persian","72"
"Hybrid Gold","67","2023","205","Khamesipour, A.","30","Immunology and Microbiology","640",,,,,"Iranian Journal Of Basic Medical Sciences","34","Nonhuman","1223","Tarbiat Modares University","250","Mashhad University of Medical Sciences","70","United Kingdom","85",,,"Arabic","5"
"Bronze","109","2022","183","Mohebali, M.","29","Pharmacology, Toxicology and Pharmaceutics","476",,,,,"Iranian Journal Of Allergy Asthma And Immunology","31","Macrophage","1135","University of Tehran","187","Iran National Science Foundation","63","Canada","77",,,"Portuguese","3"
"Green","528","2021","202","Jaafari, M.R.","26","Agricultural and Biological Sciences","138",,,,,"International Journal Of Biological Macromolecules","28","Human","1132","Pasteur Institute of Iran","171","Tarbiat Modares University","58","Germany","58",,,"Turkish","2"
,,"2020","189","Mortaz, E.","26","Veterinary","125",,,,,"Comparative Clinical Pathology","26","Animals","784","Mashhad University of Medical Sciences","161","Kerman University of Medical Sciences","50","Italy","56",,,"Chinese","1"
,,"2019","203","Ghazanfari, T.","25","Chemical Engineering","103",,,,,"Journal Of Parasitic Diseases","26","Male","763","Iran University of Medical Sciences","160","Isfahan University of Medical Sciences","46","Netherlands","50",,,"French","1"
,,"2018","146","Sahebkar, A.","25","Chemistry","93",,,,,"Scientific Reports","24","Female","737","Shiraz University of Medical Sciences","152","Iran University of Medical Sciences","42","Australia","43",,,"Moldavian","1"
,,"2017","101","Tabarsa, M.","25","Engineering","91",,,,,"Microbial Pathogenesis","21","Mouse","727","Isfahan University of Medical Sciences","143","Pasteur Institute of Iran","42","China","41",,,"Moldovan","1"
,,"2016","115","Hashemi, S.M.","24","Materials Science","87",,,,,"Plos One","21","Humans","691","Kerman University of Medical Sciences","134","Shiraz University of Medical Sciences","42","Iraq","40",,,"Romanian","1"
,,"2015","91","Oryan, A.","22","Neuroscience","68",,,,,"Cell Journal","20","Animal","671","Islamic Azad University","132","National Institute for Medical Research Development","41","South Korea","34",,,"Russian","1"
,,"2014","75","You, S.G.","22","Multidisciplinary","55",,,,,"Experimental Parasitology","20","Animal Experiment","659","SBUMS School of Medicine","131","National Institutes of Health","41","Sweden","32",,,"Spanish","1"
,,"2013","96","Baradaran, B.","21","Environmental Science","45",,,,,"Iranian Journal Of Immunology","20","Animal Cell","610","School of Medicine","119","U.S. Department of Health and Human Services","38","Spain","25",,,,
,,"2012","55","Hassan, Z.M.","21","Health Professions","28",,,,,"Cytokine","18","Metabolism","542","Tabriz University of Medical Sciences","104","Tabriz University of Medical Sciences","37","India","24",,,,
,,"2011","94","Bayat, M.","20","Dentistry","26",,,,,"Iranian Biomedical Journal","18","Animal Model","514","School of Medicine","92","Mazandaran University of Medical Sciences","30","Switzerland","23",,,,
,,"2010","52","Noorbakhsh, F.","20","Nursing","25",,,,,"Biomedicine And Pharmacotherapy","17","Unclassified Drug","498","Mazandaran University of Medical Sciences","82","European Commission","24","France","22",,,,
,,"2009","61","Rafati, S.","20","Physics and Astronomy","25",,,,,"Life Sciences","17","Macrophages","481","School of Medicine IUMS","81","University of Tehran","23","Japan","20",,,,
,,"2008","47","Rezaei, N.","20","Computer Science","14",,,,,"Acta Medica Iranica","16","Mice","475","Shiraz University","80","Islamic Azad University","18","Pakistan","18",,,,
,,"2007","31","Dalimi, A.","19","Mathematics","12",,,,,"Immunopharmacology And Immunotoxicology","16","Priority Journal","468","Iranian Academic Center for Education, Culture and Research","71","Ahvaz Jundishapur University of Medical Sciences","17","Turkey","16",,,,
,,"2006","35","Mahmoudi, M.","19","Social Sciences","6",,,,,"Iranian Journal Of Pharmaceutical Research","16","Animal Tissue","458","School of Advanced Technologies in Medicine","66","Shiraz University","17","Denmark","15",,,,
,,"2005","24","Bamorovat, M.","18","Energy","5",,,,,"Molecular Biology Reports","16","Adult","423","School of Medicine, Isfahan UMS","63","Royan Institute","15","Austria","14",,,,
,,"2004","12","Moazzeni, S.M.","18","Psychology","5",,,,,"Jundishapur Journal Of Microbiology","15","Gene Expression","422","Baqiyatallah University of Medical Sciences","58","Horizon 2020 Framework Programme","14","Belgium","14",,,,
,,"2003","10","Mohammadi-Yeganeh, S.","18","Economics, Econometrics and Finance","4",,,,,"Parasitology Research","14","Human Cell","410","School of Pharmacy","58","National Institute of Allergy and Infectious Diseases","14","Brazil","13",,,,
,,"2002","8","Fakhar, M.","17","Earth and Planetary Sciences","2",,,,,"Tanaffos","14","Protein Expression","393","Ahvaz Jundishapur University of Medical Sciences","57","National Research Foundation of Korea","14","Finland","12",,,,
,,"2001","8","Mahmoudvand, H.","17",,,,,,,"Tehran University Medical Journal","13","Drug Effect","369","Islamic Azad University, Science and Research Branch","54","National Natural Science Foundation of China","13","Poland","10",,,,
,,"2000","6","Mosaffa, N.","17",,,,,,,"Acta Tropica","12","In Vitro Study","343","Leishmaniasis Research Center, Kerman University of Medical Sciences","52","Canadian Institutes of Health Research","12","Saudi Arabia","10",,,,
,,"1999","6","Sharifi, F.","17",,,,,,,"European Journal Of Pharmacology","12","Inflammation","333","Royan Institute","51","Golestan University of Medical Sciences","12","Czech Republic","9",,,,
,,"1998","4","Soudi, S.","17",,,,,,,"Journal Of Cellular Biochemistry","12","Enzyme Linked Immunosorbent Assay","323","Urmia University","50","Kermanshah University of Medical Sciences","12","Portugal","9",,,,
,,"1997","2","Ardestani, S.K.","16",,,,,,,"Journal Of Mazandaran University Of Medical Sciences","12","Real Time Polymerase Chain Reaction","318","Kermanshah University of Medical Sciences","50","Shahid Chamran University of Ahvaz","12","Russian Federation","9",,,,
,,"1996","7","Dabiri, S.","16",,,,,,,"Advanced Pharmaceutical Bulletin","11","Genetics","314","Zanjan University of Medical Sciences ZUMS","50","Government of Canada","11","Malaysia","7",,,,
,,"1995","4","Foroumadi, A.","16",,,,,,,"Acta Cytologica","10","Tumor Necrosis Factor","290","Faculty of Medicine, Kerman University of Medical Sciences","49","Baqiyatallah University of Medical Sciences","10","Qatar","7",,,,
,,"1994","2","Hadjati, J.","16",,,,,,,"Inflammation","10","Pathology","282","Urmia University Faculty of Veterinary Medicine","45","Ministry of Education","10","Chile","5",,,,
,,"1993","3","Hejazi, S.H.","16",,,,,,,"Iranian Journal Of Microbiology","10","Flow Cytometry","269","Mashhad University of Medical Sciences, School of Medicine","43","Shahed University","10","Israel","5",,,,
,,"1991","2","Jafarzadeh, A.","16",,,,,,,"Parasite Immunology","10","Leishmania Major","268","Children's Medical Center TUMS","43","UK Research and Innovation","10","Norway","5",,,,
,,"1989","1","Amirghofran, Z.","15",,,,,,,"Iranian Journal Of Medical Sciences","9","Chemistry","256","Golestan University of Medical Sciences","42","Urmia University","10","Taiwan","5",,,,
,,"1987","1","Delirezh, N.","15",,,,,,,"Journal Of Immunotoxicology","9","Immunology","255","University of Tabriz","40","Ministry of Science and Technology of the People's Republic of China","9","Egypt","4",,,,
,,"1985","2","Emami, S.","15",,,,,,,"Journal Of Isfahan Medical School","9","Gamma Interferon","253","Lorestan University of Medical Sciences","40","European Research Council","8","Jordan","4",,,,
,,"1982","1","Najafi, M.","15",,,,,,,"Yakhteh","9","Histopathology","249","Shahed University","40","Ferdowsi University of Mashhad","8","Luxembourg","4",,,,
