Scopus refine results values

"Your query : (TITLE-ABS-KEY(macrophag*) AND AFFILCOUNTRY(Iran))"


Number of results : 3720

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","1382","2025","137","Sahebkar, A.","101","Medicine","2088","Article","2408","final","3694","International Immunopharmacology","77","Human","2294","Tehran University of Medical Sciences","801","Tehran University of Medical Sciences and Health Services","133","Iran","3720","Journal","3678","English","3630"
"Gold","888","2024","374","Rezaei, N.","77","Biochemistry, Genetics and Molecular Biology","1244","Review","1132","aip","26","Life Sciences","53","Article","1964","Shahid Beheshti University of Medical Sciences","500","Shahid Beheshti University of Medical Sciences","100","United States","344","Book Series","21","Persian","88"
"Hybrid Gold","116","2023","392","Sharifi, I.","49","Immunology and Microbiology","962","Letter","68",,,"Biomedicine And Pharmacotherapy","50","Nonhuman","1958","Mashhad University of Medical Sciences","335","Mashhad University of Medical Sciences","93","United Kingdom","146","Book","19","Arabic","5"
"Bronze","167","2022","404","Baradaran, B.","43","Pharmacology, Toxicology and Pharmaceutics","816","Book Chapter","38",,,"Frontiers In Immunology","43","Macrophage","1809","Tarbiat Modares University","313","Tabriz University of Medical Sciences","86","Canada","130","Conference Proceeding","2","Portuguese","3"
"Green","917","2021","414","Ghaffarifar, F.","42","Agricultural and Biological Sciences","159","Editorial","19",,,"Iranian Journal Of Parasitology","43","Humans","1554","Tabriz University of Medical Sciences","287","Iran National Science Foundation","72","Italy","119",,,"Turkish","2"
,,"2020","302","Jafarzadeh, A.","41","Veterinary","139","Short Survey","15",,,"Iranian Journal Of Allergy Asthma And Immunology","41","Controlled Study","1455","Iran University of Medical Sciences","282","National Institutes of Health","60","Australia","106",,,"Chinese","1"
,,"2019","291","Najafi, M.","39","Chemical Engineering","131","Note","12",,,"Journal Of Cellular Physiology","41","Animals","1149","Shiraz University of Medical Sciences","256","Tarbiat Modares University","60","Germany","104",,,"French","1"
,,"2018","198","Mortaz, E.","37","Chemistry","131","Conference Paper","10",,,"Iranian Journal Of Basic Medical Sciences","38","Review","1059","School of Medicine","234","Kerman University of Medical Sciences","56","China","94",,,"Moldavian","1"
,,"2017","154","Mortezaee, K.","33","Engineering","124","Erratum","10",,,"International Journal Of Biological Macromolecules","33","Animal","1007","University of Tehran","229","National Institute for Medical Research Development","54","Iraq","89",,,"Moldovan","1"
,,"2016","146","Khamesipour, A.","32","Neuroscience","119","Retracted","8",,,"Cytokine","32","Metabolism","904","Pasteur Institute of Iran","224","U.S. Department of Health and Human Services","53","Netherlands","79",,,"Romanian","1"
,,"2015","116","Nemati, M.","32","Materials Science","108",,,,,"Molecular Biology Reports","32","Female","829","Isfahan University of Medical Sciences","223","Isfahan University of Medical Sciences","52","India","74",,,"Russian","1"
,,"2014","96","Jaafari, M.R.","31","Multidisciplinary","63",,,,,"Microbial Pathogenesis","30","Male","816","Islamic Azad University","203","Shiraz University of Medical Sciences","52","Sweden","54",,,"Spanish","1"
,,"2013","114","Mohebali, M.","29","Environmental Science","62",,,,,"Comparative Clinical Pathology","27","Mouse","790","SBUMS School of Medicine","198","Iran University of Medical Sciences","51","Poland","52",,,,
,,"2012","76","Hashemi, S.M.","28","Health Professions","36",,,,,"Journal Of Parasitic Diseases","26","Unclassified Drug","748","Kerman University of Medical Sciences","182","Pasteur Institute of Iran","46","Turkey","45",,,,
,,"2011","108","Khorramdelazad, H.","28","Nursing","34",,,,,"Scientific Reports","25","Priority Journal","720","School of Medicine IUMS","143","Mazandaran University of Medical Sciences","37","Russian Federation","41",,,,
,,"2010","62","Mirshafiey, A.","28","Dentistry","31",,,,,"European Journal Of Pharmacology","24","Inflammation","700","School of Medicine","133","European Commission","34","South Korea","40",,,,
,,"2009","73","Farhood, B.","26","Physics and Astronomy","30",,,,,"Iranian Journal Of Immunology","22","Animal Experiment","672","Iranian Academic Center for Education, Culture and Research","121","Ahvaz Jundishapur University of Medical Sciences","27","Spain","38",,,,
,,"2008","59","Ghazanfari, T.","26","Computer Science","22",,,,,"Acta Medica Iranica","21","Macrophages","650","Ahvaz Jundishapur University of Medical Sciences","120","UK Research and Innovation","25","Saudi Arabia","32",,,,
,,"2007","41","Tabarsa, M.","25","Mathematics","15",,,,,"Experimental Parasitology","21","Animal Cell","620","Kermanshah University of Medical Sciences","114","University of Tehran","25","Pakistan","30",,,,
,,"2006","40","Hassan, Z.M.","23","Psychology","10",,,,,"Immunopharmacology And Immunotoxicology","21","Protein Expression","620","Mazandaran University of Medical Sciences","114","Islamic Azad University","23","France","27",,,,
,,"2005","26","Jadidi-Niaragh, F.","23","Social Sciences","8",,,,,"Plos One","21","Gene Expression","545","Children's Medical Center TUMS","112","National Natural Science Foundation of China","23","Switzerland","27",,,,
,,"2004","16","Rafati, S.","23","Energy","5",,,,,"Cell Journal","20","Tumor Necrosis Factor","544","Faculty of Medicine","105","Kermanshah University of Medical Sciences","22","Japan","26",,,,
,,"2003","12","Tajbakhsh, A.","23","Economics, Econometrics and Finance","4",,,,,"Tehran University Medical Journal","19","Immune Response","539","Baqiyatallah University of Medical Sciences","100","Government of Canada","21","Belgium","25",,,,
,,"2002","8","Bayat, M.","22","Earth and Planetary Sciences","3",,,,,"Iranian Biomedical Journal","18","Animal Model","528","School of Advanced Technologies in Medicine","99","Canadian Institutes of Health Research","19","Finland","22",,,,
,,"2001","8","Folkerts, G.","22",,,,,,,"Iranian Journal Of Pharmaceutical Research","18","Immunology","520","School of Medicine, Isfahan UMS","98","Horizon 2020 Framework Programme","19","Denmark","21",,,,
,,"2000","6","Mahmoudi, M.","22",,,,,,,"Pathology Research And Practice","17","Interleukin 6","520","Mashhad University of Medical Sciences, School of Medicine","97","Shiraz University","19","Austria","20",,,,
,,"1999","6","Namazi, M.R.","22",,,,,,,"Stem Cell Research And Therapy","17","Mice","511","Rafsanjan University of Medical Sciences","95","National Research Foundation of Korea","17","Brazil","20",,,,
,,"1998","5","Oryan, A.","22",,,,,,,"Tanaffos","17","Pathology","493","Shiraz University","94","Royan Institute","17","Egypt","17",,,,
,,"1997","2","You, S.G.","22",,,,,,,"Journal Of Mazandaran University Of Medical Sciences","16","Cytokine","491","Shahid Sadoughi University of Medical Sciences","89","Baqiyatallah University of Medical Sciences","16","Malaysia","17",,,,
