Scopus refine results values

"Your query : (TITLE-ABS-KEY(macrophag*) AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 1132

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","481","2025","47","Sahebkar, A.","68","Medicine","631","Review","1132","final","1119","International Immunopharmacology","39","Review","1054","Tehran University of Medical Sciences","274","Tabriz University of Medical Sciences","48","Iran","1132","Journal","1131","English","1118"
"Gold","303","2024","128","Rezaei, N.","46","Biochemistry, Genetics and Molecular Biology","498",,,"aip","13","Life Sciences","36","Human","1039","Tabriz University of Medical Sciences","172","Mashhad University of Medical Sciences","22","United States","155","Book Series","1","Persian","15"
"Hybrid Gold","42","2023","169","Mortezaee, K.","28","Pharmacology, Toxicology and Pharmaceutics","311",,,,,"Biomedicine And Pharmacotherapy","32","Humans","784","Shahid Beheshti University of Medical Sciences","162","National Institutes of Health","19","Italy","60",,,,
"Bronze","49","2022","205","Jafarzadeh, A.","25","Immunology and Microbiology","289",,,,,"Frontiers In Immunology","32","Nonhuman","669","Mashhad University of Medical Sciences","155","Tehran University of Medical Sciences and Health Services","19","Australia","57",,,,
"Green","355","2021","192","Najafi, M.","23","Neuroscience","43",,,,,"Journal Of Cellular Physiology","32","Macrophage","583","Iran University of Medical Sciences","111","Shahid Beheshti University of Medical Sciences","17","United Kingdom","53",,,,
,,"2020","90","Nemati, M.","23","Chemistry","32",,,,,"Stem Cell Research And Therapy","17","Animals","342","School of Medicine","99","U.S. Department of Health and Human Services","15","Canada","45",,,,
,,"2019","78","Baradaran, B.","22","Engineering","28",,,,,"Pathology Research And Practice","16","Metabolism","341","Shiraz University of Medical Sciences","74","UK Research and Innovation","14","China","45",,,,
,,"2018","46","Tajbakhsh, A.","21","Chemical Engineering","23",,,,,"Molecular Biology Reports","15","Inflammation","340","Isfahan University of Medical Sciences","72","National Institute for Medical Research Development","11","India","45",,,,
,,"2017","48","Khorramdelazad, H.","18","Agricultural and Biological Sciences","20",,,,,"Cytokine","14","Animal","317","Islamic Azad University","64","Kermanshah University of Medical Sciences","10","Iraq","45",,,,
,,"2016","23","Farhood, B.","17","Materials Science","19",,,,,"European Journal Of Pharmacology","12","Immune Response","306","SBUMS School of Medicine","64","Shiraz University of Medical Sciences","10","Germany","37",,,,
,,"2015","19","Gheibihayat, S.M.","17","Environmental Science","16",,,,,"Frontiers In Oncology","9","Signal Transduction","268","Faculty of Medicine","63","Ahvaz Jundishapur University of Medical Sciences","9","Poland","36",,,,
,,"2014","17","Jadidi-Niaragh, F.","16","Veterinary","13",,,,,"Iranian Journal Of Allergy Asthma And Immunology","9","Immunology","251","School of Medicine IUMS","60","European Commission","9","Russian Federation","30",,,,
,,"2013","15","Mirshafiey, A.","16","Computer Science","7",,,,,"Microbial Pathogenesis","9","Interleukin 6","243","Ahvaz Jundishapur University of Medical Sciences","60","Government of Canada","9","Turkey","27",,,,
,,"2012","14","Banach, M.","15","Multidisciplinary","6",,,,,"Pharmacological Research","9","Unclassified Drug","230","Tarbiat Modares University","59","National Natural Science Foundation of China","9","Netherlands","24",,,,
,,"2011","13","Jafarzadeh, S.","14","Nursing","6",,,,,"Cell Communication And Signaling","8","Dendritic Cell","229","Immunology Research Center","58","Iran University of Medical Sciences","8","Saudi Arabia","20",,,,
,,"2010","6","Majidpoor, J.","14","Health Professions","5",,,,,"Cellular Oncology","8","Tumor Microenvironment","224","Kermanshah University of Medical Sciences","55","Canadian Institutes of Health Research","7","Sweden","20",,,,
,,"2009","10","Saki, N.","14","Physics and Astronomy","5",,,,,"Current Pharmaceutical Design","8","Tumor Necrosis Factor","222","Rafsanjan University of Medical Sciences","54","Iran National Science Foundation","7","Indonesia","13",,,,
,,"2008","1","Yousefi, M.","14","Dentistry","4",,,,,"Cell Biology International","7","Cytokine","220","Children's Medical Center TUMS","54","Mazandaran University of Medical Sciences","7","Pakistan","12",,,,
,,"2007","5","Ghafouri-Fard, S.","13","Psychology","4",,,,,"Clinical And Translational Oncology","7","Apoptosis","217","Research Center for Immunodeficiencies","50","Baqiyatallah University of Medical Sciences","6","South Africa","12",,,,
,,"2006","3","Johnston, T.P.","13","Mathematics","3",,,,,"Frontiers In Microbiology","7","Priority Journal","204","Mashhad University of Medical Sciences, School of Medicine","49","Isfahan University of Medical Sciences","6","Egypt","11",,,,
,,"2004","2","Pirro, M.","13","Earth and Planetary Sciences","1",,,,,"International Reviews Of Immunology","7","Protein Expression","201","Shahid Sadoughi University of Medical Sciences","49","Kerman University of Medical Sciences","6","Spain","10",,,,
,,"1998","1","Hassanshahi, G.","12","Social Sciences","1",,,,,"Medical Oncology","7","Pathology","199","Pasteur Institute of Iran","47","Ministry of Science and Technology of the People's Republic of China","6","Belgium","9",,,,
,,,,"Mirzaei, H.","12",,,,,,,"American Journal Of Reproductive Immunology","6","Natural Killer Cell","195","Kerman University of Medical Sciences","47","National Health and Medical Research Council","6","Finland","9",,,,
,,,,"Mirzaei, R.","12",,,,,,,"Cancers","6","T Lymphocyte","192","Iranian Academic Center for Education, Culture and Research","41","University of Kurdistan","6","Malaysia","8",,,,
,,,,"Jamialahmadi, T.","11",,,,,,,"Cell Biochemistry And Function","6","Regulatory T Lymphocyte","190","Kurdistan University of Medical Sciences","39","Rafsanjan University of Medical Sciences","5","Qatar","8",,,,
,,,,"Karampoor, S.","11",,,,,,,"Cells","6","Innate Immunity","185","Baqiyatallah University of Medical Sciences","37","Russian Science Foundation","5","Thailand","8",,,,
,,,,"Taheri, M.","11",,,,,,,"Clinical Reviews In Allergy And Immunology","6","Neoplasm","180","University of Tehran","37","Department of Health and Aged Care, Australian Government","4","Hungary","7",,,,
,,,,"Azizi, G.","10",,,,,,,"Current Medicinal Chemistry","6","Immunotherapy","179","School of Medicine","36","Horizon 2020 Framework Programme","4","Taiwan","7",,,,
,,,,"Hamblin, M.R.","10",,,,,,,"Heliyon","6","Immunocompetent Cell","176","School of Pharmacy","36","Islamic Azad University","4","Colombia","6",,,,
,,,,"Esmaeilzadeh, A.","9",,,,,,,"Immunity Inflammation And Disease","6","Neoplasms","176","Neurojenic Inflammation Research Center","36","National Cancer Institute","4","Czech Republic","6",,,,
,,,,"Marofi, F.","9",,,,,,,"Immunology Letters","6","Interleukin 10","174","Kashan University of Medical Sciences","32","Babol University of Medical Sciences","3","Denmark","6",,,,
,,,,"Saha, B.","9",,,,,,,"International Journal Of Molecular Sciences","6","Gamma Interferon","167","Hamadan University of Medical Sciences","31","Biotechnology Research Center, Tabriz University of Medical Sciences","3","Japan","6",,,,
,,,,"Savardashtaki, A.","9",,,,,,,"Naunyn Schmiedeberg S Archives Of Pharmacology","6","Immune System","167","School of Medicine, Isfahan UMS","31","Cancer Research Society","3","Norway","6",,,,
,,,,"Ahmadi, M.","8",,,,,,,"Tehran University Medical Journal","6","Cell Proliferation","158","Mazandaran University of Medical Sciences","30","Fundação para a Ciência e a Tecnologia","3","Singapore","6",,,,
,,,,"Bianconi, V.","8",,,,,,,"Virology Journal","6","Macrophages","155","School of Advanced Technologies in Medicine","30","Hamadan University of Medical Sciences","3","Belarus","5",,,,
,,,,"Kazemi, T.","8",,,,,,,"Biofactors","5","CD8+ T Lymphocyte","150","Zanjan University of Medical Sciences ZUMS","29","Ministério da Educação e Ciência","3","Brazil","5",,,,
,,,,"Mortaz, E.","8",,,,,,,"Biomarker Research","5","CD4+ T Lymphocyte","145","Faculty of Medicine, Kerman University of Medical Sciences","28","National Research Foundation of Korea","3","France","5",,,,
,,,,"Aghebati-Maleki, L.","7",,,,,,,"Cancer Cell International","5","Cytokines","143","Urmia University of Medical Sciences","27","Natural Sciences and Engineering Research Council of Canada","3","Greece","5",,,,
,,,,"Ashrafizadeh, M.","7",,,,,,,"Current Drug Targets","5","Adaptive Immunity","138","Drug Applied Research Center, Tabriz University of Medical Sciences","27","Pasteur Institute of Iran","3","Hong Kong","5",,,,
,,,,"Baghbanzadeh, A.","7",,,,,,,"Current Pharmaceutical Biotechnology","5","Genetics","138","School of Pharmacy","27","Research Center for Infectious Diseases and Tropical Medicine, Tabriz University of Medical Sciences","3","Jordan","5",,,,
,,,,"Folkerts, G.","7",,,,,,,"Expert Review Of Clinical Immunology","5","Cytokine Production","136","Royan Institute","26","Semnan University of Medical Sciences and Health Services","3","Portugal","5",,,,
,,,,"Ghanei, M.","7",,,,,,,"Frontiers In Pharmacology","5","Neutrophil","134","Stem Cell Research Center","25","Urmia University of Medical Sciences","3","South Korea","5",,,,
,,,,"Hashemi, M.","7",,,,,,,"Immunopharmacology And Immunotoxicology","5","Interleukin 1beta","133","Sechenov First Moscow State Medical University","24","Abbott Laboratories","2","United Arab Emirates","5",,,,
,,,,"Momtazi-Borojeni, A.A.","7",,,,,,,"International Journal Of Biological Macromolecules","5","Cancer Immunotherapy","131","Shahrekord University of Medical Sciences","24","Abbott Vascular","2","Uzbekistan","5",,,,
,,,,"Sharifi, I.","7",,,,,,,"Journal Of Medical Virology","5","Transforming Growth Factor Beta","129","Pharmaceutical Sciences Research Center SUMS","24","Ardabil University of Medical Sciences","2","Armenia","4",,,,
,,,,"Silvestris, N.","7",,,,,,,"Journal Of Research In Medical Sciences","5","Immunomodulation","128","Alborz University of Medical Sciences","23","British Heart Foundation","2","Bahrain","4",,,,
,,,,"Taheriazam, A.","7",,,,,,,"Reviews In Medical Virology","5","Angiogenesis","124","School of Advanced Medical Sciences and Technologies","23","Canadian Cancer Society","2","Chile","4",,,,
,,,,"Zarrabi, A.","7",,,,,,,"Stem Cell Reviews And Reports","5","Oxidative Stress","124","Semnan University of Medical Sciences and Health Services","22","Canadian Cancer Society Research Institute","2","Nigeria","4",,,,
,,,,"Adcock, I.M.","6",,,,,,,"Acta Medica Iranica","4","Granulocyte Macrophage Colony Stimulating Factor","123","National Research Institute of Tuberculosis and Lung Disease Tehran","21","Cancerfonden","2","Austria","3",,,,
,,,,"Bashash, D.","6",,,,,,,"Anti Cancer Agents In Medicinal Chemistry","4","Immunoglobulin Enhancer Binding Protein","122","Babol University of Medical Sciences","21","Chinese Academy of Sciences","2","Croatia","3",,,,
