Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")) AND DOCTYPE(ar))"


Number of results : 327977

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","115727","2025","3995","Yagita, H.","394","Medicine","216213","Article","327977","final","327604","Journal Of Immunology","7050","Article","256831","Inserm","6746","National Institutes of Health","30737","United States","121839","Journal","325076","English","307731"
"Gold","32586","2024","10084","Goldenberg, D.M.","358","Biochemistry, Genetics and Molecular Biology","118700",,,"aip","373","Journal Of Biological Chemistry","4622","Human","215331","Harvard Medical School","6347","U.S. Department of Health and Human Services","25019","Japan","36819","Book Series","1985","Chinese","6097"
"Hybrid Gold","16381","2023","7719","Ferrone, S.","335","Immunology and Microbiology","83644",,,,,"Blood","3548","Monoclonal Antibody","202068","National Institutes of Health NIH","5664","National Cancer Institute","17562","United Kingdom","28132","Trade Journal","413","Japanese","3133"
"Bronze","43735","2022","9529","Kato, Y.","317","Pharmacology, Toxicology and Pharmaceutics","22351",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","3255","Priority Journal","164940","National Cancer Institute NCI","3179","National Institute of Allergy and Infectious Diseases","12485","Germany","27134","Conference Proceeding","14","Russian","2863"
"Green","74551","2021","10223","Kuang, H.","311","Neuroscience","15188",,,,,"Cancer Research","3201","Antibodies, Monoclonal","136441","Memorial Sloan-Kettering Cancer Center","3012","National Natural Science Foundation of China","7163","China","25878","Book","1","German","2380"
,,"2020","8526","Schlom, J.","296","Chemistry","12657",,,,,"Journal Of Immunological Methods","3107","Humans","136281","CNRS Centre National de la Recherche Scientifique","3011","Ministry of Science and Technology of the People's Republic of China","5398","France","20478","Undefined","488","French","1966"
,,"2019","7471","Kaneko, M.K.","295","Agricultural and Biological Sciences","12578",,,,,"Journal Of Virology","2833","Controlled Study","122837","Dana-Farber Cancer Institute","2883","National Heart, Lung, and Blood Institute","5387","Italy","17564",,,"Spanish","1623"
,,"2018","7021","Liu, L.","269","Multidisciplinary","8772",,,,,"European Journal Of Immunology","2734","Nonhuman","114818","The University of Texas MD Anderson Cancer Center","2858","Ministry of Education, Culture, Sports, Science and Technology","5298","Canada","13066",,,"Italian","570"
,,"2017","6863","Xu, C.","265","Chemical Engineering","6842",,,,,"Infection And Immunity","2513","Female","113443","Massachusetts General Hospital","2854","Japan Society for the Promotion of Science","4396","Netherlands","11484",,,"Polish","520"
,,"2016","6736","Schlossman, S.F.","255","Veterinary","6023",,,,,"Plos One","2508","Male","96149","University of California, San Francisco","2667","National Institute of General Medical Sciences","3658","Spain","9841",,,"Czech","434"
,,"2015","7599","Okumura, K.","236","Engineering","4868",,,,,"Journal Of Experimental Medicine","1968","Adult","76735","University of Washington","2572","European Commission","3562","Switzerland","9020",,,"Portuguese","305"
,,"2014","8808","Burton, D.R.","228","Environmental Science","2839",,,,,"Clinical Cancer Research","1920","Animal","70551","Brigham and Women's Hospital","2544","National Institute of Diabetes and Digestive and Kidney Diseases","3054","Australia","8922",,,"Korean","196"
,,"2013","8225","Koprowski, H.","226","Health Professions","2760",,,,,"International Journal Of Cancer","1823","Human Cell","69546","Genentech, Inc","2329","National Institute of Neurological Disorders and Stroke","2988","Sweden","7225",,,"Dutch","173"
,,"2012","7862","Old, L.J.","215","Physics and Astronomy","2657",,,,,"Transplantation","1784","Animals","66725","University of Pennsylvania","2233","Deutsche Forschungsgemeinschaft","2354","Belgium","5960",,,"Hungarian","165"
,,"2011","7395","Waldmann, H.","211","Materials Science","2656",,,,,"Hybridoma","1775","Mouse","66249","Karolinska Institutet","2121","Roche","2084","South Korea","5526",,,"Turkish","93"
,,"2010","7028","Haynes, B.F.","198","Dentistry","1419",,,,,"Biochemical And Biophysical Research Communications","1704","Mice","57831","Charité – Universitätsmedizin Berlin","2110","Pfizer","1850","Austria","4344",,,"Ukrainian","90"
,,"2009","6835","Casadevall, A.","186","Nursing","1338",,,,,"Immunology","1623","Unclassified Drug","54734","Washington University School of Medicine in St. Louis","2096","UK Research and Innovation","1819","Denmark","4160",,,"Croatian","86"
,,"2008","6549","Pastan, I.","186","Computer Science","1276",,,,,"Frontiers In Immunology","1571","Animal Cell","51339","Mayo Clinic","2058","National Key Research and Development Program of China","1764","India","4098",,,"Slovak","65"
,,"2007","6324","Sandborn, W.J.","179","Arts and Humanities","706",,,,,"Virology","1440","Animal Experiment","50534","Stanford University School of Medicine","2049","Novartis","1723","Russian Federation","3720",,,"Danish","59"
,,"2006","6237","Springer, T.A.","176","Social Sciences","507",,,,,"Molecular Immunology","1394","Aged","46655","University of Toronto","2040","Medical Research Council","1688","Brazil","3666",,,"Serbian","58"
,,"2005","6007","Diamond, M.S.","168","Mathematics","448",,,,,"Cancer","1392","Immunology","45982","VA Medical Center","1976","AstraZeneca","1588","Israel","3433",,,"Persian","57"
,,"2004","6010","Larson, S.M.","168","Psychology","261",,,,,"Cellular Immunology","1343","Middle Aged","44255","University of California, San Diego","1947","National Institute of Arthritis and Musculoskeletal and Skin Diseases","1570","Poland","3396",,,"Bulgarian","53"
,,"2003","5905","Waldmann, T.A.","165","Energy","245",,,,,"Clinical And Experimental Immunology","1317","Immunohistochemistry","43764","The University of Tokyo","1945","Merck","1526","Taiwan","2860",,,"Swedish","49"
,,"2002","6291","Imai, K.","164","Earth and Planetary Sciences","151",,,,,"Journal Of Clinical Oncology","1270","Clinical Article","39046","Scripps Research Institute","1937","Eunice Kennedy Shriver National Institute of Child Health and Human Development","1470","Finland","2548",,,"Romanian","42"
,,"2001","6779","Moretta, L.","164","Economics, Econometrics and Finance","149",,,,,"British Journal Of Haematology","1206","Support, Non-U.S. Gov't","35095","The University of Alabama at Birmingham","1906","National Eye Institute","1393","Norway","2241",,,"Norwegian","33"
,,"2000","6533","Reinherz, E.L.","164","Business, Management and Accounting","132",,,,,"British Journal Of Cancer","1195","Metabolism","34546","University of California, Los Angeles","1862","National Science Foundation","1389","Turkey","2192",,,"Moldavian","28"
,,"1999","6720","Cheung, N.K.V.","162","Decision Sciences","15",,,,,"Anticancer Research","1161","Human Tissue","34368","Ludwig-Maximilians-Universität München","1843","Bristol-Myers Squibb","1350","Greece","2185",,,"Moldovan","28"
,,"1998","7467","McKenzie, I.F.C.","162","Undefined","334",,,,,"Journal Of General Virology","1156","Major Clinical Study","33597","Merck &amp; Co., Inc.","1834","National Institute on Aging","1315","Czech Republic","2174",,,"Hebrew","25"
,,"1997","7979","Tanaka, Y.","162",,,,,,,"Scientific Reports","1152","Animal Model","31831","National Institute of Allergy and Infectious Diseases NIAID","1818","Eli Lilly and Company","1309","Hungary","1616",,,"Greek","21"
,,"1996","8930","Sharkey, R.M.","159",,,,,,,"Transplantation Proceedings","1133","Protein Expression","30998","David Geffen School of Medicine at UCLA","1756","Amgen","1225","Iran","1533",,,"Finnish","13"
,,"1995","9244","Zolla-Pazner, S.","158",,,,,,,"American Journal Of Pathology","1129","Animal Tissue","30090","Yale School of Medicine","1753","Horizon 2020 Framework Programme","1185","Thailand","1495",,,"Slovenian","10"
