Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")))"


Number of results : 420401

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","145666","2025","5169","Goldenberg, D.M.","472","Medicine","287341","Article","327977","final","419898","Journal Of Immunology","7133","Human","293192","Inserm","8274","National Institutes of Health","35400","United States","153713","Journal","411024","English","392923"
"Gold","43104","2024","13961","Yagita, H.","418","Biochemistry, Genetics and Molecular Biology","144610","Review","49758","aip","503","Journal Of Biological Chemistry","4648","Monoclonal Antibody","263585","Harvard Medical School","7848","U.S. Department of Health and Human Services","28314","Japan","41588","Book Series","4440","Chinese","6656"
"Hybrid Gold","19955","2023","11526","Ferrone, S.","386","Immunology and Microbiology","96766","Letter","12896",,,"Blood","4034","Article","259086","National Institutes of Health NIH","6577","National Cancer Institute","20385","United Kingdom","36338","Book","2787","Japanese","4375"
"Bronze","54549","2022","13775","Schlom, J.","328","Pharmacology, Toxicology and Pharmaceutics","36113","Conference Paper","10122",,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","3304","Priority Journal","200160","The University of Texas MD Anderson Cancer Center","4081","National Institute of Allergy and Infectious Diseases","13807","Germany","33918","Conference Proceeding","831","German","4101"
"Green","92483","2021","15019","Kato, Y.","318","Neuroscience","17970","Note","6689",,,"Cancer Research","3282","Humans","193238","Memorial Sloan-Kettering Cancer Center","3894","National Natural Science Foundation of China","8573","China","30427","Trade Journal","756","French","3579"
,,"2020","13008","Kuang, H.","312","Chemistry","15179","Editorial","4793",,,"Journal Of Immunological Methods","3182","Antibodies, Monoclonal","166032","National Cancer Institute NCI","3786","Ministry of Science and Technology of the People's Republic of China","6432","France","26188","Report","1","Russian","3180"
,,"2019","11027","Kaneko, M.K.","296","Agricultural and Biological Sciences","13579","Book Chapter","3910",,,"Journal Of Virology","2875","Nonhuman","141936","Dana-Farber Cancer Institute","3574","National Heart, Lung, and Blood Institute","5986","Italy","25217","Undefined","562","Spanish","2419"
,,"2018","10429","Liu, L.","270","Multidisciplinary","9354","Short Survey","3400",,,"European Journal Of Immunology","2801","Controlled Study","129300","Massachusetts General Hospital","3565","Ministry of Education, Culture, Sports, Science and Technology","5790","Canada","16038",,,"Italian","862"
,,"2017","10283","Schlossman, S.F.","269","Chemical Engineering","9042","Erratum","574",,,"Transplantation Proceedings","2591","Female","127688","CNRS Centre National de la Recherche Scientifique","3496","Japan Society for the Promotion of Science","4969","Netherlands","14137",,,"Polish","803"
,,"2016","9853","Waldmann, H.","267","Veterinary","6534","Book","161",,,"Infection And Immunity","2585","Male","107511","University of California, San Francisco","3319","European Commission","4438","Spain","13246",,,"Czech","597"
,,"2015","10627","Xu, C.","265","Engineering","6441","Retracted","71",,,"Plos One","2550","Adult","86739","Brigham and Women's Hospital","3191","National Institute of General Medical Sciences","3973","Australia","11360",,,"Portuguese","379"
,,"2014","12161","Okumura, K.","261","Health Professions","3439","Data Paper","25",,,"Frontiers In Immunology","2273","Animals","81655","University of Washington","2995","National Institute of Diabetes and Digestive and Kidney Diseases","3521","Switzerland","11141",,,"Dutch","309"
,,"2013","11350","Casadevall, A.","254","Environmental Science","3279","Conference Review","23",,,"Clinical Cancer Research","2270","Animal","81023","Mayo Clinic","2863","National Institute of Neurological Disorders and Stroke","3263","Sweden","8285",,,"Hungarian","266"
,,"2012","10985","Burton, D.R.","252","Materials Science","3249","Report","1",,,"Hybridoma","2055","Unclassified Drug","74467","University of Pennsylvania","2760","Deutsche Forschungsgemeinschaft","2776","Belgium","7579",,,"Korean","225"
,,"2011","10357","Sandborn, W.J.","241","Physics and Astronomy","3195","Undefined","1",,,"Transplantation","2052","Human Cell","72772","Genentech, Inc","2752","Roche","2673","South Korea","6360",,,"Danish","149"
,,"2010","10235","Koprowski, H.","237","Computer Science","2276",,,,,"Journal Of Experimental Medicine","1986","Mouse","70592","Charité – Universitätsmedizin Berlin","2688","Pfizer","2540","India","6308",,,"Turkish","138"
,,"2009","10089","Old, L.J.","232","Nursing","2034",,,,,"International Journal Of Cancer","1888","Mice","61568","University of Toronto","2645","Novartis","2354","Austria","5374",,,"Croatian","129"
,,"2008","9536","Haynes, B.F.","217","Dentistry","1621",,,,,"Journal Of Clinical Oncology","1842","Immunology","58197","Washington University School of Medicine in St. Louis","2484","UK Research and Innovation","2269","Denmark","5051",,,"Ukrainian","101"
,,"2007","9302","Sharkey, R.M.","210","Arts and Humanities","1004",,,,,"Biochemical And Biophysical Research Communications","1717","Animal Cell","53300","Stanford University School of Medicine","2484","Medical Research Council","2077","Brazil","4540",,,"Slovak","93"
,,"2006","9057","Tanaka, Y.","210","Social Sciences","735",,,,,"Immunology","1669","Animal Experiment","52937","Karolinska Institutet","2453","AstraZeneca","2070","Poland","4475",,,"Bulgarian","91"
,,"2005","8850","Vermeire, S.","209","Mathematics","629",,,,,"Cancer","1642","Aged","51542","University of California, San Diego","2367","National Key Research and Development Program of China","1994","Russian Federation","4318",,,"Swedish","77"
,,"2004","8379","Pastan, I.","203","Psychology","362",,,,,"British Journal Of Haematology","1586","Review","50644","University of California, Los Angeles","2365","Merck","1977","Israel","4231",,,"Serbian","75"
,,"2003","8117","Waldmann, T.A.","201","Energy","313",,,,,"Molecular Immunology","1474","Middle Aged","49387","Université Paris Cité","2318","National Institute of Arthritis and Musculoskeletal and Skin Diseases","1798","Taiwan","3390",,,"Norwegian","66"
,,"2002","8088","Imai, K.","199","Business, Management and Accounting","244",,,,,"Virology","1449","Immunohistochemistry","47857","Ludwig-Maximilians-Universität München","2281","Bristol-Myers Squibb","1792","Greece","3342",,,"Persian","64"
,,"2001","8190","Moretta, L.","196","Earth and Planetary Sciences","223",,,,,"Clinical And Experimental Immunology","1385","Drug Efficacy","45184","David Geffen School of Medicine at UCLA","2264","Amgen","1641","Turkey","2883",,,"Romanian","53"
,,"2000","7747","Larson, S.M.","195","Economics, Econometrics and Finance","220",,,,,"Cellular Immunology","1381","Clinical Article","44157","VA Medical Center","2262","Eli Lilly and Company","1593","Finland","2874",,,"Finnish","49"
,,"1999","7937","Danese, S.","194","Decision Sciences","33",,,,,"New England Journal Of Medicine","1380","Metabolism","42042","Weill Cornell Medicine","2254","National Science Foundation","1564","Czech Republic","2683",,,"Hebrew","45"
,,"1998","8560","Bluestone, J.A.","191","Undefined","484",,,,,"International Journal Of Molecular Sciences","1365","Antibodies, Monoclonal, Humanized","38760","The University of Alabama at Birmingham","2233","Eunice Kennedy Shriver National Institute of Child Health and Human Development","1543","Norway","2597",,,"Greek","44"
,,"1997","9069","Pardridge, W.M.","191",,,,,,,"Anticancer Research","1340","Treatment Outcome","37794","Johns Hopkins University School of Medicine","2185","National Eye Institute","1529","Iran","2335",,,"Moldavian","38"
,,"1996","9958","Cheung, N.K.V.","190",,,,,,,"British Journal Of Cancer","1337","Human Tissue","37647","Yale School of Medicine","2168","National Institute on Aging","1499","Hungary","1984",,,"Moldovan","38"
,,"1995","10382","McKenzie, I.F.C.","190",,,,,,,"Mabs","1249","Protein Expression","37302","University of Oxford","2145","Horizon 2020 Framework Programme","1473","Portugal","1758",,,"Slovenian","28"
,,"1994","11105","Peyrin-Biroulet, L.","190",,,,,,,"Cancer Immunology Immunotherapy","1231","Support, Non-U.S. Gov't","36210","Icahn School of Medicine at Mount Sinai","2123","GlaxoSmithKline","1455","Ireland","1722",,,"Bosnian","11"
,,"1993","10891","Springer, T.A.","189",,,,,,,"Leukemia And Lymphoma","1223","Major Clinical Study","35962","The University of Tokyo","2118","AbbVie","1379","Thailand","1681",,,"Arabic","8"
,,"1992","10439","Sachs, D.H.","187",,,,,,,"Annals Of The Rheumatic Diseases","1220","Animal Model","33835","AP-HP Assistance Publique - Hopitaux de Paris","2107","Sanofi","1346","Argentina","1675",,,"Azerbaijani","4"
,,"1991","10404","Bach, J.F.","186",,,,,,,"Journal Of Clinical Microbiology","1200","Pathology","32719","Merck &amp; Co., Inc.","2093","Genentech","1307","Mexico","1635",,,"catalan","4"
,,"1990","10244","Anderson, K.C.","183",,,,,,,"Journal Of General Virology","1177","Animal Tissue","31272","Scripps Research Institute","2092","U.S. Public Health Service","1237","Singapore","1625",,,"Estonian","3"
,,"1989","9577","Boerman, O.C.","183",,,,,,,"Scientific Reports","1165","Clinical Trial","30529","UCSF School of Medicine","2065","Wellcome Trust","1217","New Zealand","1399",,,"Lithuanian","3"
,,"1988","8807","Diamond, M.S.","183",,,,,,,"American Journal Of Pathology","1153","Enzyme Linked Immunosorbent Assay","30490","Duke University Medical Center","2056","Seventh Framework Programme","1210","Hong Kong","1250",,,"Icelandic","2"
,,"1987","8304","Takeuchi, T.","183",,,,,,,"Journal Of Clinical Investigation","1127","Antineoplastic Agent","28924","National Institute of Allergy and Infectious Diseases NIAID","2054","National Center for Research Resources","1179","Egypt","1233",,,"Malay","1"
,,"1986","7451","Scott, A.M.","182",,,,,,,"Journal Of Cell Biology","1084","Drug Safety","28879","Ministry of Education of the People's Republic of China","1960","National Health and Medical Research Council","1127","South Africa","1215",,,"Undefined","7"
,,"1985","6973","Brechbiel, M.W.","180",,,,,,,"British Journal Of Dermatology","1071","Genetics","27509","Leids Universitair Medisch Centrum","1886","U.S. Department of Defense","1114","Saudi Arabia","1113",,,,
,,"1984","5269","Zolla-Pazner, S.","180",,,,,,,"Lancet","1040","Flow Cytometry","27441","University College London","1870","Japan Agency for Medical Research and Development","1049","Cuba","794",,,,
,,"1983","3721","Ciardiello, F.","178",,,,,,,"Scandinavian Journal Of Immunology","1017","Case Report","27312","University of Melbourne","1850","Associazione Italiana per la Ricerca sul Cancro","1043","Romania","721",,,,
,,"1982","2365","Emery, P.","175",,,,,,,"Immunology Letters","1000","T Lymphocyte","25715","Cancer Research UK","1836","Government of Canada","999","Malaysia","712",,,,
,,"1981","1186","Rathore, A.S.","175",,,,,,,"Expert Opinion On Biological Therapy","987","Monoclonal Antibodies","24459","Cleveland Clinic Foundation","1828","National Research Foundation of Korea","991","Chile","690",,,,
,,"1980","437","Malavasi, F.","174",,,,,,,"Nature","985","Immunotherapy","23438","Kyoto University","1823","Boehringer Ingelheim","958","Croatia","669",,,,
,,"1979","123","Reinherz, E.L.","174",,,,,,,"Journal Of Nuclear Medicine","977","Immunoglobulin G","22976","Pfizer Inc.","1810","Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung","936","Slovakia","657",,,,
,,"1978","26","Beck, A.","173",,,,,,,"Biochemistry","973","In Vitro Study","22786","Università degli Studi di Milano","1799","Johnson and Johnson","916","Ukraine","613",,,,
,,"1977","8","Bigner, D.D.","173",,,,,,,"Annals Of Oncology","947","Drug Effect","21248","Sapienza Università di Roma","1783","National Center for Advancing Translational Sciences","904","Colombia","528",,,,
,,"1976","7","Davis, W.C.","172",,,,,,,"Veterinary Immunology And Immunopathology","908","Rituximab","20844","Amsterdam UMC - University of Amsterdam","1760","Ministry of Health, Labour and Welfare","895","Slovenia","518",,,,
,,"1975","14","Rutgeerts, P.","172",,,,,,,"Methods In Molecular Biology","903","Rat","20736","Amgen Incorporated","1748","Auris Health","861","Bulgaria","500",,,,
,,"1974","10","Dimopoulos, M.A.","171",,,,,,,"Investigative Ophthalmology And Visual Science","888","Chemistry","20379","Karolinska Universitetssjukhuset","1738","Institut National de la Santé et de la Recherche Médicale","848","Pakistan","490",,,,
,,"1973","8","Moretta, A.","171",,,,,,,"Journal Of Infectious Diseases","873","Cell Culture","20148","UT Southwestern Medical Center","1720","European Regional Development Fund","831","Serbia","467",,,,
,,"1971","1","Burmester, G.R.","168",,,,,,,"Advances In Experimental Medicine And Biology","850","Follow Up","19625","Fred Hutchinson Cancer Center","1716","Ministerio de Economía y Competitividad","814","Indonesia","392",,,,
,,"1970","1","Mascola, J.R.","168",,,,,,,"Journal Of Rheumatology","830","Signal Transduction","19548","University of Pennsylvania Perelman School of Medicine","1710","F. Hoffmann-La Roche","799","Kenya","376",,,,
,,"1955","1","Neri, D.","167",,,,,,,"FEBS Letters","826","Epitope","19417","University of Texas Health Science Center at Houston","1693","Gilead Sciences","796","Lebanon","325",,,,
,,"1954","1","Stein, H.","167",,,,,,,"Lancet Oncology","824","Procedures","19315","Medizinische Universität Wien","1691","Canadian Institutes of Health Research","795","United Arab Emirates","275",,,,
,,"1946","1","Steplewski, Z.","167",,,,,,,"Journal Of Investigative Dermatology","823","Amino Acid Sequence","18978","The University of Chicago","1681","American Cancer Society","793","Tunisia","254",,,,
,,"1936","1","Miyasaka, M.","165",,,,,,,"Analytical Chemistry","816","Treatment Response","18794","Beth Israel Deaconess Medical Center","1676","Conselho Nacional de Desenvolvimento Científico e Tecnológico","778","Venezuela","239",,,,
,,,,"Crowe, J.E.","163",,,,,,,"European Journal Of Cancer","805","Comparative Study","18699","The University of North Carolina at Chapel Hill","1653","Department of Health and Aged Care, Australian Government","778","Peru","222",,,,
,,,,"Mason, D.Y.","163",,,,,,,"Clinical Chemistry","794","Mice, Inbred BALB C","18690","KU Leuven","1649","Bundesministerium für Bildung und Forschung","757","Bangladesh","213",,,,
,,,,"Tanaka, H.","162",,,,,,,"Cancers","788","Support, U.S. Gov't, P.H.S.","18504","Stanford University","1637","National Institute of Dental and Craniofacial Research","738","Iraq","209",,,,
,,,,"Levy, R.","161",,,,,,,"Vaccine","778","Antineoplastic Agents","18401","Baylor College of Medicine","1634","Celgene","736","Nigeria","197",,,,
,,,,"Montefiori, D.C.","161",,,,,,,"Annals Of The New York Academy Of Sciences","777","Antibody Specificity","18321","Universität Heidelberg","1631","U.S. Department of Energy","735","Lithuania","187",,,,
,,,,"Baselga, J.","160",,,,,,,"Journal Of Virological Methods","777","Gene Expression","18261","Imperial College London","1617","Janssen Pharmaceuticals","715","Jordan","180",,,,
,,,,"Hale, G.","160",,,,,,,"Journal Of Histochemistry And Cytochemistry","766","Cancer Immunotherapy","17624","Institut Pasteur, Paris","1610","Instituto de Salud Carlos III","703","Philippines","179",,,,
,,,,"Wilson, I.A.","160",,,,,,,"Arthritis And Rheumatism","755","Cell Line","17558","Emory University School of Medicine","1605","European Research Council","686","Morocco","175",,,,
,,,,"Wolchok, J.D.","160",,,,,,,"Brain Research","753","T-Lymphocytes","17417","Radboud University Medical Center","1603","Biotechnology and Biological Sciences Research Council","663","Viet Nam","175",,,,
,,,,"Baldwin, R.W.","158",,,,,,,"International Immunology","748","Rats","17310","Eli Lilly and Company","1578","Takeda Pharmaceutical Company","657","Estonia","172",,,,
,,,,"Hallek, M.","158",,,,,,,"Biochemical Journal","745","Animalia","17177","Northwestern University Feinberg School of Medicine","1569","Merck Sharp and Dohme","648","Qatar","170",,,,
,,,,"Ledbetter, J.A.","158",,,,,,,"Analytical Biochemistry","738","Epitopes","16982","Chinese Academy of Sciences","1565","Ministry of Education of the People's Republic of China","646","Russia","169",,,,
,,,,"Colombel, J.F.","156",,,,,,,"Science","737","Cell Proliferation","16194","German Cancer Research Center","1548","Meso Scale Diagnostics","629","Kuwait","165",,,,
,,,,"Reich, K.","156",,,,,,,"Journal Of The American Academy Of Dermatology","735","Prognosis","15872","Johns Hopkins University","1534","Bill and Melinda Gates Foundation","615","Uruguay","155",,,,
,,,,"Smyth, M.J.","156",,,,,,,"Haematologica","726","Cyclophosphamide","15708","University of Washington School of Medicine","1525","National Institute for Health and Care Research","602","Belarus","150",,,,
,,,,"Melero, I.","155",,,,,,,"Thrombosis And Haemostasis","709","Adolescent","15693","Københavns Universitet","1488","Bayer","566","Georgia","135",,,,
,,,,"Robak, T.","155",,,,,,,"Journal Of Allergy And Clinical Immunology","693","Cancer Survival","15662","Università degli Studi di Torino","1479","National Institute of Environmental Health Sciences","559","Puerto Rico","135",,,,
,,,,"Gatter, K.C.","154",,,,,,,"Biotechnology And Bioengineering","681","Enzyme-Linked Immunosorbent Assay","15652","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","1474","U.S. Department of Veterans Affairs","549","Cyprus","129",,,,
,,,,"Virtanen, I.","154",,,,,,,"Journal Of Pharmaceutical Sciences","681","Overall Survival","15444","University of Wisconsin-Madison","1464","Centre National de la Recherche Scientifique","544","Luxembourg","118",,,,
,,,,"Blauvelt, A.","153",,,,,,,"Journal Of Chromatography A","680","Antineoplastic Combined Chemotherapy Protocols","15369","The University of British Columbia","1460","Ministry of Health and Welfare","544","Latvia","115",,,,
,,,,"Moreau, P.","153",,,,,,,"American Journal Of Clinical Pathology","677","Immune Response","15162","The University of Osaka","1454","Natural Sciences and Engineering Research Council of Canada","543","Iceland","111",,,,
,,,,"Morimoto, C.","153",,,,,,,"Journal Of The National Cancer Institute","675","B Lymphocyte","14913","Howard Hughes Medical Institute","1449","Vetenskapsrådet","541","Ghana","106",,,,
,,,,"Kobayashi, H.","152",,,,,,,"Clinical And Experimental Rheumatology","673","Bevacizumab","14558","University of Pittsburgh School of Medicine","1442","Ministero della Salute","535","Costa Rica","97",,,,
,,,,"Gottlieb, A.B.","151",,,,,,,"Leukemia","672","Drug Withdrawal","14466","The University of Sydney","1439","Agence Nationale de la Recherche","527","Germany (Democratic Republic, DDR)","97",,,,
,,,,"Colcher, D.","150",,,,,,,"Archives Of Virology","662","Molecular Sequence Data","14344","University of Cambridge","1435","Fundamental Research Funds for the Central Universities","512","Macao","94",,,,
,,,,"Hartung, H.P.","150",,,,,,,"Journal Of Clinical Pathology","661","Methotrexate","14236","Institut de Cancerologie Gustave Roussy","1434","American Heart Association","493","Uganda","83",,,,
,,,,"Song, S.","150",,,,,,,"Experimental Cell Research","659","Methodology","14002","University of Minnesota Twin Cities","1434","Regeneron Pharmaceuticals","491","Czechoslovakia","74",,,,
,,,,"Ascierto, P.A.","146",,,,,,,"Human Pathology","657","Antibody","13941","Albert Einstein College of Medicine","1432","Medicinska Forskningsrådet","487","Oman","74",,,,
,,,,"Natali, P.G.","146",,,,,,,"Journal Of Leukocyte Biology","656","Infliximab","13881","Novartis International AG","1411","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior","484","Ecuador","72",,,,
,,,,"Schachner, M.","146",,,,,,,"Inflammatory Bowel Diseases","652","Blood","13790","University of Michigan, Ann Arbor","1406","China Postdoctoral Science Foundation","483","Ethiopia","72",,,,
,,,,"Shoenfeld, Y.","146",,,,,,,"Nature Communications","650","Cells, Cultured","13572","University of Michigan Medical School","1405","Merck KGaA","479","Sri Lanka","71",,,,
,,,,"Dimitrov, D.S.","145",,,,,,,"Histopathology","648","Cytology","13436","Columbia University","1387","Cancer Research UK","478","Yugoslavia","71",,,,
,,,,"Feagan, B.G.","145",,,,,,,"Journal For Immunotherapy Of Cancer","644","Disease Severity","13422","Universiteit van Amsterdam","1373","Medical Research Council Canada","478","Türkiye","70",,,,
,,,,"Tsuruo, T.","145",,,,,,,"Human Immunology","640","Aged, 80 And Over","13389","Université Paris-Saclay","1370","Science and Technology Commission of Shanghai Municipality","473","Bosnia and Herzegovina","66",,,,
,,,,"Engert, A.","144",,,,,,,"FASEB Journal","638","Child","13340","Emory University","1365","Fundação para a Ciência e a Tecnologia","453","Nepal","64",,,,
,,,,"Kishimoto, T.","144",,,,,,,"Journal Of Neuroimmunology","636","Breast Cancer","13323","UT Southwestern Medical School","1342","Fundação de Amparo à Pesquisa do Estado de São Paulo","452","Kazakhstan","59",,,,
