Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")) AND DOCTYPE(re))"


Number of results : 49758

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","17950","2025","855","Robak, T.","71","Medicine","37635","Review","49758","final","49659","Expert Opinion On Biological Therapy","642","Review","45651","Harvard Medical School","924","National Institutes of Health","3265","United States","18567","Journal","49206","English","44998"
"Gold","8095","2024","2236","Danese, S.","70","Biochemistry, Genetics and Molecular Biology","15014",,,"aip","99","International Journal Of Molecular Sciences","603","Human","45238","Inserm","816","U.S. Department of Health and Human Services","2323","Italy","4556","Book Series","442","Japanese","1067"
"Hybrid Gold","2371","2023","2190","Dimopoulos, M.A.","68","Pharmacology, Toxicology and Pharmaceutics","9831",,,,,"Frontiers In Immunology","595","Monoclonal Antibody","33201","The University of Texas MD Anderson Cancer Center","779","National Cancer Institute","1979","United Kingdom","4326","Trade Journal","71","German","875"
"Bronze","4129","2022","2370","Peyrin-Biroulet, L.","61","Immunology and Microbiology","7331",,,,,"Cancers","455","Humans","33073","National Institutes of Health NIH","552","National Natural Science Foundation of China","1154","Germany","3522","Conference Proceeding","1","French","765"
"Green","12860","2021","2786","Ciardiello, F.","56","Chemistry","1713",,,,,"Expert Opinion On Investigational Drugs","350","Nonhuman","18300","Memorial Sloan-Kettering Cancer Center","541","Ministry of Science and Technology of the People's Republic of China","877","China","3196","Undefined","38","Chinese","522"
,,"2020","2592","Goldenberg, D.M.","51","Neuroscience","1421",,,,,"Nippon Rinsho Japanese Journal Of Clinical Medicine","332","Priority Journal","16129","Mayo Clinic","506","National Institute of Allergy and Infectious Diseases","848","France","2707",,,"Spanish","365"
,,"2019","2025","Casadevall, A.","46","Chemical Engineering","1409",,,,,"Immunotherapy","306","Antibodies, Monoclonal","15699","Massachusetts General Hospital","409","European Commission","621","Japan","2074",,,"Russian","293"
,,"2018","1974","Hartung, H.P.","46","Computer Science","653",,,,,"Critical Reviews In Oncology Hematology","289","Unclassified Drug","13447","Dana-Farber Cancer Institute","405","Pfizer","425","Canada","1746",,,"Polish","261"
,,"2017","1901","Anderson, K.C.","45","Engineering","462",,,,,"Drugs","278","Drug Efficacy","11327","National Cancer Institute NCI","386","Novartis","398","Spain","1653",,,"Italian","172"
,,"2016","1819","Sandborn, W.J.","45","Nursing","443",,,,,"Current Pharmaceutical Design","273","Animals","11196","Brigham and Women's Hospital","376","National Heart, Lung, and Blood Institute","376","Netherlands","1426",,,"Czech","142"
