Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")) AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 1531

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","436","2025","29","Shokri, F.","84","Medicine","875","Article","1531","final","1528","Hybridoma","36","Article","1282","Tehran University of Medical Sciences","387","Tehran University of Medical Sciences and Health Services","84","Iran","1531","Journal","1530","English","1470"
"Gold","251","2024","66","Jeddi-Tehrani, M.","73","Biochemistry, Genetics and Molecular Biology","568",,,"aip","3","Human Antibodies","31","Human","992","Shahid Beheshti University of Medical Sciences","210","Iran National Science Foundation","47","United States","115","Book Series","1","Persian","57"
"Hybrid Gold","43","2023","92","Amiri, M.M.","37","Immunology and Microbiology","402",,,,,"Avicenna Journal Of Medical Biotechnology","27","Monoclonal Antibody","907","Pasteur Institute of Iran","168","Shahid Beheshti University of Medical Sciences","44","United Kingdom","46",,,"Arabic","6"
"Bronze","70","2022","108","Bayat, A.A.","36","Pharmacology, Toxicology and Pharmaceutics","287",,,,,"Iranian Journal Of Basic Medical Sciences","25","Controlled Study","776","Tarbiat Modares University","162","Tabriz University of Medical Sciences","33","Canada","44",,,"French","1"
"Green","278","2021","120","Rasaee, M.J.","35","Chemistry","128",,,,,"Iranian Biomedical Journal","24","Humans","725","Tabriz University of Medical Sciences","135","National Institute for Medical Research Development","32","Sweden","38",,,"Portuguese","1"
,,"2020","102","Rabbani, H.","34","Chemical Engineering","122",,,,,"Monoclonal Antibodies In Immunodiagnosis And Immunotherapy","24","Nonhuman","587","Iranian Academic Center for Education, Culture and Research","130","Avicenna Research Institute","31","Germany","36",,,"Turkish","1"
,,"2019","105","Zarnani, A.H.","33","Engineering","87",,,,,"Iranian Journal Of Immunology","23","Female","573","Iran University of Medical Sciences","108","Mashhad University of Medical Sciences","31","Australia","32",,,,
,,"2018","85","Baradaran, B.","32","Agricultural and Biological Sciences","52",,,,,"Iranian Journal Of Allergy Asthma And Immunology","20","Antibodies, Monoclonal","417","Avicenna Research Institute","106","Pasteur Institute of Iran","31","Italy","22",,,,
,,"2017","88","Behdani, M.","28","Materials Science","38",,,,,"Archives Of Iranian Medicine","15","Unclassified Drug","416","Isfahan University of Medical Sciences","101","Shiraz University of Medical Sciences","30","France","18",,,,
,,"2016","76","Khoshnoodi, J.","28","Neuroscience","38",,,,,"International Immunopharmacology","15","Priority Journal","392","University of Tehran","93","Isfahan University of Medical Sciences","20","Turkey","14",,,,
,,"2015","77","Majidi, J.","28","Veterinary","32",,,,,"Iranian Journal Of Pharmaceutical Research","15","Enzyme Linked Immunosorbent Assay","373","Shiraz University of Medical Sciences","91","Iran University of Medical Sciences","19","China","13",,,,
,,"2014","68","Golsaz-Shirazi, F.","27","Multidisciplinary","27",,,,,"Tehran University Medical Journal","15","Male","371","Mashhad University of Medical Sciences","78","Tarbiat Modares University","19","Switzerland","13",,,,
,,"2013","72","Paknejad, M.","27","Physics and Astronomy","27",,,,,"Advanced Pharmaceutical Bulletin","14","Animals","365","Islamic Azad University","77","National Institutes of Health","17","Austria","10",,,,
,,"2012","71","Omidfar, K.","25","Environmental Science","24",,,,,"Asian Pacific Journal Of Cancer Prevention","14","Adult","352","School of Medicine","72","U.S. Department of Health and Human Services","16","Denmark","9",,,,
,,"2011","72","Abdolalizadeh, J.","21","Health Professions","17",,,,,"Plos One","14","Human Cell","347","SBUMS School of Medicine","70","Academic Center for Education, Culture and Research","11","India","9",,,,
,,"2010","59","Ghods, R.","21","Computer Science","10",,,,,"Biosensors And Bioelectronics","13","Mouse","322","School of Advanced Technologies in Medicine","55","European Commission","10","Netherlands","9",,,,
,,"2009","46","Habibi-Anbouhi, M.","20","Dentistry","10",,,,,"Journal Of Isfahan Medical School","13","Animal Experiment","299","School of Medicine, Isfahan UMS","46","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","10","Japan","8",,,,
,,"2008","36","Mahboudi, F.","20","Psychology","9",,,,,"Tumor Biology","13","Protein Expression","275","School of Pharmacy","46","University of Tehran","10","Malaysia","7",,,,
,,"2007","40","Rahbarizadeh, F.","20","Energy","6",,,,,"Protein Expression And Purification","12","Animal","272","School of Public Health","46","Ahvaz Jundishapur University of Medical Sciences","9","Spain","7",,,,
,,"2006","32","Rahimpour, A.","20","Nursing","4",,,,,"Retina","12","Immunology","270","School of Medicine","39","Kermanshah University of Medical Sciences","9","Belgium","6",,,,
,,"2005","23","Rajabibazl, M.","19","Mathematics","3",,,,,"Acta Medica Iranica","11","Metabolism","266","Ahvaz Jundishapur University of Medical Sciences","39","National Cancer Institute","8","Kuwait","6",,,,
,,"2004","6","Shokrgozar, M.A.","19","Economics, Econometrics and Finance","1",,,,,"Iranian Journal Of Biotechnology","10","Animal Cell","246","Baqiyatallah University of Medical Sciences","37","UK Research and Innovation","8","Taiwan","6",,,,
,,"2003","19","Yousefi, M.","19","Social Sciences","1",,,,,"Molecular Biology Reports","10","Flow Cytometry","224","Islamic Azad University, Science and Research Branch","36","Ministry of Science Research and Technology","7","Egypt","5",,,,
,,"2002","8","Kazemi-Lomedasht, F.","18",,,,,,,"Iranian Journal Of Pathology","9","Mice","209","Drug Applied Research Center, Tabriz University of Medical Sciences","36","Biotechnology Research Center, Tabriz University of Medical Sciences","6","Lebanon","5",,,,
,,"2001","4","Omidi, Y.","18",,,,,,,"Scientific Reports","9","Western Blotting","207","School of Medicine IUMS","35","Shahid Chamran University of Ahvaz","6","Russian Federation","5",,,,
,,"2000","9","Kazemi, B.","17",,,,,,,"Cell Journal","8","Genetics","200","Endocrinology and Metabolism Research Institute TUMS","35","Zahedan University of Medical Sciences","6","Czech Republic","4",,,,
,,"1996","2","Babaei, M.H.","16",,,,,,,"International Journal Of Peptide Research And Therapeutics","8","Chemistry","199","Razi Vaccine &amp; Serum Research Institute, Iran","35","Alborz University of Medical Sciences","5","Iraq","4",,,,
,,"1995","3","Bahadori, T.","16",,,,,,,"Journal Of Cellular Biochemistry","8","Middle Aged","197","Kermanshah University of Medical Sciences","31","Baqiyatallah University of Medical Sciences","5","Saudi Arabia","4",,,,
,,"1994","4","Abolhassani, M.","15",,,,,,,"Microchimica Acta","8","Immunohistochemistry","166","Mazandaran University of Medical Sciences","31","Government of Canada","5","Singapore","4",,,,
,,"1993","4","Ahmadieh, H.","15",,,,,,,"Biotechnology And Applied Biochemistry","7","Animal Model","160","Nuclear Science &amp; Technology Research Institute, Tehran","31","Institut Pasteur","5","South Korea","4",,,,
,,"1991","2","Farajnia, S.","15",,,,,,,"Graefe S Archive For Clinical And Experimental Ophthalmology","7","Clinical Article","159","National Institute for Genetic Engineering and Biotechnology Iran","30","Islamic Azad University","5","Thailand","4",,,,
,,"1987","2","Mahmoudi, A.R.","15",,,,,,,"International Journal Of Cancer Management","7","In Vitro Study","159","Shariati Hospital","29","Mazandaran University of Medical Sciences","5","Tunisia","4",,,,
,,"1973","1","Rezaei, N.","15",,,,,,,"Journal Of Mazandaran University Of Medical Sciences","7","Monoclonal Antibodies","152","Shahid Sadoughi University of Medical Sciences","28","National Natural Science Foundation of China","5","Argentina","3",,,,
,,,,"Davami, F.","14",,,,,,,"Koomesh","7","Cell Line, Tumor","150","Faculty of Medicine","26","Razi Vaccine and Serum Research Institute","5","Hungary","3",,,,
,,,,"Ghaderi, A.","14",,,,,,,"Applied Biochemistry And Biotechnology","6","Aged","148","Karolinska Institutet","25","Drug Applied Research Center, Tabriz University of Medical Sciences","4","New Zealand","3",,,,
,,,,"Jalilian, A.R.","14",,,,,,,"Archives Of Razi Institute","6","Procedures","146","Alborz University of Medical Sciences","25","Gastrointestinal and Liver Diseases Research Center","4","Norway","3",,,,
,,,,"Mobini, M.","13",,,,,,,"Biologicals","6","Human Tissue","143","Imam Khomeini Hospital","24","Guilan University of Medical Sciences","4","Portugal","3",,,,
,,,,"Shabani, M.","13",,,,,,,"Cornea","6","Pathology","141","Kerman University of Medical Sciences","24","Hamadan University of Medical Sciences","4","Türkiye","3",,,,
,,,,"Soheilian, M.","13",,,,,,,"Daru Journal Of Pharmaceutical Sciences","6","Polyacrylamide Gel Electrophoresis","137","Semnan University of Medical Sciences and Health Services","24","Horizon 2020 Framework Programme","4","Brazil","2",,,,
,,,,"Aghebati-Maleki, L.","12",,,,,,,"European Journal Of Ophthalmology","6","Major Clinical Study","134","Research Center for Pharmaceutical Nanotechnology","24","Iran Nanotechnology Initiative Council","4","Colombia","2",,,,
,,,,"Jaafari, M.R.","12",,,,,,,"Hybridoma And Hybridomics","6","Antibody Production","132","University of Tabriz","23","Iran University of Science and Technology","4","Croatia","2",,,,
,,,,"Moazzeni, S.M.","12",,,,,,,"International Journal Of Biological Macromolecules","6","Cell Proliferation","129","Karolinska Universitetssjukhuset","23","Kashan University of Medical Sciences","4","Cyprus","2",,,,
,,,,"Ramezani, A.","12",,,,,,,"International Journal Of Nanomedicine","6","Tumor Cell Line","128","Zanjan University of Medical Sciences ZUMS","22","Ministry of Health and Medical Education","4","Ireland","2",,,,
,,,,"Shahbazi-Gahrouei, D.","12",,,,,,,"Journal Of Cancer Research And Therapeutics","6","Animal Tissue","121","University of Isfahan","22","Ministry of Science and Technology of the People's Republic of China","4","Jordan","2",,,,
,,,,"Amani, J.","11",,,,,,,"Journal Of Drug Delivery Science And Technology","6","Escherichia Coli","121","Biotechnology Research Center,Tabriz","22","National Institute for Genetic Engineering and Biotechnology","4","Oman","2",,,,
,,,,"Kazemi, T.","11",,,,,,,"Journal Of Immunoassay And Immunochemistry","6","Gene Expression","119","Royan Institute","20","Zanjan University of Medical Sciences","4","Pakistan","2",,,,
