Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")) AND AFFILCOUNTRY(Iran))"


Number of results : 2328

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","731","2025","66","Shokri, F.","87","Medicine","1357","Article","1531","final","2322","International Immunopharmacology","52","Human","1671","Tehran University of Medical Sciences","622","Tehran University of Medical Sciences and Health Services","93","Iran","2328","Journal","2263","English","2259"
"Gold","411","2024","135","Jeddi-Tehrani, M.","79","Biochemistry, Genetics and Molecular Biology","865","Review","628","aip","6","Hybridoma","42","Monoclonal Antibody","1442","Shahid Beheshti University of Medical Sciences","346","Tabriz University of Medical Sciences","74","United States","234","Book","49","Persian","64"
"Hybrid Gold","69","2023","185","Rezaei, N.","79","Immunology and Microbiology","598","Book Chapter","55",,,"Avicenna Journal Of Medical Biotechnology","35","Article","1290","Tabriz University of Medical Sciences","275","Shahid Beheshti University of Medical Sciences","58","United Kingdom","79","Book Series","10","Arabic","7"
"Bronze","113","2022","230","Baradaran, B.","61","Pharmacology, Toxicology and Pharmaceutics","525","Letter","47",,,"Human Antibodies","34","Humans","1246","Tarbiat Modares University","208","Iran National Science Foundation","54","Canada","68","Conference Proceeding","6","French","2"
"Green","482","2021","229","Sahebkar, A.","45","Chemical Engineering","158","Editorial","19",,,"Monoclonal Antibodies In Immunodiagnosis And Immunotherapy","29","Nonhuman","959","Pasteur Institute of Iran","204","Mashhad University of Medical Sciences","46","Germany","63",,,"Portuguese","1"
,,"2020","199","Amiri, M.M.","39","Chemistry","151","Conference Paper","14",,,"Iranian Biomedical Journal","27","Controlled Study","798","Iran University of Medical Sciences","193","National Institute for Medical Research Development","40","Australia","59",,,"Turkish","1"
,,"2019","150","Rasaee, M.J.","39","Engineering","112","Note","13",,,"Biomedicine And Pharmacotherapy","26","Female","648","School of Medicine","176","Pasteur Institute of Iran","36","Sweden","58",,,,
,,"2018","128","Bayat, A.A.","37","Neuroscience","69","Short Survey","13",,,"Journal Of Cellular Physiology","26","Unclassified Drug","620","Mashhad University of Medical Sciences","169","Shiraz University of Medical Sciences","35","Italy","56",,,,
,,"2017","121","Zarnani, A.H.","36","Agricultural and Biological Sciences","61","Erratum","4",,,"Iranian Journal Of Basic Medical Sciences","25","Priority Journal","595","Iranian Academic Center for Education, Culture and Research","168","Avicenna Research Institute","32","India","33",,,,
,,"2016","107","Rabbani, H.","35","Materials Science","45","Book","2",,,"Iranian Journal Of Immunology","24","Antibodies, Monoclonal","581","Shiraz University of Medical Sciences","139","Iran University of Medical Sciences","29","China","29",,,,
