Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""Monoclonal Antibod*"") OR TITLE-ABS-KEY(""Antibodies, Monoclonal"")) AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 628

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","243","2025","33","Rezaei, N.","39","Medicine","373","Review","628","final","626","International Immunopharmacology","37","Human","582","Tehran University of Medical Sciences","171","Tabriz University of Medical Sciences","41","Iran","628","Journal","628","English","620"
"Gold","140","2024","60","Sahebkar, A.","31","Biochemistry, Genetics and Molecular Biology","259",,,"aip","2","Biomedicine And Pharmacotherapy","24","Review","580","Tabriz University of Medical Sciences","134","Mashhad University of Medical Sciences","15","United States","93",,,"Persian","7"
"Hybrid Gold","19","2023","79","Baradaran, B.","28","Pharmacology, Toxicology and Pharmaceutics","218",,,,,"Journal Of Cellular Physiology","21","Monoclonal Antibody","449","Shahid Beheshti University of Medical Sciences","112","Shahid Beheshti University of Medical Sciences","14","Italy","33",,,"Arabic","1"
"Bronze","26","2022","100","Aghebati-Maleki, L.","11","Immunology and Microbiology","142",,,,,"Life Sciences","14","Humans","448","Mashhad University of Medical Sciences","76","UK Research and Innovation","11","United Kingdom","29",,,,
"Green","175","2021","95","Jadidi-Niaragh, F.","10","Neuroscience","23",,,,,"Medical Oncology","13","Nonhuman","329","School of Medicine","75","Iran University of Medical Sciences","10","Canada","23",,,,
,,"2020","72","Azizi, G.","9","Chemistry","21",,,,,"Cancer Cell International","8","Immunotherapy","203","Iran University of Medical Sciences","70","U.S. Department of Health and Human Services","9","Australia","22",,,,
,,"2019","41","Farajnia, S.","9","Chemical Engineering","19",,,,,"Frontiers In Immunology","8","Unclassified Drug","186","Islamic Azad University","46","Iran National Science Foundation","7","Iraq","22",,,,
,,"2018","33","Mortezaee, K.","9","Engineering","12",,,,,"Frontiers In Oncology","8","Animals","175","School of Medicine IUMS","41","National Institute for Medical Research Development","7","India","21",,,,
,,"2017","28","Payandeh, Z.","9","Materials Science","6",,,,,"Immunotherapy","8","Animal","160","SBUMS School of Medicine","41","National Institutes of Health","7","Germany","20",,,,
,,"2016","28","Shomali, N.","9","Environmental Science","5",,,,,"Journal Of Drug Targeting","7","Immunology","157","Children's Medical Center TUMS","41","Tehran University of Medical Sciences and Health Services","7","Russian Federation","17",,,,
,,"2015","11","Yousefi, M.","9","Agricultural and Biological Sciences","4",,,,,"Pathology Research And Practice","7","Priority Journal","152","Research Center for Immunodeficiencies","39","Biotechnology Research Center, Tabriz University of Medical Sciences","6","Sweden","17",,,,
,,"2014","9","Baghbanzadeh, A.","8","Nursing","3",,,,,"Expert Opinion On Biological Therapy","6","Antibodies, Monoclonal","141","Tarbiat Modares University","36","Pasteur Institute of Iran","5","China","15",,,,
,,"2013","6","Majidpoor, J.","8","Computer Science","2",,,,,"Expert Review Of Clinical Immunology","6","Cancer Immunotherapy","139","Shiraz University of Medical Sciences","35","Shiraz University of Medical Sciences","5","Turkey","14",,,,
,,"2012","13","Ahmadi, M.","7","Health Professions","2",,,,,"Immunopharmacology And Immunotoxicology","6","Procedures","134","Immunology Research Center","35","Isfahan University of Medical Sciences","4","Saudi Arabia","13",,,,
,,"2011","3","Hemmat, N.","7","Multidisciplinary","2",,,,,"International Journal Of Biological Macromolecules","6","Neoplasm","117","Pasteur Institute of Iran","34","Royan Institute","4","Egypt","12",,,,
,,"2010","4","Hojjat-Farsangi, M.","7","Energy","1",,,,,"International Reviews Of Immunology","6","Metabolism","116","Isfahan University of Medical Sciences","31","University of Kurdistan","4","Switzerland","11",,,,
,,"2009","6","Kazemi, T.","7","Physics and Astronomy","1",,,,,"Pharmacological Research","6","Neoplasms","116","Faculty of Medicine","30","Ahvaz Jundishapur University of Medical Sciences","3","Poland","10",,,,
,,"2008","3","Keshavarz-Fathi, M.","7","Psychology","1",,,,,"Stem Cell Research And Therapy","6","Signal Transduction","111","Iranian Academic Center for Education, Culture and Research","28","Birjand University of Medical Sciences","3","Malaysia","9",,,,
,,"2007","3","Mirzaei, H.","7","Social Sciences","1",,,,,"Biomarker Research","5","Antineoplastic Agent","100","Drug Applied Research Center, Tabriz University of Medical Sciences","27","Canadian Institutes of Health Research","3","France","8",,,,
,,"2006","1","Mokhtarzadeh, A.","7","Veterinary","1",,,,,"Cancer Letters","5","Drug Efficacy","100","University of Tehran","22","Natural Sciences and Engineering Research Council of Canada","3","Pakistan","8",,,,
,,,,"Omidi, Y.","7",,,,,,,"Current Medicinal Chemistry","5","Tumor Microenvironment","92","School of Pharmacy","22","Research Center for Pharmaceutical Nanotechnology","3","Brazil","7",,,,
,,,,"Abdollahi, M.","6",,,,,,,"Current Pharmaceutical Design","5","Coronavirus Disease 2019","88","Kermanshah University of Medical Sciences","20","Urmia University of Medical Sciences","3","South Africa","7",,,,
,,,,"Asadzadeh, Z.","6",,,,,,,"Naunyn Schmiedeberg S Archives Of Pharmacology","5","COVID-19","86","Mazandaran University of Medical Sciences","20","Alborz University of Medical Sciences","2","Belgium","6",,,,
,,,,"Behdani, M.","6",,,,,,,"Critical Reviews In Oncology Hematology","4","Molecularly Targeted Therapy","85","School of Advanced Technologies in Medicine","20","Genentech","2","Nigeria","6",,,,
,,,,"Brunetti, O.","6",,,,,,,"Current Pharmaceutical Biotechnology","4","Systematic Review","84","Mashhad University of Medical Sciences, School of Medicine","19","Government of Canada","2","Thailand","6",,,,
,,,,"Daneshpazhooh, M.","6",,,,,,,"Expert Review Of Anticancer Therapy","4","Drug Therapy","77","Hamadan University of Medical Sciences","19","Hamadan University of Medical Sciences","2","Indonesia","5",,,,
,,,,"Derakhshani, A.","6",,,,,,,"IUBMB Life","4","Immune Response","77","Alborz University of Medical Sciences","19","Institute for Research in Biomedicine","2","Japan","4",,,,
,,,,"Hamblin, M.R.","6",,,,,,,"Microbial Pathogenesis","4","Genetics","75","Harvard Medical School","18","Kerman University of Medical Sciences","2","Mexico","4",,,,
,,,,"Kesharwani, P.","6",,,,,,,"Tumor Biology","4","Pathology","72","Zanjan University of Medical Sciences ZUMS","18","Kurdistan University Of Medical Sciences","2","South Korea","4",,,,
,,,,"Khalili, S.","6",,,,,,,"Cancer And Metastasis Reviews","3","Treatment Outcome","72","Kerman University of Medical Sciences","18","Mazandaran University of Medical Sciences","2","Spain","4",,,,
,,,,"Majidi, J.","6",,,,,,,"Cell Biochemistry And Function","3","Cancer Therapy","68","School of Public Health","18","Medical Research Council","2","United Arab Emirates","4",,,,
