Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural"")) AND DOCTYPE(ar))"


Number of results : 75673

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","37382","2025","1630","Moretta, L.","340","Medicine","54497","Article","75673","final","75591","Journal Of Immunology","3627","Article","63902","Inserm","1902","National Institutes of Health","9719","United States","25594","Journal","75234","English","71573"
"Gold","16587","2024","4968","Herberman, R.B.","308","Immunology and Microbiology","29478",,,"aip","82","Frontiers In Immunology","2685","Natural Killer Cell","63373","National Institutes of Health NIH","1630","U.S. Department of Health and Human Services","8055","China","13545","Book Series","368","Chinese","1712"
"Hybrid Gold","4168","2023","4192","Lanier, L.L.","274","Biochemistry, Genetics and Molecular Biology","26595",,,,,"Blood","1231","Human","54809","Harvard Medical School","1554","National Cancer Institute","5552","Japan","7165","Trade Journal","6","Russian","753"
"Bronze","10425","2022","4400","Moretta, A.","255","Pharmacology, Toxicology and Pharmaceutics","5971",,,,,"European Journal Of Immunology","1131","Controlled Study","40916","Karolinska Institutet","1196","National Natural Science Foundation of China","5442","Germany","6001","Book","2","Japanese","672"
"Green","27045","2021","4170","Smyth, M.J.","220","Neuroscience","2611",,,,,"Plos One","1026","Humans","35745","Ministry of Education of the People's Republic of China","911","Ministry of Science and Technology of the People's Republic of China","4257","United Kingdom","4468","Conference Proceeding","2","German","218"
,,"2020","2921","Tian, Z.","201","Multidisciplinary","2576",,,,,"Journal Of Experimental Medicine","855","Priority Journal","32937","National Cancer Institute NCI","797","National Institute of Allergy and Infectious Diseases","4092","Italy","4136","Undefined","61","Spanish","168"
,,"2019","2334","Miller, J.S.","196","Agricultural and Biological Sciences","1830",,,,,"Cancer Immunology Immunotherapy","800","Female","32405","CNRS Centre National de la Recherche Scientifique","791","European Commission","1833","France","3692",,,"French","156"
,,"2018","2019","Vivier, E.","196","Chemistry","1582",,,,,"Cellular Immunology","798","Killer Cells, Natural","31542","University of California, San Francisco","734","Ministry of Education, Culture, Sports, Science and Technology","1430","Canada","2857",,,"Polish","111"
,,"2017","2040","Ortaldo, J.R.","177","Chemical Engineering","1110",,,,,"Cancer Research","726","Nonhuman","29273","Stanford University School of Medicine","712","Japan Society for the Promotion of Science","1236","Australia","2247",,,"Italian","90"
,,"2016","2005","Mandelboim, O.","170","Engineering","836",,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","711","Male","27956","The University of Texas MD Anderson Cancer Center","683","Deutsche Forschungsgemeinschaft","1211","Netherlands","2097",,,"Korean","50"
