Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural"")))"


Number of results : 105312

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","52706","2025","2165","Moretta, L.","485","Medicine","76734","Article","75673","final","105187","Frontiers In Immunology","4873","Natural Killer Cell","89148","Inserm","2701","National Institutes of Health","12739","United States","35513","Journal","103088","English","99948"
"Gold","24721","2024","6892","Lanier, L.L.","355","Immunology and Microbiology","40070","Review","20221","aip","125","Journal Of Immunology","3723","Human","80737","Harvard Medical School","2155","U.S. Department of Health and Human Services","10132","China","17348","Book Series","1480","Chinese","1924"
"Hybrid Gold","5578","2023","6524","Moretta, A.","354","Biochemistry, Genetics and Molecular Biology","37266","Conference Paper","1847",,,"Blood","1561","Article","64382","National Institutes of Health NIH","2125","National Natural Science Foundation of China","7270","Japan","8563","Book","582","Japanese","959"
"Bronze","13917","2022","6889","Herberman, R.B.","346","Pharmacology, Toxicology and Pharmaceutics","8761","Letter","1798",,,"European Journal Of Immunology","1252","Humans","53573","Karolinska Institutet","1515","National Cancer Institute","6877","Germany","8136","Conference Proceeding","81","Russian","859"
"Green","38440","2021","6595","Smyth, M.J.","306","Neuroscience","3439","Note","1704",,,"Plos One","1033","Nonhuman","44099","Ministry of Education of the People's Republic of China","1183","Ministry of Science and Technology of the People's Republic of China","5619","United Kingdom","6493","Trade Journal","12","French","382"
,,"2020","4761","Vivier, E.","301","Multidisciplinary","2788","Editorial","1648",,,"Cancer Immunology Immunotherapy","922","Priority Journal","43109","CNRS Centre National de la Recherche Scientifique","1103","National Institute of Allergy and Infectious Diseases","5276","Italy","6408","Undefined","69","German","349"
,,"2019","3574","Tian, Z.","255","Chemistry","2273","Book Chapter","1104",,,"Journal Of Experimental Medicine","903","Controlled Study","42566","National Cancer Institute NCI","1012","European Commission","2607","France","5316",,,"Spanish","261"
,,"2018","3040","Miller, J.S.","251","Agricultural and Biological Sciences","2151","Short Survey","1063",,,"International Journal Of Molecular Sciences","889","Killer Cells, Natural","37966","The University of Texas MD Anderson Cancer Center","980","Ministry of Education, Culture, Sports, Science and Technology","1694","Canada","3874",,,"Polish","185"
,,"2017","3011","Caligiuri, M.A.","204","Chemical Engineering","1755","Erratum","191",,,"Frontiers In Oncology","881","Female","35519","University of California, San Francisco","974","Deutsche Forschungsgemeinschaft","1676","Australia","3271",,,"Italian","131"
,,"2016","2954","Mandelboim, O.","199","Computer Science","1159","Retracted","46",,,"Cancers","848","Male","29831","Stanford University School of Medicine","919","Japan Society for the Promotion of Science","1515","Netherlands","2850",,,"Czech","60"
