Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural"")) AND DOCTYPE(re))"


Number of results : 20221

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","11466","2025","382","Moretta, L.","98","Medicine","15141","Review","20221","final","20184","Frontiers In Immunology","1805","Review","19301","Inserm","502","National Institutes of Health","2376","United States","6632","Journal","19855","English","19267"
"Gold","6889","2024","1379","Moretta, A.","60","Immunology and Microbiology","7572",,,"aip","37","Cancers","495","Human","18636","Harvard Medical School","422","National Natural Science Foundation of China","1641","China","3205","Book Series","364","Japanese","206"
"Hybrid Gold","1074","2023","1787","Smyth, M.J.","60","Biochemistry, Genetics and Molecular Biology","7433",,,,,"International Journal Of Molecular Sciences","453","Natural Killer Cell","17905","National Institutes of Health NIH","324","U.S. Department of Health and Human Services","1627","Italy","1579","Undefined","2","Chinese","196"
"Bronze","1759","2022","1953","Vivier, E.","58","Pharmacology, Toxicology and Pharmaceutics","2310",,,,,"Frontiers In Oncology","363","Humans","13330","Ministry of Education of the People's Republic of China","235","Ministry of Science and Technology of the People's Republic of China","1225","United Kingdom","1392",,,"French","113"
"Green","9240","2021","1980","Lanier, L.L.","53","Chemistry","622",,,,,"Cells","320","Nonhuman","11246","CNRS Centre National de la Recherche Scientifique","210","National Cancer Institute","1045","Germany","1385",,,"Russian","106"
,,"2020","1368","Mingari, M.C.","52","Chemical Engineering","578",,,,,"Immunological Reviews","277","Animals","6858","The University of Texas MD Anderson Cancer Center","201","National Institute of Allergy and Infectious Diseases","907","France","990",,,"German","85"
,,"2019","910","Tian, Z.","42","Neuroscience","548",,,,,"Current Opinion In Immunology","215","T Lymphocyte","6362","Karolinska Institutet","191","European Commission","601","Japan","796",,,"Polish","71"
,,"2018","663","Zitvogel, L.","40","Computer Science","467",,,,,"Nature Reviews Immunology","193","Immune Response","6287","Università degli Studi di Genova","170","Deutsche Forschungsgemeinschaft","352","Australia","706",,,"Spanish","60"
,,"2017","618","Rezaei, N.","36","Nursing","199",,,,,"Viruses","144","Immunology","6010","Université Paris Cité","168","UK Research and Innovation","312","Canada","703",,,"Italian","25"
,,"2016","603","Bottino, C.","35","Agricultural and Biological Sciences","191",,,,,"Trends In Immunology","136","Priority Journal","5949","University of Melbourne","167","Associazione Italiana per la Ricerca sul Cancro","269","Iran","585",,,"Czech","18"
,,"2015","554","Kroemer, G.","35","Engineering","171",,,,,"Journal Of Leukocyte Biology","134","Dendritic Cell","5076","Brigham and Women's Hospital","164","Medical Research Council","242","India","574",,,"Portuguese","18"
