Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural"")) AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 503

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","173","2025","19","Rezaei, N.","19","Medicine","347","Article","503","final","501","Iranian Journal Of Allergy Asthma And Immunology","26","Article","447","Tehran University of Medical Sciences","148","Shiraz University of Medical Sciences","35","Iran","503","Journal","501","English","483"
"Gold","105","2024","52","Yousefi, M.","16","Immunology and Microbiology","175",,,"aip","2","Iranian Journal Of Immunology","23","Human","421","Shahid Beheshti University of Medical Sciences","76","Tehran University of Medical Sciences and Health Services","29","United States","44","Book Series","2","Persian","18"
"Hybrid Gold","16","2023","57","Ghaderi, A.","15","Biochemistry, Genetics and Molecular Biology","170",,,,,"International Immunopharmacology","14","Natural Killer Cell","406","Shiraz University of Medical Sciences","58","Tabriz University of Medical Sciences","20","Sweden","32",,,"Arabic","2"
"Bronze","22","2022","50","Shahsavar, F.","12","Pharmacology, Toxicology and Pharmaceutics","68",,,,,"Human Immunology","8","Humans","299","Iran University of Medical Sciences","58","National Institutes of Health","16","Germany","26",,,,
"Green","118","2021","49","Sheikhi, A.","12","Agricultural and Biological Sciences","16",,,,,"Journal Of Reproductive Immunology","7","Controlled Study","279","Tabriz University of Medical Sciences","54","U.S. Department of Health and Human Services","16","Canada","23",,,,
,,"2020","43","Abolhassani, H.","11","Multidisciplinary","13",,,,,"International Journal Of Biological Macromolecules","6","Female","251","Tarbiat Modares University","54","National Institute for Medical Research Development","14","United Kingdom","21",,,,
,,"2019","33","Casanova, J.L.","11","Engineering","11",,,,,"Molecular Biology Reports","6","Male","187","School of Medicine","43","Isfahan University of Medical Sciences","13","Australia","17",,,,
,,"2018","16","Chavoshzadeh, Z.","11","Chemical Engineering","9",,,,,"Scientific Reports","6","Flow Cytometry","184","Isfahan University of Medical Sciences","42","Iran National Science Foundation","12","France","14",,,,
,,"2017","24","Rezaei, A.","11","Computer Science","7",,,,,"Cell Journal","5","Adult","177","School of Medicine","34","European Commission","11","Italy","13",,,,
,,"2016","30","Esmaeil, N.","10","Neuroscience","7",,,,,"Frontiers In Immunology","5","Human Cell","176","Children's Medical Center TUMS","33","Shahid Beheshti University of Medical Sciences","11","China","12",,,,
