Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural"")) AND AFFILCOUNTRY(Iran))"


Number of results : 1138

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","466","2025","46","Rezaei, N.","60","Medicine","752","Review","585","final","1134","International Immunopharmacology","41","Human","1012","Tehran University of Medical Sciences","329","Tabriz University of Medical Sciences","57","Iran","1138","Journal","1120","English","1108"
"Gold","304","2024","132","Yousefi, M.","31","Biochemistry, Genetics and Molecular Biology","469","Article","503","aip","4","Frontiers In Immunology","38","Natural Killer Cell","967","Tabriz University of Medical Sciences","176","Shiraz University of Medical Sciences","41","United States","127","Book","9","Persian","28"
"Hybrid Gold","37","2023","167","Baradaran, B.","24","Immunology and Microbiology","374","Book Chapter","16",,,"Iranian Journal Of Allergy Asthma And Immunology","29","Humans","733","Shahid Beheshti University of Medical Sciences","175","Tehran University of Medical Sciences and Health Services","41","United Kingdom","59","Book Series","9","Arabic","2"
"Bronze","54","2022","159","Najafi, M.","24","Pharmacology, Toxicology and Pharmaceutics","206","Letter","15",,,"Journal Of Cellular Physiology","29","Review","569","Iran University of Medical Sciences","125","Shahid Beheshti University of Medical Sciences","25","Canada","53",,,,
"Green","331","2021","160","Mortezaee, K.","20","Agricultural and Biological Sciences","23","Editorial","7",,,"Iranian Journal Of Immunology","24","Article","448","School of Medicine","125","National Institute for Medical Research Development","21","Germany","50",,,,
,,"2020","107","Ghaderi, A.","19","Neuroscience","22","Short Survey","6",,,"Life Sciences","17","Nonhuman","436","Shiraz University of Medical Sciences","107","National Institutes of Health","21","Sweden","46",,,,
,,"2019","73","Aghebati-Maleki, L.","17","Engineering","19","Note","4",,,"Stem Cell Research And Therapy","17","Immunology","348","Tarbiat Modares University","103","U.S. Department of Health and Human Services","20","Italy","44",,,,
,,"2018","34","Abolhassani, H.","15","Chemical Engineering","16","Erratum","1",,,"Molecular Biology Reports","15","Female","314","Children's Medical Center TUMS","79","Iran National Science Foundation","17","Australia","41",,,,
,,"2017","44","Jadidi-Niaragh, F.","15","Multidisciplinary","14","Retracted","1",,,"Biomedicine And Pharmacotherapy","13","Immune Response","312","Isfahan University of Medical Sciences","78","Isfahan University of Medical Sciences","17","China","30",,,,
,,"2016","42","Sahebkar, A.","15","Veterinary","10",,,,,"Cancer Cell International","12","Controlled Study","295","Mashhad University of Medical Sciences","76","Mashhad University of Medical Sciences","15","India","27",,,,
,,"2015","35","Farhood, B.","14","Materials Science","9",,,,,"Frontiers In Oncology","12","Killer Cells, Natural","287","Research Center for Immunodeficiencies","67","European Commission","14","Iraq","27",,,,
,,"2014","21","Shahsavar, F.","14","Chemistry","8",,,,,"Human Immunology","11","Immunotherapy","274","Iranian Academic Center for Education, Culture and Research","63","Shiraz Institute for Cancer Research, Shiraz University of Medical Sciences","14","Turkey","24",,,,
,,"2013","23","Sheikhi, A.","14","Computer Science","7",,,,,"Journal Of Reproductive Immunology","11","Metabolism","272","School of Medicine","60","Government of Canada","13","Russian Federation","23",,,,
,,"2012","14","Ahmadi, M.","13","Environmental Science","7",,,,,"Cancers","10","T Lymphocyte","267","Faculty of Medicine","60","Iran University of Medical Sciences","13","France","21",,,,
,,"2011","21","Mahmoudi, M.","13","Nursing","7",,,,,"Stem Cell Reviews And Reports","10","Tumor Microenvironment","230","Immunology Research Center","59","Canadian Institutes of Health Research","12","Netherlands","14",,,,
,,"2010","11","Aghamohammadi, A.","12","Mathematics","6",,,,,"Immunology Letters","9","Regulatory T Lymphocyte","228","SBUMS School of Medicine","53","Mazandaran University of Medical Sciences","11","Poland","14",,,,
,,"2009","10","Azizi, G.","12","Psychology","6",,,,,"International Journal Of Biological Macromolecules","9","Animals","223","Kermanshah University of Medical Sciences","50","National Institute of Allergy and Infectious Diseases","11","Saudi Arabia","14",,,,
,,"2008","7","Baghbanzadeh, A.","12","Dentistry","3",,,,,"Tehran University Medical Journal","9","Gamma Interferon","221","Stem Cell Research Center","50","Tarbiat Modares University","11","Belgium","13",,,,
,,"2007","10","Casanova, J.L.","12","Economics, Econometrics and Finance","3",,,,,"Pathology Research And Practice","8","Human Cell","217","Pasteur Institute of Iran","49","Ahvaz Jundishapur University of Medical Sciences","10","Norway","11",,,,
,,"2006","8","Esmaeil, N.","12","Energy","2",,,,,"American Journal Of Reproductive Immunology","7","CD8+ T Lymphocyte","216","School of Medicine IUMS","49","UK Research and Innovation","10","Egypt","10",,,,
,,"2005","4","Hamidieh, A.A.","12","Social Sciences","2",,,,,"Biomarker Research","7","Unclassified Drug","216","School of Medicine, Isfahan UMS","49","Bundesministerium für Bildung und Forschung","8","South Korea","10",,,,
,,"2004","2","Rezaei, A.","12","Health Professions","1",,,,,"Cell Communication And Signaling","7","Genetics","211","School of Advanced Technologies in Medicine","44","Horizon 2020 Framework Programme","8","Indonesia","8",,,,
,,"2003","3","Ahmadvand, M.","11","Physics and Astronomy","1",,,,,"Cells","7","Animal","205","Ahvaz Jundishapur University of Medical Sciences","42","National Health and Medical Research Council","8","Japan","8",,,,
,,"2002","5","Chavoshzadeh, Z.","11",,,,,,,"Current Pharmaceutical Design","7","Male","205","Zanjan University of Medical Sciences ZUMS","39","Biotechnology Research Center, Tabriz University of Medical Sciences","7","Thailand","8",,,,
,,,,"Dolati, S.","11",,,,,,,"Cytokine","7","Priority Journal","204","University of Tehran","39","Drug Applied Research Center, Tabriz University of Medical Sciences","7","Austria","7",,,,
,,,,"Hassan, Z.M.","11",,,,,,,"International Reviews Of Immunology","7","Protein Expression","198","Mazandaran University of Medical Sciences","37","Kerman University of Medical Sciences","7","Qatar","7",,,,
,,,,"Parvaneh, N.","11",,,,,,,"Iranian Journal Of Basic Medical Sciences","7","Dendritic Cell","195","Kashan University of Medical Sciences","37","National Center for Advancing Translational Sciences","7","Spain","7",,,,
,,,,"Bashash, D.","10",,,,,,,"Medical Oncology","7","Flow Cytometry","194","Islamic Azad University","37","Pasteur Institute of Iran","7","Switzerland","7",,,,
,,,,"Ebrahimi, M.","10",,,,,,,"Cell Journal","6","Adult","192","Shiraz Institute for Cancer Research SUMS","37","Department of Health and Aged Care, Australian Government","6","Denmark","6",,,,
,,,,"Jafarzadeh, A.","10",,,,,,,"Clinical And Translational Oncology","6","Cancer Immunotherapy","192","Karolinska Institutet","36","Deutsche Forschungsgemeinschaft","6","Finland","6",,,,
,,,,"Mortaz, E.","10",,,,,,,"European Journal Of Pharmacology","6","Cytotoxicity","183","Royan Institute","36","Institut National de la Santé et de la Recherche Médicale","6","Pakistan","6",,,,
,,,,"Verdi, J.","10",,,,,,,"Expert Review Of Clinical Immunology","6","Cytokine","182","Alborz University of Medical Sciences","36","Ministry of Education","6","Brazil","5",,,,
