Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""NK therap*"") OR TITLE-ABS-KEY(""Natural Killer Cel*"") OR TITLE-ABS-KEY(""Killer Cells, Natural"")) AND AFFILCOUNTRY(Iran) AND DOCTYPE(re))"


Number of results : 585

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","272","2025","24","Rezaei, N.","36","Medicine","370","Review","585","final","583","Frontiers In Immunology","30","Review","568","Tehran University of Medical Sciences","163","Tabriz University of Medical Sciences","37","Iran","585","Journal","585","English","575"
"Gold","189","2024","72","Najafi, M.","23","Biochemistry, Genetics and Molecular Biology","280",,,"aip","2","International Immunopharmacology","27","Human","552","Tabriz University of Medical Sciences","121","Shahid Beheshti University of Medical Sciences","14","United States","72",,,"Persian","10"
"Hybrid Gold","15","2023","103","Baradaran, B.","22","Immunology and Microbiology","186",,,,,"Journal Of Cellular Physiology","25","Natural Killer Cell","526","Shahid Beheshti University of Medical Sciences","86","Tehran University of Medical Sciences and Health Services","12","United Kingdom","35",,,,
"Bronze","27","2022","103","Mortezaee, K.","19","Pharmacology, Toxicology and Pharmaceutics","129",,,,,"Life Sciences","16","Humans","405","School of Medicine","75","Government of Canada","9","Italy","30",,,,
"Green","200","2021","103","Yousefi, M.","15","Neuroscience","13",,,,,"Stem Cell Research And Therapy","15","Nonhuman","315","Iran University of Medical Sciences","61","Canadian Institutes of Health Research","7","Canada","28",,,,
,,"2020","60","Farhood, B.","13","Engineering","8",,,,,"Biomedicine And Pharmacotherapy","12","Immune Response","221","Tarbiat Modares University","47","National Institute for Medical Research Development","7","Iraq","23",,,,
,,"2019","38","Baghbanzadeh, A.","12","Agricultural and Biological Sciences","6",,,,,"Cancer Cell International","10","Immunotherapy","206","Immunology Research Center","47","Mashhad University of Medical Sciences","6","Australia","22",,,,
,,"2018","17","Sahebkar, A.","11","Chemical Engineering","6",,,,,"Cancers","9","T Lymphocyte","184","Mashhad University of Medical Sciences","46","Shiraz University of Medical Sciences","6","Germany","20",,,,
,,"2017","16","Jadidi-Niaragh, F.","9","Nursing","5",,,,,"Molecular Biology Reports","9","Immunology","183","Shiraz University of Medical Sciences","45","UK Research and Innovation","6","India","18",,,,
,,"2016","12","Aghebati-Maleki, L.","8","Environmental Science","3",,,,,"Frontiers In Oncology","8","Tumor Microenvironment","180","Kermanshah University of Medical Sciences","41","Biotechnology Research Center, Tabriz University of Medical Sciences","5","Russian Federation","18",,,,
