Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy)) AND DOCTYPE(ar))"


Number of results : 6731

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","4390","2025","175","Hemminki, A.","147","Biochemistry, Genetics and Molecular Biology","3974","Article","6731","final","6710","Molecular Therapy","286","Article","5871","Mayo Clinic","279","National Institutes of Health","1202","United States","2751","Journal","6674","English","6445"
"Gold","2054","2024","483","Russell, S.J.","121","Medicine","3756",,,"aip","21","Cancer Gene Therapy","261","Human","5327","Harvard Medical School","202","National Cancer Institute","1065","China","1423","Book Series","50","Chinese","161"
"Hybrid Gold","635","2023","453","Fong, Y.","114","Immunology and Microbiology","1232",,,,,"Molecular Therapy Oncolytics","238","Nonhuman","4358","Helsingin Yliopisto","190","U.S. Department of Health and Human Services","993","Germany","668","Trade Journal","4","Japanese","35"
"Bronze","963","2022","441","Bell, J.C.","112","Pharmacology, Toxicology and Pharmaceutics","1038",,,,,"Journal Of Virology","177","Oncolytic Virotherapy","4160","German Cancer Research Center","185","National Natural Science Foundation of China","623","Canada","588","Undefined","3","Russian","31"
"Green","3446","2021","457","Kanerva, A.","103","Agricultural and Biological Sciences","319",,,,,"Clinical Cancer Research","176","Humans","4112","The University of Alabama at Birmingham","185","Ministry of Science and Technology of the People's Republic of China","501","United Kingdom","504",,,"German","28"
,,"2020","426","Alemany, R.","95","Multidisciplinary","263",,,,,"Cancer Research","171","Controlled Study","4107","Massachusetts General Hospital","166","Japan Society for the Promotion of Science","230","Japan","486",,,"French","14"
,,"2019","341","Curiel, D.T.","89","Mathematics","214",,,,,"Gene Therapy","165","Oncolytic Virus","3723","Memorial Sloan-Kettering Cancer Center","155","Ministry of Education, Culture, Sports, Science and Technology","228","Spain","282",,,"Dutch","7"
,,"2018","309","Yun, C.O.","89","Chemistry","208",,,,,"Human Gene Therapy","158","Mouse","3274","Chinese Academy of Sciences","150","European Commission","226","South Korea","222",,,"Spanish","7"
,,"2017","317","Fujiwara, T.","80","Chemical Engineering","204",,,,,"Journal For Immunotherapy Of Cancer","144","Human Cell","3184","Ottawa Hospital Research Institute","148","Government of Canada","170","Finland","218",,,"Polish","4"
,,"2016","295","Peng, K.W.","78","Engineering","178",,,,,"Plos One","133","Animals","3094","The University of Texas MD Anderson Cancer Center","138","National Key Research and Development Program of China","143","Netherlands","218",,,"Persian","3"
