Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy)))"


Number of results : 11845

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","7240","2025","332","Hemminki, A.","178","Medicine","7149","Article","6731","final","11810","Molecular Therapy","389","Human","9690","Mayo Clinic","394","National Institutes of Health","1746","United States","4758","Journal","11384","English","11399"
"Gold","3677","2024","946","Bell, J.C.","166","Biochemistry, Genetics and Molecular Biology","6668","Review","3731","aip","35","Cancer Gene Therapy","310","Humans","7093","Harvard Medical School","360","National Cancer Institute","1470","China","2183","Book Series","235","Chinese","212"
"Hybrid Gold","1000","2023","946","Russell, S.J.","149","Immunology and Microbiology","2176","Book Chapter","323",,,"Cancers","290","Nonhuman","7090","Massachusetts General Hospital","274","U.S. Department of Health and Human Services","1393","Germany","997","Book","188","German","61"
"Bronze","1448","2022","882","Fong, Y.","143","Pharmacology, Toxicology and Pharmaceutics","2104","Editorial","283",,,"Molecular Therapy Oncolytics","282","Oncolytic Virotherapy","6831","German Cancer Research Center","263","National Natural Science Foundation of China","969","United Kingdom","904","Conference Proceeding","27","Japanese","55"
"Green","5595","2021","941","Chiocca, E.A.","119","Chemical Engineering","391","Note","262",,,"Frontiers In Immunology","199","Oncolytic Virus","6749","The University of Texas MD Anderson Cancer Center","261","Ministry of Science and Technology of the People's Republic of China","764","Canada","886","Trade Journal","8","Russian","51"
,,"2020","857","Alemany, R.","118","Agricultural and Biological Sciences","378","Conference Paper","149",,,"Clinical Cancer Research","193","Article","5959","The University of Alabama at Birmingham","247","European Commission","310","Japan","636","Undefined","3","French","33"
,,"2019","617","Yun, C.O.","114","Chemistry","360","Letter","121",,,"Gene Therapy","192","Animals","4366","Helsingin Yliopisto","233","Japan Society for the Promotion of Science","260","Spain","452",,,"Spanish","16"
,,"2018","597","Curiel, D.T.","110","Multidisciplinary","290","Short Survey","116",,,"Viruses","191","Controlled Study","4248","Ottawa Hospital Research Institute","228","Ministry of Education, Culture, Sports, Science and Technology","258","Italy","413",,,"Polish","13"
,,"2017","549","Kanerva, A.","108","Engineering","276","Erratum","104",,,"Human Gene Therapy","188","Priority Journal","3746","Memorial Sloan-Kettering Cancer Center","211","Government of Canada","235","France","380",,,"Dutch","9"
,,"2016","512","Fujiwara, T.","96","Neuroscience","252","Book","11",,,"Journal For Immunotherapy Of Cancer","188","Mouse","3522","Ministry of Education of the People's Republic of China","204","National Key Research and Development Program of China","202","Netherlands","329",,,"Persian","6"
,,"2015","512","Cerullo, V.","93","Computer Science","244","Retracted","10",,,"Cancer Research","182","Oncolytic Viruses","3462","University of Ottawa","191","National Institute of Neurological Disorders and Stroke","181","South Korea","307",,,"Czech","4"
,,"2014","414","Peng, K.W.","92","Mathematics","238","Conference Review","4",,,"Journal Of Virology","179","Review","3454","Chinese Academy of Sciences","184","Deutsche Forschungsgemeinschaft","180","Finland","279",,,"Hungarian","4"
,,"2013","445","Szalay, A.A.","86","Materials Science","164",,,,,"Frontiers In Oncology","169","Unclassified Drug","3421","The Institute of Cancer Research","164","National Institute of Allergy and Infectious Diseases","176","India","271",,,"Arabic","1"
,,"2012","474","Fueyo, J.","84","Physics and Astronomy","143",,,,,"International Journal Of Molecular Sciences","169","Human Cell","3303","Helsinki University Hospital","156","Canadian Institutes of Health Research","170","Iran","241",,,"Estonian","1"
,,"2011","380","McFadden, G.","83","Veterinary","81",,,,,"Plos One","135","Virus Replication","3194","University of Pittsburgh School of Medicine","154","U.S. Department of Defense","154","Russian Federation","209",,,"Greek","1"
,,"2010","447","Kaur, B.","82","Environmental Science","56",,,,,"Oncotarget","121","Antineoplastic Activity","3091","Zhejiang Sci-Tech University","144","Horizon 2020 Framework Programme","136","Australia","206",,,"Italian","1"
,,"2009","410","Rabkin, S.D.","81","Nursing","39",,,,,"Oncoimmunology","94","Animal Experiment","3028","Brigham and Women's Hospital","142","UK Research and Innovation","134","Switzerland","167",,,"Korean","1"
,,"2008","336","Harrington, K.J.","80","Health Professions","29",,,,,"Expert Opinion On Biological Therapy","91","Animal","2958","Inserm","140","European Research Council","129","Sweden","159",,,"Slovenian","1"
,,"2007","319","Rommelaere, J.","79","Dentistry","25",,,,,"International Journal Of Cancer","91","Animal Model","2898","University of California, San Diego","139","Cancer Research UK","123","Poland","116",,,"Swedish","1"
,,"2006","259","Melcher, A.","77","Social Sciences","23",,,,,"Methods In Molecular Biology","84","Female","2793","University of Pittsburgh","133","Canadian Cancer Society","112","Austria","110",,,"Turkish","1"
,,"2005","210","Urata, Y.","77","Economics, Econometrics and Finance","14",,,,,"Cancer Letters","82","Genetics","2766","Mayo Clinic Graduate School of Biomedical Sciences","133","National Research Foundation of Korea","109","Taiwan","110",,,"Ukrainian","1"
,,"2004","132","Gomez-Manzano, C.","76","Business, Management and Accounting","11",,,,,"Scientific Reports","73","Immunotherapy","2752","The Ohio State University","130","Medical Research Council","107","Belgium","109",,,,
,,"2003","116","Coffey, M.","71","Earth and Planetary Sciences","9",,,,,"Biomedicines","67","Cancer Immunotherapy","2591","Barts and The London School of Medicine and Dentistry","118","Ministry of Education of the People's Republic of China","89","Saudi Arabia","99",,,,
,,"2002","69","Markert, J.M.","69","Psychology","9",,,,,"Virology","67","Mice","2515","UPMC Hillman Cancer Center","118","American Cancer Society","87","Israel","81",,,,
,,"2001","43","Lesniak, M.S.","68","Decision Sciences","7",,,,,"Molecular Cancer Therapeutics","63","Neoplasms","2288","Baylor College of Medicine","116","China Postdoctoral Science Foundation","87","Brazil","79",,,,
,,"2000","37","Kaufman, H.L.","66","Arts and Humanities","6",,,,,"Molecular Therapy Oncology","63","Procedures","2246","University of California, San Francisco","115","Fundamental Research Funds for the Central Universities","85","Malaysia","67",,,,
,,"1999","13","Vile, R.G.","66","Energy","5",,,,,"Nature Communications","60","Cell Line, Tumor","2225","City of Hope National Med Center","111","Helsingin Yliopisto","82","Pakistan","56",,,,
,,"1998","2","Cripe, T.P.","63",,,,,,,"Cells","57","Tumor Microenvironment","2142","Heersink School of Medicine","111","Seventh Framework Programme","80","Turkey","56",,,,
,,"1997","3","Kagawa, S.","62",,,,,,,"Journal Of Gene Medicine","55","Adenoviridae","2051","Institute Catala Oncologia","109","Ministerio de Economía y Competitividad","78","Greece","55",,,,
,,"1996","2","Diallo, J.S.","61",,,,,,,"Current Gene Therapy","51","Drug Efficacy","2036","National Institutes of Health NIH","106","Natural Sciences and Engineering Research Council of Canada","76","Iraq","49",,,,
,,"1995","1","Galanis, E.","60",,,,,,,"Oncogene","49","Animal Cell","1999","University of Oxford","105","Mayo Clinic","73","South Africa","48",,,,
,,"1994","1","Seymour, L.W.","60",,,,,,,"Current Opinion In Molecular Therapeutics","48","Immune Response","1852","The University of Chicago","103","Merck","70","Egypt","43",,,,
,,"1993","3","Martuza, R.L.","58",,,,,,,"Cancer Biology And Therapy","47","Gene Therapy","1813","McMaster University","103","Deutsche Krebshilfe","68","Mexico","43",,,,
,,"1991","2","Pesonen, S.","58",,,,,,,"Cancer Immunology Immunotherapy","47","Protein Expression","1797","Fudan University","102","Instituto de Salud Carlos III","67","Singapore","43",,,,
,,"1990","2","Vile, R.","58",,,,,,,"International Journal Of Oncology","47","Metabolism","1795","University of Calgary","100","Ministry of Finance","66","Ireland","42",,,,
,,"1989","2","Wang, Y.","58",,,,,,,"Neuro Oncology","47","Animal Tissue","1789","Huazhong University of Science and Technology","100","Japan Agency for Medical Research and Development","65","Denmark","41",,,,
,,"1985","1","Chen, N.G.","55",,,,,,,"BMC Cancer","46","Oncolytic Adenovirus","1738","Graduate School of Medicine, Dentistry and Pharmaceutical Sciences","100","National Institute of General Medical Sciences","65","Czech Republic","37",,,,
,,"1983","1","Alonso, M.M.","53",,,,,,,"Journal Of Translational Medicine","46","Apoptosis","1710","Sichuan University","97","Terry Fox Research Institute","65","Portugal","36",,,,
,,"1981","1","Lichty, B.D.","52",,,,,,,"Journal Of Controlled Release","43","In Vitro Study","1662","University of Minnesota Twin Cities","97","Bristol-Myers Squibb","64","Indonesia","31",,,,
,,"1980","1","Lauer, U.M.","51",,,,,,,"Oncology Reports","43","Immunology","1645","Moffitt Cancer Center","96","Natural Science Foundation of Zhejiang Province","64","New Zealand","30",,,,
,,"1978","1","Liu, X.Y.","51",,,,,,,"Cytokine And Growth Factor Reviews","42","Pathology","1632","Dana-Farber Cancer Institute","96","Canadian Cancer Society Research Institute","62","Argentina","29",,,,
,,"1977","1","Tazawa, H.","51",,,,,,,"Current Cancer Drug Targets","39","Gene Expression","1623","Queen Mary University of London","96","Ontario Institute for Cancer Research","62","Romania","28",,,,
,,"1973","1","Wakimoto, H.","51",,,,,,,"Vaccines","38","Male","1618","The Ohio State University Comprehensive Cancer Center","95","Amgen","60","Hong Kong","27",,,,
,,"1972","1","Yamamoto, M.","51",,,,,,,"Virology Journal","37","Neoplasm","1601","Institut d'Investigació Biomedica de Bellvitge","95","Science and Technology Department of Zhejiang Province","59","Norway","26",,,,
,,"1971","1","Bartlett, D.L.","50",,,,,,,"Anticancer Research","36","Antineoplastic Agent","1567","Universitätsklinikum Heidelberg","94","Mayo Foundation for Medical Education and Research","57","Latvia","24",,,,
,,"1965","7","Lemoine, N.R.","50",,,,,,,"Immunotherapy","36","Melanoma","1538","Julius-Maximilians-Universität Würzburg","94","National Natural Science Foundation of China-Zhejiang Joint Fund for the Integration of Industrialization and Informatization","56","Colombia","22",,,,
,,"1964","6","Thorne, S.H.","50",,,,,,,"Future Oncology","35","Tumor Cell Line","1532","West China School of Medicine/West China Hospital of Sichuan University","93","Sigrid Juséliuksen Säätiö","56","Morocco","21",,,,
,,"1962","2","Harrington, K.","48",,,,,,,"Human Vaccines And Immunotherapeutics","35","Virotherapy","1457","Icahn School of Medicine at Mount Sinai","92","Terry Fox Foundation","55","Thailand","20",,,,
,,"1961","1","Todo, T.","48",,,,,,,"Nature Medicine","34","In Vivo Study","1439","Technische Universität München","92","Jane ja Aatos Erkon Säätiö","52","Hungary","19",,,,
,,"1960","5","Federspiel, M.J.","46",,,,,,,"Advanced Drug Delivery Reviews","33","Glioblastoma","1394","Zhejiang University School of Medicine","92","Cancer Research Society","51","Luxembourg","19",,,,
,,"1956","1","Gillespie, G.Y.","46",,,,,,,"Advances In Experimental Medicine And Biology","33","Genetic Vectors","1256","Weill Cornell Medicine","91","National Center for Advancing Translational Sciences","51","Lebanon","17",,,,
,,"1954","1","Kirn, D.H.","46",,,,,,,"Expert Review Of Anticancer Therapy","33","Cytotoxicity","1224","Hanyang University","91","Associazione Italiana per la Ricerca sul Cancro","50","Bulgaria","16",,,,
,,,,"Hoeben, R.C.","45",,,,,,,"Cancer Science","32","Cancer Therapy","1196","Chinese Academy of Medical Sciences &amp; Peking Union Medical College","91","Science and Technology Commission of Shanghai Municipality","50","Nigeria","16",,,,
,,,,"Melcher, A.A.","45",,,,,,,"Journal Of General Virology","32","Adenovirus","1096","National Cancer Institute NCI","90","National Science Foundation","49","Croatia","13",,,,
,,,,"Lang, F.F.","43",,,,,,,"Virus Research","32","Cancer Inhibition","1092","University of Leeds, School of Medicine","90","European Regional Development Fund","48","United Arab Emirates","13",,,,
,,,,"Pandha, H.","43",,,,,,,"Biochemical And Biophysical Research Communications","31","Cancer Survival","1089","CAS Center for Excellence in Molecular Cell Science","90","AstraZeneca","47","Qatar","12",,,,
,,,,"Ungerechts, G.","43",,,,,,,"Molecular Cancer","31","Drug Safety","1067","Moores Cancer Center","89","Jiangsu Provincial Department of Science and Technology","47","Viet Nam","12",,,,
,,,,"Jiang, H.","42",,,,,,,"Molecular Therapy Methods And Clinical Development","31","Physiology","1067","Zhejiang University","88","Bundesministerium für Bildung und Forschung","46","Cyprus","11",,,,
,,,,"Nettelbeck, D.M.","42",,,,,,,"International Immunopharmacology","30","Signal Transduction","1050","Sun Yat-Sen University","88","Guangdong Provincial Department of Science and Technology","46","Jordan","11",,,,
,,,,"Rahman, M.M.","42",,,,,,,"Journal Of The National Cancer Institute","30","Cancer Vaccine","1037","Zhengzhou University","86","Russian Science Foundation","45","Slovenia","11",,,,
,,,,"Chumakov, P.M.","41",,,,,,,"Frontiers In Pharmacology","29","CD8+ T Lymphocyte","1019","University of Texas Health Science Center at Houston","86","Agence Nationale de la Recherche","43","Tanzania","8",,,,
,,,,"Kottke, T.","41",,,,,,,"Journal Of Neuro Oncology","29","Glioma","1007","Cancer Research UK","85","National Heart, Lung, and Blood Institute","43","Bangladesh","7",,,,
,,,,"Yoo, J.Y.","41",,,,,,,"Oncology Letters","29","Tumor Growth","1002","The Ohio State University Wexner Medical Center","85","National Institute of Diabetes and Digestive and Kidney Diseases","42","Macao","7",,,,
,,,,"Friedman, G.K.","40",,,,,,,"Frontiers In Microbiology","28","Cancer Cell","992","Leids Universitair Medisch Centrum","83","Natural Science Foundation of Jiangsu Province","42","Serbia","7",,,,
,,,,"Havunen, R.","40",,,,,,,"Pharmaceutics","28","Cell Proliferation","973","Erasmus MC","83","Academy of Finland","41","Chile","6",,,,
,,,,"Thompson, J.","40",,,,,,,"World Journal Of Gastroenterology","28","Flow Cytometry","967","Genelux Corporation","81","Novartis","41","Ethiopia","6",,,,
,,,,"Alain, T.","38",,,,,,,"Annals Of Surgical Oncology","27","Tumor Immunity","967","University of Oxford Medical Sciences Division","81","Wilhelm Sander-Stiftung","41","Ukraine","6",,,,
,,,,"Kirn, D.","38",,,,,,,"British Journal Of Cancer","27","Xenograft Model Antitumor Assays","965","Oncolytics Biotech, Inc.","81","Generalitat de Catalunya","40","Philippines","5",,,,
,,,,"Cervera-Carrascon, V.","36",,,,,,,"Critical Reviews In Oncology Hematology","27","Virology","959","Shanghai Institute of Nutrition and Health","81","Ligue Contre le Cancer","40","Slovakia","5",,,,
,,,,"Gromeier, M.","36",,,,,,,"Drugs Of The Future","27","Tumor Volume","957","University of Minnesota Medical School","80","Ministry of Education and Science of the Russian Federation","39","Uganda","5",,,,
,,,,"Mizuguchi, H.","36",,,,,,,"Future Virology","26","T Lymphocyte","930","University of Florida","80","Roche","39","Uzbekistan","5",,,,
,,,,"Yu, Y.A.","36",,,,,,,"Nature Reviews Drug Discovery","26","Treatment Outcome","926","The University of Osaka","80","Fondation pour la Recherche Médicale","37","Armenia","4",,,,
,,,,"Kasuya, H.","35",,,,,,,"Oncotargets And Therapy","26","Immune Checkpoint Inhibitor","925","Okayama University Hospital","80","Institut National Du Cancer","36","Cameroon","4",,,,
,,,,"Santos, J.M.","35",,,,,,,"Proceedings Of The National Academy Of Sciences Of The United States Of America","26","Overall Survival","910","UAB Department of Medicine","79","Oncolytics Biotech","35","Estonia","4",,,,
,,,,"Joensuu, T.","34",,,,,,,"Science Translational Medicine","26","Mice, Nude","872","University of Surrey","78","National Major Science and Technology Projects of China","34","Kenya","4",,,,
,,,,"Lamfers, M.L.M.","34",,,,,,,"Biomedicine And Pharmacotherapy","25","Tumor Xenograft","872","Tongji Medical College of Huazhong University of Science and Technology","77","Pfizer","34","Lithuania","4",,,,
,,,,"Liu, B.","34",,,,,,,"Chinese Journal Of Cancer Biotherapy","25","Pembrolizumab","862","Oncolys BioPharma Co., Ltd.","76","Cancer Prevention and Research Institute of Texas","33","Nepal","4",,,,
,,,,"Pandha, H.S.","34",,,,,,,"Journal Of Acquired Immune Deficiency Syndromes","25","Adenovirus Vector","837","Northwestern University Feinberg School of Medicine","75","Chinese Academy of Sciences","33","Puerto Rico","4",,,,
,,,,"Schirrmacher, V.","34",,,,,,,"Current Oncology Reports","24","Cancer","837","Universitätsklinikum und Medizinische Fakultät Tübingen","74","Flight Attendant Medical Research Institute","33","Swaziland","4",,,,
