Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy)) AND DOCTYPE(re))"


Number of results : 3731

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","2232","2025","116","Bell, J.C.","37","Medicine","2548","Review","3731","final","3722","Cancers","193","Human","3403","Harvard Medical School","121","National Institutes of Health","457","United States","1454","Journal","3707","English","3599"
"Gold","1387","2024","353","Chiocca, E.A.","31","Biochemistry, Genetics and Molecular Biology","1970",,,"aip","9","Frontiers In Immunology","128","Review","3397","The University of Texas MD Anderson Cancer Center","97","National Cancer Institute","336","China","672","Book Series","24","Chinese","50"
"Hybrid Gold","259","2023","389","Russell, S.J.","24","Pharmacology, Toxicology and Pharmaceutics","810",,,,,"Frontiers In Oncology","106","Humans","2386","Mayo Clinic","79","U.S. Department of Health and Human Services","332","United Kingdom","300",,,"Russian","20"
"Bronze","286","2022","350","Harrington, K.J.","21","Immunology and Microbiology","705",,,,,"International Journal Of Molecular Sciences","104","Oncolytic Virus","2354","Massachusetts General Hospital","79","National Natural Science Foundation of China","330","Germany","249",,,"German","18"
"Green","1779","2021","394","Lesniak, M.S.","21","Chemical Engineering","153",,,,,"Expert Opinion On Biological Therapy","82","Nonhuman","2236","Ministry of Education of the People's Republic of China","75","Ministry of Science and Technology of the People's Republic of China","248","Canada","216",,,"Japanese","17"
,,"2020","308","Fueyo, J.","20","Chemistry","140",,,,,"Viruses","82","Oncolytic Virotherapy","2072","German Cancer Research Center","53","National Institute of Neurological Disorders and Stroke","72","Italy","183",,,"French","8"
,,"2019","203","McFadden, G.","20","Neuroscience","115",,,,,"Biomedicines","45","Immunotherapy","1558","Ottawa Hospital Research Institute","52","European Commission","65","India","134",,,"Polish","8"
,,"2018","219","Fong, Y.","19","Computer Science","110",,,,,"Current Opinion In Molecular Therapeutics","42","Cancer Immunotherapy","1513","Brigham and Women's Hospital","49","Government of Canada","53","Iran","127",,,"Spanish","8"
,,"2017","152","Gomez-Manzano, C.","19","Engineering","50",,,,,"Cancer Gene Therapy","40","Tumor Microenvironment","1141","The University of Alabama at Birmingham","48","National Key Research and Development Program of China","52","France","124",,,"Czech","4"
,,"2016","140","Kaufman, H.L.","19","Materials Science","36",,,,,"Cytokine And Growth Factor Reviews","36","Neoplasms","1136","Inserm","47","U.S. Department of Defense","52","Spain","120",,,"Persian","3"
,,"2015","122","Seymour, L.W.","19","Veterinary","27",,,,,"Current Gene Therapy","35","Unclassified Drug","1126","West China School of Medicine/West China Hospital of Sichuan University","47","Deutsche Forschungsgemeinschaft","47","Japan","117",,,"Hungarian","2"
,,"2014","76","Friedman, G.K.","17","Agricultural and Biological Sciences","21",,,,,"Cells","33","Animals","1061","Sichuan University","46","UK Research and Innovation","46","Netherlands","86",,,"Arabic","1"
,,"2013","86","Markert, J.M.","17","Nursing","21",,,,,"Advanced Drug Delivery Reviews","30","Antineoplastic Activity","874","University of California, San Francisco","40","Canadian Institutes of Health Research","43","Australia","69",,,"Greek","1"
,,"2012","105","Rabkin, S.D.","17","Dentistry","12",,,,,"Molecular Therapy Oncolytics","30","Priority Journal","863","University of Ottawa","40","National Institute of Allergy and Infectious Diseases","34","South Korea","68",,,"Ukrainian","1"
,,"2011","70","Kaur, B.","16","Multidisciplinary","11",,,,,"Immunotherapy","29","Immune Response","857","Memorial Sloan-Kettering Cancer Center","38","China Postdoctoral Science Foundation","33","Russian Federation","66",,,,
,,"2010","116","Rommelaere, J.","16","Environmental Science","9",,,,,"Current Cancer Drug Targets","28","Procedures","856","The Institute of Cancer Research","38","Fundamental Research Funds for the Central Universities","32","Switzerland","63",,,,
,,"2009","107","Alemany, R.","15","Physics and Astronomy","7",,,,,"Molecular Therapy","28","Oncolytic Viruses","841","University of Oxford","37","Horizon 2020 Framework Programme","32","Poland","45",,,,
,,"2008","90","Cripe, T.P.","15","Health Professions","6",,,,,"Cancer Letters","27","Neoplasm","811","Weill Cornell Medicine","36","Cancer Research UK","31","Belgium","43",,,,
,,"2007","76","Curiel, D.T.","15","Social Sciences","6",,,,,"Critical Reviews In Oncology Hematology","27","Animal","795","UPMC Hillman Cancer Center","35","European Research Council","31","Saudi Arabia","42",,,,
,,"2006","51","Hemminki, A.","15","Earth and Planetary Sciences","3",,,,,"Future Oncology","27","Antineoplastic Agent","772","Fudan University","34","Bristol-Myers Squibb","30","Brazil","38",,,,
,,"2005","67","Kroemer, G.","15","Arts and Humanities","2",,,,,"Expert Review Of Anticancer Therapy","25","Gene Therapy","733","Dana-Farber Cancer Institute","34","Ministry of Education, Culture, Sports, Science and Technology","29","Sweden","36",,,,
,,"2004","34","Schirrmacher, V.","15","Mathematics","2",,,,,"Journal For Immunotherapy Of Cancer","25","Genetics","732","National Institutes of Health NIH","32","Japan Society for the Promotion of Science","28","Finland","34",,,,
,,"2003","37","Fujiwara, T.","14","Psychology","1",,,,,"Current Oncology Reports","23","Melanoma","689","Zhejiang University School of Medicine","32","Medical Research Council","27","Greece","32",,,,
,,"2002","33","Galanis, E.","14",,,,,,,"Vaccines","23","Cancer Vaccine","686","University of Pittsburgh School of Medicine","31","Merck","27","Austria","29",,,,
,,"2001","12","Melcher, A.","14",,,,,,,"Biochimica Et Biophysica Acta Reviews On Cancer","22","Glioblastoma","675","University of Oxford Medical Sciences Division","31","Ministry of Education of the People's Republic of China","27","Israel","25",,,,
,,"2000","14","Bernstock, J.D.","13",,,,,,,"Journal Of Neuro Oncology","22","Immunology","674","Moffitt Cancer Center","31","Associazione Italiana per la Ricerca sul Cancro","26","Pakistan","22",,,,
,,"1999","4","Castro, M.G.","13",,,,,,,"Pharmaceutics","21","Virus Replication","659","Tehran University of Medical Sciences","30","Canadian Cancer Society","24","Ireland","21",,,,
,,"1997","1","Chumakov, P.M.","13",,,,,,,"Frontiers In Pharmacology","20","Cancer Therapy","654","University of Pittsburgh","29","National Institute of General Medical Sciences","23","Turkey","21",,,,
