Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy)) AND AFFILCOUNTRY(Iran) AND DOCTYPE(ar))"


Number of results : 95

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","47","2025","4","Azadmanesh, K.","12","Medicine","54","Article","95","final","91","Cancer Cell International","4","Article","75","Pasteur Institute of Iran","27","Tarbiat Modares University","11","Iran","95","Journal","95","English","91"
"Gold","33","2024","15","Soleimanjahi, H.","12","Biochemistry, Genetics and Molecular Biology","46",,,"aip","4","Iranian Biomedical Journal","4","Human","59","Tarbiat Modares University","21","Pasteur Institute of Iran","7","United States","12",,,"Persian","3"
"Hybrid Gold","4","2023","12","Dorostkar, R.","9","Immunology and Microbiology","26",,,,,"Microbial Pathogenesis","4","Controlled Study","57","Tehran University of Medical Sciences","14","National Institute for Medical Research Development","6","Canada","7",,,"Russian","1"
"Bronze","5","2022","13","Bamdad, T.","7","Pharmacology, Toxicology and Pharmaceutics","17",,,,,"Archives Of Razi Institute","3","Nonhuman","52","Golestan University of Medical Sciences","13","Baqiyatallah University of Medical Sciences","5","Italy","3",,,,
"Green","32","2021","13","Ghaemi, A.","7","Mathematics","8",,,,,"Cell Journal","3","Oncolytic Virotherapy","52","Baqiyatallah University of Medical Sciences","10","Golestan University of Medical Sciences","5","Poland","3",,,,
,,"2020","13","Abdoli, A.","6","Chemical Engineering","4",,,,,"International Journal Of Cancer Management","3","Oncolytic Virus","51","University of Tehran","9","Tehran University of Medical Sciences and Health Services","4","Sweden","3",,,,
,,"2019","7","Karimi, H.","6","Veterinary","4",,,,,"Plos One","3","Oncolytic Viruses","38","Razi Vaccine &amp; Serum Research Institute, Iran","8","Fakultet Medicinskih Nauka, Univerziteta U Kragujevcu","3","Belgium","2",,,,
,,"2018","3","Moradi, A.","6","Chemistry","3",,,,,"BMC Cancer","2","Human Cell","35","School of Medicine IUMS","5","Government of Canada","3","Finland","2",,,,
,,"2017","4","Tabarraei, A.","6","Computer Science","3",,,,,"Current Cancer Drug Targets","2","Humans","35","Shahid Beheshti University of Medical Sciences","5","Iran National Science Foundation","3","Australia","1",,,,
,,"2016","4","Teimoori-Toolabi, L.","6","Engineering","3",,,,,"European Journal Of Pharmacology","2","Apoptosis","32","Iran University of Medical Sciences","5","National Institutes of Health","3","Germany","1",,,,
,,"2015","2","Farzanehpour, M.","5","Multidisciplinary","3",,,,,"Intervirology","2","Animal Cell","27","Isfahan University of Medical Sciences","4","Silesian University of Technology","3","India","1",,,,
,,"2014","2","Abdoli, S.","4","Agricultural and Biological Sciences","2",,,,,"Iranian Journal Of Basic Medical Sciences","2","Mouse","27","Shiraz University of Medical Sciences","4","U.S. Department of Health and Human Services","3","Malaysia","1",,,,
,,"2013","1","Arefian, E.","4","Neuroscience","2",,,,,"Journal Of Cellular Biochemistry","2","Genetics","26","Sharif University of Technology","4","Canadian Cancer Society","2","Netherlands","1",,,,
,,"2012","1","Choobin, H.","4","Physics and Astronomy","1",,,,,"Virology Journal","2","Cell Line, Tumor","25","University of Birjand","4","Canadian Cancer Society Research Institute","2","Pakistan","1",,,,
,,"2009","1","Ghaleh, H.E.G.","4",,,,,,,"Virus Research","2","Tumor Cell Line","24","Shahid Beheshti University","4","Canadian Institutes of Health Research","2","Sudan","1",,,,
,,,,"Keshavarz, M.","4",,,,,,,"Acta Virologica","1","Unclassified Drug","24","Iranian Academic Center for Education, Culture and Research","4","Iran University of Medical Sciences","2","Turkey","1",,,,
,,,,"Mokhtari-Azad, T.","4",,,,,,,"Advanced Pharmaceutical Bulletin","1","Animals","23","School of Public Health","4","Mashhad University of Medical Sciences","2","Viet Nam","1",,,,
,,,,"Salimi, V.","4",,,,,,,"Archives Of Iranian Medicine","1","Antineoplastic Activity","23","Mashhad University of Medical Sciences","3","Prostate Cancer Canada","2",,,,,,
,,,,"Shokrgozar, M.A.","4",,,,,,,"Asian Pacific Journal Of Cancer Prevention","1","Female","23","Hamadan University of Medical Sciences","3","Ahvaz Jundishapur University of Medical Sciences","1",,,,,,
,,,,"Soudi, S.","4",,,,,,,"Avicenna Journal Of Medical Biotechnology","1","Flow Cytometry","22","Silesian University of Technology","3","Aja University of Medical Sciences","1",,,,,,
,,,,"Arashkia, A.","3",,,,,,,"Biochemical Pharmacology","1","Animal","21","Bushehr University of Medical Sciences","3","European Commission","1",,,,,,
,,,,"Ashyani, A.","3",,,,,,,"Bioimpacts","1","Animal Experiment","21","National Institute for Genetic Engineering and Biotechnology Iran","3","Hamadan University of Medical Sciences","1",,,,,,
,,,,"Babaei, A.","3",,,,,,,"Brazilian Journal Of Microbiology","1","Cytotoxicity","20","School of Medicine, Isfahan UMS","3","Harvard Medical School","1",,,,,,
