Scopus refine results values

"Your query : ((TITLE-ABS-KEY(""oncolytic virus*"") OR TITLE-ABS-KEY(""Oncolytic Virotherap*"") OR TITLE-ABS-KEY(""Oncolytic Adenovirus*"") OR TITLE-ABS-KEY(virotherapy)) AND AFFILCOUNTRY(Iran))"


Number of results : 241

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
"All Open Access","113","2025","14","Azadmanesh, K.","16","Medicine","143","Review","127","final","237","Frontiers In Immunology","9","Human","190","Pasteur Institute of Iran","51","Tarbiat Modares University","12","Iran","241","Journal","232","English","233"
"Gold","86","2024","42","Dorostkar, R.","14","Biochemistry, Genetics and Molecular Biology","124","Article","95","aip","4","Cancer Cell International","8","Oncolytic Virus","152","Tehran University of Medical Sciences","50","Baqiyatallah University of Medical Sciences","10","United States","30","Book","6","Persian","6"
"Hybrid Gold","7","2023","41","Soleimanjahi, H.","14","Immunology and Microbiology","57","Book Chapter","8",,,"International Immunopharmacology","7","Oncolytic Virotherapy","147","Shahid Beheshti University of Medical Sciences","33","Mashhad University of Medical Sciences","7","Canada","17","Book Series","2","Arabic","1"
"Bronze","13","2022","41","Ghaemi, A.","12","Pharmacology, Toxicology and Pharmaceutics","46","Editorial","5",,,"Biomedicine And Pharmacotherapy","5","Nonhuman","144","Iran University of Medical Sciences","33","National Institute for Medical Research Development","7","Italy","11","Conference Proceeding","1","Russian","1"
"Green","76","2021","34","Farzanehpour, M.","11","Mathematics","9","Short Survey","3",,,"Cell Communication And Signaling","5","Humans","129","Tarbiat Modares University","29","Pasteur Institute of Iran","7","Iraq","9",,,,
,,"2020","21","Arashkia, A.","10","Engineering","5","Conference Paper","1",,,"Current Cancer Therapy Reviews","4","Review","120","Tabriz University of Medical Sciences","24","Golestan University of Medical Sciences","5","Australia","7",,,,
,,"2019","18","Keshavarz, M.","9","Neuroscience","5","Letter","1",,,"Immunotherapy","4","Oncolytic Viruses","91","Baqiyatallah University of Medical Sciences","23","Iran National Science Foundation","5","Germany","7",,,,
,,"2018","6","Ghaleh, H.E.G.","8","Agricultural and Biological Sciences","4","Retracted","1",,,"Iranian Biomedical Journal","4","Immunotherapy","83","Mashhad University of Medical Sciences","20","National Institutes of Health","5","India","6",,,,
,,"2017","7","Abdoli, A.","7","Chemical Engineering","4",,,,,"Journal Of Cellular Biochemistry","4","Article","75","Golestan University of Medical Sciences","19","Tehran University of Medical Sciences and Health Services","5","Saudi Arabia","6",,,,
,,"2016","5","Bamdad, T.","7","Veterinary","4",,,,,"Journal Of Cellular Physiology","4","Cancer Immunotherapy","70","School of Medicine IUMS","18","U.S. Department of Health and Human Services","5","Sweden","6",,,,
,,"2015","2","Dianat-Moghadam, H.","7","Chemistry","3",,,,,"Microbial Pathogenesis","4","Procedures","70","University of Tehran","18","Iran University of Medical Sciences","4","Turkey","6",,,,
,,"2014","2","Goradel, N.H.","7","Computer Science","3",,,,,"Virology Journal","4","Neoplasms","65","Shiraz University of Medical Sciences","15","Canadian Cancer Society","3","Poland","5",,,,
